"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Humberto Mestre, Antonio Ibarra","Immunization with Neural-Derived Peptides as a Potential Therapy in Neurodegenerative Diseases",2011,"Neurodegenerative Diseases - Processes, Prevention, Protection And Monitoring","Intech Europe",NA,NA,20,"2021-01-15 17:22:59","Article","","",NA,NA,NA,519,540,0,0,0,2,10,"","acetate"
"2",0,"Maria del Carmen Diaz-Galindo, Denisse Calderon-Vallejo, Carlos Olvera-Sandoval, J. Luis Quintanar","Therapeutic approaches of trophic factors in animal models and in patients with spinal cord injury",2020,"Growth Factors","Taylor & Francis Ltd",NA,NA,21,"2021-01-15 17:22:59","Review","10.1080/08977194.2020.1753724","0897-7194",NA,38,1,1,15,0,0,0,4,1,"Trophic factors are naturally produced by different tissues that participate in several functions such as the intercellular communication, in the development, stability, differentiation and regeneration at the cellular level. Specifically, in the case of spinal injuries, these factors can stimulate neuronal recovery. They are applied both in experimental models and in clinical trials in patients. The trophic factors analysed in this review include gonadotropin-releasing hormone (GnRH), thyrotropin-releasing hormone (TRH), growth hormone (GH), melatonin, oestrogens, the family of fibroblast growth factors (FGFs), the family of neurotrophins and the glial cell-derived neurotrophic factor (GDNF). There are some trophic (neurotrophic) factors that already been tested in patients with spinal cord injury (SCI), but only shown partial recovery effect. It is possible that, the administration of these trophic factors together with physical rehabilitation, act synergistically and, therefore, significantly improve the quality of life of patients with SCI.","acetate"
"3",1,"Hadi Askarifirouzjaei, Leila Khajoueinejad, Amir Salek Farrokhi, Mohammad-Taher Tahoori, Mehdi Fazeli, Taki Tiraihi, Ali Akbar Pourfathollah","Implications of immunotherapy with high-dose glatiramer acetate in acute phase of spinal cord injury in rats",2019,"Immunopharmacology And Immunotoxicology","Taylor & Francis Ltd",NA,NA,19,"2021-01-15 17:22:59","Article","10.1080/08923973.2019.1566362","0892-3973",NA,41,1,150,162,1,0.5,0,7,2,"Objective: Recently, many researches with different viewpoints have focused on application of immunotherapy agents in treatment of spinal cord injury (SCI) according to neuroprotective results in some neurodegenerative disease. Glatiramer acetate (GA) is the most commonly used drug for Multiple sclerosis (MS) patients that exerts an immunomodulatory effect against Myelin basic protein (MBP) antigen. Materials and methods: High-dose (2mg/kg) treatment of GA for 28 consecutive days after SCI was compared with its low-dose (0.5 mg/kg) treatment, SCI control and Sham control rat groups. Results: High-dose GA group had significantly worsened outcome in standard functional recovery evaluation test (BBB) 12 weeks after SCI compared to SCI control and low-dose GA groups, which was confirmed by augmented spinal cavity volume and reduced ventral horn motor neurons in high-dose GA group; however, there was no significant difference between low-dose GA and control SCI group. In addition, proliferation test performed on lymphocytes from spleen and lymph nodes one week after SCI showed that high-dose GA injection has more significant effect on Division Index (DI) in response to MBP stimulation compared to low-dose GA and control SCI groups, which was associated with significant increase in IFN-gamma, IL-4, and IL-17A secretion. Conclusion: Along with confirmation of deleterious aspects of autoimmunity resulting from autoreactive lymphocytes against myelin antigens in SCI, this study has shown that high-dose immunotherapy using GA, especially in acute phase after SCI, overwhelms any neuroprotective effect of adoptive immune system.","acetate"
"4",2,"M Schwartz","Protective autoimmunity and prospects for therapeutic vaccination against self-perpetuating neurodegeneration",2004,"Neuroinflammation In Stroke","Springer-Verlag Berlin",NA,NA,17,"2021-01-15 17:22:59","Proceedings Paper","","0947-6075",NA,47,NA,133,154,2,0.12,2,1,17,"","acetate"
"5",2,"Xian-Kuan Xie, Zheng-Kuan Xu, Kan Xu, Yu-Xiang Xiao","DUSP19 mediates spinal cord injury-induced apoptosis and inflammation in mouse primary microglia cells via the NF-kB signaling pathway",2020,"Neurological Research","Taylor & Francis Ltd",NA,NA,18,"2021-01-15 17:22:59","Article","10.1080/01616412.2019.1685068","0161-6412",NA,42,1,31,38,2,2,1,4,1,"Objective: Spinal cord injury (SCI) is a common injury that seriously threatens human health. NF-kappa B may be involved in the secondary injury of SCI that is mediated by inflammation and aggravates damage. Our study was aimed to investigate the role of NF-kappa B signaling in DUSP19-mediated cleaved Caspase-3 expression and the release of inflammatory factors in vivo and in vitro. Materials and Methods: DUSP19 mRNA expression and the content of IL-6 and IL-8 in patients with traumatic SCI (TSCI) were measured by real-time PCR and ELISA, respectively. The levels of p-NF-kappa Bp65, NF-kappa Bp65 and cleaved Caspase-3 expression and the concentrations of IL-6 and IL-8 were measured by western blotting and ELISA, respectively. Results: Patients with TSCI showed lower DUSP19 expression and higher concentration of IL-6 and IL-8 compared with healthy controls. DUSP19 overexpression inhibited p-NF-kappa Bp65 level, cleaved Caspase-3 expression, and production of IL-8 and IL-6 in the mice induced by TSCI. DUSP19 silencing increased p-NF-kappa Bp65 level, cleaved Caspase-3 expression, and concentration of IL-6 and IL-8 in mouse primary microglia cells. DUSP19 overexpression had an inverse effect. Importantly, DUSP19 silencing and overexpression mediated p-NF-kappa Bp65 level, cleaved Caspase-3 expression, and concentration of IL-6 and IL-8 in mouse primary microglia cells were reversed by NF-kappa B inhibitor pyrrolidine dithiocarbamate (PDTC) and NF-kappa B activator 12-myristate 13-acetate (PMA), respectively. Conclusion: These results suggested that DUSP19-mediated SCI-induced apoptosis and inflammation via NF-kappa B signaling and might therefore serve as a potential therapeutic target for SCI.","acetate"
"6",3,"NE NAFTCHI","TREATMENT OF MAMMALIAN SPINAL-CORD INJURY WITH ANTIOXIDANTS",1991,"International Journal Of Developmental Neuroscience","Wiley",NA,NA,15,"2021-01-15 17:22:59","Article","10.1016/0736-5748(91)90002-4","0736-5748",NA,9,2,113,126,3,0.1,3,1,30,"After spinal cord injury, two groups of cats were treated with a combination of methyl-prednisolone sodium succinate (MP, 35 mg/kg) and epsilon-aminocaproic acid (EACA, 350 mg/kg), and guanabenz acetate (0.65 mg/kg). Guanabenz acetate was administered twice daily for 8 weeks. In the first group, the treatment significantly increased blood flow in the abdominal aorta. All cats treated with guanabenz acetate 3 hr after spinal cord contusion had return of micturition and none suffered complete paraplegia. Four animals had partial and the other four had complete motor recovery. A superoxide (O2-.) generating system, horseradish peroxidase, decreased [C-14]gamma amino butyric acid uptake by mouse cortical slices by 33% but when superoxide dismutase was added to the medium, the uptake was reduced by only 9%. The nerve endings were also protected by superoxide dismutase from morphologic damage by O2-. as observed by electron microscopy. The agents used in these studies produce their ameliorating effects by virtue of their anti-inflammatory, antioxidant, and membrane stabilizing properties, and enhancing the regional microcirculation. In addition to having these properties, guanabenz acetate is also an alpha2 adrenoceptor agonist.","acetate"
"7",3,"Jose Luis Quintanar, Carmen Diaz-Galindo, Denisse Calderon-Vallejo, Irma Hernandez-Jasso, Froylan Rojas, Daniel Medina-Aguinaga, Carlos Olvera-Sandoval","Neurological improvement in patients with chronic spinal cord injury treated with leuprolide acetate, an agonist of GnRH",2018,"Acta Neurobiologiae Experimentalis","Nencki Inst Experimental Biology",NA,NA,16,"2021-01-15 17:22:59","Article","10.21307/ane-2018-034","0065-1400",NA,78,4,352,357,3,1,0,7,3,"It has been reported that gonadotropin-releasing hormone (GnRH), and its analogue leuprolide acetate (LA), have neurotrophic properties; particularly in the regeneration of injured spinal cord in animal models and in the case of a patient with spinal cord injury (SCI). The aim of this study was to establish whether treatment with LA improves sensitivity, motor activity and independence in patients with chronic SCI. Patients were treated LA once a month for six months. They were evaluated at the beginning and at the end of treatment; using a sensitivity and motor impairment scale, according to the American Spinal Injury Association (ASIA), and grade of independence scale; employing the spinal cord independence measure (SCIM). Statistical analysis showed a significant improvement in the ASIA sensory score and the SCIM score when comparing the initial versus final evaluation after six months of LA administration. Some patients showed an increase in frequency of bowel movements. Treatment with LA induces improvements in sensitivity, motor activity and independence in patients with chronic SCI. One advantage of this protocol is that it is a non-invasive method of easy and safe application, with few side effects.","acetate"
"8",8,"Carmen Diaz Galindo, Beatriz Gomez-Gonzalez, Eva Salinas, Denisse Calderon-Vallejo, Irma Hernandez-Jasso, Eduardo Bautista, J. Luis Quintanar","Leuprolide acetate induces structural and functional recovery of injured spinal cord in rats",2015,"Neural Regeneration Research","Medknow Publications & Media Pvt Ltd",NA,NA,14,"2021-01-15 17:22:59","Article","10.4103/1673-5374.170311","1673-5374",NA,10,11,1819,1824,8,1.33,1,7,6,"Gonadotropin-releasing hormone (GnRH) and its synthetic analog leuprolide acetate, a GnRH agonist, have neurotrophic properties. This study was designed to determine whether administration of leuprolide acetate can improve locomotor behavior, gait, micturition reflex, spinal cord morphology and the amount of microglia in the lesion epicenter after spinal cord injury in rats. Rats with spinal cord compression injury were administered leuprolide acetate or saline solution for 5 weeks. At the 5th week, leuprolide acetate-treated rats showed locomotor activity recovery by 38%, had improvement in kinematic gait and exhibited voiding reflex recovery by 60%, as compared with the 1st week. By contrast, saline solution-treated rats showed locomotor activity recovery only by 7%, but voiding reflex did not recover. More importantly, leuprolide acetate treatment reduced microglial immunological reaction and induced a trend towards greater area of white and gray matter in the spinal cord. Therefore, leuprolide acetate has great potential to repair spinal cord injury.","acetate"
"9",10,"Michal Schwartz, Shay Bukshpan, Gilad Kunis","Application of glatiramer acetate to neurodegenerative diseases beyond multiple sclerosis - The need for disease-specific approaches",2008,"Biodrugs","Adis Int Ltd",NA,NA,12,"2021-01-15 17:22:59","Article","10.2165/00063030-200822050-00002","1173-8804",NA,22,5,293,299,10,0.77,3,3,13,"Adaptive and innate immunity, if well controlled, contribute to the maintenance of the CNS, as well as to downregulation of adverse acute and chronic neurological conditions. T cells that recognize CNS antigens are needed to activate resident immune cells and to recruit blood-borne monocytes, which act to restore homeostasis and facilitate repair. However, boosting such a T-cell response in a risk-free way requires a careful choice of the antigen, carrier, and regimen. A single vaccination with CNS-derived peptides or their weak agonists reduces neuronal loss in animal models of acute neurodegeneration. Repeated injections are needed to maintain a long-lasting effect in chronic neurodegenerative conditions, yet the frequency of the injections seems to have a critical effect on the outcome.","acetate"
"10",10,"Roberto Jose Diaz, S. Terry Myles, R. John Hurlbert","Evaluation of Epidural Analgesic Paste Components in Lumbar Decompressive Surgery: A Randomized Double-Blind Controlled Trial",2012,"Neurosurgery","Oxford Univ Press Inc",NA,NA,13,"2021-01-15 17:22:59","Article","10.1227/NEU.0b013e3182315f05","0148-396X",NA,70,2,414,423,10,1.11,3,3,9,"BACKGROUND: Adjuncts for pain management in lumbar decompressive surgery are needed to reduce narcotic consumption and promote early mobility.","acetate"
