"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Omid Salimi, Aliasghar Mohammadvand, Abbas Ebrahimi Kalan, Mohammad Charkhpour, Javad Mahmoudi, Bohlool Habibi Asl","Combined Therapy Following Spinal Cord Injury: Synergistic Neuroprotective Effects of Ceftriaxone and N-acetylcysteine",2020,"Iranian Red Crescent Medical Journal","Kowsar Publ",NA,NA,20,"2021-01-12 09:56:57","Article","10.5812/ircmj.98995","2074-1804",NA,22,4,NA,NA,0,0,0,6,1,"Background: Spinal Cord Injury (SCI) is one of the leading causes of severe neurological deficits worldwide. The pathophysiology of SCI includes a primary injury followed by a cascade of secondary biochemical and cellular changes. Current pharmacological options are limited for significant recovery from SCI. The beta-lactam antibiotic ceftriaxone (CEF) and N-acetylcysteine (NAC) have shown to induce neuroprotection in animal models of neurodegenerative disorders.","acetylcysteine"
"2",0,"U. Y. Cavus, A. Yilmaz, M. N. Aytekin, G. Taburcu, A. Albayrak, S. Yildirim, I. Agir","Efficacy of N-acetylcysteine on neuroclinical, biochemical, and histopathological parameters in experimental spinal cord trauma: comparison with methylprednisolone",2014,"European Journal Of Trauma And Emergency Surgery","Springer Heidelberg",NA,NA,21,"2021-01-12 09:56:57","Article","10.1007/s00068-013-0349-4","1863-9933",NA,40,3,363,371,0,0,0,7,7,"N-acetylcysteine (NAC) is an antioxidant agent that has been shown to have beneficial effects when treating various diseases. The aim of this study was to investigate the effects of NAC on spinal cord injury in an experimental rat model.","acetylcysteine"
"3",0,"Lesang Shen, Danfeng Lin, Xiaoyi Li, Haijian Wu, Cameron Lenahan, Yuanbo Pan, Weilin Xu, Yiding Chen, Anwen Shao, Jianmin Zhang","Ferroptosis in Acute Central Nervous System Injuries: The Future Direction?",2020,"Frontiers In Cell And Developmental Biology","Frontiers Media Sa",NA,NA,22,"2021-01-12 09:56:57","Article","10.3389/fcell.2020.00594","2296-634X",NA,8,NA,NA,NA,0,0,0,10,1,"Acute central nervous system (CNS) injuries, such as stroke, traumatic brain injury (TBI), and spinal cord injury (SCI) present a grave health care challenge worldwide due to high morbidity and mortality, as well as limited clinical therapeutic strategies. Established literature has shown that oxidative stress (OS), inflammation, excitotoxicity, and apoptosis play important roles in the pathophysiological processes of acute CNS injuries. Recently, there have been many studies on the topic of ferroptosis, a form of regulated cell death characterized by the accumulation of iron-dependent lipid peroxidation. Some studies have revealed an emerging connection between acute CNS injuries and ferroptosis. Ferroptosis, induced by the abnormal metabolism of lipids, glutathione (GSH), and iron, can accelerate acute CNS injuries. However, pharmaceutical agents, such as iron chelators, ferrostatin-1 (Fer-1), and liproxstatin-1 (Lip-1), can inhibit ferroptosis and may have neuroprotective effects after acute CNS injuries. However, the specific mechanisms underlying this connection has not yet been clearly elucidated. In this paper, we discuss the general mechanisms of ferroptosis and its role in stroke, TBI, and SCI. We also summarize ferroptosis-related drugs and highlight the potential therapeutic strategies in treating various acute CNS injuries. Additionally, this paper suggests a testable hypothesis that ferroptosis may be a novel direction for further research of acute CNS injuries by providing corresponding evidence.","acetylcysteine"
"4",0,"Laura Prieto Clemente, Malena Rabenau, Stephan Tang, Josefina Stanka, Eileen Cors, Jenny Stroh, Carsten Culmsee, Silvia von Karstedt","Dynasore Blocks Ferroptosis through Combined Modulation of Iron Uptake and Inhibition of Mitochondrial Respiration",2020,"Cells","Mdpi",NA,NA,23,"2021-01-12 09:56:57","Article","10.3390/cells9102259","",NA,9,10,NA,NA,0,0,0,8,1,"Ferroptosis is a form of regulated necrosis characterized by a chain-reaction of detrimental membrane lipid peroxidation following collapse of glutathione peroxidase 4 (Gpx4) activity. This lipid peroxidation is catalyzed by labile ferric iron. Therefore, iron import mediated via transferrin receptors and both, enzymatic and non-enzymatic iron-dependent radical formation are crucial prerequisites for the execution of ferroptosis. Intriguingly, the dynamin inhibitor dynasore, which has been shown to block transferrin receptor endocytosis, can protect from ischemia/reperfusion injury as well as neuronal cell death following spinal cord injury. Yet, it is unknown how dynasore exerts these cell death-protective effects. Using small interfering RNA suppression, lipid reactive oxygen species (ROS), iron tracers and bona fide inducers of ferroptosis, we find that dynasore treatment in lung adenocarcinoma and neuronal cell lines strongly protects these from ferroptosis. Surprisingly, while the dynasore targets dynamin 1 and 2 promote extracellular iron uptake, their silencing was not sufficient to block ferroptosis suggesting that this route of extracellular iron uptake is dispensable for acute induction of ferroptosis and dynasore must have an additional off-target activity mediating full ferroptosis protection. Instead, in intact cells, dynasore inhibited mitochondrial respiration and thereby mitochondrial ROS production which can feed into detrimental lipid peroxidation and ferroptotic cell death in the presence of labile iron. In addition, in cell free systems, dynasore showed radical scavenger properties and acted as a broadly active antioxidant which is superior to N-acetylcysteine (NAC) in blocking ferroptosis. Thus, dynasore can function as a highly active inhibitor of ROS-driven types of cell death via combined modulation of the iron pool and inhibition of general ROS by simultaneously blocking two routes required for ROS and lipid-ROS driven cell death, respectively. These data have important implications for the interpretation of studies observing tissue-protective effects of this dynamin inhibitor as well as raise awareness that off-target ROS scavenging activities of small molecules used to interrogate the ferroptosis pathway should be taken into consideration.","acetylcysteine"
"5",1,"Samir Patel, Jignesh Pandya, Khalid Eldahan, Patrick Sullivan, Alexander Rabchevsky","N-ACETYLCYSTEINE AMIDE (NACA) TREATMENT IMPROVED MITOCHONDRIAL BIOENERGETICS AND HINDLIMB FUNCTIONAL RECOVERY FOLLOWING CONTUSION SPINAL CORD INJURY",2012,"Journal Of Neurotrauma","Mary Ann Liebert Inc",NA,NA,19,"2021-01-12 09:56:57","Meeting Abstract","","0897-7151",NA,29,10,NA,NA,1,0.11,0,5,9,"","acetylcysteine"
"6",2,"A. Horst, J. A. de Souza, M. C. Q. Santos, A. P. K. Riffel, C. Kolberg, M. F. M. Ribeiro, L. S. de Fraga, W. A. Partata","N-acetylcysteine downregulates phosphorylated p-38 expression but does not reverse the increased superoxide anion levels in the spinal cord of rats with neuropathic pain",2017,"Brazilian Journal Of Medical And Biological Research","Assoc Bras Divulg Cientifica",NA,NA,17,"2021-01-12 09:56:57","Article","10.1590/1414-431X20165801","0100-879X",NA,50,2,NA,NA,2,0.5,0,8,4,"We determined the effect of N-acetylcysteine (NAC) on the expression of the phosphorylated p38 (p-p38) protein and superoxide anion generation (SAG), two important players in the processing of neuropathic pain, in the lumbosacral spinal cord of rats with chronic constriction injury (CCI)-induced neuropathic pain. The sciatic functional index (SFI) was also measured to assess the functional recovery post-nerve lesion. Thirty-six male Wistar rats were divided equally into the following groups: Naive (rats did not undergo surgical manipulation); Sham (rats in which all surgical procedures involved in CCI were used except the ligature), and CCI (rats in which four ligatures were tied loosely around the right common sciatic nerve), which received 2, 4, or 8 intraperitoneal injections of NAC (150 mg.kg(-1) . day(-1)) or saline beginning 4 h after CCI. Rats were sacrificed 1, 3, and 7 days after CCI. The SFI was measured on these days and the lumbosacral spinal cord was used for analysis of p-p38 expression and SAG. CCI induced a decrease in SFI as well as an increase in p-p38 expression and SAG in the spinal cord. The SFI showed a partial recovery at day 7 in saline-treated CCI rats, but recovery was improved in NAC-treated CCI rats. NAC induced a downregulation in p-p38 expression at all time-points evaluated, but did not reverse the increased SAG induced by CCI. Since p-p38 is a mediator in neuropathic pain and/or nerve regeneration, modulation of this protein may play a role in NAC-induced effects in CCI rats.","acetylcysteine"
"7",2,"Alexander G. Rabchevsky, Felicia M. Michael, Samir P. Patel","Mitochondria focused neurotherapeutics for spinal cord injury",2020,"Experimental Neurology","Academic Press Inc Elsevier Science",NA,NA,18,"2021-01-12 09:56:57","Review","10.1016/j.expneurol.2020.113332","0014-4886",NA,330,NA,NA,NA,2,2,1,3,1,"The mitochondrion is a double membrane structured organelle involved in a variety of regulatory functions such as calcium signaling, production of adenosine triphosphate, apoptosis, reactive oxygen species generation, cell growth, and cell cycling. Impaired mitochondrial function is evident in various neurological disorders stemming from both acute and chronic neural injury. Herein, we review the role of mitochondrial regulation in maintaining cellular homeostasis, the consequences of their dysfunction in relation to pathophysiology after neurotrauma, approaches being used to promote their bioenergetic integrity for neuroprotection, and multifaceted methods being used to preserve/rescue their function following both traumatic brain and spinal cord injury.","acetylcysteine"
"8",4,"Kemal Korkmaz, Hikmet Selcuk Gedik, Ali Baran Budak, An Umit Yener, Ertugrul Kaya, Serhat Bahadir Genc, Kerim Cagli","Effect of Montelukast on Spinal Cord Ischemia-Reperfusion Injury",2015,"Turkish Neurosurgery","Turkish Neurosurgical Soc",NA,NA,16,"2021-01-12 09:56:57","Article","10.5137/1019-5149.JTN.11499-14.2","1019-5149",NA,25,5,757,765,4,0.67,1,7,6,"AIM: Paraplegia due to ischemia-reperfusion (I/R) injury of the spinal cord is a devastating complication of thoracoabdominal aortic surgery. Cysteinyl leukotrienes are potent mediators of inflammation that are associated with I/R injury. The present study was designed to investigate the role of montelukast, a selective reversible CysLT1 receptor antagonist, on spinal cord I/R injury in an experimental model.","acetylcysteine"
"9",8,"Jian Guo, Yiqiao Li, Zhong Chen, Zhennian He, Bin Zhang, Yonghuan Li, Jianghua Hu, Mingyuan Han, Yuanlin Xu, Yongfu Li","N-acetylcysteine treatment following spinal cord trauma reduces neural tissue damage and improves locomotor function in mice",2015,"Molecular Medicine Reports","Spandidos Publ Ltd",NA,NA,14,"2021-01-12 09:56:57","Article","10.3892/mmr.2015.3390","1791-2997",NA,12,1,37,44,8,1.33,1,10,6,"Following spinal cord trauma, mitochondrial dysfunction associated with increased oxidative stress is a critical event leading to leukocyte inflammatory responses, neuronal cell death and demyelination, contributing to permanent locomotor and neurological disability. The present study demonstrated that the mitochondrial enhancer N-acetylcysteine (NAC) may restore redox balance via enhancement of mitochondrial respiratory activity following traumatic spinal cord injury (SCI). In addition, NAC ameliorates oxidative stress-induced neuronal loss, demyelination, leukocyte infiltration and inflammatory mediator expression and improves long-term locomotor function. Furthermore, neuronal survival and neurological recovery are significantly correlated with increased mitochondrial bioenergetics in SCI following treatment with NAC. Therefore, NAC may represent a potential therapeutic agent for preserving mitochondrial dynamics and integrity following traumatic SCI.","acetylcysteine"
"10",8,"Volkan Hanci, Alaeddin Kerimoglu, Kenan Koca, Aykut Baskesen, Kemal Kilic, Didem Tastekin","The biochemical effectiveness of N-acetylcysteine in experimental spinal cord injury in rats",2010,"Ulusal Travma Ve Acil Cerrahi Dergisi-Turkish Journal Of Trauma & Emergency Surgery","Turkish Assoc Trauma Emergency Surgery",NA,NA,15,"2021-01-12 09:56:57","Article","","1306-696X",NA,16,1,15,21,8,0.73,1,6,11,"BACKGROUND","acetylcysteine"
