"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Sheng Chang, Yunlong Bi, Xiangwei Meng, Lin Qu, Yang Cao","Adenovirus-delivered GFP-HO-1C23 attenuates blood-spinal cord barrier permeability after rat spinal cord contusion",2018,"Neuroreport","Lippincott Williams & Wilkins",NA,NA,86,"2021-01-15 17:39:55","Article","10.1097/WNR.0000000000000983","0959-4965",NA,29,5,402,407,0,0,0,5,3,"The blood-spinal cord barrier (BSCB) plays a key role in maintaining the microenvironment and is primarily composed of tight junction proteins and nonfenestrated capillary endothelial cells. After injury, BSCB damage results in increasing capillary permeability and release of inflammatory factors. Recent studies have reported that haem oxygenase-1 (HO-1) fragments lacking 23 amino acids at the C-terminus (HO-1C23) exert novel anti-inflammatory and antioxidative effects in vitro. However, no study has identified the role of HO-1C23 in vivo. We aimed to investigate the protective effects of HO-1C23 on the BSCB after spinal cord injury (SCI) in a rat model. Here, adenoviral HO-1C23 (Ad-GFP-HO-1C23) was intrathecally injected into the 10th thoracic spinal cord segment (T10) 7 days before SCI. In addition, nuclear and cytoplasmic extraction and immunofluorescence staining of HO-1 were used to examine the effect of Ad-GFP-HO-1C23 on HO-1 nuclear translocation. Evan's blue staining served as an index of capillary permeability and was detected by fluorescence microscopy at 633nm. Western blotting was also performed to detect tight junction protein expression. The Basso, Beattie and Bresnahan score was used to evaluate kinematic functional recovery through the 28th day after SCI. In this study, the Ad-GFP-HO-1C23 group showed better kinematic functional recovery after SCI than the Ad-GFP and Vehicle groups, as well as smaller reductions in TJ proteins and capillary permeability compared with those in the Ad-GFP and Vehicle groups. These findings indicated that Ad-GFP-HO-1C23 might have a potential therapeutic effect that is mediated by its protection of BSCB integrity.","amino_acids"
"2",0,"Kyle A. Mayr, Charlie H. T. Kwok, Shane E. A. Eaton, Glen B. Baker, Patrick J. Whelan","The Effects of a Ketogenic Diet on Sensorimotor Function in a Thoracolumbar Mouse Spinal Cord Injury Model",2020,"Eneuro","Soc Neuroscience",NA,NA,87,"2021-01-15 17:39:55","Article","10.1523/ENEURO.0178-20.2020","",NA,7,4,NA,NA,0,0,0,5,1,"Spinal cord injury and peripheral nerve injuries are traumatic events that greatly impact quality of life. One factor that is being explored throughout patient care is the idea of diet and the role it has on patient outcomes. But the effects of diet following neurotrauma need to be carefully explored in animal models to ensure that they have beneficial effects. The ketogenic diet provides sufficient daily caloric requirements while being potentially neuroprotective and analgesic. In this study, animals were fed a high-fat, low-carbohydrate diet that led to a high concentration of blood ketone that was sustained for as long as the animals were on the diet. Mice fed a ketogenic diet had significantly lower levels of tyrosine and tryptophan, but the levels of other monoamines within the spinal cord remained similar to those of control mice. Mice were fed a standard or ketogenic diet for 7 d before and 28 d following the injury. Our results show that mice hemisected over the T10-T11 vertebrae showed no beneficial effects of being on a ketogenic diet over a 28 d recovery period. Similarly, ligation of the common peroneal and tibial nerve showed no differences between mice fed normal or ketogenic diets. Tests included von Frey, open field, and ladder-rung crossing. We add to existing literature showing protective effects of the ketogenic diet in forelimb injuries by focusing on neurotrauma in the hindlimbs. The results suggest that ketogenic diets need to be assessed based on the type and location of neurotrauma.","amino_acids"
"3",0,"Jinxing Shi, Siyuan Wang, Qingfeng Ke, Jianhua Lin, Yuhui Zheng, Shiqiang Wu, Zida Huang, Wenping Lin","T1R1/T1R3 Taste Receptor Suppresses Granulocyte-Mediated Neuroinflammation after Spinal Cord Injury",2017,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,88,"2021-01-15 17:39:55","Article","10.1089/neu.2016.4952","0897-7151",NA,34,15,2353,2363,0,0,0,8,4,"As an active and predominant blood leukocyte population, granulocytes infiltrate into injured spinal cord and produce pro-inflammatory mediators to aggravate neuroinflammation. In the current study, we identify the role of the T1R1/T1R3 receptor in granulocyte-mediated neuroinflammation in a rat spinal cord injury (SCI) model. We found that T1R1 and T1R3 were substantially expressed in both circulating and infiltrating granulocytes. In vitro stimulation of T1R1/T1R3 receptor with L-serine notably reduced production of reactive oxygen species (ROS) and several pro-inflammatory cytokines. To evaluate the role of T1R1/T1R3 receptor in vivo, gurmarin, a selective T1R3 inhibitor, was injected into rats before and after SCI. Gurmarin administration significantly upregulated expression of interleukin (IL)-1 beta, IL-6, myeloperoxidase, and matrix metallopeptidase 9, as well as production of ROS in infiltrating granulocytes. Signal pathway analysis revealed that gurmarin promoted nuclear factor (NF)-kappa beta signaling in infiltrating granulocytes. Consistently, cell apoptosis and inflammatory mediator levels at the injury sites were increased by gurmarin, together with higher T lymphocyte recruitment. Our research indicates that the T1R1/T1R3 receptor is an anti-inflammatory receptor for infiltrating granulocytes after SCI. Simulation of T1R1/T1R3 receptor might be a prospective, or at least a supplemental, therapeutic approach to controlling neuroinflammation to promote functional recovery.","amino_acids"
"4",1,"David Reigada, Andres Angel Calderon-Garcia, Manuel Soto-Catalan, Manuel Nieto-Diaz, Teresa Munoz-Galdeano, Angela del Aguila, Rodrigo M. Maza","MicroRNA-135a-5p reduces P2X(7)-dependent rise in intracellular calcium and protects against excitotoxicity",2019,"Journal Of Neurochemistry","Wiley",NA,NA,84,"2021-01-15 17:39:55","Article","10.1111/jnc.14700","0022-3042",NA,151,1,116,130,1,0.5,0,7,2,"Excitotoxic cell death because of the massive release of glutamate and ATP contributes to the secondary extension of cellular and tissue loss following traumatic spinal cord injury (SCI). Evidence from blockage experiments suggests that over-expression and activation of purinergic receptors, especially P2X(7), produces excitotoxicity in neurodegenerative diseases and trauma of the central nervous system. We hypothesize that the down-regulation of specific miRNAs after the SCI contributes to the over-expression of P2X(7) and that restorative strategies can be used to reduce the excitotoxic response. In the present study, we have employed bioinformatic analyses to identify microRNAs whose down-regulation following SCI can be responsible for P2X(7) over-expression and excitotoxic activity. Additional luciferase assays validated microRNA-135a-5p (miR-135a) as a posttranscriptional modulator of P2X(7). Moreover, gene expression analysis in spinal cord samples from a rat SCI model confirmed that the decrease in miR-135a expression correlated with P2X(7) over-expression after injury. Transfection of cultures of Neuro-2a neuronal cell line with a miR-135a inhibitory sequences (antagomiR-135a), simulating the reduction of miR-135a observed after SCI, resulted in the increase of P2X(7) expression and the subsequent ATP-dependent rise in intracellular calcium concentration. Conversely, a restorative strategy employing miR-135a mimicked reduced P2X(7) expression, attenuating the increase in intracellular calcium concentration that depends on this receptor and protecting cells from excitotoxic death. Therefore, we conclude that miR-135a is a potential therapeutic target for SCI and that restoration of its expression may reduce the deleterious effects of ATP-dependent excitotoxicity induced after a traumatic spinal cord injury.","amino_acids"
"5",1,"M Schwartz","Vaccination for T cell-mediated neuroprotection: Dream or reality?",2000,"Drug Development Research","Wiley-Liss",NA,NA,85,"2021-01-15 17:39:55","Article","10.1002/1098-2299(200007/08)50:3/4<223::AID-DDR5>3.0.CO;2-3","0272-4391",NA,50,3,223,225,1,0.05,1,1,21,"Degenerative diseases of the central nervous system (CNS) are characterized by progressive degeneration, which continues even after the primary causative factor has been identified and neutralized or removed. The progressive degeneration is thought to be a self perpetuating process, attributable in part to factors derived from the degenerating nerves themselves. If this is so, the mediators of toxicity causing secondary degeneration in the various degenerative diseases are likely to be similar. Common mediators include excitatory amino acids, compounds that cause oxidative or metabolic stress, and factors that disturb the ionic balance of the nerve's extracellular milieu. It is proposed here, based on recent work by the author and by others on CNS trauma and autoimmunity, as well as on accumulated information about the professional role of the adaptive and the immune response in general, that active or passive T cell-mediated autoimmunity directed against self-antigens associated with the disorder will be beneficial in halting the spread of damage. Drug Dev. Res. 50:223-225, 2000. (C) 2000 Wiley-Liss, Inc.","amino_acids"
"6",2,"Daniel Sobrido-Camean, Blanca Fernandez-Lopez, Natividad Pereiro, Anunciacion Lafuente, Maria Celina Rodicio, Anton Barreiro-Iglesias","Taurine Promotes Axonal Regeneration after a Complete Spinal Cord Injury in Lampreys",2020,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,80,"2021-01-15 17:39:55","Article","10.1089/neu.2019.6604","0897-7151",NA,37,6,899,903,2,2,0,6,1,"Taurine is one of the most abundant free amino acids in the brain. It is well known that taurine protects the brain from further damage after a traumatic event. However, only a few ex vivo studies have looked at the possible role of taurine in the regulation of axon regeneration after injury. Here, we aimed to reveal the possible role for taurine in the modulation of axonal regeneration following a complete spinal cord injury (SCI) using lampreys as an animal model. The brainstem of lampreys contains several individually identifiable descending neurons that differ greatly in their capacity for axonal regeneration after SCI. This offers a convenient model to promote or inhibit axonal regrowth in the same in vivo preparation. First, we carried out high performance liquid chromatography experiments to measure taurine levels in the spinal cord following SCI. Our results revealed a statistically significant increase in taurine levels 4 weeks post-lesion, which suggested that taurine might have a positive effect on axonal regrowth. Based on these results, we decided to apply an acute taurine treatment at the site of injury to study its effect on axon regeneration. Results from these experiments show that an acute taurine treatment enhances axonal regeneration following SCI in lampreys. This offers a novel way to try to promote axon regeneration after nervous system injuries in mammalian models.","amino_acids"
"7",2,"Wen-Zhan Tu, Wen-Ci Chen, Wan Xia, Rong He, Jie Hu, Ming-Chen Jiang, Song-He Jiang","The regulatory effect of electro-acupuncture on the expression of NMDA receptors in a SCI rat model",2017,"Life Sciences","Pergamon-Elsevier Science Ltd",NA,NA,82,"2021-01-15 17:39:55","Article","10.1016/j.lfs.2017.04.004","0024-3205",NA,177,NA,8,14,2,0.5,0,7,4,"Background: In early spinal cord injury (SCI), glutamate receptors, including N-methyl-D-aspartate (NMDA) receptors (NMDARs), are over-stimulated by excessively released glutamate. The enhanced activity of NMDARs may cause cell death by overloading calcium (Ca2+) into cells based on their high permeability to Ca2+. Studies in SCI animals have shown that treatment with electro-acupuncture (EA) is able to reduce cell death and to improve functional recovery. One possible mechanism of this neuroprotective effect is that EA has regulatory effect on NMDARs.","amino_acids"
"8",2,"Klka Singh, Rajeshwar Nath Srivastava, Ashok Agrahari, Suruchi Singh, Saloni Raj, Tanushri Chatterji, Abbas Ali Mandi, Ravindra Kumar Garg, Raja Roy","Proton NMR based serum metabolic profile correlates with the neurological recovery in treated acute spinal cord injury (ASCI) subjects: A pilot study",2018,"Clinica Chimica Acta","Elsevier Science Bv",NA,NA,83,"2021-01-15 17:39:55","Article","10.1016/j.cca.2018.02.011","0009-8981",NA,480,NA,150,160,2,0.67,0,9,3,"Background: Acute Spinal Cord Injury (ASCI) is still having substantial morbidity and mortality despite of advanced therapeutics. Major obstacles are paucity of monitoring tools or biomarkers for severity determination, recovery and prognostication. A prospective case control pilot study with serum H-1 NMR spectroscopic metabolic profiling was carried out to evaluate metabolites perturbations and its relationship with recovery and to see role of stem cells in facilitating neurological recovery.","amino_acids"
"9",3,"A Privat","Pathophysiology and treatment of spinal cord injury",2005,"Bulletin De L Academie Nationale De Medecine","Elsevier Masson Sas Editeur",NA,NA,78,"2021-01-15 17:39:55","Article","10.1016/S0001-4079(19)33474-0","0001-4079",NA,189,6,1109,1117,3,0.19,3,1,16,"Spinal cord injury can lead to devastating functional disability. Pathophysiological studies show that, very early after the initial trauma, secondary damage is caused by toxic phenomena involving excitatory amino acids (excitotoxicity). The use of specific antagonists can attenuate this secondary damage in marine models. However, the kinetics of this phenomenon must be precisely documented before launching clinical trials of multidrug therapy. Axonal regeneration, previously considered impossible within the mammalian central nervous system, depends on appropriate control of glial reactivity. This may be achieved through gene therapy (si RNA) targeting glial obstacles. Finally, the existence in the spinal cord of autonomous centers such as the locomotor CPG suggests that cell therapy-based approaches may also be effective.","amino_acids"
"10",3,"JP Yang, G Robak, DX Liu, DJ McAdoo","A sampling artifact in the microdialysis study of changes in extracellular [Mg2+] upon spinal cord injury",1997,"Analytical Biochemistry","Academic Press Inc Jnl-Comp Subscriptions",NA,NA,81,"2021-01-15 17:39:55","Article","10.1006/abio.1996.9972","0003-2697",NA,245,2,203,206,3,0.13,1,4,24,"Whether depletion of a substance from the extracellular fluid by removal through the dialysis probe can affect the measured efflux of that substance into the extracellular fluid upon injury is examined. When Mg2+-free artificial cerebrospinal fluid was used to perfuse the microdialysis fiber, a significant increase in collected Mg2+ was observed immediately following injury. However, when [Mg2+] inside the fiber was equal to the basal concentration in the extracellular fluid, no increase in [Mg2+] was detected. The difference between the two sets of results is attributed to efflux down an increased intracellular/extracellular [Mg2+] gradient that occurs when the basal extracellular concentration is not balanced within the fiber, but not otherwise. This is a previously unreported problem with microdialysis. (C) 1997 Academic Press.","amino_acids"
