"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",3,"Catherine L. Bradley, Diane L. Damiano","Effects of Dopamine on Motor Recovery and Training in Adults and Children With Nonprogressive Neurological Injuries: A Systematic Review",2019,"Neurorehabilitation And Neural Repair","Sage Publications Inc",NA,NA,13,"2021-01-15 18:00:04","Review","10.1177/1545968319837289","1545-9683",NA,33,5,331,344,3,1.5,2,2,2,"Background. The strong link between dopamine and motor learning has been well-established in the animal literature with similar findings reported in healthy adults and the elderly. Objective. We aimed to conduct the first, to our knowledge, systematic review of the literature on the evidence for the effects of dopaminergic medications or genetic variations in dopamine transmission on motor recovery or learning after a nonprogressive neurological injury. Methods. A PubMed search was conducted up until April 2018 for all English articles including participants with nonprogressive neurological injury such as cerebral palsy, stroke, spinal cord injury, and traumatic brain injury; quantitative motor outcomes; and assessments of the dopaminergic system or medications. Results. The search yielded 237 articles, from which we identified 26 articles meeting all inclusion/exclusion criteria. The vast majority of articles were related to the use of levodopa poststroke; however, several studies assessed the effects of different medications and/or were on individuals with traumatic brain injury, spinal cord injury or cerebral palsy. Conclusions. The evidence suggests that a brain injury can decrease dopamine transmission and that levodopa may have a positive effect on motor outcomes poststroke, although evidence is not conclusive or consistent. Individual variations in genes related to dopamine transmission may also influence the response to motor skill training during neurorehabilitation and the extent to which dopaminergic medications or interventions can augment that response. More rigorous safety and efficacy studies of levodopa and dopaminergic medications in stroke and particularly other neurological injuries including genetic analyses are warranted.","amphetamine"
"2",5,"Jamie K. Wong, Oswald Steward","One day of motor training with amphetamine impairs motor recovery following spinal cord injury",2012,"Experimental Neurology","Academic Press Inc Elsevier Science",NA,NA,12,"2021-01-15 18:00:04","Article","10.1016/j.expneurol.2011.08.011","0014-4886",NA,233,2,693,707,5,0.56,3,2,9,"It has previously been reported that a single dose of amphetamine paired with training on a beam walking task can enhance locomotor recovery following brain injury (Feeney et al., 1982). Here, we investigated whether this same drug/training regimen could enhance functional recovery following either thoracic (T9) or cervical (C5) spinal cord injury. Different groups of female Sprague-Dawley rats were trained on a beam walking task, and in a straight alley for assessment of hindlimb locomotor recovery using the BBB locomotor scale. For rats that received C5 hemisections, forelimb grip strength was assessed using a grip strength meter. Three separate experiments assessed the consequences of training rats on the beam walking task 24 h following a thoracic lateral hemisection with administration of either amphetamine or saline. Beginning 1 h following drug administration, rats either received additional testing/retraining on the beam hourly for 6 h, or they were returned to their home cages without further testing/retraining. Rats with thoracic spinal cord injuries that received amphetamine in conjunction with testing/retraining on the beam at 1 day post injury (DPI) exhibited significantly impaired recovery on the beam walking task and BBB. Rats with cervical spinal cord injuries that received training with amphetamine also exhibited significant impairments in beam walking and locomotion, as well as impairments in gripping and reaching abilities. Even when administered at 14 DPI, the drug/training regimen significantly impaired reaching ability in cervical spinal cord injured rats. Impairments were not seen in rats that received amphetamine without training. Histological analyses revealed that rats that received training with amphetamine had significantly larger lesions than saline controls. These data indicate that an amphetamine/training regimen that improves recovery after cortical injury has the opposite effect of impairing recovery following spinal cord injury because early training with amphetamine increases lesion severity. (C) 2011 Elsevier Inc. All rights reserved.","amphetamine"
"3",6,"Laura Krisa, Kelly L. Frederick, John C. Canver, Scott K. Stackhouse, Jed S. Shumsky, Marion Murray","Amphetamine-Enhanced Motor Training after Cervical Contusion Injury",2012,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,11,"2021-01-15 18:00:04","Article","10.1089/neu.2011.1767","0897-7151",NA,29,5,971,989,6,0.67,1,6,9,"Individually, motor training, pharmacological interventions, and housing animals in an enriched environment (EE) following spinal cord injury (SCI) result in limited functional improvement but, when combined, may enhance motor function. Here, we tested amphetamine (AMPH)-enhanced skilled motor training following a unilateral C3-C4 contusion injury on the qualitative components of reaching and on skilled forelimb function, as assessed using single-pellet and staircase reaching tasks. Kinematic analysis evaluated the quality of the reach, and unskilled locomotor function was also tested. Animals receiving AMPH and skilled forelimb training performed better than operated control animals on qualitative reaching, but not on skilled reaching. Those that received the combination treatment and were housed in EE cages showed significantly less improvement in qualitative reaching and grasping. Kinematic analysis revealed a decrease in digit abduction during skilled reaching among all groups, with no differences among groups. Kinematics provided no evidence that improved function was related to improved quality of reach. There was no evidence of neuroprotection in the cervical spinal cord. The absence of evidence for kinematic improvement or neuroprotection suggested that AMPH-enhanced motor training is due primarily to supraspinal effects, an enhancement of attention during skilled motor training, or plasticity in supraspinal circuitry involved with motor control.","amphetamine"
"4",7,"Hao Liu, Robert D. Skinner, Ahmad Arfaj, Charlotte Yates, Nancy B. Reese, Keith Williams, Edgar Garcia-Rill","L-Dopa effect on frequency-dependent depression of the H-reflex in adult rats with complete spinal cord transection",2010,"Brain Research Bulletin","Pergamon-Elsevier Science Ltd",NA,NA,10,"2021-01-15 18:00:04","Article","10.1016/j.brainresbull.2010.07.005","0361-9230",NA,83,5,262,265,7,0.64,1,7,11,"This study investigated whether L-dopa (DOPA) locomotor-like passive exercise (Ex) using a motorized bicycle exercise trainer (MBET) or their combination in adult rats with complete spinal cord transection (Tx) preserves and restores low frequency-dependent depression (FDD) of the H-reflex Adult Sprague-Dawley rats (n = 56) transected at T8-9 had one of five treatments beginning 7 days after transection Tx (transection only) Tx + Ex Tx + DOPA Tx + Ex + DOPA and control (Ctl no treatment) groups After 30 days of treatment FDD of the H-reflex was tested Stimulation of the tibial nerve at 02 1 5 and 10 Hz evoked an H-reflex that was recorded from plantar muscles of the hind paw No significant differences were found at the stimulation rate of 1 Hz However at 5 Hz FDD of the H-reflex in the Tx + Ex Tx + DOPA and Ctl groups was significantly different from the Tx group (p < 0 01) At 10 Hz all of the treatment groups were significantly different from the Tx group (p < 0 01) No significant difference was identified between the Ctl and any of the treatment groups These results suggest that DOPA significantly preserved and restored FDD after transection as effectively as exercise alone or exercise in combination with DOPA Thus there was no additive benefit when DOPA was combined with exercise (C) 2010 Elsevier Inc All rights reserved","amphetamine"
"5",9,"Oliver Maric, Bjoern Zoerner, Volker Dietz","Levodopa Therapy in Incomplete Spinal Cord Injury",2008,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,9,"2021-01-15 18:00:04","Article","10.1089/neu.2008.0583","0897-7151",NA,25,11,1303,1307,9,0.69,3,3,13,"We studied the influence of levodopa (L-Dopa) on training effects in subjects with spinal cord injury (SCI). A low-dose of L-Dopa per day is known to enhance the effects of physical training after stroke. This is tested here in subjects suffering a SCI. Twelve subacute, incomplete SCI (iSCI) subjects (ASIA C and D) were randomized in a trial with a double-blind, crossover design to receive 6 weeks of L-Dopa (200 mg), followed by 6 weeks of placebo, or vice versa. Outcome measures were ASIA Motor-Score (AMS) reflecting motor recovery; walking ability, assessed by the Walking Index of Spinal Cord Injury (WISCI); and Activities of Daily Living (ADL), as monitored by the Spinal Cord Independence Measure (SCIM). Both placebo and L-Dopa, in combination with physiotherapy, produced a significant motor recovery after SCI. The combination of L-Dopa and physiotherapy had no greater effect on the outcome than placebo and physiotherapy. The possible reasons for the different effect of L-Dopa in stroke and iSCI subjects are discussed.","amphetamine"
"6",20,"Ashish P. Bharne, Manoj A. Upadhya, Gajanan P. Shelkar, Praful S. Singru, Nishikant K. Subhedar, Dadasaheb M. Kokare","Neuroprotective effect of cocaine- and amphetamine-regulated transcript peptide in spinal cord injury in mice",2013,"Neuropharmacology","Pergamon-Elsevier Science Ltd",NA,NA,8,"2021-01-15 18:00:04","Article","10.1016/j.neuropharm.2012.10.028","0028-3908",NA,67,NA,126,135,20,2.5,3,6,8,"We explored the effect of cocaine- and amphetamine-regulated transcript peptide (CART), alone and in combination with methylprednisolone (MP), on the cellular pathology and locomotor recovery of mice following spinal cord injury (SCI). While cellular pathology was evaluated in terms of spinal cord histology and profile of astrocytes following immunolabeling with antibodies against glial fibrillary acidic protein (GFAP), locomotor recovery was monitored using hindlimb motor function scoring system. At 24 h post-SCI, there was a massive loss of motor function and cysts formation in the spinal cord. The SCI mice, following 3 days and onwards, showed a significant (P < 0.001) increase in the population and hypertrophy of GFAP + astrocytes, suggesting the occurrence of reactive astrogliosis. Intra-fourth ventricular administration of CART (54-102) or intravenous treatment with MP, dose dependently improved motor function score, while CART-antibody (intra-fourth ventricular) was ineffective. This neuroprotective effect of MP was potentiated by the subeffective dose of CART and antagonized by CART-antibody. CART or MP treatment not only prevented the cysts formation, but also significantly attenuated the population of GFAP + astrocytes at days 3, 7, 14, 21 and 28 post-SCI and the hypertrophy of astrocytes at day 14 and 28. The histological consequence of SCI, like cysts formation in the spinal cord, was rapidly improved by CART and/or MP. Taken together, the data suggest that CART may exert its neuroprotective effect via inhibition of post-SCI astrogliosis and participate in the MP mediated neuroprotection. (C) 2012 Elsevier Ltd. All rights reserved.","amphetamine"
"7",27,"Michelle M. Rank, Xiaole Li, David J. Bennett, Monica A. Gorassini","Role of endogenous release of norepinephrine in muscle spasms after chronic spinal cord injury",2007,"Journal Of Neurophysiology","Amer Physiological Soc",NA,NA,7,"2021-01-15 18:00:04","Article","10.1152/jn.01168.2006","0022-3077",NA,97,5,3166,3180,27,1.93,7,4,14,"The recovery of persistent inward currents (PICs) and motoneuron excitability after chronic spinal cord transection is mediated, in part, by the development of super-sensitivity to residual serotonin (5HT) below the lesion. The purpose of this paper is to investigate if, like 5HT, endogenous sources of norepinephrine (NE) facilitate motoneuron PICs after chronic spinal transection. Cutaneous-evoked reflex responses in tail muscles of awake chronic spinal rats were measured after increasing presynaptic release of NE by administration of amphetamine. An increase in long-lasting reflexes, known to be mediated by the calcium component of the PIC (CaPIC), was observed even at low doses (0.1-0.2 mg/kg) of amphetamine. These findings were repeated in a reduced S2 in vitro preparation, demonstrating that the increased long-lasting reflexes by amphetamine were neural. Under intracellular voltage clamp, amphetamine application led to a large facilitation of the motoneuron CaPIC. This indicates that the increases in long-lasting reflexes induced by amphetamine in the awake animal were, in part, due to actions directly on the motoneuron. Reflex responses in acutely spinal animals were facilitated by amphetamine similar to chronic animals but only at doses that were ten times greater than that required in chronic animals (0.2 mg/kg chronic vs. 2.0 mg/kg acute), pointing to a development of supersensitivity to endogenous NE in chronic animals. In summary, the increases in long-lasting reflexes and associated motoneuron CaPICs by amphetamine are likely due to an increased release of endogenous NE, which motoneurons become supersensitive to in the chronic stages of spinal cord injury.","amphetamine"
"8",31,"Yunju Jin, Sarah E. Dougherty, Kevin Wood, Landy Sun, Robert H. Cudmore, Aya Abdalla, Geetha Kannan, Mikhail Pletnikov, Parastoo Hashemi, David J. Linden","Regrowth of Serotonin Axons in the Adult Mouse Brain Following Injury",2016,"Neuron","Cell Press",NA,NA,6,"2021-01-15 18:00:04","Article","10.1016/j.neuron.2016.07.024","0896-6273",NA,91,4,748,762,31,6.2,3,10,5,"It is widely believed that damaged axons in the adult mammalian brain have little capacity to regrow, thereby impeding functional recovery after injury. Studies using fixed tissue have suggested that serotonin neurons might be a notable exception, but remain inconclusive. We have employed in vivo two-photon microscopy to produce time-lapse images of serotonin axons in the neocortex of the adult mouse. Serotonin axons undergo massive retrograde degeneration following amphetamine treatment and subsequent slow recovery of axonal density, which is dominated by new growth with little contribution from local sprouting. A stab injury that transects serotonin axons running in the neocortex is followed by local regression of cut serotonin axons and followed by regrowth from cut ends into and across the stab rift zone. Regrowing serotonin axons do not follow the pathways left by degenerated axons. The regrown axons release serotonin and their regrowth is correlated with recovery in behavioral tests.","amphetamine"
"9",33,"Shubha Shukla, Rajnish Kumar Chaturvedi, Kavita Seth, Neeta Singh Roy, Ashok Kumar Agrawal","Enhanced survival and function of neural stem cells-derived dopaminergic neurons under influence of olfactory ensheathing cells in parkinsonian rats",2009,"Journal Of Neurochemistry","Wiley",NA,NA,5,"2021-01-15 18:00:04","Article","10.1111/j.1471-4159.2009.05983.x","0022-3042",NA,109,2,436,451,33,2.75,7,5,12,"Transplantation of neural stem cell (NSC)-derived dopamine (DA) neurons is associated with low survival of cells, which could be due to limited striatal innervations and uneven distribution of graft because of its dense neuronal core, limited host-graft interaction, poor axonal outgrowth, lack of continuous neurotrophic factors supply, and an absence of cell adhesion molecules mediated appropriate developmental cues. Olfactory ensheathing cells (OEC) express a variety of growth factors and cell adhesion molecules and promote axonal regrowth and functional recovery in spinal cord injury in animal models and patients. In the present study, we explored the possibility to increase the survival, function, axonal outgrowth and striatal reinnervation of NSC by co-grafting with OEC in 6-OHDA lesioned parkinsonian rats. In the presence of OEC, significantly enhanced survival of NSC-derived DA neurons and axonal fiber outgrowth was evident in the striatum of NSC+OEC co-grafted rats at 24 weeks post-grafting as compared with NSC alone grafted rats. The increased survival of NSC and their striatal reinnervation was further manifested in the form of significant and substantial restitution of motor function and neurochemical recovery in the co-grafted group. Significant enhanced expression of p75NTR (from OEC) and tyrosine hydroxylase (TH) (from NSC) confirmed the co-localization and survival of both types of cells at the transplantation site in co-grafted rats. Co-grafting results co-related well with our in vitro studies, which suggest that OEC not only significantly increase survival, neurite outgrowth and DA release of NSC-derived DA neuron but also protect against 6-OHDA neurotoxicity in co-culture conditions. These results collectively suggest that OEC increase the survival and function of transplanted NSC in 6-OHDA lesioned parkinsonian rats.","amphetamine"
"10",39,"S Johansson, IH Lee, L Olson, C Spenger","Olfactory ensheathing glial co-grafts improve functional recovery in rats with 6-OHDA lesions",2005,"Brain","Oxford Univ Press",NA,NA,4,"2021-01-15 18:00:04","Review","10.1093/brain/awh644","0006-8950",NA,128,NA,2961,2976,39,2.44,10,4,16,"Olfactory ensheathing cells (OEC) transplanted to the site of a spinal cord injury can promote axonal sparing/regeneration and functional recovery. The purpose of this study was to investigate if OEC enhance the effects of grafted dopamine-neuron-rich ventral mesencephalic tissue (VM) in a rodent model of Parkinson's disease. We co-grafted VM with either OEC or astrocytes derived from the same olfactory bulbs as the OEC to rats with a unilateral 6-hydroxydopamine lesion of the nigrostriatal system. Co-grafting fetal VM with OEC, but not with astrocytes enhanced dopamine cell survival, striatal reinnervation and functional recovery of amphetamine- and apomorphine-induced rotational behaviour compared with grafting embryonic VM alone. Grafting OEC or astrocytes alone had no effects. Intriguingly, only in the presence of OEC co-grafts, did dopamine neurons extend strikingly long neurites that reached peripheral striatal compartments. Comparable results were observed in a co-culture system where OEC promoted dopamine cell survival and neurite elongation through a mechanism involving both releasable factors and direct contact. Cell type analysis of fetal VM grafts suggested that dopamine neurons of the substantia nigra rather than of the ventral tegmental area were increased in the presence of OEC co-grafts. We conclude that the addition of OEC enhances efficacy of grafted immature dopamine neurons in a rat Parkinson's disease model.","amphetamine"
