"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",2,"Hamid Namazi, Mohammad Jafar Emami, Fatemeh Dehghani Nazhvani, Ali Dehghani Nazhvani","Simvastatin vs. L-Carnitine: An Experimental Study on Optimizing Nerve Repair",2019,"Turkish Neurosurgery","Turkish Neurosurgical Soc",NA,NA,17,"2021-01-15 18:06:50","Article","10.5137/1019-5149.JTN.25821-19.2","1019-5149",NA,29,5,710,717,2,1,1,4,2,"AIM: To assay the effects of simvastatin and L-carnitine on peripheral nerve repair.","atorvastatin"
"2",3,"Cheng-Loong Liang, Han-Jung Chen, Po-Chou Liliang, Hao-Kuang Wang, Yu-Duan Tsai, Chung-Lung Cho, Kang Lu, Kuo-Wei Wang","Simvastatin and Simvastatin-Ezetimibe Improve the Neurological Function and Attenuate the Endothelial Inflammatory Response after Spinal Cord Injury in Rat",2019,"Annals Of Clinical And Laboratory Science","Assoc Clinical Scientists",NA,NA,15,"2021-01-15 18:06:50","Article","","0091-7370",NA,49,1,105,111,3,1.5,0,8,2,"During a spinal cord injury (SCI), mechanical trauma rapidly leads to a blood-spinal cord barrier (BSB) disruption, neural cell damage, axonal damage, and demyelination, followed by a cascade of secondary inflammatory reactions. These inflammatory responses spread the damage to the neural cells and impair the recovery of neurological functions. In the present study, we evaluated the efficacy of simvastatin and a simvastatin-ezetimibe combination therapy in managing the endothelial inflammatory response in an SCI rat model. Adult male Sprague-Dawley rats were group-housed and SCI was induced by using the modified weight-drop method. The animals were divided into 4 groups: (1) sham group, laminectomy only (n=6); (2) no-treatment group, SCI without therapy (n=8); (3) simvastatin group (n=8), and (4) ezetimibe and simvastatin combination therapy group (n=8). A high dose (15 mg/kg) of simvastatin was given to the simvastatin group, and 10 mg/kg simvastatin and 10 mg/kg ezetimibe were given to the combination group. Neurological function was assessed using the Basso, Beattie, and Bresnahan locomotor scale score. Intercellular adhesion molecule-1 (ICAM-1) level was used as an SCI biomarker. ICAM-1 level was the highest at 72 hours after SCI in the no-treament group. The treatment groups showed significant reduction in ICAM-1 levels at 72 hours. The treatment groups, especially the combination treatment group, showed better neurological function scores. Simvastatin and simvastatin- ezetimibe all could improve the neurological function and attenuate the endothelial inflammatory response after spinal cord injury in rat.","atorvastatin"
"3",3,"Mohammad Ebrahim Astaneh, Arash Goodarzi, Mehdi Khanmohammadi, Ameneh Shokati, Sanam Mohandesnezhad, Mohammad Reza Ataollahi, Sohrab Najafipour, Morteza Sagharjoghi Farahani, Jafar Ai","Chitosan/gelatin hydrogel and endometrial stem cells with subsequent atorvastatin injection impact in regenerating spinal cord tissue",2020,"Journal Of Drug Delivery Science And Technology","Elsevier",NA,NA,16,"2021-01-15 18:06:50","Article","10.1016/j.jddst.2020.101831","1773-2247",NA,58,NA,NA,NA,3,3,0,9,1,"Central nervous system trauma can cause loss of functional sensory neurons and motor functions that results in death of neuronal cells and axon degeneration. For this purpose, therapeutic approaches to enhance repair mechanisms spinal cord injury (SCI) is reflected to be a difficult task that requires thoughtful strategy. Hydrogel scaffolds in the presence of stem cells could repair damaged SCI due to their ability to support cellular viability, motility, and differentiation. In this study, we investigated the effectiveness of a biomimetic composite hydrogel of chitosan and gelatin containing endometrial stem cells (EnSCs) as a minimally invasive treatment of SCI in an animal model. Moreover, the simultaneous, effect of intraperitoneal injection of atorvastatin drug was assessed for animal models. From the results, morphological and cell viability studies demonstrated favorable seeding microenvironment and viability in the hydrogel. The transplanted hydrogel containing EnSCs into hemisected SCI rats showed recovery of sensory and motor functions by confirming locomotor activity evaluation using Basso, Beattie, and Bresnahan test. The growth of neuronal cells confirmed with immunohistochemical study. The findings in this study suggested that combination therapy using biomimetic hydrogel seeded with stem cells as well as atorvastatin injection has the potential to heal SCI through neuroinflammation attenuation, im-provement of functional recovery, and limit the secondary damages.","atorvastatin"
"4",5,"Frederic-Charles Cloutier, Dominique M. Rouleau, Jonah Hebert-Davies, Pierre H. Beaumont, Eric Beaumont","Atorvastatin is beneficial for muscle reinnervation after complete sciatic nerve section in rats",2013,"Journal Of Plastic Surgery And Hand Surgery","Taylor & Francis Ltd",NA,NA,14,"2021-01-15 18:06:50","Article","10.3109/2000656X.2013.778205","2000-656X",NA,47,6,446,450,5,0.63,1,5,8,"Nerve regeneration and functional recovery are often incomplete after peripheral neurotmetic lesion. Atorvastatin has been shown to be neuroprotective after transient ischaemia or traumatic injury. The aim of this study was to establish if systemic administration of Atorvastatin could improve functional muscle reinnervation after complete sciatic nerve section. Sixteen female Sprague-Dawley rats were used in this study. After a complete right sciatic nerve section, end-to-end microsuture repair was performed and fibrin glue was added. Three groups were studied: (1) sutures (S) + fibrin glue (F) only + saline administration for 14 days; (2) S+F+Atorvastatin administration for 14 days; and (3) uninjured nerve. Five months later, the sciatic nerve and the gastrocnemius muscle were isolated to perform in vivo electrophysiological measurements. Better kinematics was observed in atorvastatin-treated rats 5 months after its administration. Indeed, a larger excursion of the hip-ankle-toe angle during walking was observed. This effect was associated with the preservation of electromyographic activity (2.91 mV vs 0.77 mV) and maximal muscle force (85.1 g vs 28.6 g) on stimulation of the proximal nerve section. Five months after a neurotmetic lesion, the recovery is incomplete when using suture and fibrin glue only. Furthermore, the systemic administration of Atorvastatin for 14 days after lesion was beneficial in improving locomotion capability associated with the re-establishment of muscle strength and EMG activity.","atorvastatin"
"5",6,"Osman Arikan Nacar, Hakan Eroglu, Nuri Eralp Cetinalp, Guner Menekse, Ali Erdem Yildirim, Ozhan Merzuk Uckun, Ergun Daglioglu, Omer Faruk Turkoglu, Ahmet Deniz Belen","Systemic Administration of Atorvastatin Improves Locomotor Functions and Hyperacute-Acute Response After Experimental Spinal Cord Injury: An Ultrastructural and Biochemical Analysis",2014,"Turkish Neurosurgery","Turkish Neurosurgical Soc",NA,NA,12,"2021-01-15 18:06:50","Article","10.5137/1019-5149.JTN.8131-13.1","1019-5149",NA,24,3,337,343,6,0.86,1,9,7,"AIM: Spinal cord injury (SCI) is characterized by posttraumatic inflammatory cascades including excitotoxicity, oxidative stress, and apoptosis. Agents against neuroinflammation are the current scope of studies on experimental SCI with promising results.","atorvastatin"
"6",6,"Katarina Bimbova, Maria Bacova, Alexandra Kisucka, Jaroslav Pavel, Jan Galik, Peter Zavacky, Martin Marsala, Andrea Stropkovska, Jana Fedorova, Stefania Papcunova, Jana Jachova, Nadezda Lukacova","A Single Dose of Atorvastatin Applied Acutely after Spinal Cord Injury Suppresses Inflammation, Apoptosis, and Promotes Axon Outgrowth, Which Might Be Essential for Favorable Functional Outcome",2018,"International Journal Of Molecular Sciences","Mdpi",NA,NA,13,"2021-01-15 18:06:50","Article","10.3390/ijms19041106","1661-6596",NA,19,4,NA,NA,6,2,1,12,3,"The aim of our study was to limit the inflammatory response after a spinal cord injury (SCI) using Atorvastatin (ATR), a potent inhibitor of cholesterol biosynthesis. Adult Wistar rats were divided into five experimental groups: one control group, two Th9 compression (40 g/15 min) groups, and two Th9 compression + ATR (5 mg/kg, i.p.) groups. The animals survived one day and six weeks. ATR applied in a single dose immediately post-SCI strongly reduced IL-1 beta release at 4 and 24 h and considerably reduced the activation of resident cells at one day post-injury. Acute ATR treatment effectively prevented the excessive infiltration of destructive M1 macrophages cranially, at the lesion site, and caudally (by 66%, 62%, and 52%, respectively) one day post-injury, whereas the infiltration of beneficial M2 macrophages was less affected (by 27%, 41%, and 16%). In addition, at the same time point, ATR visibly decreased caspase-3 cleavage in neurons, astrocytes, and oligodendrocytes. Six weeks post-SCI, ATR increased the expression of neurofilaments in the dorsolateral columns and Gap43-positive fibers in the lateral columns around the epicenter, and from day 30 to 42, significantly improved the motor activity of the hindlimbs. We suggest that early modulation of the inflammatory response via effects on the M1/M2 macrophages and the inhibition of caspase-3 expression could be crucial for the functional outcome.","atorvastatin"
"7",7,"Fang Li, Dan Fei, Libo Sun, Sixun Zhang, Yue Yuan, Li Zhang, Kuiming Zhao, Rui Li, Yanbing Yu","Neuroprotective effect of bone marrow stromal cell combination with atorvastatin in rat model of spinal cord injury",2014,"International Journal Of Clinical And Experimental Medicine","E-Century Publishing Corp",NA,NA,11,"2021-01-15 18:06:50","Article","","1940-5901",NA,7,12,4967,4974,7,1,1,9,7,"The aims of this study was to assessed the ability of a combination treatment of bone marrow stromal cell (BMSC) and atorvastatin in a rat model of spinal cord injury (SCI) as an appropriate substitute for current SCI treatments. In the present study, the female Wistar rats were divided into five groups (n = 20) after SCI by New York University Device: SCI, sham, atorvastatin, graft BMSC and graft BMSC plus atorvastatin. Locomotion was assessed using Basso, Beattie and Bresnahan (BBB) test and walking test after SCI. In addition, microvessel density (MVD) was calculated by immunohistochemistry after SCI. We also investigate the vascular endothelial growth factor (VEGF) and brain-derived neurotrophic factor (BDNF) expression level by western blot after drug treatment. The results showed that BBB scores and walking test were increased in atorvastatin plus BMSC group compared to single atorvastatin and BMSC groups (P < 0.05). In addition, MVD also significantly increased in combination group compared to single treatment group. Compared to sole drug, VEGF and BDNF expression were significantly up-regulated in atorvastatin combination with BMSC group (P < 0.05). These results imply that the combined use of atorvastatin and BMSC treatment may represent a promising strategy for clinically applicable pharmacological therapy for initiation of neuroprotection after SCI.","atorvastatin"
"8",9,"Yunus Nazli, Necmettin Colak, Mehmet Fatih Alpay, Sema Uysal, Ali Kemal Uzunlar, Omer Cakir","Neuroprotective effect of atorvastatin in spinal cord ischemia-reperfusion injury",2015,"Clinics","Hospital Clinicas, Univ Sao Paulo",NA,NA,9,"2021-01-15 18:06:50","Article","10.6061/clinics/2015(01)10","1807-5932",NA,70,1,52,60,9,1.5,2,6,6,"OBJECTIVES: Prevention of the development of paraplegia during the repair of the damage caused by descending thoracic and thoracoabdominal aneurysms remains an important issue. Therefore, we investigated the protective effect of atorvastatin on ischemia-induced spinal cord injury in a rabbit model.","atorvastatin"
"9",9,"Mohammad B. Ghayour, Arash Abdolmaleki, Morteza B. Rassouli","Neuroprotective effect of Lovastatin on motor deficit induced by sciatic nerve crush in the rat",2017,"European Journal Of Pharmacology","Elsevier Science Bv",NA,NA,10,"2021-01-15 18:06:50","Article","10.1016/j.ejphar.2017.07.018","0014-2999",NA,812,NA,121,127,9,2.25,3,3,4,"Following severe peripheral nerve injury (PNI), regeneration is often insufficient and functional recovery is incomplete. Any agents that limit the spread of neural tissue damage may enhance the nerve regeneration. In this regard, statins have been shown to have neuroprotective properties. We investigated the effects of Lovastatin against sciatic nerve crush injury in male Wistar Rats. Lovastatin or vehicle was given parenteraly to rats for 7 days postoperative. In Lovastatin treatment groups, a single dose of agent (2 and 5 mg/kg) was administered daily. The control group was given vehicle in the same manner. The rats were subjected to crush injury in the left sciatic nerve with non-serrated clamp for 30 s. Behavioral, electrophysiological and morphological alterations were evaluated during the experimental period. Results showed that Lovastatin in a dose of 5 mg/kg could significantly (P < 0.05) accelerate regeneration process and functional recovery. Also results demonstrated that morphometric parameters such as mean axonal number and myelin thickness were significantly higher in Lovastatin (5 mg/kg) treatment groups compared to controls (P < 0.05). These findings suggest that a short-term course treatment with Lovastatin can protect against sciatic nerve injury. Findings indicate that postoperative administration of Lovastatin led to accelerate regeneration process and motor function recovery in nerve crush model in rats. This effect might be due to the anti-inflammatory, immunomodulatory or anti-oxidative properties of Lovastatin. It is clear that more research is needed to confirm these findings.","atorvastatin"
"10",12,"Shuang Gao, Zhong-ming Zhang, Zhao-liang Shen, Kai Gao, Liang Chang, Yue Guo, Zhuo Li, Wei Wang, Ai-mei Wang","Atorvastatin activates autophagy and promotes neurological function recovery after spinal cord injury",2016,"Neural Regeneration Research","Medknow Publications & Media Pvt Ltd",NA,NA,8,"2021-01-15 18:06:50","Article","10.4103/1673-5374.184498","1673-5374",NA,11,6,977,982,12,2.4,1,9,5,"Atorvastatin, a lipid-lowering medication, provides neuroprotective effects, although the precise mechanisms of action remain unclear. Our previous studies confirmed activated autophagy following spinal cord injury, which was conducive to recovery of neurological functions. We hypothesized that atorvastatin could also activate autophagy after spinal cord injury, and subsequently improve recovery of neurological functions. A rat model of spinal cord injury was established based on the Allen method. Atorvastatin (5 mg/kg) was intraperitoneally injected at 1 and 2 days after spinal cord injury. At 7 days post-injury, western blot assay, reverse transcription-polymerase chain reaction, and terminal deoxynucleotidyl transferase-mediated dUTP nick-end labeling (TUNEL) staining results showed increased Beclin-1 and light chain 3B gene and protein expressions in the spinal cord injury atorvastatin group. Additionally, caspase-9 and caspase-3 expression was decreased, and the number of TUNEL-positive cells was reduced. Compared with the spinal cord injury saline group, Basso, Beattie, and Bresnahan locomotor rating scale scores significantly increased in the spinal cord injury atorvastatin group at 14-42 days post-injury. These findings suggest that atorvastatin activated autophagy after spinal cord injury, inhibited apoptosis, and promoted recovery of neurological function.","atorvastatin"
