"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",3,"NE NAFTCHI","TREATMENT OF MAMMALIAN SPINAL-CORD INJURY WITH ANTIOXIDANTS",1991,"International Journal Of Developmental Neuroscience","Wiley",NA,NA,20,"2021-01-16 12:25:19","Article","10.1016/0736-5748(91)90002-4","0736-5748",NA,9,2,113,126,3,0.1,3,1,30,"After spinal cord injury, two groups of cats were treated with a combination of methyl-prednisolone sodium succinate (MP, 35 mg/kg) and epsilon-aminocaproic acid (EACA, 350 mg/kg), and guanabenz acetate (0.65 mg/kg). Guanabenz acetate was administered twice daily for 8 weeks. In the first group, the treatment significantly increased blood flow in the abdominal aorta. All cats treated with guanabenz acetate 3 hr after spinal cord contusion had return of micturition and none suffered complete paraplegia. Four animals had partial and the other four had complete motor recovery. A superoxide (O2-.) generating system, horseradish peroxidase, decreased [C-14]gamma amino butyric acid uptake by mouse cortical slices by 33% but when superoxide dismutase was added to the medium, the uptake was reduced by only 9%. The nerve endings were also protected by superoxide dismutase from morphologic damage by O2-. as observed by electron microscopy. The agents used in these studies produce their ameliorating effects by virtue of their anti-inflammatory, antioxidant, and membrane stabilizing properties, and enhancing the regional microcirculation. In addition to having these properties, guanabenz acetate is also an alpha2 adrenoceptor agonist.","clonidine"
"2",4,"Jonathan Harnie, Adam Doelman, Emmanuelle de Vette, Johannie Audet, Etienne Desrochers, Nathaly Gaudreault, Alain Frigon","The recovery of standing and locomotion after spinal cord injury does not require task-specific training",2019,"Elife","Elife Sciences Publications Ltd",NA,NA,19,"2021-01-16 12:25:19","Article","10.7554/eLife.50134","2050-084X",NA,8,NA,NA,NA,4,2,1,7,2,"After complete spinal cord injury, mammals, including mice, rats and cats, recover hindlimb locomotion with treadmill training. The premise is that sensory cues consistent with locomotion reorganize spinal sensorimotor circuits. Here, we show that hindlimb standing and locomotion recover after spinal transection in cats without task-specific training. Spinal-transected cats recovered full weight bearing standing and locomotion after five weeks of rhythmic manual stimulation of triceps surae muscles (non-specific training) and without any intervention. Moreover, cats modulated locomotor speed and performed split-belt locomotion six weeks after spinal transection, functions that were not trained or tested in the weeks prior. This indicates that spinal networks controlling standing and locomotion and their interactions with sensory feedback from the limbs remain largely intact after complete spinal cord injury. We conclude that standing and locomotor recovery is due to the return of neuronal excitability within spinal sensorimotor circuits that do not require task-specific activity-dependent plasticity.","clonidine"
"3",6,"RG Kalb","Getting the spinal cord to think for itself",2003,"Archives Of Neurology","Amer Medical Assoc",NA,NA,17,"2021-01-16 12:25:19","Review","10.1001/archneur.60.6.805","0003-9942",NA,60,6,805,808,6,0.33,6,1,18,"Despite the interruption in communication between the brain and lower centers by spinal cord injury, many of the neurons engaged in generating locomotion survive. Several strategies have been used to activate spinal cord circuitry independent of the higher centers, including direct electrical stimulation, pharmacological agents, and training programs that involve moving the legs through the motions of walking. Ambulatory leg movements are achieved by these interventions, leading to substantial functional improvements in the subset of patients with incomplete spinal cord injury. The neurobiological basis for these phenomena likely involves activity-dependent reconfiguration of synaptic connections within the spinal cord. Fostering this process may lead to further benefits for individuals with spinal cord injury.","clonidine"
"4",6,"Jae Hwan Kim, Jae Young Kim, Chin Hee Mun, Minah Suh, Jong Eun Lee","Agmatine Modulates the Phenotype of Macrophage Acute Phase after Spinal Cord Injury in Rats",2017,"Experimental Neurobiology","Korean Soc Brain & Neural Science, Korean Soc Neurodegenerative Disease",NA,NA,18,"2021-01-16 12:25:19","Article","10.5607/en.2017.26.5.278","1226-2560",NA,26,5,278,286,6,1.5,1,5,4,"Agmatine is a decarboxylated arginine by arginine decarboxylase. Agmatine is known to be a neuroprotective agent. It has been reported that agmatine works as a NMDA receptor blocker or a competitive nitric oxide synthase inhibitor in CNS injuries. In spinal cord injury, agmatine showed reduction of neuropathic pain, improvement of locomotor function, and neuroprotection. Macrophage is a key cellular component in neuroinflammation, a major cause of impairment after spinal cord injury. Macrophage has subtypes, M1 and M2 macrophages. M1 macrophage induces a pro-inflammatory response, but M2 inspires an anti-inflammatory response. In this study, it was clarified whether the neuroprotective effect of agmatine is related with the modulation of macrophage subdivision after spinal cord injury. Spinal cord injury was induced in rats with contusion using MASCIS. Animals received agmatine (100 mg/kg, IP) daily for 6 days beginning the day after spinal cord injury. The proportion of M1 and M2 macrophages are confirmed with immunohistochemistry and FACS. CD206(+) & ED1(+) cells were counted as M2 macrophages. The systemic treatment of agmatine increased M2 macrophages caudal side to epicenter 1 week after spinal cord injury in immunohistochemistry. M2 macrophage related markers, Arginase-1 and CD206 mRNA, were increased in the agmatine treatment group and M2 macrophage expressing and stimulated cytokine, IL-10 mRNA, also was significantly overexpressed by agmatine injection. Among BMPs, BMP2/4/7, agmatine significantly increased only the expression of BMP2 known to reduce M1 macrophage under inflammatory status. These results suggest that agmatine reduces impairment after spinal cord injury through modulating the macrophage phenotype.","clonidine"
"5",8,"Alain Frigon, Michael D. Johnson, C. J. Heckman","Differential modulation of crossed and uncrossed reflex pathways by clonidine in adult cats following complete spinal cord injury",2012,"Journal Of Physiology-London","Wiley-Blackwell",NA,NA,16,"2021-01-16 12:25:19","Article","10.1113/jphysiol.2011.222208","0022-3751",NA,590,4,973,989,8,0.89,3,3,9,"Clonidine, an alpha-noradrenergic agonist, facilitates hindlimb locomotor recovery after complete spinal transection (i.e. spinalization) in adult cats. However, the mechanisms involved in clonidine-induced functional recovery are poorly understood. Sensory feedback from the legs is critical for hindlimb locomotor recovery in spinalized mammals and clonidine could alter how spinal neurons respond to peripheral inputs in adult spinalized cats. To test this hypothesis we evaluated the effect of clonidine on the responses of hindlimb muscles, primarily in the left hindlimb, evoked by stretching the left triceps surae muscles and by stimulating the right tibial and superficial peroneal nerves in eight adult decerebrate cats that were spinalized 1 month before the terminal experiment. Cats were not trained following spinalization. Clonidine had no consistent effect on responses of ipsilateral muscles evoked by triceps surae muscle stretch. However, clonidine consistently potentiated the amplitude and duration of crossed extensor responses. Moreover, following clonidine injection, stretch and tibial nerve stimulation triggered episodes of locomotor-like activity in approximately one-third of trials. Differential effects of clonidine on crossed reflexes and on ipsilateral responses to muscle stretch indicate an action at a pre-motoneuronal site. We conclude that clonidine facilitates hindlimb locomotor recovery following spinalization in untrained cats by enhancing the excitability of central pattern generating spinal neurons that also participate in crossed extensor reflex transmission.","clonidine"
"6",11,"Jae Hwan Kim, Yong Woo Lee, Yu Mi Park, Kyung Ah Park, Seung Hwa Park, Won Taek Lee, Jong Eun Lee","Agmatine-Reduced Collagen Scar Area Accompanied With Surface Righting Reflex Recovery After Complete Transection Spinal Cord Injury",2011,"Spine","Lippincott Williams & Wilkins",NA,NA,15,"2021-01-16 12:25:19","Article","10.1097/BRS.0b013e318205e3f7","0362-2436",NA,36,25,2130,2138,11,1.1,2,7,10,"Study Design. Intended to investigate whether agmatine treatment reduces collagen scar area in mice subjected to spinal cord injury (SCI).","clonidine"
"7",12,"Jean-Pierre Gossard, Hugo Delivet-Mongrain, Marina Martinez, Aritra Kundu, Manuel Escalona, Serge Rossignol","Plastic Changes in Lumbar Locomotor Networks after a Partial Spinal Cord Injury in Cats",2015,"Journal Of Neuroscience","Soc Neuroscience",NA,NA,14,"2021-01-16 12:25:19","Article","10.1523/JNEUROSCI.4502-14.2015","0270-6474",NA,35,25,9446,9455,12,2,2,6,6,"After an incomplete spinal cord injury (SCI), we know that plastic reorganization occurs in supraspinal structures with residual descending tracts. However, our knowledge about spinal plasticity is rather limited. Our recent studies point to changes within the spinal cord below the lesion. After a lateral left hemisection (T10), cats recovered stepping with both hindlimbs within 3 weeks. After a complete section (T13) in these cats, bilateral stepping was seen on the next day, a skill usually acquired after several weeks of treadmill training. This indicates that durable plastic changes occurred below the lesion. However, because sensory feedback entrains the stepping rhythm, it is difficult to reveal central pattern generator (CPG) adaptation. Here, we investigated whether lumbar segments of cats with a chronic hemisection were able to generate fictive locomotion-that is, without phasic sensory feedback as monitored by five muscle nerves in each hindlimb. With a chronic left hemisection, the number of muscle nerves displaying locomotor bursts was larger on the left than on the right. In addition, transmission of cutaneous reflexes was relatively facilitated on the left. Later during the acute experiment, a complete spinalization (T13) was performed and clonidine was injected to induce rhythmic activities. There were still more muscle nerves displaying locomotor bursts on the left. The results demonstrate that spinal networks were indeed modified after a hemisection with a clear asymmetry between left and right in the capacity to generate locomotion. Plastic changes in CPG and reflex transmission below the lesion are thus involved in the stepping recovery after an incomplete SCI.","clonidine"
"8",18,"Alain Frigon, Michael D. Johnson, C. J. Heckman","Altered activation patterns by triceps surae stretch reflex pathways in acute and chronic spinal cord injury",2011,"Journal Of Neurophysiology","Amer Physiological Soc",NA,NA,12,"2021-01-16 12:25:19","Article","10.1152/jn.00504.2011","0022-3077",NA,106,4,1669,1678,18,1.8,6,3,10,"Frigon A, Johnson MD, Heckman CJ. Altered activation patterns by triceps surae stretch reflex pathways in acute and chronic spinal cord injury. J Neurophysiol 106: 1669-1678, 2011. First published July 6, 2011; doi: 10.1152/jn.00504.2011.-Spinal reflexes are modified by spinal cord injury (SCI) due the loss of excitatory inputs from supraspinal structures and changes within the spinal cord. The stretch reflex is one of the simplest pathways of the central nervous system and was used presently to evaluate how inputs from primary and secondary muscle spindles interact with spinal circuits before and after spinal transection (i.e., spinalization) in 12 adult decerebrate cats. Seven cats were spinalized and allowed to recover for 1 mo (i.e., chronic spinal state), whereas 5 cats were evaluated before (i.e., intact state) and after acute spinalization (i.e., acute spinal state). Stretch reflexes were evoked by stretching the left triceps surae (TS) muscles. The force evoked by TS muscles was recorded along with the activity of several hindlimb muscles. Stretch reflexes were abolished in the acute spinal state due to an inability to activate TS muscles, such as soleus (Sol) and lateral gastrocnemius (LG). In chronic spinal cats, reflex force had partly recovered but Sol and LG activity remained considerably depressed, despite the fact that injecting clonidine could recruit these muscles during locomotor-like activity. In contrast, other muscles not recruited in the intact state, most notably semitendinosus and sartorius, were strongly activated by stretching TS muscles in chronic spinal cats. Therefore, stretch reflex pathways from TS muscles to multiple hindlimb muscles undergo functional reorganization following spinalization, both acute and chronic. Altered activation patterns by stretch reflex pathways could explain some sensorimotor deficits observed during locomotion and postural corrections after SCI.","clonidine"
"9",18,"S Rossignol, L Bouyer","Adaptive mechanisms of spinal locomotion in cats",2004,"Integrative And Comparative Biology","Oxford Univ Press Inc",NA,NA,13,"2021-01-16 12:25:19","Article","10.1093/icb/44.1.71","1540-7063",NA,44,1,71,79,18,1.06,9,2,17,"This paper reviews some aspects of locomotor plasticity after spinalisation and after peripheral nerve lesions. Adult cats can recover spontaneous hindlimb locomotion on a treadmill several days or weeks after a complete section of the spinal cord at T13. The kinematics as well as the electromyographic activity are compared in the same animal before and after the spinal section to highlight the resemblance of locomotor characteristics in the two conditions. To study further the mechanisms of spinal plasticity potentially underlying such locomotor recovery, we also summarize the locomotor adaptation of cats submitted to various types of peripheral nerve section of either ankle flexor or extensor muscles or after denervation of the hindpaws' cutaneous inputs. It is argued that, even in the spinal state, cats have the ability to compensate for such lesions of the peripheral nervous system suggesting that the spinal cord has a significant potential for adaptive plasticity that could be used in rehabilitation strategies to restore locomotion after spinal cord injury.","clonidine"
"10",20,"Yu Mi Park, Won Taek Lee, Kiran Kumar Bokara, Su Kyoung Seo, Seung Hwa Park, Jae Hwan Kim, Midori A. Yenari, Kyung Ah Park, Jong Eun","The Multifaceted Effects of Agmatine on Functional Recovery after Spinal Cord Injury through Modulations of BMP-2/4/7 Expressions in Neurons and Glial Cells",2013,"Plos One","Public Library Science",NA,NA,11,"2021-01-16 12:25:19","Article","10.1371/journal.pone.0053911","1932-6203",NA,8,1,NA,NA,20,2.5,2,9,8,"Presently, few treatments for spinal cord injury (SCI) are available and none have facilitated neural regeneration and/or significant functional improvement. Agmatine (Agm), a guanidinium compound formed from decarboxylation of L-arginine by arginine decarboxylase, is a neurotransmitter/neuromodulator and been reported to exert neuroprotective effects in central nervous system injury models including SCI. The purpose of this study was to demonstrate the multifaceted effects of Agm on functional recovery and remyelinating events following SCI. Compression SCI in mice was produced by placing a 15 g/mm(2) weight for 1 min at thoracic vertebra (Th) 9 segment. Mice that received an intraperitoneal (i.p.) injection of Agm (100 mg/kg/day) within 1 hour after SCI until 35 days showed improvement in locomotor recovery and bladder function. Emphasis was made on the analysis of remyelination events, neuronal cell preservation and ablation of glial scar area following SCI. Agm treatment significantly inhibited the demyelination events, neuronal loss and glial scar around the lesion site. In light of recent findings that expressions of bone morphogenetic proteins (BMPs) are modulated in the neuronal and glial cell population after SCI, we hypothesized whether Agm could modulate BMP- 2/4/7 expressions in neurons, astrocytes, oligodendrocytes and play key role in promoting the neuronal and glial cell survival in the injured spinal cord. The results from computer assisted stereological toolbox analysis (CAST) demonstrate that Agm treatment dramatically increased BMP-2/7 expressions in neurons and oligodendrocytes. On the other hand, BMP-4 expressions were significantly decreased in astrocytes and oligodendrocytes around the lesion site. Together, our results reveal that Agm treatment improved neurological and histological outcomes, induced oligodendrogenesis, protected neurons, and decreased glial scar formation through modulating the BMP-2/4/7 expressions following SCI.","clonidine"
