"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"H Barbeau, S Rossignol","The role of serotonin on the modulation of locomotion and reflexes in mammals, primates and in humans with spinal cord injury",2002,"Neurological Rehabilitation, Proceedings","Medimond S R L",NA,NA,13,"2021-01-16 13:13:56","Proceedings Paper","","",NA,NA,NA,13,29,0,0,0,2,19,"This review briefly reports the effects of serotonergic (5-HT) drugs on spinal reflexes as well as on the locomotor pattern in adult spinal animals of different species. In addition, this review also addresses the issue of serotonergic blockade on certain manifestations of spasticity at rest, during simple movement and during locomotion in human subjects with spinal cord injury (SCI).","cyproheptadine"
"2",1,"Henryk Majczynski, Anna M. Cabaj, Larry M. Jordan, Urszula Slawinska","Contribution of 5-HT2 Receptors to the Control of the Spinal Locomotor System in Intact Rats",2020,"Frontiers In Neural Circuits","Frontiers Media Sa",NA,NA,12,"2021-01-16 13:13:56","Article","10.3389/fncir.2020.00014","",NA,14,NA,NA,NA,1,1,0,4,1,"Applying serotonergic (5-HT) agonists or grafting of fetal serotonergic cells into the spinal cord improves locomotion after spinal cord injury. Little is known about the role of 5-HT receptors in the control of voluntary locomotion, so we administered inverse agonists of 5-HT2 (Cyproheptadine; Cypr), 5-HT2A neutral antagonist (Volinanserin; Volin), 5-HT2C neutral antagonist (SB 242084), and 5-HT2B/2C inverse agonist (SB 206553) receptors intrathecally in intact rats and monitored their effects on unrestrained locomotion. An intrathecal cannula was introduced at the low thoracic level and pushed caudally until the tip reached the L2/L3 or L5/L6 spinal segments. Locomotor performance was evaluated using EMG activity of hindlimb muscles during locomotion on a 2 m long runway. Motoneuron excitability was estimated using EMG recordings during dorsi- and plantar flexion at the ankle. Locomotion was dramatically impaired after the blockage of 5-HT2A receptors. The effect of Cypr was more pronounced than that of Volin since in the L5/L6 rats Cypr (but not Volin) induced significant alteration of the strength of interlimb coordination followed by total paralysis. These agents significantly decreased locomotor EMG amplitude and abolished or substantially decreased stretch reflexes. Blocking 5-HT2B/2C receptors had no effect either on locomotion or reflexes. We suggest that in intact rats serotonin controls timing and amplitude of muscle activity by acting on 5-HT2A receptors on both CPG interneurons and motoneurons, while 5-HT2B/2C receptors are not involved in control of the locomotor pattern in lumbar spinal cord.","cyproheptadine"
"3",6,"RG Kalb","Getting the spinal cord to think for itself",2003,"Archives Of Neurology","Amer Medical Assoc",NA,NA,10,"2021-01-16 13:13:56","Review","10.1001/archneur.60.6.805","0003-9942",NA,60,6,805,808,6,0.33,6,1,18,"Despite the interruption in communication between the brain and lower centers by spinal cord injury, many of the neurons engaged in generating locomotion survive. Several strategies have been used to activate spinal cord circuitry independent of the higher centers, including direct electrical stimulation, pharmacological agents, and training programs that involve moving the legs through the motions of walking. Ambulatory leg movements are achieved by these interventions, leading to substantial functional improvements in the subset of patients with incomplete spinal cord injury. The neurobiological basis for these phenomena likely involves activity-dependent reconfiguration of synaptic connections within the spinal cord. Fostering this process may lead to further benefits for individuals with spinal cord injury.","cyproheptadine"
"4",6,"Youngjae Ryu, Toru Ogata, Motoshi Nagao, Yasuhiro Sawada, Ryohei Nishimura, Naoki Fujita","Effects of Treadmill Training Combined with Serotonergic Interventions on Spasticity after Contusive Spinal Cord Injury",2018,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,11,"2021-01-16 13:13:56","Article","10.1089/neu.2017.5400","0897-7151",NA,35,12,1358,1366,6,2,1,6,3,"Spasticity usually emerges during the course of recovery from spinal cord injury (SCI). While medications and physical rehabilitation are prescribed to alleviate spastic symptoms, the insufficiency of their effects remains an important problem to be addressed. Given the challenges associated with increasing the dose of medication, we hypothesized that a combination therapy with medication and physical rehabilitation can be effective. Therefore, we examined the effects of treadmill training (TMT) along with serotonergic medication using a spastic rat model after contusive injury. Spasticity-strong SCI rats were selected 4 weeks after SCI and received one of the following interventions for 2 weeks: only TMT, TMT with fluoxetine (a selective serotonin re-uptake inhibitor), TMT with cyproheptadine (a 5-HT2 receptor antagonist), only fluoxetine, or only cyproheptadine. We performed the swimming test to quantify the frequency of spastic behaviors. We also evaluated hindlimb locomotor functions every week. At the end of the intervention, we examined the Hoffman reflex from the plantar muscle and the immunoreactivity of the 5-HT2A receptor in spinal cord tissues. While the TMT group and cyproheptadine-treated groups showed decreased spastic behaviors and reduction in spinal hyperreflexia, the fluoxetine-treated group showed the opposite effect, even with TMT. Moreover, TMT suppressed the expression of the 5-HT2A receptor in the lumbar spinal motor neurons, while cyproheptadine treatment did not change it. We did not observe any differences in locomotor functions between the groups. Taken together, our findings indicate that TMT and cyproheptadine significantly alleviated spastic symptoms, but did not show synergistic or additive effects.","cyproheptadine"
"5",13,"Christopher K. Thompson, T. George Hornby","Divergent Modulation of Clinical Measures of Volitional and Reflexive Motor Behaviors following Serotonergic Medications in Human Incomplete Spinal Cord Injury",2013,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,9,"2021-01-16 13:13:56","Article","10.1089/neu.2012.2515","0897-7151",NA,30,6,498,502,13,1.63,7,2,8,"Incomplete spinal cord injury (SCI) can result in profound impairments in volitional strength and reflex excitability, which contribute to loss of function. Human and animal models suggest that disruption of endogenous monoaminergic input, particularly serotonin (5-HT), from supraspinal centers contributes to this impaired motor function following SCI. In the present study, we investigated the effects of 5-HT medications on motor function in individuals with chronic (> 1 year) SCI. Clinical measures of strength, spasticity/spasms, and walking ability were assessed in 12 individuals with chronic incomplete SCI following acute administration of either 8 mg cyproheptadine, a 5-HT antagonist, or 10 mg escitalopram, a selective 5-HT reuptake inhibitor (SSRI), in a double-blinded, randomized, crossover fashion. Results indicated that 5-HT medications modulated both volitional and reflexive behaviors with little change in walking performance; 5-HT antagonist medications depressed clinical measures of strength and spasticity/spasms, whereas SSRIs augmented both strength and spasticity/spasms. These changes are consistent with the dysregulation of 5-HT sensitive spinal neurons following SCI. This understanding may augment clinicians' awareness of the motor consequences of 5-HT medications.","cyproheptadine"
"6",17,"Kristan A. Leech, Catherine R. Kinnaird, T. George Hornby","Effects of Serotonergic Medications on Locomotor Performance in Humans with Incomplete Spinal Cord Injury",2014,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,8,"2021-01-16 13:13:56","Article","10.1089/neu.2013.3206","0897-7151",NA,31,15,1334,1342,17,2.43,6,3,7,"Incomplete spinal cord injury (iSCI) often results in significant motor impairments that lead to decreased functional mobility. Loss of descending serotonergic (5HT) input to spinal circuits is thought to contribute to motor impairments, with enhanced motor function demonstrated through augmentation of 5HT signaling. However, the presence of spastic motor behaviors in SCI is attributed, in part, to changes in spinal 5HT receptors that augment their activity in the absence of 5HT, although data demonstrating motor effects of 5HT agents that deactivate these receptors are conflicting. The effects of enhancement or depression of 5HT signaling on locomotor function have not been thoroughly evaluated in human iSCI. Therefore, the aim of the current study was to investigate acute effects of 5HT medications on locomotion in 10 subjects with chronic (>1 year) iSCI. Peak overground and treadmill locomotor performance, including measures of gait kinematics, electromyographic (EMG) activity, and oxygen consumption, were assessed before and after single-dose administration of either a selective serotonin reuptake inhibitor (SSRI) or a 5HT antagonist using a double-blinded, randomized, cross-over design. Results indicate that neither medication led to improvements in locomotion, with a significant decrease in peak overground gait speed observed after 5HT antagonists (from 0.8 +/- 0.1 to 0.7 +/- 0.1 m/s; p = 0.01). Additionally, 5-HT medications had differential effects on EMG activity, with 5HT antagonists decreasing extensor activity and SSRIs increasing flexor activity. Our data therefore suggest that acute manipulation of 5HT signaling, despite changes in muscle activity, does not improve locomotor performance after iSCI.","cyproheptadine"
"7",19,"AH Seif-Naraghi, RM Herman","A novel method for locomotion training",1999,"Journal Of Head Trauma Rehabilitation","Aspen Publ Inc",NA,NA,7,"2021-01-16 13:13:56","Article","10.1097/00001199-199904000-00005","0885-9701",NA,14,2,146,162,19,0.86,10,2,22,"This article describes a novel therapeutic system for locomotion training and learning for patients with a wide range of neurological and musculoskeletal disorders. The technique embraces che notion that loco motion therapy should be goal oriented and task specific. The task specificity Includes a partial weightbearing device that permits the posture/equilibrium, movement, and weight-bearing components of gait function to operate concurrently, even in patients with serious deficits. In addition, it allows interaction with therapists and others to facilitate locomotion control, particularly during the early stages of gait therapy. Neurobiological bases for this technique and early clinical results are discussed, and two case studies of patients with traumatic brain injury (TBI) are presented. Although well-designed efficacy studies are needed, clearly this therapeutic approach to locomotor disorders among TBI patients meets the various criteria for recovery of gait function established in this article.","cyproheptadine"
"8",30,"SK SALZMAN, MA PUNIAK, ZJ LIU, RP MAITLANDHERIOT, GM FREEMAN, CA AGRESTA","THE SEROTONIN ANTAGONIST MIANSERIN IMPROVES FUNCTIONAL RECOVERY FOLLOWING EXPERIMENTAL SPINAL TRAUMA",1991,"Annals Of Neurology","Little Brown Co",NA,NA,6,"2021-01-16 13:13:56","Article","10.1002/ana.410300405","0364-5134",NA,30,4,533,541,30,1,5,6,30,"The ability of the serotonin antagonist mianserin to improve neurological recovery after graded impact trauma to the thoracic region of the spinal cord was compared to that of cyproheptadine and ketanserin in pentobarbital-anesthetized rats. Spinal cord injury was produced at T-10 by the weight-drop method and confirmed by the disappearance of the somatosensory-evoked response during the subsequent 15 minutes. In all experiments, drug or vehicle treatments were randomly administered as a single intravenous bolus 15 minutes after injury. Functional outcome was blindly assessed for 2 weeks after injury using a modified Tarlov scale, and in some cases, the Rivlin-Tator angleboard test. The survival of descending raphe-spinal axons was determined by the measurement of serotonin in postmortem spinal tissues located above and below the site of injury. In separate acute experiments, the physiological and hemodynamic correlates of a 50 gm cm injury and either mianserin or vehicle injection were examined, as were the effects on serotonin content and metabolism in spinal tissues harvested 30 minutes after injury. All doses of mianserin were associated with some index of improved recovery following a 50 gm cm injury, with a 1-mg/kg dose being clearly superior. Both ketanserin (0.1 mg/kg) and cyproheptadine (2 mg/kg) displayed marginal therapeutic actions for 50 gm cm injuries. In acute studies, mianserin at 1 mg/kg was associated with the preservation of posttraumatic spinal cord blood flow at T-12 as well as a pronounced alteration in postmortem spinal serotonin content and metabolism, in contrast to vehicle control treatments. These data lend further support to a serotonergic hypothesis of secondary spinal cord injury and suggest the potential use of mianserin for the acute treatment of spinal cord injury.","cyproheptadine"
"9",38,"Jessica M. D'Amico, Katherine C. Murray, Yaqing Li, K. Ming Chan, Mark G. Finlay, David J. Bennett, Monica A. Gorassini","Constitutively active 5-HT2/alpha(1) receptors facilitate muscle spasms after human spinal cord injury",2013,"Journal Of Neurophysiology","Amer Physiological Soc",NA,NA,5,"2021-01-16 13:13:56","Article","10.1152/jn.00821.2012","0022-3077",NA,109,6,1473,1484,38,4.75,5,7,8,"D'Amico JM, Murray KC, Li Y, Chan KM, Finlay MG, Bennett DJ, Gorassini MA. Constitutively active 5-HT2/alpha(1) receptors facilitate muscle spasms after human spinal cord injury. J Neurophysiol 109: 1473-1484, 2013. First published December 5, 2012; doi: 10.1152/jn.00821.2012.-In animals, the recovery of motoneuron excitability in the months following a complete spinal cord injury is mediated, in part, by increases in constitutive serotonin (5-HT2) and norepinephrine (alpha(1)) receptor activity, which facilitates the reactivation of calcium-mediated persistent inward currents (CaPICs) without the ligands serotonin and norepinephrine below the injury. In this study we sought evidence for a similar role of constitutive monoamine receptor activity in the development of spasticity in human spinal cord injury. In chronically injured participants with partially preserved sensory and motor function, the serotonin reuptake inhibitor citalopram facilitated long-lasting reflex responses (spasms) previously shown to be mediated by CaPICs, suggesting that in incomplete spinal cord injury, functional descending sources of monoamines are present to activate monoamine receptors below the lesion. However, in participants with motor or motor/sensory complete injuries, the inverse agonist cyproheptadine, which blocks both ligand and constitutive 5-HT2/alpha(1) receptor activity, decreased long-lasting reflexes, whereas the neutral antagonist chlorpromazine, which only blocks ligand activation of these receptors, had no effect. When tested in noninjured control participants having functional descending sources of monoamines, chlorpromazine was effective in reducing CaPIC-mediated motor unit activity. On the basis of these combined results, it appears that in severe spinal cord injury, facilitation of persistent inward currents and muscle spasms is mainly mediated by the activation of constitutive 5-HT2 and alpha(1) receptor activity. Drugs that more selectively block these constitutively active monoamine receptors may provide better oral control of spasticity, especially in motor complete spinal cord injury where reducing motoneuron excitability is the primary goal.","cyproheptadine"
"10",43,"Antoinette Domingo, Abdulaziz A. Al-Yahya, Yousif Asiri, Janice J. Eng, Tania Lam","A Systematic Review of the Effects of Pharmacological Agents on Walking Function in People with Spinal Cord Injury",2012,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,4,"2021-01-16 13:13:56","Review","10.1089/neu.2011.2052","0897-7151",NA,29,5,865,879,43,4.78,9,5,9,"Studies of spinalized animals indicate that some pharmacological agents may act on receptors in the spinal cord, helping to produce coordinated locomotor movement. Other drugs may help to ameliorate the neuropathological changes resulting from spinal cord injury (SCI), such as spasticity or demyelination, to improve walking. The purpose of this study was to systematically review the effects of pharmacological agents on gait in people with SCI. A keyword literature search of articles that evaluated the effects of drugs on walking after SCI was performed using the databases MEDLINE/PubMed, CINAHL, EMBASE, PsycINFO, and hand searching. Two reviewers independently evaluated each study, using the Physiotherapy Evidence Database (PEDro) tool for randomized clinical trials (RCTs), and the modified Downs & Black scale for all other studies. Results were tabulated and levels of evidence were assigned. Eleven studies met the inclusion criteria. One RCT provided Level 1 evidence that GM-1 ganglioside in combination with physical therapy improved motor scores, walking velocity, and distance better than placebo and physical therapy in persons with incomplete SCI. Multiple studies (levels of evidence 1-5) showed that clonidine and cyproheptadine may improve locomotor function and walking speed in severely impaired individuals with incomplete SCI. Gains in walking speed associated with GM-1, cyproheptadine, and clonidine are low compared to those seen with locomotor training. There was also Level 1 evidence that 4-aminopyridine and L-dopa were no better than placebo in helping to improve gait. Two Level 5 studies showed that baclofen had little to no effect on improving walking in persons with incomplete SCI. There is limited evidence that pharmacological agents tested so far would facilitate the recovery of walking after SCI. More studies are needed to better understand the effects of drugs combined with gait training on walking outcomes in people with SCI.","cyproheptadine"
