"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Ali Riza Gezici, Semih Akar, Tulin Firat, Yasar Dagistan, Seckin Emre Cancan, Aysel Kukner, Nezih Ozkan","The therapeutic effects of etanercept-methotrexate combination on experimental spinal cord injury.",2017,"Biomedical Research-India","Allied Acad",NA,NA,37,"2021-01-16 13:24:09","Article","","0970-938X",NA,28,5,2185,2192,0,0,0,7,4,"Background: Experimental studies have demonstrated that neurons keep dying in an unrecoverable and non-regenerative pattern in following hours after primary mechanical injury to spinal cord. The cascade of events which is called secondary injury is composed of vascular impairment, oedema, ischemia, inflammation, exotoxicity, electrolyte imbalance, lipid peroxidation, free radicals, necrosis and apoptotic cell death.","dexamethasone"
"2",0,"Ecem Sevim Longur, Ozgur Yigit, Cigdem Kalaycik Ertugay, Ela Araz Server, Turgut Adatepe, Dilek Akakin, Oya Orun, Ayca Karagoz Koroglu","Effect of Bumetanide on Facial Nerve Regeneration in Rat Model",2020,"Otolaryngology-Head And Neck Surgery","Sage Publications Ltd",NA,NA,38,"2021-01-16 13:24:09","Article","10.1177/0194599820937670","0194-5998",NA,NA,NA,NA,NA,0,0,0,8,1,"Objective We investigated the effects of bumetanide alone and in combination with dexamethasone on facial nerve regeneration in rats with facial paralysis. Study Design A prospective controlled animal study. Setting An animal laboratory. Subjects and Methods Facial paralysis was induced in 32 Wistar rats that we then divided into 4 groups: group 1, control; group 2, bumetanide; group 3, dexamethasone; group 4, bumetanide and dexamethasone. Electroneurography was performed 1, 2, and 4 weeks later, and nerve regeneration was evaluated by electron and light microscopy and Western blotting in week 4. Results Regarding the comparison between preoperative values and week 4, the latency difference in group 1 (1.25 milliseconds) was significantly higher than those of groups 2 to 4 (0.56, 0.34, and 0.10 milliseconds, respectively;P= .001). The latency increment in groups 2 and 3 was higher than that of group 4 (P= .002 andP= .046) in week 4, whereas groups 2 and 3 did not differ significantly (P= .291). Amplitude difference was not statistically significant from week 4 among all groups (allP >.05). The number of myelinated axons was significantly higher in all treatment groups than in the control group (P= .001). Axon number and intensity were significantly higher in group 4 as compared with groups 2 and 3 (P= .009,P= .005). Conclusion After primary neurorrhaphy, dexamethasone and bumetanide alone promoted nerve recovery based on electrophysiologic and histologic measures. Combination therapy was, however, superior.","dexamethasone"
"3",1,"Maria Sanchez-Sierra, Isabel Garcia-Alvarez, Alfonso Fernandez-Mayoralas, Sandra Moreno-Lillo, Gemma Barroso Garcia, Veronica Moral Darde, Ernesto Doncel-Perez","Mass Spectrometry in Pharmacokinetic Studies of a Synthetic Compound for Spinal Cord Injury Treatment",2015,"Biomed Research International","Hindawi Ltd",NA,NA,36,"2021-01-16 13:24:09","Article","10.1155/2015/169234","2314-6133",NA,2015,NA,NA,NA,1,0.17,0,7,6,"The studies of drugs that could constitute a palliative to spinal cord injury (SCI) are a continuous and increasing demand in biomedicine field from developed societies. Recently we described the chemical synthesis and antiglioma activity of synthetic glycosides. A synthetic sulfated glycolipid (here IG20) has shown chemical stability, solubility in polar solvents, and high inhibitory capacity over glioma growth. We have used mass spectrometry (MS) to monitor IG20 (m/z = 550.3) in cells and tissues of the central nervous system (CNS) that are involved in SCI recovery. IG20 was detected by MS in serum and homogenates from CNS tissue of rats, though in the latter a previous deproteinization step was required. The pharmacokinetic parameters of serum clearance at 24 h and half-life at 4 h were determined for synthetic glycoside in the adult rat using MS. A local administration of the drug near of spinal lesion site is proposed.","dexamethasone"
"4",2,"Seyed Ruhollah Hosseini, Gholamreza Kaka, Mohammad Taghi Joghataei, Mehdi Hooshmandi, Seyed Homayoon Sadraie, Kayvan Yaghoobi, Korosh Mansoori, Alireza Mohammadi","Coadministration of Dexamethasone and Melissa officinalis Has Neuroprotective Effects in Rat Animal Model with Spinal Cord Injury",2017,"Cell Journal","Royan Inst",NA,NA,34,"2021-01-16 13:24:09","Article","","2228-5806",NA,19,1,102,116,2,0.5,0,8,4,"Objective: Spinal cord injury (SCI) causes inflammation, deformity and cell loss. It has been shown that Melissa officinalis (MO), as herbal medicine, and dexamethasone (DEX) are useful in the prevention of various neurological diseases. The present study evaluated combinational effects of DEX and MO on spinal cord injury.","dexamethasone"
"5",2,"Jae Myun Chung, Jin Young Ahn","Relationship between clinical and radiologic findings of spinal cord injury in decompression sickness",2017,"Undersea And Hyperbaric Medicine","Undersea & Hyperbaric Medical Soc Inc",NA,NA,35,"2021-01-16 13:24:09","Article","","1066-2936",NA,44,1,57,62,2,0.5,1,2,4,"Background: Decompression sickness may involve the central nervous system. The most common site is spinal cord. This study was conducted to determine the relationship between magnetic resonance(MR) imaging findings of spinal damage and clinical findings in acute decompression sickness.","dexamethasone"
"6",4,"J Vaquero, M Zurita","Tissue expression of 165-aa vascular permeability factor after spinal cord injury is not influenced by dexamethasone administration in rats",2004,"Neuroscience Letters","Elsevier Sci Ireland Ltd",NA,NA,32,"2021-01-16 13:24:09","Article","10.1016/j.neulet.2004.04.082","0304-3940",NA,365,3,214,217,4,0.24,2,2,17,"Using immunohistochemistry, RT-PCR, and Western Blot techniques, we studied the tissue expression of the 165-aa Vascular permeability factor (VPF) after spinal cord injury (SCI) in adult Wistar rats. The results were compared according to that the animals received or non-dexamethasone, at the dose of 1 mg/kg and day after trauma. Further-more, the different functional recovery between treated and non-treated animals was recorded. Although the administration of dexamethasone showed a beneficial effect on the functional recovery of the animals, the tissue expression of VPF after SCI is not influenced by dexamethasone administration. Therefore, the neuroprotective effect of the dexamethasone after experimental SCI is not mediated through an interference on the biological effects of the 165-aa vascular permeability factor. (C) 2004 Elsevier Ireland Ltd. All rights reserved.","dexamethasone"
"7",4,"Liang Wu, Tao Yang, Chenlong Yang, Ning Yao, Huiliang Wang, Jingyi Fang, Yulun Xu","Delayed neurological deterioration after surgery for intraspinal meningiomas: Ischemia-reperfusion injury in a rat model",2015,"Oncology Letters","Spandidos Publ Ltd",NA,NA,33,"2021-01-16 13:24:09","Article","10.3892/ol.2015.3626","1792-1074",NA,10,4,2087,2094,4,0.67,1,7,6,"Delayed neurological deterioration in the absence of direct cord insult following surgical removal and cord decompression is a rare but severe postoperative complication in a small subset of patients with intraspinal meningiomas. To date, the underlying pathophysiology of such a finding remains unclear and ischemia-reperfusion injury (IRI) is considered as the potential etiology in the literature. However, no experimental research has been reported to prove this hypothesis. The present study investigated whether IRI occurs following decompression surgery using an experimental rat model of chronic compressive spinal cord injury (SCI). A chronic spinal cord compression model was developed with various sizes of polymer sheets (mild and severe compression) that were microsurgically implanted underneath the T8-9 laminae, and occurrence of IRI in the spinal cord following decompression was determined by measuring superoxide dismutase (SOD) level and malondialdehyde (MDA) concentration. In the mild compression groups, after decompression SOD activities significantly increased along with a reduction in MDA content compared with the non-decompression group (P<0.05), which exhibited diminishment of lipid peroxidation and relief of the secondary injury. These findings indicated that decompression is effective to improve neurological recovery and may deliver improved outcomes for chronic mild compression of the spinal cord. However, in severe compression groups, after decompression, SOD activities markedly reduced further along with a significant increase in MDA content compared with non-decompression group (P<0.05). The results indicated that lipid peroxidation increased immediately after decompression surgery which resulted from reperfusion of the spinal cord. These findings demonstrated IRI may occur as a result of chronic severe compression of the spinal cord. In clinical practice, sudden cord expansion and reperfusion may have lead to disruption in the blood spinal cord barrier, and triggered a cascade of IRI resulting in postoperative neurologic deterioration. Recognition of this neurological deterioration following removal for intraspinal meningiomas may improve preoperative patient counseling and merits further study for determination of the precise pathophysiology.","dexamethasone"
"8",6,"P. Kumar, Y. E. Choonara, G. Modi, D. Naidoo, V. Pillay","Cur(Que)min: A neuroactive permutation of Curcumin and Quercetin for treating spinal cord injury",2014,"Medical Hypotheses","Churchill Livingstone",NA,NA,31,"2021-01-16 13:24:09","Article","10.1016/j.mehy.2014.01.019","0306-9877",NA,82,4,437,441,6,0.86,1,5,7,"Among Spinal Cord Injury (SCI) intervention the administration of high-dose high-potency steroidal drugs such as methylprednisolone or dexamethasone is used to reduce the inflammation associated with primary injury and prevention of the subsequent secondary injury. The administration of steroids has several side-effects that jeopardize their use and therefore safer chemical neuro-entities are required. Natural compounds such as curcumin (anti-oxidant) and quercetin (anti-inflammatory) have been investigated as alternative neuroactive, but are not as potent as the steroids. Hence, they are required in very high doses which may lead to significant toxicity causing an increase in cellular levels of reactive oxygen species, active iron chelation, inhibiting the activity of the cytochrome P450 enzymes such as glutathione-S-transferase and UDP-glucuronosyltransferase. A reduction in the dose of these neuroactives is possible with the administration of a 'chemically-variant' permutation with additive or synergistic therapeutic benefits. Therefore, we hypothesize that curcumin and quercetin, both natural polyphenolic flavonoids, can ""additively and synergistically"" improve the physiological outcome after traumatic SCI when used in combination and termed 'Cur(Que)min' - thereby decreasing the dose levels and hence reducing the inherent high dose-cytotoxicity of the individual neuroactives. This hypothesis provides the first-account of a curcumin-quercetin combination for SCI intervention theorizing the possible biomolecular-mechanism that may provide the scientific community with a novel neuroprotective and neurotherapeutic treatment option for SCI. (C) 2014 Elsevier Ltd. All rights reserved.","dexamethasone"
"9",7,"Stergios Boussios, Deirdre Cooke, Catherine Hayward, Foivos S. Kanellos, Alexandros K. Tsiouris, Aikaterini A. Chatziantoniou, Nikolaos Zakynthinakis-Kyriakou, Afroditi Karathanasi","Metastatic Spinal Cord Compression: Unraveling the Diagnostic and Therapeutic Challenges",2018,"Anticancer Research","Int Inst Anticancer Research",NA,NA,30,"2021-01-16 13:24:09","Review","10.21873/anticanres.12817","0250-7005",NA,38,9,4987,4997,7,2.33,1,8,3,"Malignant spinal cord compression (MSCC) is one of the most devastating complications of cancer. Patients often present with a history of progressive pain, paralysis, sensory loss, progressive spinal deformity, and loss of sphincter control. It is an emergency that requires rapid decision making on the part of several specialists, given the risk of permanent spinal cord injury or death. The goals of treatment in spinal metastases are pain control and improvement of neurological function in order to achieve better quality of life (QoL). The standard of care in most cases is rapid initiation of corticosteroids in combination with either surgical decompression in case of an operable candidate, followed by radiation therapy (RT) or RT alone. Surgery is associated with improved outcomes, but is not appropriate for many patients presenting with advanced symptoms of MSCC, such as paralysis, or those with a poor performance status, or cachexic state, as well as altered mental conditions, comorbidities, surgical risks, and limited life expectancy. On the other hand, aggressive surgical treatment and post-operative RT is advocated for those with more favorable prognosis, or who are expected to have higher neurological recovery potential. Many candidates may require for combined anterior and posterior approaches to effectively deal with the compressive pathology and stabilize the spine. Most patients are presently treated by primary RT, given with the aim of improving function and symptom management. However, there is still debate regarding the most appropriate RT schedule. Rehabilitation can serve to relieve symptoms, QoL, enhance functional independence, and prevent further complications. Ambulatory status has been found to be an important prognostic factor for patients with MSCC.","dexamethasone"
"10",8,"Masayoshi Kobayashi, Kengo Tamari, Tomotaka Miyamura, Kazuhiko Takeuchi","Blockade of interleukin-6 receptor suppresses inflammatory reaction and facilitates functional recovery following olfactory system injury",2013,"Neuroscience Research","Elsevier Ireland Ltd",NA,NA,28,"2021-01-16 13:24:09","Article","10.1016/j.neures.2013.03.015","0168-0102",NA,76,3,125,132,8,1,2,4,8,"We previously reported that anti-inflammatory treatment with steroids improves recovery outcome in an olfactory nerve injury model. Clinically, however, steroid administration is not recommended in the acute phase of head injury because of concerns regarding side effects and no evidence of its efficacy. Recently, it has been reported that interleukin-6 (IL-6) plays an important role in the inflammatory reaction. The present study investigates if anti-IL-6 receptor (IL-6R) antibody can facilitate functional recovery in the olfactory system following injury. Rat anti-mouse IL-6R antibody (MR16-1) was intraperitoneally injected to severe olfactory nerve injury model mice immediately after the nerve transection (NTx). Histological assessment of recovery within the olfactory bulb was made at 5-70 days. X-gal staining labeled the degenerating and regenerating olfactory nerve fibers and immunohistochemical staining detected the presence of reactive astrocytes and macrophages/microglia. MR16-1-injected animals showed significantly smaller areas of injury-associated tissue, fewer astrocytes and macrophages/microglia, and an increase in regenerating nerve fibers. Olfactory function assessments using both an olfactory avoidance behavioral test and evoked potential testing showed improved functional recovery in MR16-1-injected mice. These findings suggest that blockade of IL-6R could provide a new therapeutic strategy for the treatment of olfactory dysfunction following head injuries. (c) 2013 Elsevier Ireland Ltd and the Japan Neuroscience Society. All rights reserved.","dexamethasone"
