"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Florence E. Perrin","Grafting to regenerate",2011,"Biofutur","Elsevier France-Editions Scientifiques Medicales Elsevier",NA,NA,77,"2021-01-16 14:12:31","Article","","0294-3506",NA,NA,322,46,49,0,0,0,1,10,"","dopamine"
"2",0,"Hasan Kheyrkhah, Hamid Soltani Zangbar, Omid Salimi, Parviz Shahabi, HojjatAllah Alaei","Prefrontal dopaminergic system and its role in working memory and cognition in spinal cord-injured rats",2020,"Experimental Physiology","Wiley",NA,NA,78,"2021-01-16 14:12:31","Article","10.1113/EP088537","0958-0670",NA,105,9,1579,1587,0,0,0,5,1,"New Findings","dopamine"
"3",0,"Shiyu Chen, Sha Liu, Liling Zhang, Qi Han, Hengquan Liu, Jianhong Shen, Guicai Li, Luzhong Zhang, Yumin Yang","Construction of injectable silk fibroin/polydopamine hydrogel for treatment of spinal cord injury",2020,"Chemical Engineering Journal","Elsevier Science Sa",NA,NA,79,"2021-01-16 14:12:31","Article","10.1016/j.cej.2020.125795","1385-8947",NA,399,NA,NA,NA,0,0,0,9,1,"Injectable hydrogels have potential applications for regenerating the injured spinal cord, but their performance needs to be further improved. In this study, an injectable silk fibroin/polydopamine (SF/PDA) composite hydrogel was fabricated via first Schiff base reaction between the amino groups of silk fibroin and the quinone structure of oxidized dopamine (DA), and then self-polymerization of free DA with SF-conjugated DA. The physicochemical properties of the hydrogel were characterized. The cytotoxicity and biocompatibility were evaluated using L929 fibroblasts and hippocampal neurons, respectively, and the expression levels of neuritesrelated proteins were analyzed by western blot. Finally, the effect of hydrogel on SCI repair was initially evaluated by in vivo animal experiment. With the increase of DA concentration, the hydrogels color became darker, the swelling rate, water uptake and the porosity decreased. Meanwhile, the Young's modulus continued to decrease when the DA concentration was increased from 0.5 mg/mL to 10 mg/mL, whereas rheological test showed the good injectability of the prepared hydrogels. NMR, FTIR and XPS confirmed that dopamine could combine with silk fibroin via Schiff base reaction and then polymerize to form the SF/PDA composite hydrogel. The hydrogels showed no cytotoxicity and the hippocampal neurons on hydrogel with 2 mg/mL DA displayed the largest axon length, the highest cell density and expression level of neuritis-related proteins. Further on, immunohistochemical staining showed initially that the prepared hydrogel possessed the capability of promoting SCI repair. In summary, the developed injectable SF/PDA hydrogel here may contribute to the potential application for promoting functional recovery of SCI, and provide important experimental and theoretical basis for developing SCI implants.","dopamine"
"4",0,"Kentaro Togashi, Masaya Hasegawa, Jun Nagai, Ken Kotaka, Arina Yazawa, Miyuki Takahashi, Daiki Masukawa, Yoshio Goshima, Kenneth Hensley, Toshio Ohshima","Lanthionine ketimine ester improves outcome in an MPTP-induced mouse model of Parkinson's disease via suppressions of CRMP2 phosphorylation and microglial activation",2020,"Journal Of The Neurological Sciences","Elsevier",NA,NA,80,"2021-01-16 14:12:31","Article","10.1016/j.jns.2020.116802","0022-510X",NA,413,NA,NA,NA,0,0,0,10,1,"Parkinson's disease (PD) is characterized by progressive degeneration of dopaminergic neurons in the substantia nigra pars compacta (SNc). Levodopa (L-Dopa), the current main treatment for PD, reduces PD symptoms by partially replacing dopamine, but it does not slow neurodegeneration. Recent studies have evidenced that neuroinflammatory processes contribute to the degeneration of dopaminergic neurons in the SNc under cytopathic conditions, while other lines of inquiry have implicated phosphorylation of collapsin response mediator protein 2 (CRMP2) as a causal factor in axonal retraction after neural injury. We recently reported on the therapeutic effect of lanthionine ketimine ester (LKE) which associates with CRMP2 following axonal injury in the spinal cord.","dopamine"
"5",1,"Elena Kondratskaya, Oleksandr Ievglevskyi, Mark Zuchner, Athina Samara, Joel C. Glover, Jean-Luc Boulland","Locomotor central pattern generator excitability states and serotonin sensitivity after spontaneous recovery from a neonatal lumbar spinal cord injury",2019,"Brain Research","Elsevier Science Bv",NA,NA,72,"2021-01-16 14:12:31","Article","10.1016/j.brainres.2018.12.001","0006-8993",NA,1708,NA,10,19,1,0.5,0,6,2,"The spinal locomotor central pattern generator (CPG) in neonatal mice exhibits diverse output patterns, ranging from sub-rhythmic to multi-rhythmic to fictive locomotion, depending on its general level of excitation and neuromodulatory status. We have recently reported that the locomotor CPG in neonatal mice rapidly recovers the ability to produce neurochemically induced fictive locomotion following an upper lumbar spinal cord compression injury. Here we address the question of recovery of multi-rhythmic activity and the serotonin-sensitivity of the CPG. In isolated spinal cords from control and 3 days post-injury mice, application of dopamine and NMDA elicited multi-rhythmic activity with slow and fast components. The slow component comprised 10-20 s episodes of activity that were synchronous in ipsilateral or all lumbar ventral roots, and the fast components involved bursts within these episodes that displayed coordinated patterns of alternation between ipsilateral roots. Rhythm strength was the same in control and injured spinal cords. However, power spectral analysis of signal within episodes showed a reduced peak frequency after recovery. In control spinal cords, serotonin triggered fictive locomotion only when applied at high concentration (30 M, constant NMDA). By contrast, in about 50% of injured preparations fictive locomotion was evoked by 2-3 times lower serotonin concentrations (10-15 mu M). This increased serotonin sensitivity was correlated with post-injury changes in the expression of specific serotonin receptor transcripts, but not of dopamine receptor transcripts.","dopamine"
"6",1,"Cameron T. Trueblood, Idiata W. Iredia, Eileen S. Collyer, Veronica J. Tom, Shaoping Hou","Development of Cardiovascular Dysfunction in a Rat Spinal Cord Crush Model and Responses to Serotonergic Interventions",2019,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,73,"2021-01-16 14:12:31","Article","10.1089/neu.2018.5962","0897-7151",NA,36,9,1478,1486,1,0.5,0,5,2,"Selection of a proper spinal cord injury (SCI) rat model to study therapeutic effects of cell transplantation is imperative for research in cardiovascular functional recovery, due to the local harsh milieu inhibiting cell growth. We recently found that a crushed spinal cord lesion can minimize fibrotic scarring and grafted cell death compared with open-dura injuries. To determine if this SCI model is applicable for studying cardiovascular recovery, we examined hemodynamic consequences following crushed SCI and tested cardiovascular responses to serotonin (5-HT) or dopamine (DA) receptor agonists. Using a radio-telemetric system, multiple cardiovascular parameters were recorded prior to, 2, and 4 weeks after SCI, including resting mean arterial pressure (MAP) and heart rate (HR), as well as spontaneous or colorectal distension (CRD)-induced autonomic dysreflexia (AD). The results showed that this injury caused tachycardia at rest as well as the occurrence of spontaneous or artificially induced dysreflexic events. Four weeks post-injury, specific activation of 5-HT2A receptors by subcutaneous (s.c.) or intrathecal (i.t.) delivery of Dimethoxy-4-iodoamphetamine (DOI) remarkably increased resting MAP levels in a dose-dependent fashion. During CRD-induced autonomic dysreflexia, systemic administration of DOI alleviated the severity of bradycardia responsive to episodic hypertension. In contrast, selective stimulation of 5-HT1A receptors with 8-OH-DPAT or non-selective activation of DA receptors with apomorphine did not affect cardiovascular performance. Thus, crush injuries induce cardiovascular abnormalities in rats that are sensitive to 5-HT2A receptor stimulation, indicating a reliable SCI model to study how cell-based approaches impact the severity of autonomic dysreflexia and identify a possible target for pharmacological interventions.","dopamine"
"7",1,"Andrew F. Adler, Anders Bjorklund, Malin Parmar","Transsynaptic tracing and its emerging use to assess graft-reconstructed neural circuits",2020,"Stem Cells","Wiley",NA,NA,74,"2021-01-16 14:12:31","Review","10.1002/stem.3166","1066-5099",NA,38,6,716,726,1,1,0,3,1,"Fetal neural progenitor grafts have been evaluated in preclinical animal models of spinal cord injury and Parkinson's disease for decades, but the initial reliance on primary tissue as a cell source limited the scale of their clinical translatability. With the development of robust methods to differentiate human pluripotent stem cells to specific neural subtypes, cell replacement therapy holds renewed promise to treat a variety of neurodegenerative diseases and injuries at scale. As these cell sources are evaluated in preclinical models, new transsynaptic tracing methods are making it possible to study the connectivity between host and graft neurons with greater speed and detail than was previously possible. To date, these studies have revealed that widespread, long-lasting, and anatomically appropriate synaptic contacts are established between host and graft neurons, as well as new aspects of host-graft connectivity which may be relevant to clinical cell replacement therapy. It is not yet clear, however, whether the synaptic connectivity between graft and host neurons is as cell-type specific as it is in the endogenous nervous system, or whether that connectivity is responsible for the functional efficacy of cell replacement therapy. Here, we review evidence suggesting that the new contacts established between host and graft neurons may indeed be cell-type specific, and how transsynaptic tracing can be used in the future to further elucidate the mechanisms of graft-mediated functional recovery in spinal cord injury and Parkinson's disease.","dopamine"
"8",1,"Nathan Evaniew, Shahriar J. Mazlouman, Emilie P. Belley-Cote, W. Bradley Jacobs, Brian K. Kwon","Interventions to Optimize Spinal Cord Perfusion in Patients with Acute Traumatic Spinal Cord Injuries: A Systematic Review",2020,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,75,"2021-01-16 14:12:31","Review","10.1089/neu.2019.6844","0897-7151",NA,37,9,1127,1139,1,1,0,5,1,"Interventions to optimize spinal cord perfusion via support of mean arterial pressure (MAP) or spinal cord perfusion pressure (SCPP) are thought to play a critical role in the management of patients with acute traumatic spinal cord injuries, but there is ongoing controversy about efficacy and safety. We aimed to determine the effects of optimizing spinal cord perfusion on neurological recovery and risks for adverse events. We searched multiple databases for published and unpublished reports. Two reviewers independently screened articles, extracted data, and evaluated risk of bias. We synthesized data and evaluated confidence in anticipated treatment effects according to the Grades of Recommendation, Assessment, Development, and Evaluation (GRADE) approach. We identified 20 eligible observational studies and 1 eligible randomized controlled trial. According to low or very low quality evidence, the effect of MAP support on neurological recovery after acute traumatic spinal cord injury is uncertain, and the use of vasopressors to support MAP may be associated with increased rates of predominantly cardiac adverse events. Increased SCPP appears likely to be associated with improved neurological recovery, but SCPP monitoring via intradural catheters at the anatomical site of injury may involve increased risks of cerebrospinal fluid leakage requiring revision surgery or pseudomeningocele. No study directly compared the effects of specific MAP goal ranges, SCPP ranges, SCPP monitoring techniques, or durations of treatment. Very low quality evidence suggests that norepinephrine may have less risk of adverse events than dopamine. The current literature is insufficient to make strong recommendations about interventions to support spinal cord perfusion via MAP or SCPP goals in patients with acute traumatic spinal cord injuries. Data are compatible with a variety of treatment decisions, and individualized approaches may be optimal. Further investigation to clarify the risks, benefits, and alternatives to MAP or SCPP support in this population is warranted.","dopamine"
"9",1,"Ya Li, Zhongbing Huang, Ximing Pu, Xianchun Chen, Guangfu Yin, Yulin Wang, Deqiang Miao, Junbing Fan, Jiachen Mu","Polydopamine/carboxylic graphene oxide-composited polypyrrole films for promoting adhesion and alignment of Schwann cells",2020,"Colloids And Surfaces B-Biointerfaces","Elsevier",NA,NA,76,"2021-01-16 14:12:31","Article","10.1016/j.colsurfb.2020.110972","0927-7765",NA,191,NA,NA,NA,1,1,0,9,1,"Polydopamine (PDA)- and carboxylic graphene oxide (CGO)-composited polypyrrole (PPy) films were prepared via electrospinning of poly-l-lactic acid (PLLA), electrodeposition of PPy blended with CGO and polymerization of dopamine (PDA/CGO/PPy-PLLA), and its surface conductivity and elastic modulus reached to similar to 17.3 S/cm and similar to 260 MPa, respectively. PDA composition could maintain the higher conduction and elastic modulus of this film after the immersion of 3 w, due to the stronger force between PDA molecule and CGO sheets or PPy particles. The results of cell experiments indicated the better adhesion and higher expression of neural proteins in rat Schwann cells (RSCs) on PDA/CGO/PPy-PLLA films, because the composition of PDA provided more absorption and immobilization site for proteins and the regular coating of PDA particles on the CGO sheets reduced the potential damage of Graphene derivatives on the cell membrane integrity. Electrical stimulation (ES) could facilitate similar to 31 % of RSCs to align along the current direction on PDA/CGO/PPy-PLLA films, significantly higher than those on PPy-PLLA and CGO/PPy-PLLA films. A mechanism about the cell alignment on films with ES was proposed: the movement of the cytomembrane proteins under ES and their linkage with serum proteins immobilized by PDA facilitated the extension of growth cone along the ES direction.","dopamine"
"10",2,"Tak-Ho Chu, Karen Cummins, Peter K. Stys","The triple monoamine re-uptake inhibitor DOV 216,303 promotes functional recovery after spinal cord contusion injury in mice",2018,"Neuroscience Letters","Elsevier Ireland Ltd",NA,NA,67,"2021-01-16 14:12:31","Article","10.1016/j.neulet.2018.03.050","0304-3940",NA,675,NA,1,6,2,0.67,1,3,3,"Serotonin, noradrenaline and dopamine are important neuromodulators for locomotion in the spinal cord Disruption of descending axons after spinal cord injury resulted in reduction of excitatory and neuromodulatory inputs to spinal neurons for locomotion Receptor agonists or reuptake inhibitors for these neuromodulators have been shown to be beneficial in incomplete spinal cord injury In this study, we tested a triple re uptake inhibitor, DOV 216,303, for its ability to affect motor function recovery after spinal cord injury in mice We impacted C57 mouse spinal cord at the Til vertebral level and administered vehicle or DOV 216,303 at 10 mg/kg, b.i.d. via intraperitoneal injections for 7 days We monitored motor function with the Basso Mouse Scale for locomotion for 4 weeks Spinal cords were harvested and histological examinations were performed to assess tissue sparing and lesion severity Results showed that DOV 216,303-treated mice recovered significantly better than vehicle treated mice starting at 14 days post injury until the end of the survival period Lesion size of the DOV 216,303 treated mice was also smaller compared to that of vehicle treated mice This study suggests DOV 216,303 as a potential therapeutic after spinal cord injury warrants further investigation.","dopamine"
