"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Zhongsen Li, Fan Yu, Xuefei Yu, Shaohua Wang","Potential Molecular Mechanism and Biomarker Investigation for Spinal Cord Injury Based on Bioinformatics Analysis",2020,"Journal Of Molecular Neuroscience","Humana Press Inc",NA,NA,19,"2021-01-16 14:38:44","Article","10.1007/s12031-020-01549-0","0895-8696",NA,70,9,1345,1353,0,0,0,4,1,"This study aimed to explore the detailed molecular mechanism and biomarkers in spinal cord injury (SCI). Gene expression profiles of GSE125630 were downloaded from the Gene Expression Omnibus (GEO) database, and comprised 14 spinal cord tissues, including contusion SCI group (n = 6, unexercised), complete transection group (n = 4, unexercised), and uninjured control group (n = 4, unexercised). Differentially expressed gene (DEG) and time-series gene investigations, functional enrichment analysis, protein-protein interaction (PPI) network construction, characteristic gene-related disease analysis, and TF-target gene interaction studies were performed. A total of 122 DEGs and 409 DEGs were respectively identified in contusion SCI versus control group and complete transection versus control group, respectively. The PPI network investigated 16 characteristic genes including corticotropin-releasing hormone (CRH), tyrosine hydroxylase (TH), and neurotensin (NTS). These genes were mainly enriched in functions involving response to ethanol, corticosterone, and estradiol. Eventually, a TF-target gene interaction network was constructed with nine TFs [including activating transcription factor 3 (ATF3)] and 10 characteristic genes. The results indicate that regulation of osteoblast differentiation and positive regulation of the BMP signaling pathway may be suppressed in the process of SCI. TH may play a pivotal role in the progression of SCI. In addition, DEGs such as CRH and NTS may be novel targets for SCI therapy.","ethanol"
"2",1,"Parag Suresh Mahajan, Joyal Jacob Mathew, Abhilash Pulincherry Jayaram, Vidya Chander Negi, Mohamed Milad Abu Hmaira","Magnetic resonance imaging features of brain and spinal cord injury in a fatal case of isopropanol intoxication",2014,"International Medical Case Reports Journal","Dove Medical Press Ltd",NA,NA,18,"2021-01-16 14:38:44","Article","10.2147/IMCRJ.S60082","1179-142X",NA,7,NA,57,61,1,0.14,0,5,7,"A 60-year-old man presented with headache, dizziness, and disorientation one day after consumption of isopropanol along with ethanol. Computed tomography (CT) of the brain performed immediately was unremarkable. The patient collapsed within the hospital 30 minutes after the CT scan was done, and remained comatose until death, showing no improvement with symptomatic treatment. Magnetic resonance imaging of the brain and spine done 6 days after admission revealed bilaterally symmetrical hyperintensities involving the cerebral and cerebellar cortex and white matter, basal ganglia, thalami, and brainstem on T2-weighted, fluid attenuated inversion recovery and diffusion weighted images; similar hyperintensities were seen involving the swollen and edematous cervical spinal cord and cerebellar tonsillar herniation compressing the proximal cervical cord. Petechial hemorrhages were also noted within the brainstem. These features are compatible with toxic injury to the brain and cervical spinal cord. To our knowledge, the magnetic resonance imaging features of brain and spinal cord injury and cerebellar tonsillar herniation, secondary to isopropanol intoxication have not been reported in the published literature before.","ethanol"
"3",2,"Stoica Simona-Isabelle, Carmen Chiparus, Magdalena Lapadat, Dumitrascu Andreca, Nohai Iulia-Maria, Gelu Onose","Clinical-therapeutic and recuperators complex aspects in a chronic ethanol-consuming patient with incomplete AIS / Frankel D tetraplegia after cervical SCI on the background of ankylosing spondylitis, with C6 transosus fracture operated (by mixed osteosynthesis) and immobilized in the halo-vest by falling from its own level and the posterior cerebral artery ischemic stroke (possibly by vertebral artery dissection)",2018,"Balneo Research Journal","Romanian Assoc Balneology",NA,NA,17,"2021-01-16 14:38:44","Article","10.12680/balneo.2018.206","2069-7597",NA,9,3,328,331,2,0.67,0,6,3,"Spinal cord injuries and strokes are frequent causes of motor deficit in patients of all ages, with complex family and social consequences (through sensitivity and movement disorders). On the other hand, toxic-nutritional abuses (especially ethanolic) cause morpho-physiological changes throughout the body, with frequent consecutive neuro-psychic manifestations, followed by (potentially) various traumatic injuries. Therefore, the biological and scientific clinical follow-up of traumatized vertebro-medullary patients is of particular importance. With the approval of the Bioethics Commission of the Bagdasar Arseni Emergency Clinical Hospital (TEHBA) Bucharest (number 9181 dated April 11, 2018), we will present the special case of a patient admitted to the Neuromuscular Recovery Clinic of THEBA for incomplete tetraplegia motor deficit AIS/Frankel D, with neurologic level C6 after a vertebral-medullary trauma (produced in conditions of ethanol abuse) and with parieto-occipital ischemic vascular accident produced simultaneously. The peculiarities of this case are the possible (but less common) immediate consequences of vertebral-medullary traumas: paravertebral nervous ganglion lesions; arterial (carotid / vertebral) dissections, which can cause ischemic lesions, all requiring appropriate clinical and therapeutic management. Spinal cord injuries can be favored by toxic-nutritional abuse and may have immediate, late, and permanent morpho-physiological consequences. However, sometimes the clinical evolution and prognosis are surprisingly positive.","ethanol"
"4",3,"Wen-Lai Guo, Zhi-Ping Qi, Li Yu, Tian-Wen Sun, Wen-Rui Qu, Qian-Qian Liu, Zhe Zhu, Rui Li","Melatonin combined with chondroitin sulfate ABC promotes nerve regeneration after root-avulsion brachial plexus injury",2019,"Neural Regeneration Research","Wolters Kluwer Medknow Publications",NA,NA,16,"2021-01-16 14:38:44","Article","10.4103/1673-5374.244796","1673-5374",NA,14,2,328,338,3,1.5,0,8,2,"After nerve-root avulsion injury of the brachial plexus, oxidative damage, inflammatory reaction, and glial scar formation can affect nerve regeneration and functional recovery. Melatonin (MT) has been shown to have good anti-inflammatory, antioxidant, and neuroprotective effects. Chondroitin sulfate ABC (ChABC) has been shown to metabolize chondroitin sulfate proteoglycans and can reduce colloidal scar formation. However, the effect of any of these drugs alone in the recovery of nerve function after injury is not completely satisfactory. Therefore, this experiment aimed to explore the effect and mechanism of combined application of melatonin and chondroitin sulfate ABC on nerve regeneration and functional recovery after nerve-root avulsion of the brachial plexus. Fifty-two Sprague-Dawley rats were selected and their C5-7 nerve roots were avulsed. Then, the C6 nerve roots were replanted to construct the brachial plexus nerve-root avulsion model. After successful modeling, the injured rats were randomly divided into four groups. The first group (injury) did not receive any drug treatment, but was treated with a pure gel-sponge carrier nerve-root implantation and an ethanol-saline solution via intraperitoneal (i.p.) injection. The second group (melatonin) was treated with melatonin via i.p. injection. The third group (chondroitin sulfate ABC) was treated with chondroitin sulfate ABC through local administration. The fourth group (melatonin + chondroitin sulfate ABC) was treated with melatonin through i.p. injection and chondroitin sulfate ABC through local administration. The upper limb Terzis grooming test was used 2-6 weeks after injury to evaluate motor function. Inflammation and oxidative damage within 24 hours of injury were evaluated by spectrophotometry. Immunofluorescence and neuroelectrophysiology were used to evaluate glial scar, neuronal protection, and nerve regeneration. The results showed that the Terzis grooming-test scores of the three groups that received treatment were better than those of the injury only group. Additionally, these three groups showed lower levels of C5-7 intramedullary peroxidase and malondialdehyde. Further, glial scar tissue in the C6 spinal segment was smaller and the number of motor neurons was greater. The endplate area of the biceps muscle was larger and the structure was clear. The latency of the compound potential of the myocutaneous nerve-biceps muscle was shorter. All these indexes were even greater in the melatonin + chondroitin sulfate ABC group than in the melatonin only or chondroitin sulfate ABC only groups. Thus, the results showed that melatonin combined with chondroitin sulfate ABC can promote nerve regeneration after nerve-root avulsion injury of the brachial plexus, which may be achieved by reducing oxidative damage and inflammatory reaction in the injury area and inhibiting glial scar formation.","ethanol"
"5",4,"J. C. Furlan, M. G. Fehlings","Blood alcohol concentration as a determinant of outcomes after traumatic spinal cord injury",2013,"European Journal Of Neurology","Wiley-Blackwell",NA,NA,15,"2021-01-16 14:38:44","Article","10.1111/ene.12145","1351-5101",NA,20,7,1101,1106,4,0.5,2,2,8,"Background Pre-clinical studies indicate a potential detrimental effect of ethanol on tissue sparing and locomotor recovery in animal models of spinal cord injury (SCI). Given this, an examination of whether blood alcohol concentration (BAC) is a potential determinant of survival and neurological and functional recovery after acute traumatic SCI was carried out. Methods All patients who were enrolled in the Third National Spinal Cord Injury Study (NASCIS-3) were included. The study population was divided into non-alcohol' (BAC equal to 0 parts per thousand), legal' (BAC greater than 0 up to 0.8 parts per thousand) and illegal' (BAC greater than 0.8 parts per thousand) subgroups. Outcome measures included survival, NASCIS motor and sensory scores, NASCIS pain scores and Functional Independence Measure (FIM) determinants at baseline and at 6weeks, 6months and 1year post-SCI. Analyses were adjusted for major potential confounders: age, sex, ethnicity, trial protocol, Glasgow coma score, and cause, level and severity of SCI. Results Among 499 patients (423 males and 76 females; ages from 14 to 92years), the mean BAC was 0.054 +/- 0.006 parts per thousand (range 0-1). The survival at 1year (94.4%) was not associated with the BAC (P=0.374). Moreover, BAC was not significantly correlated with motor recovery (0.166), sensory recovery (0.323), change in pain score (0.312) or functional recovery (0.133) at 6weeks, 6months and 1year post-SCI. Conclusions Our results, for the first time, show that the BAC at emergency admission does not adversely affect the patients' mortality, neurological impairment or functional disability over the course of the first year after SCI.","ethanol"
"6",7,"Sara Daneshjou, Bahareh Dabirmanesh, Fereshteh Rahimi, Khosro Khajeh","Porous silicon nanoparticle as a stabilizing support for chondroitinase",2017,"International Journal Of Biological Macromolecules","Elsevier Science Bv",NA,NA,14,"2021-01-16 14:38:44","Article","10.1016/j.ijbiomac.2016.10.077","0141-8130",NA,94,NA,852,858,7,1.75,2,4,4,"Chondroitinase ABCI (cABCI) from Proteus vulgaris is a drug enzyme that can be used to treat spinal cord injuries. One of the main problems of chondroitinase ABC1 is its low thermal stability. The objective of the current study was to stabilize the enzyme through entrapment within porous silicon (pSi) nanoparticles. pSi was prepared by an electrochemical etch of p-type silicon using hydrofluoric acid/ethanol. The size of nanoparticles were determined 180 nm by dynamic light scattering and the mean pore diameter was in the range of 40-60 nm obtained by scanning electron microscopy. Enzymes were immobilized on porouse silicon nanoparticles by entrapment. The capacity of matrix was 35 mu g enzyme per 1 mg of silicon. The immobilized enzyme displayed lower V-max values compared to the free enzyme, but Km values were the same for both enzymes. Immobilization significantly increased the enzyme stability at various temperatures (-20, 4, 25 and 37 degrees C). For example, at 4 degrees C, the free enzyme (in 10 mM imidazole) retained 20% of its activity after 100 min, while the immobilized one retained 50% of its initial activity. Nanoparticles loading capacity and the enzyme release rate showed that the selected particles could be a pharmaceutically acceptable carrier for chondroitinase. (C) 2016 Elsevier B.V. All rights reserved.","ethanol"
"7",8,"PS HALT, RA SWANSON, AI FADEN","ALCOHOL EXACERBATES BEHAVIORAL AND NEUROCHEMICAL EFFECTS OF RAT SPINAL-CORD TRAUMA",1992,"Archives Of Neurology","Amer Medical Assoc",NA,NA,13,"2021-01-16 14:38:44","Article","10.1001/archneur.1992.00530350096025","0003-9942",NA,49,11,1178,1184,8,0.28,3,3,29,"Acute alcohol intoxication may exacerbate the consequences of central nervous system trauma, although the mechanism is uncertain. Effects of acute ethanol administration on behavioral and neurochemical changes were examined in rats after traumatic spinal cord injury. Survival rates were reduced and posttraumatic neurologic function worsened in ethanol-treated as compared with saline-treated controls. Ethanol-treated rats had significantly lower tissue levels of excitatory amino acids and higher levels of free fatty acids, thromboxane, and lactic acid than did controls. Tissue magnesium concentration was significantly reduced by trauma and recovered more slowly in ethanol-treated rats. Enhanced phospholipid hydrolysis with free fatty acid and thromboxane accumulation, increased release of excitatory amino acids, and decreased tissue magnesium levels may each serve to worsen secondary tissue damage and diminish neurologic recovery after spinal cord injury associated with acute alcohol intoxication.","ethanol"
"8",9,"Panieh Terraf, Shideh Montasser Kouhsari, Jafar Ai, Hamideh Babaloo","Tissue-Engineered Regeneration of Hemisected Spinal Cord Using Human Endometrial Stem Cells, Poly epsilon-Caprolactone Scaffolds, and Crocin as a Neuroprotective Agent",2017,"Molecular Neurobiology","Humana Press Inc",NA,NA,11,"2021-01-16 14:38:44","Article","10.1007/s12035-016-0089-7","0893-7648",NA,54,7,5657,5667,9,2.25,2,4,4,"Loss of motor and sensory function as a result of neuronal cell death and axonal degeneration are the hallmarks of spinal cord injury. To overcome the hurdles and achieve improved functional recovery multiple aspects, it must be taken into account. Tissue engineering approaches by coalescing biomaterials and stem cells offer a promising future for treating spinal cord injury. Here we investigated human endometrial stem cells (hEnSCs) as our cell source. Electrospun poly epsilon-caprolactone (PCL) scaffolds were used for hEnSC adhesion and growth. Scanning electron microscopy (SEM) confirmed the attachment and survival of stem cells on the PCL scaffolds. The scaffold-stem cell construct was transplanted into the hemisected spinal cords of adult male rats. Crocin, an ethanol-extractable component of Crocus sativus L., was administered to rats for 15 consecutive days post injury. Neurite outgrowth and axonal regeneration were investigated using immunohistochemical staining for neurofilament marker NF-H and luxol-fast blue (LFB) staining, respectively. TNF-alpha staining was performed to determine the inflammatory response in each group. Functional recovery was assessed via the Basso-Beattie-Bresnahan (BBB) scale. Results showed that PCL scaffolds seeded with hEnSCs restored the continuity of the damaged spinal cord and decreased cavity formation. Additionally, hEnSC-seeded scaffolds contributed to the functional recovery of the spinal cord. Hence, hEnSC-seeded PCL scaffolds may serve as promising transplants for spinal cord tissue engineering purposes. Furthermore, crocin had an augmenting effect on spinal cord regeneration and proved to exert neuroprotective effects on damaged neurons and may be further studied as a promising drug for spinal cord injury.","ethanol"
"9",10,"Masaki Kasai, Hidefumi Fukumitsu, Hitomi Soumiya, Shoei Furukawa","Ethanol Extract of Chinese Propolis Facilitates Functional Recovery of Locomotor Activity after Spinal Cord Injury",2011,"Evidence-Based Complementary And Alternative Medicine","Hindawi Ltd",NA,NA,12,"2021-01-16 14:38:44","Article","10.1155/2011/749627","1741-427X",NA,2011,NA,NA,NA,10,1,3,4,10,"An ethanol extract of Chinese propolis (EECP) was given intraperitoneally to rats suffering from hemitransection of half of their spinal cord (left side) at the level of the 10th thoracic vertebra to examine the effects of the EECP on the functional recovery of locomotor activity and expression of mRNAs of inducible nitric oxide (NO) synthase (iNOS) and neurotrophic factors in the injury site. Daily administration of EECP after the spinal cord injury ameliorated the locomotor function, which effect was accompanied by a reduced lesion size. Furthermore, the EECP suppressed iNOS gene expression, thus reducingNOgeneration, and also increased the expression level of brain-derived neurotrophic factor and neurotrophin-3 mRNAs in the lesion site, suggesting that the EECP reduced the inflammatory and apoptotic circumstances through attenuation of iNOS mRNA expression and facilitation of mRNA expression of neurotrophins in the injured spinal cord. These results suggest that Chinese propolis may become a promising tool for wide use in the nervous system for reducing the secondary neuronal damage following primary physical injury.","ethanol"
"10",15,"Diego V. Beckmann, Fabiano B. Carvalho, Cinthia M. Mazzanti, Rosmarini P. dos Santos, Amanda O. Andrades, Graciane Aiello, Angel Rippilinger, Dominguita L. Graca, Fatima H. Abdalla, Lizielle S. Oliveira, Jessie M. Gutierres, Maria Rosa C. Schetinger, Alexandre Mazzanti","Neuroprotective role of quercetin in locomotor activities and cholinergic neurotransmission in rats experimentally demyelinated with ethidium bromide",2014,"Life Sciences","Pergamon-Elsevier Science Ltd",NA,NA,9,"2021-01-16 14:38:44","Article","10.1016/j.lfs.2014.03.033","0024-3205",NA,103,2,79,87,15,2.14,2,13,7,"Aim: The purpose of this study was to investigate whether the flavonoid quercetin can prevent alterations in the behavioral tests and of cholinergic neurotransmission in rats submitted to the ethidium bromide (EB) experimental demyelination model during events of demyelination and remyelination.","ethanol"
