"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",4,"V. M. Tysseling, D. A. Klein, R. Imhoff-Manuel, M. Manuel, C. J. Heckman, M. C. Tresch","Constitutive activity of 5-HT2C receptors is present after incomplete spinal cord injury but is not modified after chronic SSRI or baclofen treatment",2017,"Journal Of Neurophysiology","Amer Physiological Soc",NA,NA,11,"2021-01-16 15:12:55","Article","10.1152/jn.00190.2017","0022-3077",NA,118,5,2944,2952,4,1,1,6,4,"After spinal cord injury (SCI), reflexes become hyperexcitable, leading to debilitating muscle spasms and compromised motor function. Previous work has described adaptations in spinal systems that might underlie this hyperexcitability, including an increase in constitutively active 5-HT2C receptors in spinal motoneurons. That work, however, examined adaptations following complete transection SCI, whereas SCI in humans is usually anatomically and functionally incomplete. We therefore evaluated whether constitutive activity of 5-HT2C receptors contributes to reflex hyperexcitability in an incomplete compression model of SCI and to spasms in vitro and in vivo. Our results confirm that 5-HT2C receptor constitutive activity contributes to reflex excitability after incomplete SCI. We also evaluated whether constitutive activity could be altered by manipulation of neural activity levels after SCI, testing the hypothesis that it reflects homeostatic processes acting to maintain spinal excitability. We decreased neural activity after SCI by administering baclofen and increased activity by administering the selective serotonin reuptake inhibitor (SSRI) fluoxetine. We found that drug administration produced minimal alterations in in vivo locomotor function or reflex excitability. Similarly, we found that neither baclofen nor fluoxetine altered the contribution of constitutively active 5-HT2C receptors to reflexes after SCI, although the contribution of 5-HT2C receptors to reflex activity was altered after SSRIs. These results confirm the importance of constitutive activity in 5-HT2C receptors to spinal hyperexcitability following SCI in the clinically relevant case of incomplete SCI but suggest that this activity is not driven by homeostatic processes that act to maintain overall levels of spinal excitability.","fluoxetine"
"2",6,"Youngjae Ryu, Toru Ogata, Motoshi Nagao, Yasuhiro Sawada, Ryohei Nishimura, Naoki Fujita","Effects of Treadmill Training Combined with Serotonergic Interventions on Spasticity after Contusive Spinal Cord Injury",2018,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,10,"2021-01-16 15:12:55","Article","10.1089/neu.2017.5400","0897-7151",NA,35,12,1358,1366,6,2,1,6,3,"Spasticity usually emerges during the course of recovery from spinal cord injury (SCI). While medications and physical rehabilitation are prescribed to alleviate spastic symptoms, the insufficiency of their effects remains an important problem to be addressed. Given the challenges associated with increasing the dose of medication, we hypothesized that a combination therapy with medication and physical rehabilitation can be effective. Therefore, we examined the effects of treadmill training (TMT) along with serotonergic medication using a spastic rat model after contusive injury. Spasticity-strong SCI rats were selected 4 weeks after SCI and received one of the following interventions for 2 weeks: only TMT, TMT with fluoxetine (a selective serotonin re-uptake inhibitor), TMT with cyproheptadine (a 5-HT2 receptor antagonist), only fluoxetine, or only cyproheptadine. We performed the swimming test to quantify the frequency of spastic behaviors. We also evaluated hindlimb locomotor functions every week. At the end of the intervention, we examined the Hoffman reflex from the plantar muscle and the immunoreactivity of the 5-HT2A receptor in spinal cord tissues. While the TMT group and cyproheptadine-treated groups showed decreased spastic behaviors and reduction in spinal hyperreflexia, the fluoxetine-treated group showed the opposite effect, even with TMT. Moreover, TMT suppressed the expression of the 5-HT2A receptor in the lumbar spinal motor neurons, while cyproheptadine treatment did not change it. We did not observe any differences in locomotor functions between the groups. Taken together, our findings indicate that TMT and cyproheptadine significantly alleviated spastic symptoms, but did not show synergistic or additive effects.","fluoxetine"
"3",9,"Shih-Hui Hsu, Kun-Ze Lee","Effects of serotonergic agents on respiratory recovery after cervical spinal injury",2015,"Journal Of Applied Physiology","Amer Physiological Soc",NA,NA,9,"2021-01-16 15:12:55","Article","10.1152/japplphysiol.00329.2015","8750-7587",NA,119,10,1075,1087,9,1.5,5,2,6,"Unilateral cervical spinal cord hemisection (i.e., C2Hx) usually interrupts the bulbospinal respiratory pathways and results in respiratory impairment. It has been demonstrated that activation of the serotonin system can promote locomotor recovery after spinal cord injury. The present study was designed to investigate whether serotonergic activation can improve respiratory function during the chronic injury state. Bilateral diaphragm electromyogram and tidal volume were measured in anesthetized and spontaneously breathing adult rats at 8 wk post-C2Hx or C-2 laminectomy. A bolus intravenous injection of a serotonin precursor [5-hydroxytryptophan (5-HTP), 10 mg/kg], a serotonin reuptake inhibitor (fluoxetine, 10 mg/kg), or a potent agonist for serotonin 2A receptors (TCB-2, 0.05 mg/kg) was used to activate the serotonergic system. Present results demonstrated that 5-HTP and TCB-2, but not fluoxetine, significantly increased the inspiratory activity of the diaphragm electromyogram ipsilateral to the lesion for at least 30 min in C2Hx animals, but not in animals that received sham surgery. However, the tidal volume was not increased after administration of 5-HTP or TCB-2, indicating that the enhancement of ipsilateral diaphragm activity is not associated with improvement of the tidal volume. These results suggest that exogenous activation of the serotonergic system can specifically enhance the ipsilateral diaphragmatic motor outputs, but this approach may not be sufficient to improve respiratory functional recovery following chronic cervical spinal injury.","fluoxetine"
"4",11,"Jee Y. Lee, Hae Y. Choi, Tae Y. Yune","Fluoxetine and vitamin C synergistically inhibits blood-spinal cord barrier disruption and improves functional recovery after spinal cord injury",2016,"Neuropharmacology","Pergamon-Elsevier Science Ltd",NA,NA,8,"2021-01-16 15:12:55","Article","10.1016/j.neuropharm.2016.05.018","0028-3908",NA,109,NA,78,87,11,2.2,4,3,5,"Recently we reported that fluoxetine (10 mg/kg) improves functional recovery by attenuating blood spinal cord barrier (BSCB) disruption after spinal cord injury (SCI). Here we investigated whether a low dose of fluoxetine (1 mg/kg) and vitamin C (100 mg/kg), separately not possessing any protective effect, prevents BSCB disruption and improves functional recovery when combined. After a moderate contusion injury at T9 in rat, a low-dose of fluoxetine and vitamin C, or the combination of both was administered intraperitoneally immediately after SCI and further treated once a day for 14 d. Co-treatment with fluoxetine and vitamin C significantly attenuated BSCB permeability at 1 d after SCI. When only fluoxetine or vitamin C was treated after injury, however, there was no effect on BSCB disruption. Co treatment with fluoxetine and vitamin C also significantly inhibited the expression and activation of MMP-9 at 8 h and 1 d after injury, respectively, and the infiltration of neutrophils (at 1 d) and macrophages (at 5 d) and the expression of inflammatory mediators (at 2 h, 6 h, 8 h or 24 h after injury) were significantly inhibited by co-treatment with fluoxetine and vitamin C. Furthermore, the combination of fluoxetine and vitamin C attenuated apoptotic cell death at 1 d and 5 d and improved locomotor function at 5 weeks after SCI. These results demonstrate the synergistic effect combination of low-dose fluoxetine and vitamin C on BSCB disruption after SCI and furthermore support the effectiveness of the combination treatment regimen for the management of acute SCI. (C) 2016 Elsevier Ltd. All rights reserved.","fluoxetine"
"5",13,"A. F. Cristante, T. E. P. B. Filho, R. P. Oliveira, R. M. Marcon, R. Ferreira, G. B. Santos","Effects of antidepressant and treadmill gait training on recovery from spinal cord injury in rats",2013,"Spinal Cord","Nature Publishing Group",NA,NA,6,"2021-01-16 15:12:55","Article","10.1038/sc.2013.18","1362-4393",NA,51,6,501,507,13,1.63,2,6,8,"Study design: Experimental, controlled, animal study.","fluoxetine"
"6",13,"Christopher K. Thompson, T. George Hornby","Divergent Modulation of Clinical Measures of Volitional and Reflexive Motor Behaviors following Serotonergic Medications in Human Incomplete Spinal Cord Injury",2013,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,7,"2021-01-16 15:12:55","Article","10.1089/neu.2012.2515","0897-7151",NA,30,6,498,502,13,1.63,7,2,8,"Incomplete spinal cord injury (SCI) can result in profound impairments in volitional strength and reflex excitability, which contribute to loss of function. Human and animal models suggest that disruption of endogenous monoaminergic input, particularly serotonin (5-HT), from supraspinal centers contributes to this impaired motor function following SCI. In the present study, we investigated the effects of 5-HT medications on motor function in individuals with chronic (> 1 year) SCI. Clinical measures of strength, spasticity/spasms, and walking ability were assessed in 12 individuals with chronic incomplete SCI following acute administration of either 8 mg cyproheptadine, a 5-HT antagonist, or 10 mg escitalopram, a selective 5-HT reuptake inhibitor (SSRI), in a double-blinded, randomized, crossover fashion. Results indicated that 5-HT medications modulated both volitional and reflexive behaviors with little change in walking performance; 5-HT antagonist medications depressed clinical measures of strength and spasticity/spasms, whereas SSRIs augmented both strength and spasticity/spasms. These changes are consistent with the dysregulation of 5-HT sensitive spinal neurons following SCI. This understanding may augment clinicians' awareness of the motor consequences of 5-HT medications.","fluoxetine"
"7",15,"Manuela Scali, Tatjana Begenisic, Marco Mainardi, Marco Milanese, Tiziana Bonifacino, Giambattista Bonanno, Alessandro Sale, Lamberto Maffei","Fluoxetine treatment promotes functional recovery in a rat model of cervical spinal cord injury",2013,"Scientific Reports","Nature Publishing Group",NA,NA,5,"2021-01-16 15:12:55","Article","10.1038/srep02217","2045-2322",NA,3,NA,NA,NA,15,1.88,2,8,8,"Spinal cord injury (SCI) is a severe condition leading to enduring motor deficits. When lesions are incomplete, promoting spinal cord plasticity might be a useful strategy to elicit functional recovery. Here we investigated whether long-term fluoxetine administration in the drinking water, a treatment recently demonstrated to optimize brain plasticity in several pathological conditions, promotes motor recovery in rats that received a C4 dorsal funiculus crush. We show that fluoxetine administration markedly improved motor functions compared to controls in several behavioral paradigms. The improved functional effects correlated positively with significant sprouting of intact corticospinal fibers and a modulation of the excitation/inhibition balance. Our results suggest a potential application of fluoxetine treatment as a non invasive therapeutic strategy for SCI-associated neuropathologies.","fluoxetine"
"8",25,"Jee Y. Lee, So R. Kang, Tae Y. Yune","Fluoxetine Prevents Oligodendrocyte Cell Death by Inhibiting Microglia Activation after Spinal Cord Injury",2015,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,4,"2021-01-16 15:12:55","Article","10.1089/neu.2014.3527","0897-7151",NA,32,9,633,644,25,4.17,8,3,6,"Oligodendrocyte cell death and axon demyelination after spinal cord injury (SCI) are known to be important secondary injuries contributing to permanent neurological disability. Thus, blocking oligodendrocyte cell death should be considered for therapeutic intervention after SCI. Here, we demonstrated that fluoxetine, an antidepressant drug, alleviates oligodendrocyte cell death by inhibiting microglia activation after SCI. After injury at the T9 level with a Precision Systems and Instrumentation (Lexington, KY) device, fluoxetine (10 mg/kg, intraperitoneal) was administered once a day for the indicated time points. Immunostaining with CD11b (OX-42) antibody and quantification analysis showed that microglia activation was significantly inhibited by fluoxetine at 5 days after injury. Fluoxetine also significantly inhibited activation of p38 mitogen-activated protein kinase (p38-MAPK) and expression of pro-nerve growth factor (pro-NGF), which is known to mediate oligodendrocyte cell death through the p75 neurotrophin receptor after SCI. In addition, fluoxetine attenuated activation of Ras homolog gene family member A and decreased the level of phosphorylated c-Jun and, ultimately, alleviated caspase-3 activation and significantly reduced cell death of oligodendrocytes at 5 days after SCI. Further, the decrease of myelin basic protein, myelin loss, and axon loss in white matter was also significantly blocked by fluoxetine, as compared to vehicle control. These results suggest that fluoxetine inhibits oligodendrocyte cell death by inhibiting microglia activation and p38-MAPK activation, followed by pro-NGF production after SCI, and provide a potential usage of fluoxetine for a therapeutic agent after acute SCI in humans.","fluoxetine"
"9",28,"Kelsey Luedtke, Sioui Maldonado Bouchard, Sarah A. Woller, Mary Katherine Funk, Miriam Aceves, Michelle A. Hook","Assessment of Depression in a Rodent Model of Spinal Cord Injury",2014,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,3,"2021-01-16 15:12:55","Article","10.1089/neu.2013.3204","0897-7151",NA,31,12,1107,1121,28,4,5,6,7,"Despite an increased incidence of depression in patients after spinal cord injury (SCI), there is no animal model of depression after SCI. To address this, we used a battery of established tests to assess depression after a rodent contusion injury. Subjects were acclimated to the tasks, and baseline scores were collected before SCI. Testing was conducted on days 9-10 (acute) and 19-20 (chronic) postinjury. To categorize depression, subjects' scores on each behavioral measure were averaged across the acute and chronic stages of injury and subjected to a principal component analysis. This analysis revealed a two-component structure, which explained 72.2% of between-subjects variance. The data were then analyzed with a hierarchical cluster analysis, identifying two clusters that differed significantly on the sucrose preference, open field, social exploration, and burrowing tasks. One cluster (9 of 26 subjects) displayed characteristics of depression. Using these data, a discriminant function analysis was conducted to derive an equation that could classify subjects as ""depressed'' on days 9-10. The discriminant function was used in a second experiment examining whether the depression-like symptoms could be reversed with the antidepressant, fluoxetine. Fluoxetine significantly decreased immobility in the forced swim test (FST) in depressed subjects identified with the equation. Subjects that were depressed and treated with saline displayed significantly increased immobility on the FST, relative to not depressed, saline-treated controls. These initial experiments validate our tests of depression, generating a powerful model system for further understanding the relationships between molecular changes induced by SCI and the development of depression.","fluoxetine"
"10",55,"C. Engesser-Cesar, A. J. Anderson, C. W. Cotman","Wheel running and fluoxetine antidepressant treatment have differential effects in the hippocampus and the spinal cord",2007,"Neuroscience","Pergamon-Elsevier Science Ltd",NA,NA,2,"2021-01-16 15:12:55","Article","10.1016/j.neuroscience.2006.10.016","0306-4522",NA,144,3,1033,1044,55,3.93,18,3,14,"Exercise and antidepressants used independently have been shown to increase hippocampal brain-derived neurotrophic factor (BDNF) and neurogenesis. Despite the fact that patients with depression are often prescribed both, the effects of the exercise and fluoxetine antidepressant treatment used in combination are unknown. Using C57BI/10 female mice, BDNF protein, insulin-like growth factor 1 (IGF-1) protein and neurogenesis were measured in the hippocampus after 21 days of wheel running, 21 days of fluoxetine antidepressant therapy (daily i.p. injections of 5 mg/kg, 10 mg/kg or 25 mg/kg) and the combination of the two. BDNF protein and cytogenesis/neurogenesis increased in the hippocampus with fluoxetine (high dose), but not wheel running. Hippocampal IGF-1 protein did not change with either treatment. There were no synergistic effects of combining exercise and fluoxetine treatment. Recent reports have also shown that exercise induces molecular mechanisms that benefit the spinal cord and can improve recovery after spinal cord injury (SCI); therefore, we repeated the assays in the spinal cord. Results showed that BDNF, IGF-1 and neurogenesis behave independently in the hippocampus and spinal cord. BDNF protein did not change in the spinal cord with either wheel running or fluoxetine treatment. Spinal cord IGF-1 protein did not change with wheel running, but it decreased with fluoxetine (high dose). Furthermore, spinal cord cytogenesis decreased with fluoxetine treatment. The combined wheel running and fluoxetine groups did not show synergistic results. Thus, the hippocampus and the spinal cord respond in distinct ways to wheel running and fluoxetine, and a prior induction of BDNF, IGF-1 or cytogenesis is unlikely to be the mechanism for wheel running providing a margin of protection against SCI. (c) 2006 IBRO. Published by Elsevier Ltd. All rights reserved.","fluoxetine"
