"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Supti Bhattacharyya, Amit Dinda, Sreenivas Vishnubhatla, Mohammad Faiyaz Anwar, Suman Jain","A combinatorial approach to modulate microenvironment toward regeneration and repair after spinal cord injury in rats",2021,"Neuroscience Letters","Elsevier Ireland Ltd",NA,NA,43,"2021-01-16 15:30:13","Article","10.1016/j.neulet.2020.135500","0304-3940",NA,741,NA,NA,NA,0,0,0,5,1,"Traumatic spinal cord injury (SCI) is a devastating condition of CNS which leads to loss of sensory as well as motor functions. Secondary damage after SCI initiates cascade of events that creates an inhibitory milieu for axonal growth and repair. Combinatorial therapies are the hope to attenuate secondary injury progression and make the microenvironment growth and repair friendly for the neurons. We fabricated gelatin- genipin hydrogel system which was impregnated with IONPs and injected at the lesion site in a clinically relevant contusion rat model of SCI. 24 h later, the rats were exposed to magnetic fields (17.96 mu T, 50 Hz uniform EMF) for 2 h/day for 5 weeks. A significant (P < 0.001) improvement in Basso, Beattie and Bresnahan (BBB) locomotor score, amplitude and threshold of spinally mediated reflexes and motor and somatosensory evoked potentials (MEP & SSEP) was observed following IONPs implantation and EMF exposure. Moreover, retrograde tracing showed a higher level of neuronal connectivity and survival after the intervention. There was also a reduction in activated microglia and lesion volume which attenuate secondary damage as evident by reduction in the scaring following intervention for 5 weeks. Moreover, we observed increase in the neuronal growth cone marker, GAP-43, growth promoting neurotrophins (GDNF, BDNF & NT-3) and reduction in the inhibitory molecule (Nogo-A) after this combinatorial therapy. We obsrvered that a significant improvement in behavioral, electrophysiological and morphological parameters was due to an alteration in neurotrophin levels, reduction in activated microglia and increase in GAP-43 expression after the combinatorial therapy. We propose that implantation of IONPs embedded gelatin-genipin hydrogel system along with MF exposure modulated the microenvironment, making it conducive for neural repair and regeneration.","gelatin"
"2",0,"Xiaolian Wang, Jianmin Ma, Hui Chen, Deming Liu","Effects of transplantation of microencapsulated rabbit sciatic nerve on nuclear factor-kappa B expression after spinal cord injury in rats",2009,"Neural Regeneration Research","Wolters Kluwer Medknow Publications",NA,NA,44,"2021-01-16 15:30:13","Article","10.3969/j.issn.1673-5374.2009.03.008","1673-5374",NA,4,3,213,217,0,0,0,4,12,"BACKGROUND: It has been reported that nuclear factor-kappa B (NF- kappa B), activated after spinal cord injury in rats, plays a key role in inflammatory responses in the central nervous system. OBJECTIVE: To investigate the effects of transplantation of microencapsulated rabbit sciatic nerve on NF- K B expression and motor function after spinal cord injury in rats, and to compare the results with the transplantation of rabbit sciatic nerve alone.","gelatin"
"3",0,"Nazanin Ghane, Mohammad-Hossein Beigi, Sheyda Labbaf, Mohammad-Hossein Nasr-Esfahani, Amirkianoosh Kiani","Design of hydrogel-based scaffolds for the treatment of spinal cord injuries",2020,"Journal Of Materials Chemistry B","Royal Soc Chemistry",NA,NA,45,"2021-01-16 15:30:13","Review","10.1039/d0tb01842b","2050-750X",NA,8,47,10712,10738,0,0,0,5,1,"Spinal cord injury (SCI) is a traumatic lesion that diminishes sensory and/or motor neuronal functionality, directly affecting the quality of the patient's life. Due to the central nervous system's (CNS) inhibitory microenvironment that presents challenges in neuron repair and regeneration, tissue engineering strategies have received significant attention to improve the quality of a patient's life. In this regard, hydrogels are attractive SC scaffolds as they can provide not only an adjustable physiologically native-like microenvironment but also an appropriate matrix for cell delivery, drug delivery, and other bioactive molecule delivery at the lesion site. This systematic review characterizes the widely used biomaterials including natural polymers; protein- and polysaccharide-based synthetic polymers; methacrylate- and polyethylene glycol-based, and self-assembling (SA) peptides. In addition, synthesis routes of hydrogels are investigated. This review is complemented by the discussion of the various techniques utilized for hydrogel scaffold designs with their in vitro and in vivo outcomes and clinical trials. The existing challenges and opportunities for SC hydrogel scaffolds are mentioned towards the end of this review.","gelatin"
"4",1,"Xiumin Sun, Chi Zhang, Jinghui Xu, Hong Zhai, Sheng Liu, Yiwei Xu, Yong Hu, Houqing Long, Ying Bai, Daping Quan","Neurotrophin-3-Loaded Multichannel Nanofibrous Scaffolds Promoted Anti-Inflammation, Neuronal Differentiation, and Functional Recovery after Spinal Cord Injury",2020,"Acs Biomaterials Science & Engineering","Amer Chemical Soc",NA,NA,40,"2021-01-16 15:30:13","Article","10.1021/acsbiomaterials.0c00023","2373-9878",NA,6,2,1228,1238,1,1,0,10,1,"The clinical therapeutics for nerve tissue regeneration and functional recovery after spinal cord injury (SCI) are very limited because of the complex biological processes and inhibitory microenvironment. Advanced biomaterials are highly desired to avoid severe secondary damage and provide guidance for axonal regrowth. Multichannel nanofibrous scaffolds were modified with gelatin and cross-linked by genipin. The gelatin-coated nanofibers exhibited strong binding affinity with neurotrophin-3, which underwent a well-controlled release and highly promoted neuronal differentiation and synapse formation of the seeded neural stem cells. The nanofibrous scaffolds fabricated by combinatorial biomaterials were implanted into complete transected spinal cords in rats. Not only were the inflammatory responses and collagen/astrocytic scar formation limited, but the functional neurons and remyelination were facilitated postsurgery, leading to highly improved functional restoration. This nanofibrous scaffold with high specific surface area can be easily modified with biomolecules, which was proven to be effective for nerve regeneration after transected SCI, and provided a springboard for advanced scaffold design in clinical applications.","gelatin"
"5",1,"Rajasekaran Subbarayan, Rajamani Barathidasan, Selvaraj T. K. Raja, Gnanamani Arumugam, Sarah Kuruvilla, Palanivelu Shanthi, Suresh Ranga Rao","Human gingival derived neuronal cells in the optimized caffeic acid hydrogel for hemitransection spinal cord injury model",2020,"Journal Of Cellular Biochemistry","Wiley",NA,NA,41,"2021-01-16 15:30:13","Article","10.1002/jcb.29452","0730-2312",NA,121,3,2077,2088,1,1,0,7,1,"Spinal cord injury induces scar formation causes axonal damage that leads to the degeneration of axonal function. Still, there is no robust conceptual design to regenerate the damaged axon after spinal injury. Therefore, the present study demonstrates that human gingival derived neuronal stem cells (GNSCs) transplants in the injectable caffeic acid bioconjugated hydrogel (CBGH) helps to bridge the cavity and promote the engraftment and repopulation of transplants in the injured spinal tissue. Our study reports that the bioluminescence imaging in vivo imaging system (IVIS) provides a satisfactory progression in CBGH-GNSCs transplants compare to lesion control and CBGH alone. Immune regulators interleukin-6 (IL-6), tumor necrosis factor-alpha, neutrophil elastase are decreased, IL-10 is increased. Likewise, immunostaining (TAU/TUJ-1, SOX-2/NeuN, MAP-2/PSD93, NSE, S100b, and GFAP) shown repopulated cells. Also, TRA-1-81 expression confirms the absence of immune rejection in the CBGH-GNSCs transplants. However, locomotor recovery test, gene (IL-6, CASPASE3, p14-ARF, VEGF, LCAM, BDNF, NT3, NGN2, TrKc, FGF2, Sox-2, TUJ-1, MAP-2, Nestin, and NeuN) and protein expression (TAU, TUJ-1, SOX-2 MAP-2, PSD93, NeuN, TRA-1-81, GFAP, TAU, and MBP) shows functional improvements in the CBGH-GNSCs group. Further, GABA and glutamine level demonstrates the new synaptic vesicle formation. Hence, the CBGH scaffold enhances GNSCs transplants to restore the injured spinal tissue.","gelatin"
"6",1,"Pinghui Zhou, Panpan Xu, Jingjing Guan, Changchun Zhang, Jianrong Chang, Fugen Yang, Hui Xiao, Hengheng Sun, Zhuoran Zhang, Mengqing Wang, Jianguo Hu, Yingji Mao","Promoting 3D neuronal differentiation in hydrogel for spinal cord regeneration",2020,"Colloids And Surfaces B-Biointerfaces","Elsevier",NA,NA,42,"2021-01-16 15:30:13","Article","10.1016/j.colsurfb.2020.111214","0927-7765",NA,194,NA,NA,NA,1,1,0,12,1,"Spinal cord injury (SCI) affects millions of people worldwide, and results in the loss of neurons and limited recovery of functions. Bone mesenchymal stem cells (BMSCs) and neural stem cells (NSCs) can proliferate or differentiate into other specific cell types. These cells represent potential treatments for SCIs. However, recent studies have shown that NSCs mainly differentiate into astrocytes, rather than neurons, in the microenvironment of an SCI. BMSCs have been reported to promote neuronal differentiation of NSCs and reduce the formation of astrocytes. Furthermore, three-dimensional (3D) gelatin methacryloyl (GelMA) provides superior mechanical properties and functional characteristics for cell proliferation, migration, and differentiation. In this study, we proposed a functional scaffold developed by loading BMSCs and NSCs into 3D GelMA hydrogel. BMSCs and NSCs that were photo-encapsulated in the 3D GelMA hydrogel survived and demonstrated good proliferation in vitro. The NSCs differentiated more toward neurons and oligodendrocytes than toward astrocytes, a phenomenon more noticeable in low-modulus hydrogels. When functional hydrogel scaffolds, loaded with BMSCs and NSCs, were implanted into the hemisection site of the rat spinal cord, they could significantly promote motor function recovery and neuronal differentiation, and decrease glial scarring, fibrotic scarring, and inflammatory responses. The immense therapeutic potential of this system to promote axonal regeneration was thereby demonstrated. Taken together, loading of the GelMA scaffold with BMSCs and NSCs is a promising therapeutic strategy to trigger functional regeneration of the spinal cord.","gelatin"
"7",2,"Jiro Nakayama, Tetsuya Takao, Hiroshi Kiuchi, Keisuke Yamamoto, Shinichiro Fukuhara, Yasushi Miyagawa, Masanori Aoki, Koichi Iwatsuki, Toshiki Yoshimine, Masaki Ueno, Toshihide Yamashita, Norio Nonomura, Akira Tsujimura, Akihiko Okuyama","Olfactory Mucosal Transplantation After Spinal Cord Injury Improves Voiding Efficiency by Suppressing Detrusor-Sphincter Dyssynergia in Rats",2010,"Journal Of Urology","Elsevier Science Inc",NA,NA,39,"2021-01-16 15:30:13","Article","10.1016/j.juro.2010.03.105","0022-5347",NA,184,2,775,782,2,0.18,0,14,11,"Purpose: Several recent studies showed that olfactory mucosal transplantation after spinal cord injury promotes extensive regeneration of the injured spinal cord. We examined the efficacy of olfactory mucosal transplantation for bladder dysfunction after spinal cord injury in rats.","gelatin"
"8",3,"Mohammad Ebrahim Astaneh, Arash Goodarzi, Mehdi Khanmohammadi, Ameneh Shokati, Sanam Mohandesnezhad, Mohammad Reza Ataollahi, Sohrab Najafipour, Morteza Sagharjoghi Farahani, Jafar Ai","Chitosan/gelatin hydrogel and endometrial stem cells with subsequent atorvastatin injection impact in regenerating spinal cord tissue",2020,"Journal Of Drug Delivery Science And Technology","Elsevier",NA,NA,38,"2021-01-16 15:30:13","Article","10.1016/j.jddst.2020.101831","1773-2247",NA,58,NA,NA,NA,3,3,0,9,1,"Central nervous system trauma can cause loss of functional sensory neurons and motor functions that results in death of neuronal cells and axon degeneration. For this purpose, therapeutic approaches to enhance repair mechanisms spinal cord injury (SCI) is reflected to be a difficult task that requires thoughtful strategy. Hydrogel scaffolds in the presence of stem cells could repair damaged SCI due to their ability to support cellular viability, motility, and differentiation. In this study, we investigated the effectiveness of a biomimetic composite hydrogel of chitosan and gelatin containing endometrial stem cells (EnSCs) as a minimally invasive treatment of SCI in an animal model. Moreover, the simultaneous, effect of intraperitoneal injection of atorvastatin drug was assessed for animal models. From the results, morphological and cell viability studies demonstrated favorable seeding microenvironment and viability in the hydrogel. The transplanted hydrogel containing EnSCs into hemisected SCI rats showed recovery of sensory and motor functions by confirming locomotor activity evaluation using Basso, Beattie, and Bresnahan test. The growth of neuronal cells confirmed with immunohistochemical study. The findings in this study suggested that combination therapy using biomimetic hydrogel seeded with stem cells as well as atorvastatin injection has the potential to heal SCI through neuroinflammation attenuation, im-provement of functional recovery, and limit the secondary damages.","gelatin"
"9",5,"Hamideh Babaloo, Somayeh Ebrahimi-Barough, Mohammad Ali Derakhshan, Meysam Yazdankhah, Nasrin Lotfibakhshaiesh, Masoud Soleimani, Mohammad-Taghi Joghataei, Jafar Ai","PCL/gelatin nanofibrous scaffolds with human endometrial stem cells/Schwann cells facilitate axon regeneration in spinal cord injury",2019,"Journal Of Cellular Physiology","Wiley",NA,NA,35,"2021-01-16 15:30:13","Article","10.1002/jcp.27936","0021-9541",NA,234,7,11060,11069,5,2.5,1,8,2,"The significant consequences of spinal cord injury (SCI) include sensory and motor disability resulting from the death of neuronal cells and axon degeneration. In this respect, overcoming the consequences of SCI including the recovery of sensory and motor functions is considered to be a difficult tasks that requires attention to multiple aspects of treatment. The breakthrough in tissue engineering through the integration of biomaterial scaffolds and stem cells has brought a new hope for the treatment of SCI. In the present study, human endometrial stem cells (hEnSCs) were cultured with human Schwann cells (hSC) in transwells, their differentiation into nerve-like cells was confirmed by quantitative real-time reverse transcription polymerase chain reaction (qRT-PCR) and immunocytochemistry techniques. The differentiated cells (co-hEnSC) were then seeded on the poly epsilon-caprolactone (PCL)/gelatin scaffolds. The SEM images displayed the favorable seeding and survival of the cells on the scaffolds. The seeded scaffolds were then transplanted into hemisected SCI rats. The growth of neuronal cells was confirmed with immunohistochemical study using NF-H as a neuronal marker. Finally, the Basso, Beattie, and Bresnahan (BBB) test confirmed the recovery of sensory and motor functions. The results suggested that combination therapy using the differentiated hEnSC seeded on PCL/gelatin scaffolds has the potential to heal the injured spinal cord and to limit the secondary damage.","gelatin"
"10",6,"Takeo Furuya, Masayuki Hashimoto, Masao Koda, Atsushi Murata, Akihiko Okawa, Mari Dezawa, Dai Matsuse, Yasuhiko Tabata, Kazuhisa Takahashi, Masashi Yamazaki","Treatment with basic fibroblast growth factor-incorporated gelatin hydrogel does not exacerbate mechanical allodynia after spinal cord contusion injury in rats",2013,"Journal Of Spinal Cord Medicine","Taylor & Francis Ltd",NA,NA,33,"2021-01-16 15:30:13","Article","10.1179/2045772312Y.0000000030","1079-0268",NA,36,2,134,139,6,0.75,1,10,8,"Besides stimulating angiogenesis or cell survival, basic fibroblast growth factor (bFGF) has the potential for protecting neurons in the injured spinal cord.","gelatin"
