"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Yonglin Zhu, Luping Zhang, Rongzhan Fu, Limin Gao, Guoying Feng, Chao Du, Zhaojie Wang, Xinfeng Yan","The change tendency of endoplasmic reticulum stress associated proteins in rats with spinal cord injury",2019,"American Journal Of Translational Research","E-Century Publishing Corp",NA,NA,96,"2021-01-16 15:33:05","Article","","1943-8141",NA,11,4,1938,1947,0,0,0,8,2,"To investigate endoplasmic reticulum (ER) stress reactions in spinal cord injury rats by evaluating the expression of the glucose regulated protein 78 (GRP78), C/EBP homologous transcription factor protein (CHOP), X-box binding protein 1 (XBP1), Eif-2 alpha and Bad. SCI models were established using adult female mice. After SCI, the expression of endoplasmic reticulum stress-induced apoptosis proteins were examined in the mice at specific time points using immunohistochemistry and western blot. The results of immunohistochemistry showed that in spinal cord gray matter, Chop, Grp78, XBP1, Eif-2 alpha and Bad were specifically detected in the cytoplasm of the cell. Compare with the SCI group, there was little expression in normal group and sham group. The expression of ER stress-induced apoptosis proteins were significantly increased after spinal cord injury, and the absolute expression was higher than normal group (P < 0.05). Western-Blot results showed that compare with the SCI group, there were little expression of ER stress-induced apoptosis proteins in normal group and sham group. The expression of ER stress-induced apoptosis proteins were significantly increased after spinal cord injury, and the absolute expression was higher than normal group (P < 0.05). These results suggest that some ER stress-induced apoptosis proteins, such as Chop, Grp78, XBP1, Eif-2 alpha and Bad, were activated after spinal cord injury, but the precise regulatory mechanisms remain unclear. In the future, understanding of the precise mechanism of ER stress-mediated apoptosis in SCI may lead to the development of novel treatment strategies.","glucose"
"2",0,"R. E. von Leden, S. Jaiswal, C. M. Wilson, G. Khayrullina, R. G. Selwyn, K. R. Byrnes","18F-FDG PET IMAGING OF RAT SPINAL CORD INJURY SHOWS DEPRESSED GLUCOSE UPTAKE CORRELATING WITH LESION VOLUME & FUNCTIONAL RECOVERY",2014,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,101,"2021-01-16 15:33:05","Meeting Abstract","","0897-7151",NA,31,12,NA,NA,0,0,0,6,7,"","glucose"
"3",0,"Yoshitaka Tanie, Tomoharu Kuboyama, Chihiro Tohda","GRP78-Mediated Signaling Contributes to Axonal Growth Resulting in Motor Function Recovery in Spinal Cord-Injured Mice",2020,"Frontiers In Pharmacology","Frontiers Media Sa",NA,NA,102,"2021-01-16 15:33:05","Article","10.3389/fphar.2020.00789","1663-9812",NA,11,NA,NA,NA,0,0,0,3,1,"Promoting axonal growth is essential for repairing damaged neuronal connections and motor function in spinal cord injury (SCI). Neuroleukin (NLK) exerts axonal growth activityin vitroandin vivo, but the mechanism remains unclear. This study reveals that the 78-kDa glucose-regulated protein (GRP78) is a NLK neuronal receptor that contributes to recovery from SCI. Binding and immunoprecipitation assays indicated that NLK binds to GRP78. Pretreatment to cultured neurons with a GRP78-neutralizing antibody suppressed NLK-induced axonal growth. Blocking cell surface GRP78 inhibited neuronal NLK-induced Akt activation. Treatment with an Akt inhibitor suppressed NLK-induced axonal growth. Continuous administration of NLK into the lateral ventricle of SCI mice increased axonal density in the injured region and restored motor function, which was not observed when NLK was simultaneously administered with a GRP78-neutralizing antibody. These results indicate that GRP78 regulates the NLK-induced axonal growth activity; NLK-GRP78 signaling promotes motor function recovery in SCI, presenting as a potential therapeutic target.","glucose"
"4",0,"Ha Neui Kim, Monica R. Langley, Whitney L. Simon, Hyesook Yoon, Laurel Kleppe, Ian R. Lanza, Nathan K. LeBrasseur, Aleksey Matveyenko, Isobel A. Scarisbrick","A Western diet impairs CNS energy homeostasis and recovery after spinal cord injury: Link to astrocyte metabolism",2020,"Neurobiology Of Disease","Academic Press Inc Elsevier Science",NA,NA,103,"2021-01-16 15:33:05","Article","10.1016/j.nbd.2020.104934","0969-9961",NA,141,NA,NA,NA,0,0,0,9,1,"A diet high in fat and sucrose (HFHS), the so-called Western diet promotes metabolic syndrome, a significant co-morbidity for individuals with spinal cord injury (SCI). Here we demonstrate that the spinal cord of mice consuming HFHS expresses reduced insulin-like growth factor 1 (IGF-1) and its receptor and shows impaired tricarboxylic acid cycle function, reductions in PLP and increases in astrogliosis, all prior to SCI. After SCI, Western diet impaired sensorimotor and bladder recovery, increased microgliosis, exacerbated oligodendrocyte loss and reduced axon sprouting. Direct and indirect neural injury mechanisms are suggested since HFHS culture conditions drove parallel injury responses directly and indirectly after culture with conditioned media from HFHS-treated astrocytes. In each case, injury mechanisms included reductions in IGF-1R, SIRT1 and PGC-1 alpha and were prevented by metformin. Results highlight the potential for a Western diet to evoke signs of neural insulin resistance and injury and metformin as a strategy to improve mechanisms of neural neuroprotection and repair.","glucose"
"5",0,"A. Gopinathan, A. M. Pawde, K. Singh, H. P. Aithal, P. Kinjavdekar, A. K. Sharma","Effect of nitric oxide synthase inhibitor and electro-acupuncture in experimentally induced acute spinal cord injury in rabbits",2008,"Indian Journal Of Animal Sciences","Indian Counc Agricultural Res",NA,NA,104,"2021-01-16 15:33:05","Article","","0367-8318",NA,78,11,1202,1206,0,0,0,6,13,"A model of acute spinal cord trauma was Created by inflicting injury at the level of L-1-L-2 inter-vertebral space in 24 New Zealand White rabbits of either sex: steroid methyl prednisolone sodium Succinate, nitric oxide synthase inhibitor L-NAME, electroacupuncture and a combination of I.-NAME and electro-acupuncture were administered after injury and were evaluated for changes in clinical and hematological parameters along with changes in plasma triglycerides. insulin, glucose, cortisol, blood electrolytes, motor recovery, and histopathology of spinal cord. L-NAME alone or when combined with electro-acupuncture was better to block pathological changes in spinal cord compared to other groups, whereas, motor recovery was highest in electro-acupuncture treated rabbits. There were no significant changes in the mediators of stress or blood electrolytes.","glucose"
"6",0,"Liang Wu, Zhanfeng Niu, Xulei Hu, Huili Liu, Shuang Li, Lei Chen, Danhao Zheng, Zhuang Liu, Taotao Liu, Fuqiang Xu, Anne Manyande, Jie Wang, Hechun Xia","Regional cerebral metabolic levels and turnover in awake rats after acute or chronic spinal cord injury",2020,"Faseb Journal","Wiley",NA,NA,105,"2021-01-16 15:33:05","Article","10.1096/fj.202000447R","0892-6638",NA,34,8,10547,10559,0,0,0,13,1,"Spinal cord injury (SCI) is a common cause of disability, which often leads to sensorimotor cortex dysfunction above the spinal injury site. However, the cerebral regional effects on metabolic information after SCI have been little studied. Here, adult Sprague-Dawley rats were divided into acute and chronic treatment groups and sham groups with day-matched periods. The Basso, Beatte, and Bresnahan scores method were utilized to evaluate the changes in behaviors during the recovery of the animals, and the metabolic information was measured with the(1)H-observed/C-13-edited NMR method. Total metabolic concentrations in every region were almost similar in both treated groups. However, the metabolic kinetics in most regions in the acute group were significantly altered (P < .05), particularly in the cortical area, thalamus and medulla (P < .01). After long-term recovery, some metabolic kinetics were recovered, especially in the temporal cortex, occipital cortex, and medulla. The metabolic kinetic changes revealed the alteration of metabolism and neurotransmission in different brain regions after SCI, which present evidence for the alternation of brain glucose oxidation. Therefore, this shows the significant influence of SCI on cerebral function and neuroscience research. This study also provides the theoretical basis for clinical therapy after SCI, such as mitochondrial transplantation.","glucose"
"7",0,"Sipin Zhu, Mengji Chen, Min Chen, Jiahui Ye, Yibo Ying, Qiuji Wu, Haicheng Dou, Liyunian Bai, Fangmin Mao, Wenfei Ni, Kehe Yu","Fibroblast Growth Factor 22 Inhibits ER Stress-Induced Apoptosis and Improves Recovery of Spinal Cord Injury",2020,"Frontiers In Pharmacology","Frontiers Media Sa",NA,NA,106,"2021-01-16 15:33:05","Article","10.3389/fphar.2020.00018","1663-9812",NA,11,NA,NA,NA,0,0,0,11,1,"Currently, inhibiting or reducing neuronal cell death is the main strategy to improve recovery of spinal cord injury (SCI). Therapies using nerve growth factors to treat SCI mainly focused on reducing the area damaged by postinjury degeneration to promote functional recovery. In this report, we investigated the mechanism of ER (endoplasmic reticulum) stress-induced apoptosis and the protective action of fibroblast growth factor 22 (FGF22) in vivo. Our results demonstrated that ER stress-induced apoptosis plays a significant role in injury of SCI model rats. FGF22 administration promoted recovery and increased neuron survival in the spinal cord lesions of model mice. The protective effect of FGF22 is related to decreased expression of CHOP (C/EBP-homologous protein), GRP78 (glucose-regulated protein 78), caspase-12, X-box binding protein 1 (XBP1), eukaryotic initiation factor 2 alpha (Eif-2 alpha) and Bad which are ER stress-induced apoptosis response proteins. Moreover, FGF22 administration also increased the number of neurons and the expression of growth-associated protein 43 (GAP43) which was related to axon regeneration. We also demonstrated that the protective effect of FGF22 effectively reduces neuronal apoptosis and promotes axonal regeneration. Our study first illustrated that the function of FGF22 is related to the inhibition of ER stress-induced cell death in SCI recovery via activation of downstream signals. This study also suggested a new tendency of FGF22 therapy development in central neural system injuries, which involved chronic ER stress-induced apoptosis.","glucose"
"8",0,"Adel B. Ghnenis, Daniel T. Burns, Wupu Osimanjiang, Guanglong He, Jared S. Bushman","A Long-Term Pilot Study on Sex and Spinal Cord Injury Shows Sexual Dimorphism in Functional Recovery and Cardio-Metabolic Responses",2020,"Scientific Reports","Nature Publishing Group",NA,NA,107,"2021-01-16 15:33:05","Article","10.1038/s41598-020-59628-6","2045-2322",NA,10,1,NA,NA,0,0,0,5,1,"More than a quarter of a million individuals in the US live with spinal cord injury (SCI). SCI disrupts neural circuitry to vital organs in the body. Despite severe incidences of long-term peripheral complications from SCI, the cardio-metabolic consequences and divergences in sex-related responses are not well described. We examined the effects of SCI on functional recovery, cardiac structure and function, body composition, and glucose metabolism on adult female and male Sprague Dawley (SD) rats. SCI was induced at T10 via contusion. Measured outcomes include behavioral assessment, body weight, dual-energy X-ray absorptiometry (DEXA) for body composition, echocardiography for cardiac structure and function, intraperitoneal glucose tolerance test (IPGTT) for glucose metabolism, insulin tolerance test (ITT), and histology of cardiac structure at the endpoint. There was a decrease in body fat percentage in both sexes, with SCI females disproportionately affected in percent body fat change. Left ventricular internal diameter during systole (LVIDs) was decreased in SCI females more than in SCI males. No significant differences in glucose metabolism were observed up to 20 weeks post-injury (PI). These data show significant cardio-metabolic differences as a consequence of SCI and, furthermore, that sex is an underlying factor in these differences.","glucose"
"9",0,"Michael Shaughness, Deanna Acs, Fiona Brabazon, Nicole Hockenbury, Kimberly R. Byrnes","Role of Insulin in Neurotrauma and Neurodegeneration: A Review",2020,"Frontiers In Neuroscience","Frontiers Media Sa",NA,NA,108,"2021-01-16 15:33:05","Review","10.3389/fnins.2020.547175","",NA,14,NA,NA,NA,0,0,0,5,1,"Insulin is a hormone typically associated with pancreatic release and blood sugar regulation. The brain was long thought to be ""insulin-independent,"" but research has shown that insulin receptors (IR) are expressed on neurons, microglia and astrocytes, among other cells. The effects of insulin on cells within the central nervous system are varied, and can include both metabolic and non-metabolic functions. Emerging data suggests that insulin can improve neuronal survival or recovery after trauma or during neurodegenerative diseases. Further, data suggests a strong anti-inflammatory component of insulin, which may also play a role in both neurotrauma and neurodegeneration. As a result, administration of exogenous insulin, either via systemic or intranasal routes, is an increasing area of focus in research in neurotrauma and neurodegenerative disorders. This review will explore the literature to date on the role of insulin in neurotrauma and neurodegeneration, with a focus on traumatic brain injury (TBI), spinal cord injury (SCI), Alzheimer's disease (AD) and Parkinson's disease (PD).","glucose"
"10",0,"Zhiyong Xiao, Yingtao Yao, Zhiyu Wang, Qing Tian, Jiedong Wang, Li Gu, Bo Li, Qixin Zheng, Yongchao Wu","Local Delivery of Taxol From FGL-Functionalized Self-Assembling Peptide Nanofiber Scaffold Promotes Recovery After Spinal Cord Injury",2020,"Frontiers In Cell And Developmental Biology","Frontiers Media Sa",NA,NA,109,"2021-01-16 15:33:05","Article","10.3389/fcell.2020.00820","2296-634X",NA,8,NA,NA,NA,0,0,0,9,1,"Taxol has been clinically approved as an antitumor drug, and it exerts its antitumor effect through the excessive stabilization of microtubules in cancer cells. Recently, moderate microtubule stabilization by Taxol has been shown to efficiently promote neurite regeneration and functional recovery after spinal cord injury (SCI). However, the potential for the clinical translation of Taxol in treating SCI is limited by its side effects and low ability to cross the blood-spinal cord barrier (BSCB). Self-assembled peptide hydrogels have shown potential as drug carriers for the local delivery of therapeutic agents. We therefore hypothesized that the localized delivery of Taxol by a self-assembled peptide scaffold would promote axonal regeneration by stabilizing microtubules during the treatment of SCI. In the present study, the mechanistic functions of the Taxol-releasing system were clarifiedin vitroandin vivousing immunofluorescence labeling, histology and neurobehavioral analyses. Based on the findings from thein vitrostudy, Taxol released from a biological functionalized SAP nanofiber scaffold (FGLmx/Taxol) remained active and promoted neurite extension. In this study, we used a weight-drop contusion model to induce SCI at T9. The local delivery of Taxol from FGLmx/Taxol significantly decreased glial scarring and increased the number of nerve fibers compared with the use of FGLmx and 5% glucose. Furthermore, animals administered FGLmx/Taxol exhibited neurite preservation, smaller cavity dimensions, and decreased inflammation and demyelination. Thus, the local delivery of Taxol from FGLmx/Taxol was effective at promoting recovery after SCI and has potential as a new therapeutic strategy for SCI.","glucose"
