"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Liang Dong, Xin Kang, Qiang Ma, Zhengwei Xu, Honghui Sun, Dingjun Hao, Xiujin Chen","Novel Approach for Efficient Recovery for Spinal Cord Injury Repair via Biofabricated Nano-Cerium Oxide Loaded PCL With Resveratrol to Improve in Vitro Biocompatibility and Autorecovery Abilities",2020,"Dose-Response","Sage Publications Inc",NA,NA,31,"2021-01-16 15:42:33","Article","10.1177/1559325820933518","1559-3258",NA,18,3,NA,NA,0,0,0,7,1,"It is more difficult to develop the low-cost spinal cord injury repair materials with high stability and biocompatibility for the biomedical applications. Herein, for the first time, we demonstrated the functional restoration of an injured spinal cord by the nano CeO(2)particles assembled onto poly (SMALL ELEMENT OF-caprolactone) (PCL)/resveratrol (RVL) were synthesized using the biocompatible ionic liquid. The as-prepared biocompatible nanomaterials were characterized and confirmed by using different instruments such as Fourier transform infra-red spectroscopy for functional groups identification, X-ray diffraction for crystalline nature, Scanning electron microscopy, transmission electron microscopy for morphological structure, Dynamic light scattering for size distribution of the nanoparticles and thermogravimetric analysis for thermal properties. The synergetic effect between the uniform distributions of nano-sized CeO(2)particles onto the PCL polymer with RVL can remarkably enhance the catalytic performance. Biofabricated nano-cerium oxide loaded PCL with RVL revealed that treatment significantly preserved hydrogen peroxide and also good catalytic performance. This study presents a nano-sized cerium oxide particles loaded PCL with RVL biocompatible materials have been providing highly efficient regenerative activity and biocompatibility in spinal card regeneration.","hydrogen_peroxide"
"2",0,"Yan An, Jianing Li, Qiang Yuan, Mingxing Fan","MicroRNA-466c-3p exerts protective effect on neuronal apoptosis and improves functional recovery post spinal cord injury via mitochondrial apoptotic pathway",2020,"Amb Express","Springer",NA,NA,32,"2021-01-16 15:42:33","Article","10.1186/s13568-020-01033-3","2191-0855",NA,10,1,NA,NA,0,0,0,4,1,"Spinal cord injury (SCI) is involved with abnormal expression of miRNAs (miRs) which are responsible for some II(ry)injury responses which include apoptosis, inflammation and oxidative stress. Mechanisms involving miRs induced apoptosis still needs to be investigated. In the present work we developed a rat model of SCI, followed by microarray analysis for expression of miRs at various time points after SCI. The locomotor activity was assessed by Basso, Beattie and Bresnahan score, lesion volume was analyzed by cresyl violet staining and TUNEL staining for extent of apoptosis at various time points of post SCI. Numbers of miRs were altered after 2 weeks of SCI among which miR-466c-3p was the most significantly down-regulated. Transfection with miR-466c-3p mimics caused overexpression of miR-466c-3p, also improvement in functional recovery, decrease in apoptosis of neuronal cells and lesion size was observed in SCI rats. The Luciferase assay suggested that miR-466c-3p suppressed the expression of Bcl-2 (apoptosis regulator). It was also evidenced that upon restoring the levels of Bcl-2 with the help of pc-DNA3-Bcl-2 halted the attenuating action of miR-466c-3p in hydrogen peroxide exposed N9 microglia cells. The findings suggested that miR-466c-3p may inhibit mitochondrial apoptotic pathway via blocking Bcl-2 and cleaved capase-9/-3in rats after SCI. Altogether, the results suggested that miR-466c-3p may exert attenuating effect on functional recovery and inhibit the apoptosis of neuronal cells via halting the mitochondrial apoptosis cascade in SCI rats indicating that miR-466c-3p can be attractive therapeutic candidate in treating SCI.","hydrogen_peroxide"
"3",0,"Jun Zheng, Jing Kuang, Xianyu Zhang, Daya Luo, Weijing Liao","miR-142-3p suppresses apoptosis in spinal cord-injured rats",2020,"Translational Neuroscience","Sciendo",NA,NA,33,"2021-01-16 15:42:33","Article","10.1515/tnsci-2020-0105","2081-3856",NA,11,1,105,115,0,0,0,5,1,"Introduction. Spinal cord injury (SCI) leads to abnormal expression of miRs, leading to secondary responses such as oxidative stress, inflammation and apoptosis. In the present work, we screened the miRs involved and the associated pathway.","hydrogen_peroxide"
"4",0,"Jun Liu, Feng Yang, Maofeng Cheng, Yan Zhang","Spinal cord injury can be relieved by the polysaccharides ofTricholoma matsutakeby promoting axon regeneration and reducing neuroinflammation",2020,"Neuroreport","Lippincott Williams & Wilkins",NA,NA,34,"2021-01-16 15:42:33","Article","10.1097/WNR.0000000000001514","0959-4965",NA,31,14,1024,1029,0,0,0,4,1,"Background With an increase in the number of spinal cord injuries (SCIs) in China, severe dysfunction of the limb below the injured segment is prominent. Among the studies centered on the factors inducing SCIs, inflammatory response has a dramatic input on the pathogenesis of SCIs. Objectives This study aimed to investigate the effects ofTricholoma matsutakepolysaccharides (TMP) on function recovery following SCIs. Methods The cell viability, neurite growth, NF-kappa B, TNF alpha and IL-6 production from hydrogen peroxide-treated PC12 cells were analyzed. In-vivo, a total of 36 male C57 mice were divided into sham group, SCI group and TMP group (100 mg/kg). The protective effects of TMP were evaluated by Basso mouse scale (BMS) scores, HE staining, immunofluorescence and Western blotting. Results TMP promoted neurite growth and inhibited TNF alpha, IL-6 and NF-kappa B signaling in a concentration-dependent mannerin vitro. Moreover, compared with the SCI group, the BMS scores and nerve regeneration showed a significant increase, while NF-kappa B signaling, TNF alpha and IL-6 production significantly decreased after TMP treatment. Conclusion TMP has a protective effect against SCIsin vitroandin vivo, which may be a potential strategy for future application in clinical practice.","hydrogen_peroxide"
"5",0,"Nadia H. Ismaeil, Amany A. Osman, Elham H. A. Ali, Laila A. Rashed, Manal A. Saleh","The potential role of mesenchymal stem cells in a hypoxia model induced by sodium nitrite in testes of male albino rats",2017,"Biomedical Research And Therapy","Biomedpress",NA,NA,35,"2021-01-16 15:42:33","Article","10.15419/bmrat.v4i02.150","2198-4093",NA,4,2,1128,1146,0,0,0,5,4,"Introduction: The present work aims to examine the possible role of stem cells on biochemical markers and histopathological alterations of hypoxia caused by sodium nitrite (NaNO2) toxicity in testes of male rats. Methods: In this study, 96 adult male albino rats were divided into 6 groups (16 rats each). Group 1 (G1) was the control group and received distilled H2O. Group 2 (G2) received daily NaNO2 (35 m/kg bwt/day) via subcutaneous injection for 3 weeks. Group 3 (G3) received NaNO2 for 2 weeks and were then injected once with 2*10(6) mesenchymal stem cells (MSCs) intravenously and sacrificed 4 weeks later. Group 4 (G4) received NaNO2 for 2 weeks and were then injected with 2*10(6) MSCs followed by daily NaNO2 injection for 1 week; rats in G4 were sacrificed 4 weeks from MSCs treatment. Group 5 (G5) rats were treated with NaNO2 for 2 weeks and then left to recover for 4 weeks. Finally, Group 6 (G6) rats were treated with NaNO2 for 3 weeks and left to recover for 3 weeks, after which point they were sacrificed. Results: The results showed that NaNO2 caused oxidative damage and histopathological alterations in the rat testes, as well as increased the levels of testes malondialdehyde (MDA), nitric oxide (NO) and DNA fragmentation percentage (DNA F %). Moreover, NaNO2 decreased the elevated activities of testes catalase (CAT) and total antioxidant activity (TAA), in comparison to the control group. The histological results illustrated different distortions, vacuolization and lipid accumulations in interlobular space as well as diminution of inter cellular germ cell layers, absence of Leydig cells, irregular basement membrane of tubule, and separation within spermatogenic cells. In addition, congestion and dilation of intertubular and peripheral blood capillaries were found. Nevertheless, the administration of stem cells reduced the danger actions of sodium nitrite by enhancing biochemical marker concentration.","hydrogen_peroxide"
"6",2,"Alfredo Maqueda, Francisco J. Rodriguez","Efficacy of human HC016 cell transplants on neuroprotection and functional recovery in a rat model of acute spinal cord injury",2020,"Journal Of Tissue Engineering And Regenerative Medicine","Wiley",NA,NA,29,"2021-01-16 15:42:33","Article","10.1002/term.2995","1932-6254",NA,14,2,319,333,2,2,1,2,1,"Spinal cord injury (SCI) is a devastating event with huge personal and social costs, for which there is no effective treatment. Cell therapy constitutes a promising therapeutic approach for SCI; however, its clinical potential is seriously limited by their low survival in the hostile conditions encompassing the acute phase of SCI. Human HC016 (hHC016) cells, generated from expanded human adipose mesenchymal stem cells (hAMSCs) and pulsed with a patented protocol with hydrogen peroxide (H2O2), are expected to acquire improved resistance to oxidative environments which appears as a major limiting factor hampering the engrafting success. Our specific aim was to assess whether H2O2-pulsed hHC016 cells had an improved survival and thus therapeutic efficacy in a rat contusion model of acute SCI when grafted 48 hr after injury. Functional recovery was evaluated up to 56 days post-injury (dpi) by locomotor (open field test and CatWalk) and sensory (Von Frey and Hargreaves) tests. Besides, histological evaluation of transplanted cell survival and tissue protection/regeneration was also performed. Functional results showed a statistically significant improvement on locomotor recovery outcomes with hHC016 cells. Accordingly, superior cell survival in correlation with long-term neuroprotection, higher axonal regeneration, and reduced astroglial and microglial reactivity was also observed with hHC016 cells. These results demonstrate an enhanced survival capacity of hHC016 cells resulting in improved functional and histological outcomes as compared with hAMSCs, indicating that hHC016 cell transplants may constitute a promising cell therapy for acute SCI.","hydrogen_peroxide"
"7",2,"Zhanpeng Guo, Yajiang Yuan, Yue Guo, Hongyu Wang, Changwei Song, Mina Huang","Nischarin attenuates apoptosis induced by oxidative stress in PC12 cells",2019,"Experimental And Therapeutic Medicine","Spandidos Publ Ltd",NA,NA,30,"2021-01-16 15:42:33","Article","10.3892/etm.2018.7017","1792-0981",NA,17,1,663,670,2,1,0,6,2,"Nischarin (NISCH) is a cytoplasmic protein known to serve an inhibitory role in breast cancer cell apoptosis, migration and invasion. Recently, NISCH has been reported to be involved in the regulation of spinal cord injury (SCI). However, the molecular mechanism is still unclear. Oxidative stress contributes to tissue injury and cell apoptosis during the development of various diseases, including SCI. The aim of the present study was to investigate the role of NISCH in the regulation of apoptosis induced by oxidative stress in PC12 cells. H2O2 was used to establish an oxidative stress model in PC12 cells. Apoptosis levels were examined using flow cytometry analysis, and the expression of NISCH, Bcl-2, Bcl-2-associated X (Bax) and caspase-3 were examined using western blot and immunofluorescence staining analyses. The results demonstrated that treatment with 100 mu M H2O2 significantly increased the apoptotic rate and expression of NISCH in PC12 cells. At 48 h following incubation with 100 mu M H2O2, NISCH downregulation partially inhibited apoptosis of PC12 cells. In addition, the expression of Bcl-2 was significantly reduced and the expression of Bax and caspase-3 were significantly increased by H2O2 treatment. These effects were also partially inhibited by the downregulation of NISCH. The authors of the present study therefore hypothesize that NISCH may function as a pro-apoptotic protein that participates in the regulation of oxidative stress, and NISCH downregulation may protect cells from oxidative stress-induced apoptosis.","hydrogen_peroxide"
"8",3,"Laureen D. Hachem, Andrea J. Mothe, Charles H. Tator","Evaluation of the effects of riluzole on adult spinal cord-derived neural stem/progenitor cells in vitro and in vivo",2015,"International Journal Of Developmental Neuroscience","Pergamon-Elsevier Science Ltd",NA,NA,25,"2021-01-16 15:42:33","Article","10.1016/j.ijdevneu.2015.08.007","0736-5748",NA,47,NA,140,146,3,0.5,1,3,6,"Riluzole, a sodium/glutamate antagonist, has shown significant neuroprotective effects in experimental models of spinal cord injury (SCI) and is currently under clinical trial for patients with SCI. However, the effect of riluzole on adult spinal cord-derived NSPCs remains unknown. In this study, we examined the effects of riluzole on NSPC survival both in vitro and in vivo. NSPCs harvested from the adult rat spinal cord were exposed to riluzole (1-30 mu M) either alone or in combination with hydrogen peroxide or glutamate in vitro. Measures of intracellular reactive oxygen species (ROS), cell viability and proliferation were assessed. To examine the effects of riluzole on transplanted NSPCs in vivo, a rodent clip compression model of SCI was used. One week after injury, NSPCs were transplanted into the spinal cord and rats received either riluzole or vehicle treatment for two weeks (similar to the clinically accepted dosing regimen) at which time cords were processed for analysis. Exposure to riluzole (>= 10 mu M) for more than 48 h in vitro reduced NSPC viability. Riluzole treatment (1-10 mu M) did not significantly affect intracellular ROS levels or cell viability in the setting of in vitro oxidative stress. While glutamate (500 mu M) exposure for 96 h significantly increased adult NSPC proliferation and survival, this response was not blocked by concurrent treatment with riluzole (1-10 mu M) thus supporting the notion that the known anti-glutamatergic properties of riluzole are not mediated through direct inhibition of glutamate receptors. Furthermore, riluzole treatment did not impair the survival of transplanted NSPCs in a rodent model of SCI. These results suggest that although NSPCs may have a narrow tolerance to riluzole treatment in vitro, riluzole does not impair NSPC survival at doses that would be used clinically. (C) 2015 Elsevier Ltd. All rights reserved.","hydrogen_peroxide"
"9",3,"Zhiliang Guo, Lanlan Li, Yu Gao, Xiaoyun Zhang, Min Cheng","Overexpression of lncRNA ANRIL aggravated hydrogen peroxide-disposed injury in PC-12 cells via inhibiting miR-499a/PDCD4 axis-mediated PI3K/Akt/mTOR/p70S6K pathway",2019,"Artificial Cells Nanomedicine And Biotechnology","Taylor & Francis Ltd",NA,NA,26,"2021-01-16 15:42:33","Article","10.1080/21691401.2019.1629953","2169-1401",NA,47,1,2624,2633,3,1.5,1,5,2,"Spinal cord injury (SCI) is a grievous neurology-related disorder that causes many devastating symptoms. This research planned to dig the function and latent mechanisms of long noncoding RNA (IncRNA) ANRIL on hydrogen peroxide (H2O2)-disposed injury in PC-12 cells. The PC-12 cells were disposed with H2O2 for 24 h to construct the SCI model. H2O2 -disposed PC-12 cells was assessed by detecting cell viability, migration, invasion, apoptosis and autophagy. The level of ANRIL in H2O2 -disposed PC-12 cells was analysed, afterwards, the impacts of ANRIL silencing on H2O2 -disposed PC-12 cell injury was determined. The regulatory association between ANRIL and miR-499a, between miR-499a and PDCD4, as well as PDCD4 and PI3K/Akt/mTOR/p70S6K signals were investigated. H2O2 produced PC-12 cell injury and promoted the level of ANRIL. Silencing of ANRIL inhibited H2O2 -disposed PC-12 cell injury through promoting cell viability, migration, invasion and inhibiting apoptosis and autophagy. Moreover, miR-499a was upregulated after silencing of ANRIL, and inhibition of miR-499a reversed the effects of silencing of ANRIL on H2O2 -disposed PC-12 cell injury. Also, PDCD4 was a target of miR-499a. Furthermore, ANRIL silencing alleviated the H2O2 -disposed injury in PC-12 cells possible by activating PI3K/Akt/mTOR/p70S6K signals, which was mediated by miR-499a/PDCD4 axis. Our results indicate that high level of ANRIL may sharpen the degree of SCI via targeting miR-499a/PDCD4 axis to regulate the briskness of PI31K/Akt/mTOR/p70S6K signals.","hydrogen_peroxide"
"10",3,"Ran Li, Fei Yin, Yingying Guo, Kunchi Zhao, Qing Ruan, Yingmei Qi","Long non-coding RNA H19 protects PC-12 cells from hydrogen peroxide-induced injury by targeting miR-155 in spinal cord injury",2017,"International Journal Of Clinical And Experimental Pathology","E-Century Publishing Corp",NA,NA,27,"2021-01-16 15:42:33","Article","","1936-2625",NA,10,6,6210,6223,3,0.75,1,6,4,"Background: Spinal cord injury (SCI) is a serious neurological disease, in which reactive oxygen species, such as hydrogen peroxide (H2O2), are produced in excess, causing growth arrest and cell death. The present study evaluated the effects of long non-coding RNA (lncRNA) H19 on H2O2-injured pheochromocytoma (PC-12) cells. Methods: H2O2 was used to induce injury in PC-12 cells. We then measured the effects of suppression of H19, downregulation of microRNA (miR)-155, and overexpression of forkhead box protein O1 (FOXO1) on viability, migration, invasion, and apoptosis in H2O2-injured PC-12 cells in separate experiments. In these experiments, qRT-PCR was used to measure expression levels of different mRNAs and western blot analysis was used to measure different protein expressions. Results: H2O2 injured PC-12 cells by decreasing cell viability, migration, and invasion, and increasing apoptosis. Suppression of H19 expression further increased H2O2-induced injury in PC-12 cells. Suppression of H19 also increased miR-155 expression, which was identified as a target of H19 using luciferase reporter assay. Downregulation of miR-155 protected PC-12 cells from H2O2-induced injury. FOXO1 was identified as a target of miR-155, and expression of FOXO1 was decreased by miR-155 overexpression. RT-PCR and western blot analysis revealed that overexpression of FOXO1 decreased H2O2-induced PC-12 cell injury by activating PI3K/AKT and Wnt/beta-catenin signal pathways. Conclusion: These findings suggest that suppression of H19 expression promotes H2O2-induced PC-12 cell injury, while downregulation of miR-155 and overexpression of FOXO1 protects PC-12 cells from H2O2-induced injury via activation of PI3K/AKT and Wnt/beta-catenin signaling pathways.","hydrogen_peroxide"
