"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Yanting Wang, Shaoji Yuan, Fachen Wang, Rong Hu, Jiangkai Lin, Zisheng Liu, Hua Feng","Deferoxamine improves neurological function in a rat model of experimental spinal cord injury",2011,"Neural Regeneration Research","Wolters Kluwer Medknow Publications",NA,NA,69,"2021-01-16 16:09:02","Article","10.3969/j.issn.1673-5374.2011.35.005","1673-5374",NA,6,35,2751,2755,0,0,0,7,10,"A rat model of spinal cord injury was established using modified Allen's method and treated with the ferric iron-chelating agent, deferoxamine. Hematoxylin-eosin, Nissl and Perl's Prussian blue staining, at 7-14 days following spinal cord injury, showed that following deferoxamine treatment, glial cells proliferation increased significantly, nerve cell morphology was improved and hemosiderin was significantly reduced in the injury region. At 1-56 days following injury, Basso, Beattie, and Bresnahan Locomotor Rating Scale scores were increased, while latencies of somatosensory-evoked potentials and motor-evoked potentials were decreased. Results demonstrate that deferoxamine can promote neurological functional recovery after experimental spinal cord injury in rats.","iron"
"2",0,"Lesang Shen, Danfeng Lin, Xiaoyi Li, Haijian Wu, Cameron Lenahan, Yuanbo Pan, Weilin Xu, Yiding Chen, Anwen Shao, Jianmin Zhang","Ferroptosis in Acute Central Nervous System Injuries: The Future Direction?",2020,"Frontiers In Cell And Developmental Biology","Frontiers Media Sa",NA,NA,70,"2021-01-16 16:09:02","Article","10.3389/fcell.2020.00594","2296-634X",NA,8,NA,NA,NA,0,0,0,10,1,"Acute central nervous system (CNS) injuries, such as stroke, traumatic brain injury (TBI), and spinal cord injury (SCI) present a grave health care challenge worldwide due to high morbidity and mortality, as well as limited clinical therapeutic strategies. Established literature has shown that oxidative stress (OS), inflammation, excitotoxicity, and apoptosis play important roles in the pathophysiological processes of acute CNS injuries. Recently, there have been many studies on the topic of ferroptosis, a form of regulated cell death characterized by the accumulation of iron-dependent lipid peroxidation. Some studies have revealed an emerging connection between acute CNS injuries and ferroptosis. Ferroptosis, induced by the abnormal metabolism of lipids, glutathione (GSH), and iron, can accelerate acute CNS injuries. However, pharmaceutical agents, such as iron chelators, ferrostatin-1 (Fer-1), and liproxstatin-1 (Lip-1), can inhibit ferroptosis and may have neuroprotective effects after acute CNS injuries. However, the specific mechanisms underlying this connection has not yet been clearly elucidated. In this paper, we discuss the general mechanisms of ferroptosis and its role in stroke, TBI, and SCI. We also summarize ferroptosis-related drugs and highlight the potential therapeutic strategies in treating various acute CNS injuries. Additionally, this paper suggests a testable hypothesis that ferroptosis may be a novel direction for further research of acute CNS injuries by providing corresponding evidence.","iron"
"3",0,"Yixin Chen, Suixin Liu, Jianjun Li, Zhe Li, Jing Quan, Xinzhou Liu, Yinbo Tang, Bin Liu","The Latest View on the Mechanism of Ferroptosis and Its Research Progress in Spinal Cord Injury",2020,"Oxidative Medicine And Cellular Longevity","Hindawi Ltd",NA,NA,71,"2021-01-16 16:09:02","Review","10.1155/2020/6375938","1942-0900",NA,2020,NA,NA,NA,0,0,0,8,1,"Ferroptosis is a recently identified nonapoptotic form of cell death whose major markers are iron dependence and accumulation of lipid reactive oxygen species, accompanied by morphological changes such as shrunken mitochondria and increased membrane density. It appears to contribute to the death of tumors, ischemia-reperfusion, acute renal failure, and nervous system diseases, among others. The generative mechanism of ferroptosis includes iron overloading, lipid peroxidation, and downstream execution, while the regulatory mechanism involves the glutathione/glutathione peroxidase 4 pathway, as well as the mevalonate pathway and the transsulfuration pathway. In-depth research has continuously developed and enriched knowledge on the mechanism by which ferroptosis occurs. In recent years, reports of the noninterchangeable role played by selenium in glutathione peroxidase 4 and its function in suppressing ferroptosis and the discovery of ferroptosis suppressor protein 1, identified as a ferroptosis resistance factor parallel to the glutathione peroxidase 4 pathway, have expanded and deepened our understanding of the mechanism by which ferroptosis works. Ferroptosis has been reported in spinal cord injury animal model experiments, and the inhibition of ferroptosis could promote the recovery of neurological function. Here, we review the latest studies on mechanism by which ferroptosis occurs, focusing on the ferroptosis execution and the contents related to selenium and ferroptosis suppressor protein 1. In addition, we summarize the current research status of ferroptosis in spinal cord injury. The aim of this review is to better understand the mechanisms by which ferroptosis occurs and its role in the pathophysiological process of spinal cord injury, so as to provide a new idea and frame of reference for further exploration.","iron"
"4",0,"E. Huber, R. Patel, M. Hupp, N. Weiskopf, M. M. Chakravarty, P. Freund","Extrapyramidal plasticity predicts recovery after spinal cord injury",2020,"Scientific Reports","Nature Publishing Group",NA,NA,72,"2021-01-16 16:09:02","Article","10.1038/s41598-020-70805-5","2045-2322",NA,10,1,NA,NA,0,0,0,6,1,"Spinal cord injury (SCI) leads to wide-spread neurodegeneration across the neuroaxis. We explored trajectories of surface morphology, demyelination and iron concentration within the basal ganglia-thalamic circuit over 2 years post-SCI. This allowed us to explore the predictive value of neuroimaging biomarkers and determine their suitability as surrogate markers for interventional trials. Changes in markers of surface morphology, myelin and iron concentration of the basal ganglia and thalamus were estimated from 182 MRI datasets acquired in 17 SCI patients and 21 healthy controls at baseline (1-month post injury for patients), after 3, 6, 12, and 24 months. Using regression models, we investigated group difference in linear and non-linear trajectories of these markers. Baseline quantitative MRI parameters were used to predict 24-month clinical outcome. Surface area contracted in the motor (i.e. lower extremity) and pulvinar thalamus, and striatum; and expanded in the motor thalamus and striatum in patients compared to controls over 2-years. In parallel, myelin-sensitive markers decreased in the thalamus, striatum, and globus pallidus, while iron-sensitive markers decreased within the left caudate. Baseline surface area expansions within the striatum (i.e. motor caudate) predicted better lower extremity motor score at 2-years. Extensive extrapyramidal neurodegenerative and reorganizational changes across the basal ganglia-thalamic circuitry occur early after SCI and progress over time; their magnitude being predictive of functional recovery. These results demonstrate a potential role of extrapyramidal plasticity during functional recovery after SCI.","iron"
"5",0,"Guoqing Tang, Yong Chen, Ji Chen, Zhe Chen, Weimin Jiang","Deferoxamine Ameliorates Compressed Spinal Cord Injury by Promoting Neovascularization in Rats",2020,"Journal Of Molecular Neuroscience","Humana Press Inc",NA,NA,73,"2021-01-16 16:09:02","Article","10.1007/s12031-020-01564-1","0895-8696",NA,70,9,1437,1444,0,0,0,5,1,"The therapeutic effect of deferoxamine (DFO) for spinal cord injury (SCI) has been demonstrated in previous studies; however, the exact mechanism of action is still unclear. Here, we hypothesized that DFO ameliorates spinal cord compression by promoting neovascularization. Using an SCI model of moderate compression, rats were intraperitoneally injected with 30 mg/kg or 100 mg/kg DFO for 1-2 weeks, and significant neovascularization was found in the injured spinal cord, showing overexpression of hypoxia inducible factor-1 alpha (HIF-1 alpha) and vascular endothelial growth factor (VEGF), and an increase in the number of new blood vessels. In addition, SCI in rats was significantly ameliorated after treatment with DFO, with less motor dysfunction, increased spared neural tissue, and improved electrophysiological conduction. By contrast, the ameliorative effect of DFO on SCI was suppressed when DFO-induced neovascularization was blocked by lenvatinib, a vascular endothelial growth factor receptor inhibitor, further suggesting that the primary pharmacological effect of DFO in SCI is the promotion of neovascularization. Therefore, we concluded that DFO effectively alleviated SCI by promoting neovascularization in the injured spinal cord. Considering that DFO is an FDA-approved free radical scavenger and iron chelator, it may represent a promising alternative strategy for SCI therapy in the future.","iron"
"6",0,"Ana Dede, Yuan Yin, Anjana Jain","Nanobased Technological Applications for Central Nervous System Injuries",2012,"Nanomaterials For Biomedicine","Amer Chemical Soc",NA,NA,74,"2021-01-16 16:09:02","Proceedings Paper","","0097-6156",NA,1119,NA,289,315,0,0,0,3,9,"Injuries to the central nervous system (CNS) can have long-term devastating consequences. Due to the permanent loss of motor, sensory and cognitive function, it has become imperative to develop diagnostic technology that can identify the degree of injury prior to significant loss of neurons and function. The development of diagnostic and therapeutic strategies for CNS injuries has predominantly been nano-technologically based. This chapter discusses the current technologies being researched for diagnostics and therapeutics.","iron"
"7",0,"Laura Prieto Clemente, Malena Rabenau, Stephan Tang, Josefina Stanka, Eileen Cors, Jenny Stroh, Carsten Culmsee, Silvia von Karstedt","Dynasore Blocks Ferroptosis through Combined Modulation of Iron Uptake and Inhibition of Mitochondrial Respiration",2020,"Cells","Mdpi",NA,NA,75,"2021-01-16 16:09:02","Article","10.3390/cells9102259","",NA,9,10,NA,NA,0,0,0,8,1,"Ferroptosis is a form of regulated necrosis characterized by a chain-reaction of detrimental membrane lipid peroxidation following collapse of glutathione peroxidase 4 (Gpx4) activity. This lipid peroxidation is catalyzed by labile ferric iron. Therefore, iron import mediated via transferrin receptors and both, enzymatic and non-enzymatic iron-dependent radical formation are crucial prerequisites for the execution of ferroptosis. Intriguingly, the dynamin inhibitor dynasore, which has been shown to block transferrin receptor endocytosis, can protect from ischemia/reperfusion injury as well as neuronal cell death following spinal cord injury. Yet, it is unknown how dynasore exerts these cell death-protective effects. Using small interfering RNA suppression, lipid reactive oxygen species (ROS), iron tracers and bona fide inducers of ferroptosis, we find that dynasore treatment in lung adenocarcinoma and neuronal cell lines strongly protects these from ferroptosis. Surprisingly, while the dynasore targets dynamin 1 and 2 promote extracellular iron uptake, their silencing was not sufficient to block ferroptosis suggesting that this route of extracellular iron uptake is dispensable for acute induction of ferroptosis and dynasore must have an additional off-target activity mediating full ferroptosis protection. Instead, in intact cells, dynasore inhibited mitochondrial respiration and thereby mitochondrial ROS production which can feed into detrimental lipid peroxidation and ferroptotic cell death in the presence of labile iron. In addition, in cell free systems, dynasore showed radical scavenger properties and acted as a broadly active antioxidant which is superior to N-acetylcysteine (NAC) in blocking ferroptosis. Thus, dynasore can function as a highly active inhibitor of ROS-driven types of cell death via combined modulation of the iron pool and inhibition of general ROS by simultaneously blocking two routes required for ROS and lipid-ROS driven cell death, respectively. These data have important implications for the interpretation of studies observing tissue-protective effects of this dynamin inhibitor as well as raise awareness that off-target ROS scavenging activities of small molecules used to interrogate the ferroptosis pathway should be taken into consideration.","iron"
"8",0,"Sarka Kubinova, Pavla Jendelova, Petr Lesny, Vladimir Holan, Eva Sykova","NANOTECHNOLOGY AND BIOMATERIALS IN MEDICINE",2009,"Nanocon 2009, Conference Proceedings","Tanger Ltd",NA,NA,76,"2021-01-16 16:09:02","Proceedings Paper","","",NA,NA,NA,292,298,0,0,0,5,12,"Nanotechnology is a rapidly developing field that offers promising future perspectives for medical research Our studies focus on the use of nanotechnology in cell therapy and tissue engineering for the treatment of brain and spinal cord injury, corneal defects and chronic wounds","iron"
"9",0,"Guilong Zhang, Ahsan Ali Khan, Hao Wu, Lukui Chen, Yuchun Gu, Ning Gu","The Application of Nanomaterials in Stem Cell Therapy for Some Neurological Diseases",2018,"Current Drug Targets","Bentham Science Publ Ltd",NA,NA,77,"2021-01-16 16:09:02","Review","10.2174/13894501186661703281158014","1389-4501",NA,19,3,279,298,0,0,0,6,3,"Background: Stem cell therapy provides great promising therapeutic benefits for various neurological disorders. Cell transplantation has emerged as cell replacement application for nerve damage. Recently, nanomaterials obtain wide development in various industrial and medical fields, and nanoparticles have been applied in the neurological field for tracking and treating nervous system diseases. Combining stem cells with nanotechnology has raised more and more attentions; and it has demonstrated that the combination has huge effects on clinical diagnosis and therapeutics in multiple central nervous system diseases, meanwhile, improves prognosis.","iron"
"10",0,"A. Hejcl, P. Jendelova, E. Sykova","ADULT BONE MARROW STEM CELLS AND BIOCOMPATIBLE POLYMERS IN SCI REPAIR",2009,"Handbook Of Hydrogels: Properties Preparation & Applications","Nova Science Publishers, Inc",NA,NA,78,"2021-01-16 16:09:02","Article","","",NA,NA,NA,689,NA,0,0,0,3,12,"Spinal cord injury (SCI) is a complex and dynamic process that will require multiple approaches to yield successful therapy. Bone marrow stem cells and biomaterials represent an important part of SCI neurotransplantation research in the last decade. The behavior of rat and human mesenchymal stem cells (MSCs) grafted to the injured spinal cord has been studied in terms of the cells' participation in lesion repair, their differentiation and their ability to promote functional recovery. The fate of MSCs has been followed using cells labeled in culture with superparamagnetic iron-oxide nanoparticles. The effects of implanted rat MSCs was compared with the implantation of a freshly prepared mononuclear fraction of bone marrow cells (BMCs) or the injection of granulocyte colony-stimulating factor. Lesioned animals grafted with MSCs, BMCs or treated with G-CSF had significantly smaller lesions and better motor performance. The transplantation of MSCs in animal models of chronic SCI (which result in cavity formation) led to only modest improvement. Autologous BMC implantation was used in a Phase I/II clinical trial in patients with SCI. Intra-arterial vs. intravenous administration and groups of acute vs. chronic patients were compared. Implantation was safe; in addition, 5 out of 6 patients with a subacute cervical lesion improved their function following the administration of BMCs via a. vertebralis.","iron"
