"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Maria Eduarda Baier, Nelson Junior Tagliari, Bruna Zafalon da Silva, Paula Cristina Sieczkowski Gonzalez, Marcelo Meller Alievi, Eduardo Raposo Monteiro","Anesthetic Management of an Orange-Spined-Hairy-Dwarf-Porcupine (Sphiggurus villosus) Undergoing Myelography",2016,"Acta Scientiae Veterinariae","Univ Fed Rio Grande Do Sul",NA,NA,22,"2021-01-16 16:09:44","Article","","1678-0345",NA,44,NA,NA,NA,0,0,0,6,5,"Background: The orange-spined hairy dwarf porcupine (Sphiggurus villosus) is a mammal that belongs to the rodentia order. Accidents involving this porcupine and dogs have become usual in some cities of Brazil. Dog bites may eventually result in spinal injuries. When there is clinical evidence of spinal cord injury, a myelography under general anesthesia may be required to allow identification of the exact location of the injury. To the authors' knowledge, there is only one case report about anesthesia in Sphiggurus villosus where dissociative anesthesia was employed. This paper describes one case report of inhalation anesthesia with isoflurane in a Sphiggurus villosus undergoing myelography.","isoflurane"
"2",1,"Ahmed A. Toreih, Asser A. Sallam, Cherif M. Ibrahim, Ahmed I. Maaty, Mohsen M. Hassan","Intercostal, ilioinguinal, and iliohypogastric nerve transfers for lower limb reinnervation after spinal cord injury: an anatomical feasibility and experimental study",2019,"Journal Of Neurosurgery-Spine","Amer Assoc Neurological Surgeons",NA,NA,21,"2021-01-16 16:09:44","Article","10.3171/2018.8.SPINE181","1547-5654",NA,30,2,268,278,1,0.5,0,5,2,"OBJECTIVE Spinal cord injury (SCI) has been investigated in various animal studies. One promising therapeutic approach involves the transfer of peripheral nerves originating above the level of injury into those originating below the level of injury. The purpose of the present study was to evaluate the feasibility of nerve transfers for reinnervation of lower limbs in patients suffering SCI to restore some hip and knee functions, enabling them to independently stand or even step forward with assistive devices and thus improve their quality of life.","isoflurane"
"3",2,"Marshall T. Bell, T. Brett Reece, Phillip D. Smith, Joshua Mares, Michael J. Weyant, Joseph C. Cleveland, Kirsten A. Freeman, David A. Fullerton, Ferenc Puskas","Reproducable Paraplegia by Thoracic Aortic Occlusion in a Murine Model of Spinal Cord Ischemia-reperfusion",2014,"Jove-Journal Of Visualized Experiments","Journal Of Visualized Experiments",NA,NA,20,"2021-01-16 16:09:44","Article","10.3791/50910","1940-087X",NA,NA,85,NA,NA,2,0.29,0,9,7,"Background","isoflurane"
"4",3,"M. Manthou, K. Nohroudi, S. Moscarino, F. Rehberg, G. Stein, R. Jansen, D. Abdulla, P. Jaminet, O. Semler, E. Schoenau, D. N. Angelov","Functional recovery after experimental spinal cord compression and whole body vibration therapy requires a balanced revascularization of the injured site",2015,"Restorative Neurology And Neuroscience","Ios Press",NA,NA,19,"2021-01-16 16:09:44","Article","10.3233/RNN-140434","0922-6028",NA,33,2,233,249,3,0.5,0,11,6,"Purpose: Based on several positive effects of whole-body-vibration (WBV) therapy on recovery after SCI, we looked for correlations between functional (analysis of locomotion), electrophysiological (H-reflex) and morphological (density of functioning capillaries) measurements after SCI and WBV-treatment.","isoflurane"
"5",5,"Jukka Kortelainen, Ashwati Vipin, Thow Xin Yuan, Hasan Mir, Nitish Thakor, Hasan Al-Nashash, Angelo All","Effect of isoflurane on somatosensory evoked potentials in a rat model",2014,"2014 36th Annual International Conference Of The Ieee Engineering In Medicine And Biology Society (Embc)","Ieee",NA,NA,18,"2021-01-16 16:09:44","Proceedings Paper","","1557-170X",NA,NA,NA,4286,4289,5,0.71,1,7,7,"Somatosensory evoked potentials (SEPs) are widely used in the clinic as well as research to study the functional integrity of the different parts of sensory pathways. However, most general anesthetics, such as isoflurane, are known to suppress SEPs, which might affect the interpretation of the signals. In animal studies, the usage of anesthetics during SEP measurements is inevitable due to which detailed effect of these drugs on the recordings should be known. In this paper, the effect of isoflurane on SEPs was studied in a rat model. Both time and frequency properties of the cortical recordings generated by stimulating the tibial nerve of rat's hindlimb were investigated at three different isoflurane levels. While the anesthetic agent is shown to generally suppress the amplitude of the SEP, the effect was found to be nonlinear influencing more substantially the latter part of waveform. This finding will potentially help us in future work aiming at separating the effects of anesthetics on SEP from those due to injury in the ascending neural pathways.","isoflurane"
"6",6,"TE GRISSOM, HC MITZEL, L BUNEGIN, MS ALBIN","THE EFFECT OF ANESTHETICS ON NEUROLOGIC OUTCOME DURING THE RECOVERY PERIOD OF SPINAL-CORD INJURY IN RATS",1994,"Anesthesia And Analgesia","Williams & Wilkins",NA,NA,17,"2021-01-16 16:09:44","Article","","0003-2999",NA,79,1,66,74,6,0.22,2,4,27,"We evaluated the effects of anesthetics on neurologic outcome in a model of recoverable experimental spinal cord injury (SCI). Adult rats were implanted with various sizes of hygroscopic plastic material at the T12 spinal level to determine the dimensions that would produce a progressive neurologic deficit from which recovery could occur. Neurologic evaluation was conducted on an inclined plane, noting the maximum angle at which an animal was able to maintain orientation perpendicular to the longitudinal midline. Scores were statistically modeled for each group to develop profiles of neurologic deficits. Rats were subjected to a 4-h exposure to isoflurane, fentanyl/nitrous oxide, or ketamine 7 or 8 days postimplantation. Neurologic outcomes were compared to a SCI reference group which received no postimplant anesthesia. An animal weight/desiccated implant volume (W-a/V-i) ratio of 53 to 73 g/mm(3) produced postimplant neurologic deficits which deteriorated to near maximum within 3 days, followed by a gradual improvement beginning at Day 8 and returning to near normal between 22 and 25 days. Final outcome was based on modeled ramp scores for each group and reported in degrees +/- SD: reference, 71.2 +/- 1.1; fentanyl/N2O, 70.4 +/- 0.3; isoflurane, 72.6 +/- 1.1; and ketamine, 64.9 +/- 0.6. The fentanyl group attained maximum recovery first (P > 0.05) but did not recover to a level different on the average from the reference group. The ketamine group demonstrated a poorer (P > 0.05) recovery level relative to the other anesthetic protocols.","isoflurane"
"7",10,"Andres Hurtado, Alexander Marcillo, Beata Frydel, Mary Bartlett Bunge, Helen M. Bramlett, W. Dalton Dietrich","Anti-CD11d monoclonal antibody treatment for rat spinal cord compression injury",2012,"Experimental Neurology","Academic Press Inc Elsevier Science",NA,NA,15,"2021-01-16 16:09:44","Article","10.1016/j.expneurol.2010.11.015","0014-4886",NA,233,2,606,611,10,1.11,2,6,9,"This study was initiated due to an NIH ""Facilities of Research-Spinal Cord Injury"" contract to support independent replication of published studies. Transient blockage of the CD11d/CD18 integrin has been reported to reduce secondary neuronal damage as well as to improve functional recovery after spinal cord injury (SCI) in rats. The purpose of this study was to determine whether treatment with an anti-CD11d monoclonal antibody (mAb) would improve motor performance, reduce pain and histopathological damage in animals following clip-compression injury as reported. Adult male Wistar rats (250 g) were anesthetized with isoflurane, and the T12 spinal cord exposed by T10 and T11 dorsal laminectomies followed by a 60 s period of clip compression utilizing a 35 g clip. Control animals received an isotype-matched irrelevant antibody (1B7) while the treated group received the anti-CD11d mAb (217 L; 1.0 mg/kg) systemically. Open-field locomotion and sensory function were assessed and animals were perfusion-fixed at twelve weeks after injury for quantitative histopathological analysis. As compared to 1B7, 217 L treated animals showed an overall non-significant trend to better motor recovery. All animals showed chronic mechanical allodynia and anti-CD11d mAb treatment did not significantly prevent its development. Histopathological analysis demonstrated severe injury to gray and white matter after compression with a non-significant trend in anti-CD11d protection compared to control animals for preserved myelin. Although positive effects with the anti-CD11d mAb treatment have been reported after compressive SCI, it is suggested that this potential treatment requires further investigation before clinical trials in spinal cord injured patients are implemented. (C) 2010 Elsevier Inc. All rights reserved.","isoflurane"
"8",10,"Tatiana Bezdudnaya, Kristiina M. Hormigo, Vitaliy Marchenko, Michael A. Lane","Spontaneous respiratory plasticity following unilateral high cervical spinal cord injury in behaving rats",2018,"Experimental Neurology","Academic Press Inc Elsevier Science",NA,NA,16,"2021-01-16 16:09:44","Article","10.1016/j.expneurol.2018.03.014","0014-4886",NA,305,NA,56,65,10,3.33,3,4,3,"Unilateral cervical C2 hemisection (C2Hx) is a classic model of spinal cord injury (SCI) for studying respiratory dysfunction and plasticity. However, most previous studies were performed under anesthesia, which significantly alters respiratory network. Therefore, the goal of this work was to assess spontaneous diaphragm recovery post-C2Hx in awake, freely behaving animals. Adult rats were chronically implanted with diaphragm EMG electrodes and recorded during 8 weeks post-C2Hx. Our results reveal that ipsilateral diaphragm activity partially recovers within days post-injury and reaches pre-injury amplitude in a few weeks. However, the full extent of spontaneous ipsilateral recovery is significantly attenuated by anesthesia (ketamine/xylazine, isoflurane, and urethane). This suggests that the observed recovery may be attributed in part to activation of NMDA receptors which are suppressed by anesthesia. Despite spontaneous recovery in awake animals, ipsilateral hemidiaphragm dysfunction still persists: i) Inspiratory bursts during basal (slow) breathing exhibit an altered pattern, ii) the amplitude of sighs or augmented breaths is significantly decreased, and iii) the injured hemidiaphragm exhibits spontaneous events of hyperexcitation. The results from this study offer an under appreciated insight into spontaneous diaphragm activity and recovery following high cervical spinal cord injury in awake animals.","isoflurane"
"9",11,"J. Sedy, K. Likavcanova, L. Urdzikova, J. Zicha, J. Kunes, A. Hejcl, P. Jendelova, E. Sykova","Low degree of anesthesia increases the risk of neurogenic pulmonary edema development",2008,"Medical Hypotheses","Churchill Livingstone",NA,NA,13,"2021-01-16 16:09:44","Article","10.1016/j.mehy.2007.05.031","0306-9877",NA,70,2,308,313,11,0.85,1,8,13,"Neurogenic pulmonary edema is an acute life-threatening complication following central nervous system injury. The exact pathogenic mechanism leading to its development is still unclear. We introduce a new hypothesis that high levels of anesthesia might protect the organism against the development of neurogenic pulmonary edema due to a more pronounced inhibition of the hypothalamic, brainstem and spinal vasoactive sympathetic centers. On the basis of a more pronounced neuronal inhibition of the vasoactive centers, a severe sympathetic discharge does not occur and neurogenic pulmonary edema does not develop. In contrast, an insufficient anesthesia level is not able to inhibit the sympathetic nervous system during an injury of the central nervous system and thus neurogenic pulmonary edema develops. During experiments with central nervous system injury, low-anesthesia-induced neurogenic pulmonary edema might negatively influence the overall recovery of the animal. More importantly, during a neurosurgical intervention, insufficient anesthesia might similarly lead to neurogenic pulmonary edema development in operated patients. Our hypothesis indicates the necessity of precisely monitoring of the level anesthesia during experimental manipulations of the central nervous system in animals or neurosurgical interventions in humans. (C) 2007 Elsevier Ltd. All rights reserved.","isoflurane"
"10",12,"Pradeep Tyagi, Katsumi Kadekawa, Mahendra Kashyap, Subrata Pore, Naoki Yoshimura","Spontaneous Recovery of Reflex Voiding Following Spinal Cord Injury Mediated by Anti-inflammatory and Neuroprotective Factors",2016,"Urology","Elsevier Science Inc",NA,NA,14,"2021-01-16 16:09:44","Article","10.1016/j.urology.2015.10.017","0090-4295",NA,88,NA,57,65,12,2.4,2,5,5,"OBJECTIVE To investigate the time-dependent changes in expression of cytokines that characterizes the spontaneous recovery of reflex voiding after spinal cord injury (SCI). SCI is known to reorganize the neural circuitry of micturition reflex after injury.","isoflurane"
