"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Durai Murugan Muniswami, Bashir Ahmed, George Tharion","Therapeutic Effect of Fibroblast Growth Factor and Olfactory Ensheathing Cells in Rat Models of Spinal Cord Injury",2018,"Journal Of Pharmacology & Pharmacotherapeutics","Wolters Kluwer Medknow Publications",NA,NA,13,"2021-01-16 16:13:50","Article","10.4103/jpp.JPP_173_17","0976-500X",NA,9,1,32,39,0,0,0,3,3,"Objective: To compare the efficacy of individual and combined treatment of olfactory ensheathing cells (OECs) and acidic fibroblast growth factor (aFGF) in a rat model of spinal cord injury (SCI). Materials and Methods: Adult female Albino Wistar rats were anesthetized with ketamine (90 mg/kg) and xylazine (10 mg/kg) by intraperitoneal injection and T10 laminectomy was performed to expose the spinal cord, before drop-weight injury. Following injury, 2 mu g of aFGF was administered at the site of injury and cultured rat olfactory mucosal OEC were transplanted as a single dose of 1 x 106 cells on the 9th day after SCI, used individually as well as in combination therapy. The outcome of the treatments was assessed using the hind-limb motor recovery-Basso, Beattie, Bresnahan (BBB) scale, transcranial motor-evoked potential, and histological studies. Results: All the treated groups showed improvement in hind-limb motor recovery when compared to the control group in BBB (P < 0.05). There was increased electromyography amplitude in treated rats as compared to controls (P < 0.05). Retrograde and anterograde tract tracing showed an increase of preserved axons and possible regeneration. Combination of aFGF with OEC transplantation demonstrated more beneficial effects following SCI than with individual therapy. Conclusion: aFGF and OEC transplantation have neuroprotective and regenerative therapeutic potentials for the future clinical application.","ketamine"
"2",3,"SS Haghighi, DH York, L Spollen, JJ Oro, MA PerezEspejo","Neurophysiological evidence of spared upper motor neurons after spinal cord injury",1996,"Paraplegia","Stockton Press",NA,NA,10,"2021-01-16 16:13:50","Article","10.1038/sc.1996.7","0031-1758",NA,34,1,39,45,3,0.12,1,5,25,"Fourteen cats were subjected to a moderate (100 gm-cm; n=7) or a severe (600 gm-cm; n=7) spinal cord injury at the C4-C5 level using a weight drop technique. Somatosensory evoked potentials (SSEPs) were recorded after stimulation of the median nerve in the forearm. The SSEPs were measured in each animal before and after the injury. Motor evoked potentials (MEPs) were recorded from forearm extensor muscles after transcranial magnetic stimulation of the motor cortex. The SSEPs and The MEPs were measured in each animal before and after the injury under ketamine-based anesthesia.","ketamine"
"3",4,"Federico Jimenez-Ruiz, Obaid U. Khurram, Wen-Zhi Zhan, Heather M. Gransee, Gary C. Sieck, Carlos B. Mantilla","Diaphragm muscle activity across respiratory motor behaviors in awake and lightly anesthetized rats",2018,"Journal Of Applied Physiology","Amer Physiological Soc",NA,NA,12,"2021-01-16 16:13:50","Article","10.1152/japplphysiol.01004.2017","8750-7587",NA,124,4,915,922,4,1.33,1,6,3,"Respiratory muscles such as the diaphragm are active across a range of behaviors including ventilation and higher-force behaviors necessary for maintenance of airway patency, and minimal information is available regarding anesthetic effects on the capacity of respiratory muscles to generate higher forces. The purpose of the present study was to determine whether diaphragm EMG activity during lower-force behaviors, such as eupnea and hypoxia-hypercapnia, is differentially affected compared with higher-force behaviors, such as a sigh. in lightly anesthetized animals. In adult male rats, chronically implanted diaphragm EMG electrodes were used to measure the effects of low-dose ketamine (30 mg/kg) and xylazine (3 mg/kg) on root mean square (RMS) EMG amplitude across a range of motor behaviors. A mixed linear model was used to evaluate the effects of ketamine-xylazine anesthesia on peak RMS EMG and ventilatory parameters, with condition (awake vs. anesthetized), behavior (eupnea, hypoxia-hypercapnia, sigh), side (left or right hemidiaphragm), and their interactions as fixed effects and animal as a random effect. Compared with the awake recordings. there was an overall reduction of peak diaphragm RMS EMG across behaviors during anesthesia, but this reduction was more pronounced during spontaneous sighs (which require similar to 60% of maximal diaphragm force). Respiratory rates and duty cycle during eupnea and hypoxiahypercapnia were higher in awake compared with anesthetized conditions. These results highlight the importance of identifying anesthetic effects on a range of respiratory motor behaviors, including sighs necessary for maintaining airway patency.","ketamine"
"4",6,"TE GRISSOM, HC MITZEL, L BUNEGIN, MS ALBIN","THE EFFECT OF ANESTHETICS ON NEUROLOGIC OUTCOME DURING THE RECOVERY PERIOD OF SPINAL-CORD INJURY IN RATS",1994,"Anesthesia And Analgesia","Williams & Wilkins",NA,NA,9,"2021-01-16 16:13:50","Article","","0003-2999",NA,79,1,66,74,6,0.22,2,4,27,"We evaluated the effects of anesthetics on neurologic outcome in a model of recoverable experimental spinal cord injury (SCI). Adult rats were implanted with various sizes of hygroscopic plastic material at the T12 spinal level to determine the dimensions that would produce a progressive neurologic deficit from which recovery could occur. Neurologic evaluation was conducted on an inclined plane, noting the maximum angle at which an animal was able to maintain orientation perpendicular to the longitudinal midline. Scores were statistically modeled for each group to develop profiles of neurologic deficits. Rats were subjected to a 4-h exposure to isoflurane, fentanyl/nitrous oxide, or ketamine 7 or 8 days postimplantation. Neurologic outcomes were compared to a SCI reference group which received no postimplant anesthesia. An animal weight/desiccated implant volume (W-a/V-i) ratio of 53 to 73 g/mm(3) produced postimplant neurologic deficits which deteriorated to near maximum within 3 days, followed by a gradual improvement beginning at Day 8 and returning to near normal between 22 and 25 days. Final outcome was based on modeled ramp scores for each group and reported in degrees +/- SD: reference, 71.2 +/- 1.1; fentanyl/N2O, 70.4 +/- 0.3; isoflurane, 72.6 +/- 1.1; and ketamine, 64.9 +/- 0.6. The fentanyl group attained maximum recovery first (P > 0.05) but did not recover to a level different on the average from the reference group. The ketamine group demonstrated a poorer (P > 0.05) recovery level relative to the other anesthetic protocols.","ketamine"
"5",6,"Osman Arikan Nacar, Hakan Eroglu, Nuri Eralp Cetinalp, Guner Menekse, Ali Erdem Yildirim, Ozhan Merzuk Uckun, Ergun Daglioglu, Omer Faruk Turkoglu, Ahmet Deniz Belen","Systemic Administration of Atorvastatin Improves Locomotor Functions and Hyperacute-Acute Response After Experimental Spinal Cord Injury: An Ultrastructural and Biochemical Analysis",2014,"Turkish Neurosurgery","Turkish Neurosurgical Soc",NA,NA,11,"2021-01-16 16:13:50","Article","10.5137/1019-5149.JTN.8131-13.1","1019-5149",NA,24,3,337,343,6,0.86,1,9,7,"AIM: Spinal cord injury (SCI) is characterized by posttraumatic inflammatory cascades including excitotoxicity, oxidative stress, and apoptosis. Agents against neuroinflammation are the current scope of studies on experimental SCI with promising results.","ketamine"
"6",10,"Tatiana Bezdudnaya, Kristiina M. Hormigo, Vitaliy Marchenko, Michael A. Lane","Spontaneous respiratory plasticity following unilateral high cervical spinal cord injury in behaving rats",2018,"Experimental Neurology","Academic Press Inc Elsevier Science",NA,NA,8,"2021-01-16 16:13:50","Article","10.1016/j.expneurol.2018.03.014","0014-4886",NA,305,NA,56,65,10,3.33,3,4,3,"Unilateral cervical C2 hemisection (C2Hx) is a classic model of spinal cord injury (SCI) for studying respiratory dysfunction and plasticity. However, most previous studies were performed under anesthesia, which significantly alters respiratory network. Therefore, the goal of this work was to assess spontaneous diaphragm recovery post-C2Hx in awake, freely behaving animals. Adult rats were chronically implanted with diaphragm EMG electrodes and recorded during 8 weeks post-C2Hx. Our results reveal that ipsilateral diaphragm activity partially recovers within days post-injury and reaches pre-injury amplitude in a few weeks. However, the full extent of spontaneous ipsilateral recovery is significantly attenuated by anesthesia (ketamine/xylazine, isoflurane, and urethane). This suggests that the observed recovery may be attributed in part to activation of NMDA receptors which are suppressed by anesthesia. Despite spontaneous recovery in awake animals, ipsilateral hemidiaphragm dysfunction still persists: i) Inspiratory bursts during basal (slow) breathing exhibit an altered pattern, ii) the amplitude of sighs or augmented breaths is significantly decreased, and iii) the injured hemidiaphragm exhibits spontaneous events of hyperexcitation. The results from this study offer an under appreciated insight into spontaneous diaphragm activity and recovery following high cervical spinal cord injury in awake animals.","ketamine"
"7",13,"A. Colak, M. Kaya, A. Karaoglan, A. Sagmanligil, O. Akdemir, E. Sahan, Oe Celik","Calpain inhibitor AK 295 inhibits calpain-induced apoptosis and improves neurologic function after traumatic spinal cord injury in rats",2009,"Neurocirugia","Soc Espanola Neurocirugia",NA,NA,7,"2021-01-16 16:13:50","Article","","1130-1473",NA,20,3,245,254,13,1.08,2,7,12,"Background. An increase in the level of intracellular calcium activates the calcium-dependent neutral protease calpain, which in turn leads to cellular dysfunction and cell death after an insult to the central nervous system. fit this study, we evaluated the effect of a calpain inhibitor, AK 295, on spinal cord structure, neurologic function, and apoptosis after spinal cord injury (SCI) in a murine model.","ketamine"
"8",21,"M. Beth Zimmer, Harry G. Gosligarian","GABA, not glycine, mediates inhibition of latent respiratory motor pathways after spinal cord injury",2007,"Experimental Neurology","Academic Press Inc Elsevier Science",NA,NA,6,"2021-01-16 16:13:50","Article","10.1016/j.expneurol.2006.09.001","0014-4886",NA,203,2,493,501,21,1.5,11,2,14,"Previous work has shown that latent respiratory motor pathways known as crossed phrenic pathways are inhibited via a spinal inhibitory process; however, the underlying mechanisms remain unknown. The present study investigated whether spinal GABA-A and/or glycine receptors are involved in the inhibition of the crossed phrenic pathways after a C2 spinal cord hemisection injury. Under ketamine/xylazine anesthesia, adult, female, Sprague-Dawley rats were hemisected at the C2 spinal cord level. Following 1 week post injury, rats were anesthetized with urethane, vagotornized, paralyzed and ventilated. GABA-A receptor (bicuculline and Gabazine) and glycine receptor (strychnine) antagonists were applied directly to the cervical spinal cord (C3-C7), while bilateral phrenic nerve motor output was recorded. GABA-A receptor antagonists significantly increased peak phrenic amplitude bilaterally and induced crossed phrenic activity in spinal-injured rats. Muscimol, a specific GABA-A receptor agonist, blocked these effects. Glycine receptor antagonists applied directly to the spinal cord had no significant effect on phrenic motor output. These results indicate that phrenic motor neurons are inhibited via a GABA-A mediated receptor mechanism located within the spinal cord to inhibit the expression of crossed phrenic pathways. (c) 2006 Elsevier Tue. All rights reserved.","ketamine"
"9",24,"K Kotil, U Kuscuoglu, M Kirali, H Uzun, M Akcetin, T Bilge","Investigation of the dose-dependent neuroprotective effects of agmatine in experimental spinal cord injury: a prospective randomized and placebo-control trial",2006,"Journal Of Neurosurgery-Spine","Amer Assoc Neurological Surgeons",NA,NA,5,"2021-01-16 16:13:50","Article","10.3171/spi.2006.4.5.392","1547-5654",NA,4,5,392,399,24,1.6,4,6,15,"Object. No definitive treatment for spinal cord injuries (SCIs) exists, and more research is required. The use of agmatine [4-(aminobutyl)-guanidine-NH2-CH2-CH2-CH2-CH2-NH-C(-NH2)(=NH)], a guanidinium Compound formed by decarboxylation Of L-arginine by arginine decarboxylase, is a neurotransmitter-neuromodulator with both N-methyl-D-aspartate receptor (NMDAR)-antagonizing and nitric oxide synthase (NOS)-inhibiting activities. The purpose of this study was to demonstrate the dose-dependent activity of agmatine, an inducible NOS (iNOS) inhibitor and selective NMDAR antagonist, on biochemical and functional recovery in an experimental rat SCI model.","ketamine"
"10",31,"Weijun Peng, Jing Sun, Chenxia Sheng, Zhe Wang, Yang Wang, Chunhu Zhang, Rong Fan","Systematic review and meta-analysis of efficacy of mesenchymal stem cells on locomotor recovery in animal models of traumatic brain injury",2015,"Stem Cell Research & Therapy","Bmc",NA,NA,4,"2021-01-16 16:13:50","Review","10.1186/s13287-015-0034-0","",NA,6,NA,NA,NA,31,5.17,4,7,6,"Introduction: The therapeutic potential of mesenchymal stem cells (MSCs) for traumatic brain injury (TBI) is attractive. Conducting systematic review and meta-analyses based on data from animal studies can be used to inform clinical trial design. To conduct a systematic review and meta-analysis to (i) systematically review the literatures describing the effect of MSCs therapy in animal models of TBI, (ii) determine the estimated effect size of functional locomotor recovery after experimental TBI, and (iii) to provide empirical evidence of biological factors associated with greater efficacy.","ketamine"
