"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Hengyuan An, Qi Li, Jianguo Wen","Bone marrow mesenchymal stem cells encapsulated thermal-responsive hydrogel network bridges combined photo-plasmonic nanoparticulate system for the treatment of urinary bladder dysfunction after spinal cord injury",2020,"Journal Of Photochemistry And Photobiology B-Biology","Elsevier Science Sa",NA,NA,21,"2021-01-18 08:39:01","Article","10.1016/j.jphotobiol.2019.111741","1011-1344",NA,203,NA,NA,NA,0,0,0,3,1,"Spinal cord injury (SCI) is a distressing injury and an irretrievable dramatic event that can debilitate victims for lifespan. Recovery and treatment of SCI is critical challenges for medicine, to overcome the hurdles stem cells and hydrogel scaffolds implantation is a boon for SCI recovery. In this regard, we reported the synthesis of Gold nanoparticles (Au NPs) loaded Agarose/Poly (N-isopropylacrylamide) (PNIPAM) as promising materials for SCI treatment. Herein, Au NPs was synthesized by well-established citrate reduction method and the prepared materials were characterised by UV-visible spectroscopy (UV-vis), Transmission electron microscopy (TEM), Fourier- transform infrared spectroscopy (FT-IR), Scanning electron microscopy (SEM), and EDAX analysis. The microscopic images showed an elliptical or ovoid porous structure nature of hydrogel, and successful and homogenous loading of photo plasmonic nanoparticles into the hydrogel structure. The in vitro cell viability and inflammation analyses data exhibited that prepared hydrogels have no toxic to the cells and displayed high antiregenerative ability with bone marrow Mesenchymal stem cells (MSCs) and macrophages cells. The in vivo analysis study demonstrated that the treated materials with encapsulated MSCs have greater nerve tissue regeneration efficacy which was confirmed by the results of BBB scores. The hind limb locomotion of treated model animals was totally vanished after post-operational surgery. It's established that implanted nano-hydrogel materials combined with MSCs have quicker recovery of motor function after post-operative surgery, when compared to the other implanted animal groups.","methylcellulose"
"2",3,"Zacnicte May, Ranjan Kumar, Tobias Fuehrmann, Roger Tam, Katarina Vulic, Juan Forero, Ana Lucas Osma, Keith Fenrich, Peggy Assinck, Michael J. Lee, Aaron Moulson, Molly S. Shoichet, Wolfram Tetzlaff, Jeff Biernaskie, Karim Fouad","Adult skin-derived precursor Schwann cell grafts form growths in the injured spinal cord of Fischer rats",2018,"Biomedical Materials","Iop Publishing Ltd",NA,NA,20,"2021-01-18 08:39:01","Article","10.1088/1748-605X/aa95f8","1748-6041",NA,13,3,NA,NA,3,1,0,15,3,"In this study, GFP(+) skin-derived precursor Schwann cells (SKP-SCs) from adult rats were grafted into the injured spinal cord of immunosuppressed rats. Our goal was to improve grafted cell survival in the injured spinal cord, which is typically low. Cells were grafted in hyaluronan-methylcellulose hydrogel (HAMC) or hyaluronan-methylcellulose modified with laminin-and fibronectin-derived peptide sequences (eHAMC). The criteria for selection of hyaluronan was for its shear-thinning properties, making the hydrogel easy to inject, methylcellulose for its inverse thermal gelation, helping to keep grafted cells in situ, and fibronectin and laminin to improve cell attachment and, thus, prevent cell death due to dissociation from substrate molecules (i.e., anoikis). Post-mortem examination revealed large masses of GFP(+) SKP-SCs in the spinal cords of rats that received cells in HAMC (5 out of n = 8) and eHAMC (6 out of n = 8). Cell transplantation in eHAMC caused significantly greater spinal lesions compared to lesion and eHAMC only control groups. A parallel study showed similar masses in the contused spinal cord of rats after transplantation of adult GFP(+) SKP-SCs without a hydrogel or immunosuppression. These findings suggest that adult GFP(+) SKP-SCs, cultured/transplanted under the conditions described here, have a capacity for uncontrolled proliferation. Growth-formation in pre-clinical research has also been documented after transplantation of: human induced pluripotent stem cell-derived neural stem cells (Itakura et al 2015 PLoS One 10 e0116413), embryonic stem cells and embryonic stem cell-derived neurons (Brederlau et al 2006 Stem Cells 24 1433-40; Dressel et al 2008 PLoS One 3 e2622), bone marrow derived mesenchymal stem cells (Jeong et al 2011 Circ. Res. 108 1340-47) and rat nerve-derived SCs following in vitro expansion for > 11 passages (Funk et al 2007 Eur. J. Cell Biol. 86 207-19; Langford et al 1988 J. Neurocytology 17 521-9; Morrissey et al 1991 J. Neurosci. 11 2433-42). It is of upmost importance to define the precise culture/transplantation parameters for maintenance of normal cell function and safe and effective use of cell therapy.","methylcellulose"
"3",4,"Laura M. Marquardt, Vanessa M. Doulames, Alice T. Wang, Karen Dubbin, Riley A. Suhar, Michael J. Kratochvil, Zachary A. Medress, Giles W. Plant, Sarah C. Heilshorn","Designer, injectable gels to prevent transplanted Schwann cell loss during spinal cord injury therapy",2020,"Science Advances","Amer Assoc Advancement Science",NA,NA,19,"2021-01-18 08:39:01","Article","10.1126/sciadv.aaz1039","2375-2548",NA,6,14,NA,NA,4,4,0,9,1,"Transplantation of patient-derived Schwann cells is a promising regenerative medicine therapy for spinal cord injuries; however, therapeutic efficacy is compromised by inefficient cell delivery. We present a materials-based strategy that addresses three common causes of transplanted cell death: (i) membrane damage during injection, (ii) cell leakage from the injection site, and (iii) apoptosis due to loss of endogenous matrix. Using protein engineering and peptide-based assembly, we designed injectable hydrogels with modular cell-adhesive and mechanical properties. In a cervical contusion model, our hydrogel matrix resulted in a greater than 700% improvement in successful Schwann cell transplantation. The combination therapy of cells and gel significantly improved the spatial distribution of transplanted cells within the endogenous tissue. A reduction in cystic cavitation and neuronal loss were also observed with substantial increases in forelimb strength and coordination. Using an injectable hydrogel matrix, therefore, can markedly improve the outcomes of cellular transplantation therapies.","methylcellulose"
"4",7,"Zhijiang He, Hongxin Zang, Lei Zhu, Kui Huang, Tailong Yi, Sai Zhang, Shixiang Cheng","An anti-inflammatory peptide and brain-derived neurotrophic factor-modified hyaluronan-methylcellulose hydrogel promotes nerve regeneration in rats with spinal cord injury",2019,"International Journal Of Nanomedicine","Dove Medical Press Ltd",NA,NA,18,"2021-01-18 08:39:01","Article","10.2147/IJN.S187854","1178-2013",NA,14,NA,721,732,7,3.5,1,7,2,"Background: Traumatic spinal cord injury (SCI) causes neuronal death, demyelination, axonal degeneration, inflammation, glial scar formation, and cystic cavitation resulting in interruption of neural signaling and loss of nerve function. Multifactorial targeted therapy is a promising strategy for SCI.","methylcellulose"
"5",11,"D. S. Chu, D. L. Sellers, M. J. Bocek, A. E. Fischedick, P. J. Horner, S. H. Pun","MMP9-sensitive polymers mediate environmentally-responsive bivalirudin release and thrombin inhibition",2015,"Biomaterials Science","Royal Soc Chemistry",NA,NA,16,"2021-01-18 08:39:01","Article","10.1039/c4bm00259h","2047-4830",NA,3,1,41,45,11,1.83,2,6,6,"MMP9-responsive bivalirudin-HPMA copolymers were synthesized for direct, local administration in rat spinal cord contusion injury models. Polymer-conjugated bivalirudin peptides maintained activity while demonstrating enzyme-mediated release upon MMP9 exposure and prolonged release from hyaluronic acid/methylcellulose (HAMC) hydrogels compared to free bivalirudin peptide. Localized administration of bivalirudin copolymers in vivo at the site of rat spinal cord injury decreased cellular proliferation and astrogliosis, suggesting the bivalirudin copolymer and HAMC hydrogel system are a promising therapeutic intervention for reducing immediate inflammatory responses and long term scarring.","methylcellulose"
"6",11,"Margaret T. Ho, Carter J. Teal, Molly S. Shoichet","A hyaluronan/methylcellulose-based hydrogel for local cell and biomolecule delivery to the central nervous system",2019,"Brain Research Bulletin","Pergamon-Elsevier Science Ltd",NA,NA,17,"2021-01-18 08:39:01","Review","10.1016/j.brainresbull.2019.03.005","0361-9230",NA,148,NA,46,54,11,5.5,4,3,2,"Regenerative medicine strategies rely on exogenous cell transplantation and/or endogenous cell stimulation. Biomaterials can help to increase the regenerative potential of cells and biomolecules by controlling transplanted cell fate and provide a local, sustained release of biomolecules. In this review, we describe the use of a hyaluronan/methylcellulose (HAMC)-based hydrogel as a delivery vehicle to the brain, spinal cord, and retina to promote cellular survival and tissue repair. We discuss various controlled release strategies to prolong the delivery of factors for neuroprotection. The versatility of this hydrogel for a diversity of applications highlights its potential to enhance cell- and biomolecule-based treatment strategies.","methylcellulose"
"7",15,"Tobias Fuhrmann, Priya N. Anandakumaran, Samantha L. Payne, Malgosia M. Pakulska, Balazs V. Varga, Andras Nagy, Charles Tator, Molly S. Shoichet","Combined delivery of chondroitinase ABC and human induced pluripotent stem cell-derived neuroepithelial cells promote tissue repair in an animal model of spinal cord injury",2018,"Biomedical Materials","Iop Publishing Ltd",NA,NA,15,"2021-01-18 08:39:01","Article","10.1088/1748-605X/aa96dc","1748-6041",NA,13,2,NA,NA,15,5,2,8,3,"The lack of tissue regeneration after traumatic spinal cord injury in animal models is largely attributed to the local inhibitory microenvironment. To overcome this inhibitory environment while promoting tissue regeneration, we investigated the combined delivery of chondroitinase ABC (chABC) with human induced pluripotent stem cell-derived neuroepithelial stem cells (NESCs). ChABC was delivered to the injured spinal cord at the site of injury by affinity release from a crosslinked methylcellulose (MC) hydrogel by injection into the intrathecal space. NESCs were distributed in a hydrogel comprised of hyaluronan and MC and injected into the spinal cord tissue both rostral and caudal to the site of injury. Cell transplantation led to reduced cavity formation, but did not improve motor function. While few surviving cells were found 2 weeks post injury, the majority of live cells were neurons, with only few astrocytes, oligodendrocytes, and progenitor cells. At 9 weeks post injury, there were more progenitor cells and a more even distribution of cell types compared to those at 2 weeks post injury, suggesting preferential survival and differentiation. Interestingly, animals that received cells and chABC had more neurons than animals that received cells alone, suggesting that chABC influenced the injury environment such that neuronal differentiation or survival was favoured.","methylcellulose"
"8",18,"Kristyna Zaviskova, Dmitry Tukmachev, Jana Dubisova, Irena Vackova, Ales Hejcl, Julie Bystronova, Martin Pravda, Ivana Scigalkova, Romana Sulakova, Vladimir Velebny, Lucie Wolfova, Sarka Kubinova","Injectable hydroxyphenyl derivative of hyaluronic acid hydrogel modified with RGD as scaffold for spinal cord injury repair",2018,"Journal Of Biomedical Materials Research Part A","Wiley",NA,NA,14,"2021-01-18 08:39:01","Article","10.1002/jbm.a.36311","1549-3296",NA,106,4,1129,1140,18,6,2,12,3,"Hydrogel scaffolds which bridge the lesion, together with stem cell therapy represent a promising approach for spinal cord injury (SCI) repair. In this study, a hydroxyphenyl derivative of hyaluronic acid (HA-PH) was modified with the integrin-binding peptide arginine-glycine-aspartic acid (RGD), and enzymatically crosslinked to obtain a soft injectable hydrogel. Moreover, addition of fibrinogen was used to enhance proliferation of human Wharton's jelly-derived mesenchymal stem cells (hWJ-MSCs) on HA-PH-RGD hydrogel. The neuroregenerative potential of HA-PH-RGD hydrogel was evaluated in vivo in acute and subacute models of SCI. Both HA-PH-RGD hydrogel injection and implantation into the acute spinal cord hemisection cavity resulted in the same axonal and blood vessel density in the lesion area after 2 and 8 weeks. HA-PH-RGD hydrogel alone or combined with fibrinogen (HA-PH-RGD/F) and seeded with hWJ-MSCs was then injected into subacute SCI and evaluated after 8 weeks using behavioural, histological and gene expression analysis. A subacute injection of both HA-PH-RGD and HA-PH-RGD/F hydrogels similarly promoted axonal ingrowth into the lesion and this effect was further enhanced when the HA-PH-RGD/F was combined with hWJ-MSCs. On the other hand, no effect was found on locomotor recovery or the blood vessel ingrowth and density of glial scar around the lesion. In conclusion, we have developed and characterized injectable HA-PH-RGD based hydrogel, which represents a suitable material for further combinatorial therapies in neural tissue engineering. (c) 2018 Wiley Periodicals, Inc. J Biomed Mater Res Part A: 106A: 1129-1140, 2018.","methylcellulose"
"9",22,"Satoshi Nori, Mohamad Khazaei, Christopher S. Ahuja, Kazuya Yokota, Jan-Eric Ahlfors, Yang Liu, Jian Wang, Shinsuke Shibata, Jonathon Chio, Marian H. Hettiaratchi, Tobias Fuhrmann, Molly S. Shoichet, Michael G. Fehlings","Human Oligodendrogenic Neural Progenitor Cells Delivered with Chondroitinase ABC Facilitate Functional Repair of Chronic Spinal Cord Injury",2018,"Stem Cell Reports","Cell Press",NA,NA,13,"2021-01-18 08:39:01","Article","10.1016/j.stemcr.2018.10.017","2213-6711",NA,11,6,1433,1448,22,7.33,2,13,3,"Treatment of chronic spinal cord injury (SCI) is challenging due to cell loss, cyst formation, and the glial scar. Previously, we reported on the therapeutic potential of a neural progenitor cell (NPC) and chondroitinase ABC (ChABC) combinatorial therapy for chronic SCI. However, the source of NPCs and delivery system required for ChABC remained barriers to clinical application. Here, we investigated directly reprogrammed human NPCs biased toward an oligodendrogenic fate (oNPCs) in combination with sustained delivery of ChABC using an innovative affinity release strategy in a crosslinked methylcellulose biomaterial for the treatment of chronic SCI in an immunodeficient rat model. This combinatorial therapy increased long-term survival of oNPCs around the lesion epicenter, facilitated greater oligodendrocyte differentiation, remyelination of the spared axons by engrafted oNPCs, enhanced synaptic connectivity with anterior horn cells and neurobehavioral recovery. This combinatorial therapy is a promising strategy to regenerate the chronically injured spinal cord.","methylcellulose"
"10",24,"Jason C. Stanwick, M. Douglas Baumann, Molly S. Shoichet","In vitro sustained release of bioactive anti-NogoA, a molecule in clinical development for treatment of spinal cord injury",2012,"International Journal Of Pharmaceutics","Elsevier",NA,NA,11,"2021-01-18 08:39:01","Article","10.1016/j.ijpharm.2012.01.035","0378-5173",NA,426,1,284,290,24,2.67,8,3,9,"Anti-NogoA is a promising anti-inhibitory molecule that has been shown to enhance functional recovery after spinal cord injury when delivered in rat and primate models over the span of weeks. To achieve this sustained release, anti-NogoA is typically delivered by osmotic minipumps; however, external minipumps are susceptible to infection. To address this issue, we developed a drug delivery system that consists of anti-NogoA-loaded poly(lactic-co-glycolic acid) nanoparticles dispersed in a hydrogel of hyaluronan and methylcellulose (composite HAMC). To optimize in vitro release, we screened formulations for improved anti-NogoA bioactivity and sustained release based on combinations of co-encapsulated trehalose, hyaluronan, MgCO3, and CaCO3. Co-encapsulated MgCO3 and CaCO3 slowed the rate of anti-NogoA release and did not influence anti-NogoA bioactivity. Co-encapsulated trehalose significantly improved anti-NogoA bioactivity at early release time points by stabilizing the protein during lyophilization. Co-encapsulated trehalose with hyaluronan improved bioactivity up to 28d and dramatically increased the rate and duration of sustained delivery. The sustained release of bioactive anti-NogoA from composite HAMC is a compelling formulation for in vivo evaluation in a model of spinal cord injury. (C) 2012 Elsevier B.V. All rights reserved.","methylcellulose"
