"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",34,"Satoshi Tsutsumi, Takayoshi Ueta, Keiichiro Shiba, Shunsaku Yamamoto, Kenji Takagishi","Effects of the Second National Acute Spinal Cord Injury Study of high-dose methylprednisolone therapy on acute cervical spinal cord injury - Results in spinal injuries center",2006,"Spine","Lippincott Williams & Wilkins",NA,NA,176,"2021-01-18 10:07:47","Article","10.1097/01.brs.0000250273.28483.5c","0362-2436",NA,31,26,2992,2996,34,2.27,7,5,15,"Study Design. Retrospective single-center study.","methylprednisolone"
"2",35,"Ruben Lopez-Vales, Joaquim Fores, Xavier Navarro, Enrique Verdu","Olfactory ensheathing glia graft in combination with FK506 administration promote repair after spinal cord injury",2006,"Neurobiology Of Disease","Academic Press Inc Elsevier Science",NA,NA,189,"2021-01-18 10:07:47","Article","10.1016/j.nbd.2006.08.001","0969-9961",NA,24,3,443,454,35,2.33,9,4,15,"The aim of this study was to determine whether a combination of olfactory ensheathing cell (OEC) graft with the administration of FK506, two experimental approaches that have been previously reported to exert protective/regenerative effects after spinal cord injury, promotes synergic restorative effects after complete or partial spinal cord injuries. In partial spinal cord injury, combination of an OEC graft and FK506 reduced functional deficits evaluated by the BBB score, motor-evoked potentials (MEPs) and H reflex tests, diminished cavitation, astrogliosis and increased sparing/regeneration of raphespinal fibers compared to untreated and single-treatment groups of rats. After complete spinal cord transection, the combined treatment significantly improved functional outcomes, promoted axonal regeneration caudal to the lesion, and diminished astrogliosis compared only to non-transplanted animals. Slightly, but non-signiflcant, better functional and histological results were found in OEC-grafted animals treated with FK506 than in those given saline after spinal cord transection. Nevertheless, the combined treatment increased the percentage of rats that recovered MEPs and promoted a significant reduction in astrogliosis. In conclusion, this study demonstrates that OEC grafts combined with FK506 promote additive repair of spinal cord injuries to those exerted by single treatments, the effect being more remarkable when the spinal cord is partially lesioned. (c) 2006 Elsevier Inc. All rights reserved.","methylprednisolone"
"3",36,"Alexandre Fogaca Cristante, Tarcisio Eloy Pessao de Barros Filho, Raphael Martus Marcon, Olavo Biraghi Letaif, Ivan Dias da Rocha","Therapeutic approaches for spinal cord injury",2012,"Clinics","Hospital Clinicas, Univ Sao Paulo",NA,NA,197,"2021-01-18 10:07:47","Review","10.6061/clinics/2012(10)16","1807-5932",NA,67,10,1219,1224,36,4,7,5,9,"This study reviews the literature concerning possible therapeutic approaches for spinal cord injury. Spinal cord injury is a disabling and irreversible condition that has high economic and social costs. There are both primary and secondary mechanisms of damage to the spinal cord. The primary lesion is the mechanical injury itself. The secondary lesion results from one or more biochemical and cellular processes that are triggered by the primary lesion. The frustration of health professionals in treating a severe spinal cord injury was described in 1700 BC in an Egyptian surgical papyrus that was translated by Edwin Smith; the papyrus reported spinal fractures as a ""disease that should not be treated."" Over the last two decades, several studies have been performed to obtain more effective treatments for spinal cord injury. Most of these studies approach a patient with acute spinal cord injury in one of four manners: corrective surgery or a physical, biological or pharmacological treatment method. Science is unraveling the mechanisms of cell protection and neuroregeneration, but clinically, we only provide supportive care for patients with spinal cord injuries. By combining these treatments, researchers attempt to enhance the functional recovery of patients with spinal cord injuries. Advances in the last decade have allowed us to encourage the development of experimental studies in the field of spinal cord regeneration. The combination of several therapeutic strategies should, at minimum, allow for partial functional recoveries for these patients, which could improve their quality of life.","methylprednisolone"
"4",38,"Tarun Saxena, Kristin H. Loomis, S. Balakrishna Pai, Lohitash Karumbaiah, Eric Gaupp, Ketki Patil, Radhika Patkar, Ravi V. Bellamkonda","Nanocarrier-Mediated Inhibition of Macrophage Migration Inhibitory Factor Attenuates Secondary Injury after Spinal Cord Injury",2015,"Acs Nano","Amer Chemical Soc",NA,NA,190,"2021-01-18 10:07:47","Article","10.1021/nn505980z","1936-0851",NA,9,2,1492,1505,38,6.33,5,8,6,"Spinal cord injury (SCI) can lead to permanent motor and sensory deficits. Following the initial traumatic insult, secondary injury mechanisms characterized by persistent heightened inflammation are initiated and lead to continued and pervasive cell death and tissue damage. Anti-inflammatory drugs such as methylprednisolone (MP) used clinically have ambiguous benefits with debilitating side effects. Typically, these drugs are administered systemically at high doses, resulting in toxicity and paradoxically increased inflammation. Furthermore, these drugs have a small time window postinjury (few hours) during which they need to be infused to be effective. As an alternative to MP, we investigated the effect of a small molecule inhibitor (Chicago sky blue, CSB) of macrophage migration inhibitory factor (MIF) for treating SCI. The pleiotropic cytokine MIF is known to contribute to upregulation of several pro-inflammatory cytokines in various disease and injury states. In vitro, CSB administration alleviated endotoxin-mediated inflammation in primary microglia and macrophages. Nanocarriers such as liposomes can potentially alleviate systemic side effects of high-dose therapy by enabling site-specific drug delivery to the spinal cord. However, the therapeutic window of 100 nm scale nanoparticle localization to the spinal cord after contusion injury is not fully known. Thus, we first investigated the ability of nanocarriers of different sizes to localize to the injured spinal cord up to 2 weeks postinjury. Results from the study showed that nanocarriers as large as 200 nm in diameter could extravasate into the injured spinal cord up to 96 h postinjury. We then formulated nanocarriers (liposomes) encapsulating CSB and administered them intravenously 48 h postinjury, within the previously determined 96 h therapeutic window. In vivo, in this clinically relevant contusion injury model in rats, CSB administration led to preservation of vascular and white matter integrity, improved wound healing, and an increase in levels of arginase and other transcripts indicative of a resolution phase of wound healing. This study demonstrates the potential of MIF inhibition in SCI and the utility of nanocarrier-mediated drug delivery selectively to the injured cord.","methylprednisolone"
"5",40,"Lisa-Ann Wuermser, Chester H. Ho, Anthony E. Chiodo, Michael M. Priebe, Steven C. Kirshblum, William M. Scelza","Spinal cord injury medicine. 2. Acute care management of traumatic and nontraumatic injury",2007,"Archives Of Physical Medicine And Rehabilitation","W B Saunders Co-Elsevier Inc",NA,NA,192,"2021-01-18 10:07:47","Article","10.1016/j.apmr.2006.12.002","0003-9993",NA,88,3,NA,NA,40,2.86,7,6,14,"This self-directed learning module highlights the basic acute care management of traumatic and nontraumatic spinal cord injury (SCI). It is part of the chapter on SCI medicine in the Self-Directed Physiatric Education Program for practitioners and trainees in physical medicine and rehabilitation. Acute traumatic SCI is optimally managed in a level 1 trauma center. Decompression of the neural elements, stabilization of the spine, and maintenance of tissue perfusion are fundamental to optimizing outcomes. SCI patients are at high risk of pressure ulcers, venous thromboembolism, stress ulceration, bowel impaction, dysphagia, and pulmonary complications. Physiatric interventions are needed to prevent these complications. Prognostication of neurologic outcome based on early examination is an important skill to aid in creating a rehabilitation plan and to test for efficacy of early interventions. Nontraumatic SCI is an increasing population in rehabilitation centers. Establishing a diagnosis and treatment plan is essential, in conjunction with prevention of complications and early physiatric intervention.","methylprednisolone"
"6",40,"Erwin M. J. Cornips, Marcus L. F. Janssen, Emile A. M. Beuls","Thoracic disc herniation and acute myelopathy: clinical presentation, neuroimaging findings, surgical considerations, and outcome Clinical article",2011,"Journal Of Neurosurgery-Spine","Amer Assoc Neurological Surgeons",NA,NA,196,"2021-01-18 10:07:47","Article","10.3171/2010.12.SPINE10273","1547-5654",NA,14,4,520,528,40,4,13,3,10,"Object. Thoracic disc herniations (TDHs) may occasionally present with an acute myelopathy, defined as a variable degree of motor, sensory, and sphincter disturbances developing in less than 24 hours, and resulting in a Frankel Grade C or worse. Confronted with such a patient, the surgeon has to decide whether to perform an emergency operation and whether to use an anterior or posterior approach. The authors analyze their own experience and the pertinent literature, focusing on clinical presentation, imaging findings, surgical timing, technique, and outcome.","methylprednisolone"
"7",40,"Edward D. Hall, J. Mark Braughler, John M. McCall","New Pharmacological Treatment of Acute Spinal Cord Trauma",1988,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,199,"2021-01-18 10:07:47","Article","10.1089/neu.1988.5.81","0897-7151",NA,5,1,81,89,40,1.21,13,3,33,"Numerous experimental studies of blunt spinal cord injury have shown that while a variable degree of immediate mechanical damage occurs to spinal blood vessels and axons in proportion to the magnitude of the injury force, a considerable amount of posttraumatic tissue degeneration is due to a secondary pathophysiological process that may be modifiable by appropriate therapeutic intervention. A growing body of biochemical, physiological, and pharmacological evidence has suggested that oxygen free radical-induced lipid peroxidation, working in concert with aberrant calcium fluxes and eicosanoid generation in particular, plays a key role in progressive post-traumatic spinal cord degeneration. Of particular importance, lipid peroxidation has been linked to microvascular damage and hypoperfusion which, if severe enough, can lead to a secondary ischemie insult to the tissue. The ability of intensive dosing with the glucocorticoid steroid methylprednisolone to beneficially affect post-traumatic ischemia and to promote chronic neurologic recovery in spinal cord injured animals has been correlated not with its glucocorticoid activity, but rather with the ability to inhibit post-traumatic spinal lipid peroxidation. In view of this, a novel series of non-glucocorticoid 21-aminosteroids has been developed which lack glucocorticoid activity but are more effective inhibitors of nervous tissue lipid peroxidation than the glucocorticoid steroids. One of these, U74006F, has now been studied in some detail and appears to be a promising new agent for the acute treatment of spinal cord (and brain) trauma. The background and pre-clinical development of this compound to date is reviewed.","methylprednisolone"
"8",40,"Supriti Samantaray, Eric A. Sribnick, Arabinda Das, Nakul P. Thakore, Denise Matzelle, Shan P. Yu, Swapan K. Ray, Ling Wei, Naren L. Banik","Neuroprotective efficacy of estrogen in experimental spinal cord injury in rats",2010,"Neuroprotective Agents","Wiley-Blackwell",NA,NA,200,"2021-01-18 10:07:47","Article","10.1111/j.1749-6632.2009.05357.x","0077-8923",NA,1199,NA,90,94,40,3.64,4,9,11,"Spinal cord injury (SCI) leads to neurological deficits and motor dysfunction. Methylprednisolone, the only drug used for treating SCI, renders limited neuroprotection and remains controversial. Estrogen is one of the most potent multiactive neuroprotective agents and it is currently under investigation in our laboratory for its efficacy in SCI. The present review briefly summarizes our earlier findings on the therapeutic potential of pharmacological/supraphysiological levels of estrogen in SCI and outlines our ongoing research, highlighting the efficacy of physiological levels of estrogen against neuronal injury, axonal degeneration, and gliosis and also the molecular mechanisms of such neuroprotection in experimental SCI. Furthermore, our ongoing studies designed to explore the different translational potential of estrogen therapy suggest that this multiactive steroid may act as an adjunct therapy to promote angiogenesis, thus enhancing the functional recovery following chronic SCI. Taken together, these studies confirm that estrogen is a potential therapeutic agent for treating SCI.","methylprednisolone"
"9",41,"R BAFFOUR, K ACHANTA, J KAUFMAN, J BERMAN, JL GARB, S RHEE, P FRIEDMANN","SYNERGISTIC EFFECT OF BASIC FIBROBLAST GROWTH-FACTOR AND METHYLPREDNISOLONE ON NEUROLOGICAL FUNCTION AFTER EXPERIMENTAL SPINAL-CORD INJURY",1995,"Journal Of Neurosurgery","Amer Assoc Neurological Surgeons",NA,NA,179,"2021-01-18 10:07:47","Article","10.3171/jns.1995.83.1.0105","0022-3085",NA,83,1,105,110,41,1.58,6,7,26,"The authors evaluated the effects of exogenous basic fibroblast growth factor (bFGF) in combination with intravenous methylprednisolone on neurological function and cord angiogenesis in a model of spinal cord injury. Cord injury was produced by extradural clip compression through a T-1 laminectomy. Rats were randomized to one of six groups. Group A was given sham laminectomy without cord injury or treatment. The remaining animals were divided into five groups: untreated injury (Group B); injury treated with methylprednisolone (Group C); combined methylprednisolone and 1 mu g bFGF administered locally at the site of injury (Group D); methylprednisolone and 3 mu g bFGF (Group E); or methylprednisolone and 3 mu g heated bFGF (Group F). Groups C through F received treatment 1 hour after cord injury. At 1, 2, 3, and 4 weeks after surgery, neurological function of hindlimbs was assessed by blinded observers using an established multiple test method (toe spread, reflexes to extension, pain, and pressure as well as inclined plane and swim test) with tests graded and results expressed as a combined behavioral score. Animals were killed to study spinal cord angiogenesis in cord samples (2-mm sections proximal and distal to the injury site) by capillary density determination. Behavioral scores over time showed a significant difference among Groups B, C, D, E, and F (p = 0.0044), with Groups E and B maintaining highest and lowest scores, respectively. There was a linear dose effect of bFGF over time (p = 0.0187). At 4 weeks, scores showed a difference among the five groups (p = 0.006), with Group E showing higher scores than any other treatment group (for example, vs. group F: p = 0.035). There was a significant difference among the groups in gray matter capillary density counts: proximal (p = 0.0192) and distal (p = 0.024), whereas white matter capillary counts were similar across treatment groups. These results show: 1) possible synergism exists between methylprednisolone and bFGF, such that combinations of these drugs significantly enhance neurological recovery, 2) bFGF exhibits a dose-response effect in function but not in capillary density, and 3) heated, inactivated bFGF is not therapeutically effective.","methylprednisolone"
"10",41,"Dung Hoang Nguyen, Newton Cho, Kajana Satkunendrarajah, James W. Austin, Jian Wang, Michael G. Fehlings","Immunoglobulin G (IgG) attenuates neuroinflammation and improves neurobehavioral recovery after cervical spinal cord injury",2012,"Journal Of Neuroinflammation","Bmc",NA,NA,186,"2021-01-18 10:07:47","Article","10.1186/1742-2094-9-224","",NA,9,NA,NA,NA,41,4.56,7,6,9,"Background: Evidence suggests that the inflammatory events in the acute phase of spinal cord injury (SCI) exacerbate the initial trauma to the cord leading to poor functional recovery. As a result, minimizing the detrimental aspects of the inflammatory response after SCI is a promising treatment strategy. In this regard, immunoglobulin G (IgG) from pooled human serum is a promising treatment candidate. Due to its putative, though poorly characterized immuno-modulatory effects, IgG has been used clinically to treat neuroinflammatory disorders such as Guillain-Barre syndrome, but its effects in neurotrauma remain largely unexplored.","methylprednisolone"
