"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Glenn S. Russo, John J. Mangan, Matthew S. Galetta, Barrett Boody, Wesley Bronson, Anand Segar, Christopher K. Kepler, Mark F. Kurd, Alan S. Hilibrand, Alexander R. Vaccaro, Gregory D. Schroeder","Update on Spinal Cord Injury Management",2020,"Clinical Spine Surgery","Lippincott Williams & Wilkins",NA,NA,96,"2021-01-18 09:57:01","Review","","2380-0186",NA,33,7,258,264,0,0,0,11,1,"The management of acute spinal cord injury requires a multidisciplinary approach to maximize patient outcomes and potential. Treatment of this injury involves both surgical and medical intervention. Medical intervention in acute spinal cord injury is aimed at decreasing the neurotoxic environment that occurs as part of the secondary injury. New neuroregenerative therapies are being developed.","minocycline"
"2",0,"Hyun-Yoon Ko, Jae Hyeok Chang, Jae Heung Park","Motor Recovery Effect of Minocycline in Spinal Cord Injured Rats",2006,"Annals Of Rehabilitation Medicine-Arm","Korean Acad Rehabilitation Medicine",NA,NA,97,"2021-01-18 09:57:01","Article","","2234-0645",NA,30,6,565,570,0,0,0,3,15,"Objective: To observe motor recovery after spinal cord injury (SCI) by time and impact strength in minocycline administration rat.","minocycline"
"3",0,"Aikeremujiang Muheremu, Jiang Peng","Application of Inflammatory Response After Spinal Cord Injury",2018,"Journal Of Biomaterials And Tissue Engineering","Amer Scientific Publishers",NA,NA,98,"2021-01-18 09:57:01","Review","10.1166/jbt.2018.1912","2157-9083",NA,8,11,1527,1534,0,0,0,2,3,"Spinal cord injury is a type of severe central nervous system injury and it often results in permanent functional loss of the target organs. Besides immediate neuronal death and axonal injury due to initial trauma, secondary reactions such as inflammation, oxidative stress and glutamate excitotoxicity cause further damage to the spinal cord. Inflammatory response characterized by infiltration of neutrophils, cytokines and chemokines, has been considered a ""dual edged sword."" Although uncontrolled posttraumatic inflammation may further increase the size of the lesion, timely and appropriate mediation of inflammatory reaction after spinal cord injury have been reported to be beneficial for functional recovery. Here we review the current literature and summarized advancements and challenges on the application of inflammatory response in the treatment of spinal cord injury.","minocycline"
"4",0,"Leman Sencar, Dervis Mansuri Yilmaz, Abdullah Tuli, Sait Polat","Effects of combined treatment of minocycline and methylprednisolone on the expression of tumor necrosis factor alpha and interleukine-6 in experimental spinal cord injury: a light and electron microscopic study",2020,"Ultrastructural Pathology","Taylor & Francis Inc",NA,NA,99,"2021-01-18 09:57:01","Article","10.1080/01913123.2020.1771493","0191-3123",NA,44,3,283,299,0,0,0,4,1,"Spinal cord injury (SCI) is an important health problem, and there is no universal treatment protocol for it today. Following SCI pro-inflammatory mediators such as tumor necrosis factor- alpha (TNF-alpha) and interleukin-6 (IL-6) increase at the lesion site and play important roles in secondary tissue damage. Methylprednisolone (MP) is a glucocorticoid, and minocycline is a tetracycline-derived antibiotic both with neuroprotective effects on central nervous system trauma. However, there are limited studies on their effects on SCI. In this study, we aimed to evaluate effects of MP+minocycline combined treatment on cellular distribution and localization of TNF-alpha And IL-6 after SCI. Eighty Wistar rats were divided into three main groups as the intact control group, sham operation group, and experimental control group that received spinal cord compression injury. Following the injury, the experimental control group was subdivided into four groups as control, methylprednisolone treatment, minocycline treatment and, MP+minocycline combined treatment groups. Tissue samples were obtained from all groups at 24 hours and 72 hours after the injury. We found a significant decrease in TNF-alpha And IL-6 expressions in combined treatment group at 24 hours after injury. Also, there was a significant decrease in MDA and increase in SOD levels in this group. Furthermore, decreased lipid peroxidation and neuronal and glial cell death were also observed in combined treatment group. These results suggest that MP+minocycline combined treatment promotes functional recovery and, it should be considered as an effective treatment protocol following SCI.","minocycline"
"5",0,"Robert B. Shultz, Yinghui Zhong","Hydrogel-based local drug delivery strategies for spinal cord repair",2021,"Neural Regeneration Research","Wolters Kluwer Medknow Publications",NA,NA,100,"2021-01-18 09:57:01","Review","10.4103/1673-5374.290882","1673-5374",NA,16,2,247,253,0,0,0,2,1,"Spinal cord injury results in significant loss of motor, sensory, and autonomic functions. Although a wide range of therapeutic agents have been shown to attenuate secondary injury or promote regeneration/repair in animal models of spinal cord injury, clinical translation of these strategies has been limited, in part due to difficulty in safely and effectively achieving therapeutic concentrations in the injured spinal cord tissue. Hydrogel-based drug delivery systems offer unique opportunities to locally deliver drugs to the injured spinal cord with sufficient dose and duration, while avoiding deleterious side effects associated with systemic drug administration. Such local drug delivery systems can be readily fabricated from biocompatible and biodegradable materials. In this review, hydrogel-based strategies for local drug delivery to the injured spinal cord are extensively reviewed, and recommendations are made for implementation.","minocycline"
"6",0,"Khashayar Afshari, Nazanin Momeni Roudsari, Naser-Aldin Lashgari, Nazgol-Sadat Haddadi, Arvin Haj-Mirzaian, Malihe Hassan Nejad, Hamed Shafaroodi, Mehdi Ghasemi, Ahmad Reza Dehpour, Amir Hossein Abdolghaffari","Antibiotics with therapeutic effects on spinal cord injury: a review",2020,"Fundamental & Clinical Pharmacology","Wiley",NA,NA,101,"2021-01-18 09:57:01","Review","10.1111/fcp.12605","0767-3981",NA,NA,NA,NA,NA,0,0,0,10,1,"Accumulating evidence indicates that a considerable number of antibiotics exert anti-inflammatory and neuroprotective effects in different central and peripheral nervous system diseases including spinal cord injury (SCI). Both clinical and preclinical studies on SCI have found therapeutic effects of antibiotics from different families on SCI. These include macrolides, minocycline, beta-lactams, and dapsone, all of which have been found to improve SCI sequels and complications. These antibiotics may target similar signaling pathways such as reducing inflammatory microglial activity, promoting autophagy, inhibiting neuronal apoptosis, and modulating the SCI-related mitochondrial dysfunction. In this review paper, we will discuss the mechanisms underlying therapeutic effects of these antibiotics on SCI, which not only could supply vital information for investigators but also guide clinicians to consider administering these antibiotics as part of a multimodal therapeutic approach for management of SCI and its complications.","minocycline"
"7",0,"Andrei F. Joaquim, Jefferson W. Daniel, Gregory D. Schroeder, Alexander R. Vaccaro","Neuroprotective Agents as an Adjuvant Treatment in Patients With Acute Spinal Cord Injuries A Qualitative Systematic Review of Randomized Trials",2020,"Clinical Spine Surgery","Lippincott Williams & Wilkins",NA,NA,102,"2021-01-18 09:57:01","Review","10.1097/BSD.0000000000000861","2380-0186",NA,33,2,65,75,0,0,0,4,1,"Study Design:","minocycline"
"8",1,"Allan R. Martin, Izabela Aleksanderek, Michael G. Fehlings","Diagnosis and Acute Management of Spinal Cord Injury: Current Best Practices and Emerging Therapies",2015,"Current Trauma Reports","Springer",NA,NA,90,"2021-01-18 09:57:01","Article","10.1007/s40719-015-0020-0","2198-6096",NA,1,3,169,181,1,0.17,0,3,6,"The diagnosis and management of spinal cord injury (SCI) have continuously evolved over decades of clinical experience. We now understand that the injured spinal cord is in a precarious state, experiencing a complex cascade of inflammatory events and hemodynamic compromise. Careful navigation is required at each stage, from emergency personnel to the spinal surgeon who reconstructs the damaged spine, to minimize secondary injury and optimize neurological outcome. Future advances in SCI diagnosis will likely utilize novel MRI techniques that characterize spinal cord microstructure and functional connectivity. The acute management of SCI is likely to undergo a radical transformation, with numerous potential treatments used in combination, such as neuroprotective and regenerative pharmaceuticals, cellular transplantation, and implantation of structural scaffolds. In this review, we summarize current best practices in diagnosis and acute management of SCI, highlight areas of controversy, and introduce emerging therapies that are candidates for translation to clinical use.","minocycline"
"9",1,"Khashiar Afshary, Mohsen Chamanara, Behnam Talari, Pegah Rezaei, Ehsan Nassireslami","Therapeutic Effects of Minocycline Pretreatment in the Locomotor and Sensory Complications of Spinal Cord Injury in an Animal Model",2020,"Journal Of Molecular Neuroscience","Humana Press Inc",NA,NA,92,"2021-01-18 09:57:01","Article","10.1007/s12031-020-01509-8","0895-8696",NA,70,7,1064,1072,1,1,0,5,1,"Spinal cord injury (SCI) is known as a debilitating condition which usually occurs due to traumas to the spine. However, the injury could also occur during clinical interventions such as spinal deformity and thoracoabdominal aortic surgeries. Intraoperative cord compression and ischemia are considered the mechanisms of primary injury in this regard. In the current study, we aimed to evaluate the therapeutic effects of minocycline, a promising agent for post-injury treatment, prophylactic administration. In a rat model of SCI through contusion injury, T9 vertebra laminectomy was performed on 40 Sprague-Dawley male rats provided from Pasteur Institute (Tehran, Iran). The reason behind selecting only male rats in our study was the fact that menstrual cycle of female rats affects healing process. Rodents were divided into a sham-operated group, a control group receiving only saline, a minocycline-treated group, and a minocycline pretreated group. Locomotor scaling, behavioral tests for neuropathic pain, and weight changes were evaluated and compared through a 28-days period. At the end of the study, tissue samples were taken to assess neuroinflammatory cytokine and histopathological changes. Minocycline pretreatment was as effective as its post-SCI administration regarding locomotor activity recovery, mechanical pain, and thermal allodynia. Furthermore, spinal cord inflammation and histopathological alterations were both similar in pretreatment and treatment groups indicating substantially better status. None of the treatments could have completely restore or prevent the spinal cord damage. Minocycline pretreatment can show promising therapeutic effects similar to its post-injury administration, inhibiting inflammatory microglial activity.","minocycline"
"10",1,"Khashayar Afshari, Amir Dehdashtian, Nazgol-Sadat Haddad, Seyedeh Zarifeh Jazaeri, Daniel C. Ursu, Mina Khalilzadeh, Arvin Haj-Mirzaian, Saeed Shakiba, Terry C. Burns, Seyed Mohammad Tavangar, Mehdi Ghasemi, Ahmad Reza Dehpour","Sumatriptan improves the locomotor activity and neuropathic pain by modulating neuroinflammation in rat model of spinal cord injury",2020,"Neurological Research","Taylor & Francis Ltd",NA,NA,93,"2021-01-18 09:57:01","Article","10.1080/01616412.2020.1819090","0161-6412",NA,NA,NA,NA,NA,1,1,0,12,1,"Objectives To investigate the therapeutic effects of sumatriptan in a rat model of spinal cord injury (SCI) and possible anti-inflammatory and analgesic mechanisms underlying this effect. Methods Using an aneurysm mini-clip model of contusive SCI, T9-10 laminectomies were performed for 60 male rats. Animals were divided into six experimental groups (n = 10 per group) as follows: a minocycline administered positive control group, a saline-vehicle negative control group, a sham-operated group, and three experimental groups which received separate doses of sumatriptan (0.1, 0.3 and 1 mg/kg). Behavioural assessments were used to evaluate locomotor activity and neuropathic pain for 28 days. At the end of the study, spinal cord tissues were collected from sacrificed animals for histopathological analysis. Levels of calcitonin gene-related peptide (CGRP) and two pro-inflammatory cytokines (tumor necrosis factor [TNF]-alpha and interleukin [IL]-1 beta) were assessed by the enzyme-linked immunosorbent assay (ELISA). Results Sumatriptan significantly (P< 0.001) improved the locomotor activity in SCI group. Sumatriptan was also more effective than the positive control, i.e. minocycline (0.3 mg/kg). Additionally, sumatriptan and minocycline similarly attenuated the mechanical and thermal allodynia in SCI (P< 0.001). TNF-alpha, IL-1 beta and CGRP levels in sumatriptan- and minocycline-treated groups significantly (P< 0.001) decreased compared to controls. Histopathological analysis also revealed a markedly improvement in hemorrhage followed by inflammatory cell invasion, neuronal vacuolation, and cyst formation in both sumatriptan- and minocycline-treated groups compared to control animals. Conclusions Sumatriptan improves functional recovery from SCI through its anti-inflammatory effects and reducing pro-inflammatory and pain mediators.","minocycline"
