"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Serap Erel, Beril Gok, Kemal Kismet, Husamettin Erdamar, Mustafa Sargon, Mehmet Ali Akkus","Ultrastructural Changes in the Liver after Experimental Spinal Cord Injury in Rats: Effects of Methylprednisolone, Immunoglobulin G and Albumin",2010,"Turkish Neurosurgery","Turkish Neurosurgical Soc",NA,NA,93,"2021-01-18 10:37:52","Article","","1019-5149",NA,20,2,173,179,0,0,0,6,11,"AIM: Spinal Cord Injury (SCI) is routinely treated with standardized methyl prednisolone sodium succinate (MPSS) dose, so it is reassuring to find its effects on liver. We also evaluated the effects of albumin and immunoglobulin G (Ig G) therapies on liver if they are used in case of experimental SCI.","naloxone"
"2",0,"Glenn S. Russo, John J. Mangan, Matthew S. Galetta, Barrett Boody, Wesley Bronson, Anand Segar, Christopher K. Kepler, Mark F. Kurd, Alan S. Hilibrand, Alexander R. Vaccaro, Gregory D. Schroeder","Update on Spinal Cord Injury Management",2020,"Clinical Spine Surgery","Lippincott Williams & Wilkins",NA,NA,97,"2021-01-18 10:37:52","Review","","2380-0186",NA,33,7,258,264,0,0,0,11,1,"The management of acute spinal cord injury requires a multidisciplinary approach to maximize patient outcomes and potential. Treatment of this injury involves both surgical and medical intervention. Medical intervention in acute spinal cord injury is aimed at decreasing the neurotoxic environment that occurs as part of the secondary injury. New neuroregenerative therapies are being developed.","naloxone"
"3",0,"D. Maier","Adjuvant therapy after spinal cord injury. Reduction of primary and avoidance of secondary damage",2010,"Trauma Und Berufskrankheit","Springer Heidelberg",NA,NA,98,"2021-01-18 10:37:52","Article","10.1007/s10039-010-1665-0","1436-6274",NA,12,3,158,162,0,0,0,1,11,"After spinal cord injury (SCI) two phases of damage are responsible for subsequent defects. In the first phase standardized management of rescue and transportation, early evaluation and acute care at a trauma center is mandatory to prevent further injury. In the second phase starting within minutes of injury various alterations, such as local ischemia, edema, release of inflammatory mediators and impaired autoregulation potentiate the damage. Various advances in science and technology target neuroprotection, but none of the recent human clinical trials have conclusively demonstrated a benefit for increasing function after SCI, including even methylprednisolone and gangliosides or other strategies, such as hypothermia or hyperbaric oxygenation.","naloxone"
"4",0,"Andrei F. Joaquim, Jefferson W. Daniel, Gregory D. Schroeder, Alexander R. Vaccaro","Neuroprotective Agents as an Adjuvant Treatment in Patients With Acute Spinal Cord Injuries A Qualitative Systematic Review of Randomized Trials",2020,"Clinical Spine Surgery","Lippincott Williams & Wilkins",NA,NA,99,"2021-01-18 10:37:52","Review","10.1097/BSD.0000000000000861","2380-0186",NA,33,2,65,75,0,0,0,4,1,"Study Design:","naloxone"
"5",1,"Zhouming Deng, Jiajia Su, Lin Cai, Ansong Ping, Wei Jin, Renxiong Wei, Yan Zhan","Evidence-based treatment for acute spinal cord injury",2011,"Neural Regeneration Research","Wolters Kluwer Medknow Publications",NA,NA,92,"2021-01-18 10:37:52","Article","10.3969/j.issn.1673-5374.2011.23.005","1673-5374",NA,6,23,1791,1795,1,0.1,0,7,10,"OBJECTIVE: To formulate an evidence-based treatment for one patient with acute spinal cord injury and summarize evidence for evaluating acute spinal cord injury treatment. METHODS: Studies related to the treatment for acute spinal cord injury were identified via a search of National Guideline Clearinghouse (NGC, 2000-11), the Cochrane Library (Issue 1, 2011), TRIP Database (2000-11), and PubMed (1966-2011). Treatment strategies were formulated according to three basic principles: best evidence, doctor's professional experience, and wishes of the patient. RESULTS: A total of 34 articles were selected, including 1 NGC guideline, 22 systematic reviews, and 11 randomized controlled trials. Based on our review, we arrived at the following recommendations: no clinical evidence exists definitively to recommend the use of any of neuroprotective pharmaceuticals; surgery should be undertaken early; mechanical compression devices and low-molecular weight heparin should be employed to prevent thrombosis; respiratory muscle training is beneficial for pulmonary function and quality of life; and functional electrical stimulation and acupuncture can promote functional recovery. The patient accordingly underwent surgery 6 hours after trauma without receiving any neuroprotective pharmaceuticals; low-molecular weight heparin and intermittent pneumatic compression were applied to prevent thrombosis. He also underwent respiratory muscle training daily for 8 weeks and received functional electrical stimulation for 15 minutes and acupuncture for 30 minutes every day. After follow-up for 3 months, the above therapeutic regimen was confirmed efficacious for acute spinal cord injury. CONCLUSION: Evidence-based medicine provides an individualized treatment protocol for acute spinal cord injury, which can significantly improve the therapeutic effect and prognosis.","naloxone"
"6",1,"M. S. Severo, E. A. Tudury, M. V. B. Arias","Medical treatment of spinal cord trauma and compression in dogs and cats",2007,"Medicina Veterinaria-Recife","Univ Federal Rural Pernambuco",NA,NA,94,"2021-01-18 10:37:52","Article","","1809-4678",NA,1,2,86,95,1,0.07,0,3,14,"The traumatic and compressive spinal cord injury in dogs and cats begins a series of destructive events that it can take to disastrous and it-reversible consequences to the motor and sesorial function of the animal. These patient ones should be considered as of emergency, because the fast and appropriate intervention, in an appropriate interval of time, it can limit the extension of the damage to the neuronal tissue, favoring neurological recovery. In general, the treatment of spinal cord involves the use of neuroprotective agents as methylprednisolone sodium succinate, objecting the control of secondary lesions; and surgery to decompression the injured spinal cord, accomplishing or no the stabilization of the spine.","naloxone"
"7",1,"Hongwu Fan, Shengqun Wang, Qiheng Zhao, Zhigang Qin","Computational Exploration of Natural Compounds to Target Cytosolic Phospholipase A 2 Protein: A Novel Therapeutic Target for Spinal Cord Injury",2018,"Current Computer-Aided Drug Design","Bentham Science Publ Ltd",NA,NA,95,"2021-01-18 10:37:52","Article","10.2174/1573409914666180123100714","1573-4099",NA,14,2,117,124,1,0.33,0,4,3,"Background: Cytosolic Phospholipase A2 (cPLA2), an important isoform of PLA2 that mediates the release of arachidonic acid, plays a role in the pathogenesis of Spinal Cord Injury (SCI). The expression and activation of Cpla2 are significantly higher in SCI, leading to neuronal death in spinal cord tissue. Novel strategies are needed to substantially reverse the effect of cPLA2 activation; one such strategy is inhibiting cPLA2 by jamming its lipid binding C2 domain.","naloxone"
"8",1,"Ahmet Eroglu, Ali Kivanc Topuz, Hakan Simsek, Cem Dinc, Dilaver Demirel, Osman Ipcioglu","Investigation of neuroprotective effects of topiramate as an antiepileptic agent in experimental spinal cord injury model",2016,"Turkiye Fiziksel Tip Ve Rehabilitasyon Dergisi-Turkish Journal Of Physical Medicine And Rehabilitation","Baycinar Medical Publ-Baycinar Tibbi Yayincilik",NA,NA,96,"2021-01-18 10:37:52","Article","10.5606/tftrd.2016.67760","1302-0234",NA,62,4,355,364,1,0.2,0,6,5,"Objectives: This study aims to research neuroprotective effects of topiramate that has antioxidant effects in spinal cord injury in rats.","naloxone"
"9",2,"T Erman, AI Gocer, MS Yildiz, M Tuna, S Polat, F Ildan","Effect of naloxone after spinal cord injury in the rat - Inducible nitric oxide synthase expression, superoxide dismutase activity, and ultrastructural changes",2004,"Neurosurgery Quarterly","Lippincott Williams & Wilkins",NA,NA,88,"2021-01-18 10:37:52","Article","10.1097/00013414-200412000-00010","1050-6438",NA,14,4,249,256,2,0.12,0,6,17,"Endorphins have been implicated in the pathophysiology of spinal cord injury (SCI). Although some possible mechanisms for the therapeutic actions of naloxone have been Postulated, the exact mechanism of these favorable actions is not yet known with certainty. The benefit of naloxone in the recovery of neurologic function has generally been attributed to its action at the opiate receptors. The effect of naloxone on the inducible nitric oxide synthase (iNOS) immuno reactivity, superoxide dismutase (SOD) level, and ultrastructural findings were studied in rats at the early and late stages of SCI, produced with an aneurysm clip on the T2 to T7 segments. Severity rats were randomly allocated to 4 groups. The animals in group I (10 rats) were killed to provide normal spinal cord tissue for testing. Group 2 (20 rats) underwent 6-segment laminectomy so that the effects of total laminectomy Could be determined. Group 3 (20 rats) underwent 6-segment T2 to T7 laminectomy, and SCI was produced by extradural compression of the exposed cord. The same procedures were performed in the 20 rats in group 4, but these rats also received 1 (2 mg/kg) intraperitoneal injection of naloxone immediately after the injury, a second dose 24 hours after trauma, and a third dose 48 hours after trauma. Half of the animals from groups 3 and 4 were killed 2 hours after trauma, and the other half were killed 48 hours after trauma. The exposed cord segments were immediately removed and processed for analysis. The results showed that naloxone treatment reduces secondary structural changes in damaged rat spinal cord tissue by affecting iNOS and SOD activity.","naloxone"
"10",2,"Jason M. Cage, Jeffrey B. Knox, Robert L. Wimberly, Steve Shaha, ChanHee Jo, Anthony I. Riccio","Complications Associated With High-dose Corticosteroid Administration in Children With Spinal Cord Injury",2015,"Journal Of Pediatric Orthopaedics","Lippincott Williams & Wilkins",NA,NA,89,"2021-01-18 10:37:52","Article","","0271-6798",NA,35,7,687,692,2,0.33,0,6,6,"Background: Complications with high-dose steroid administration for spinal cord injury are documented in adult patients. Our purpose was to determine the incidence of early complications of this therapy in pediatric patients with spinal cord injuries.","naloxone"
