"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Stacy Gladman, Siew-Na Lim, Simon Dyall, Martin M. Knight, John V. Priestley, Adina T. Michael-Titus","Omega-3 fatty acids and acute neurological trauma: a perspective on clinical translation",2011,"Ocl-Oilseeds And Fats Crops And Lipids","Edp Sciences S A",NA,NA,36,"2021-01-18 10:51:39","Article","10.1051/ocl.2011.0421","2272-6977",NA,18,6,317,323,0,0,0,6,10,"Acute neurological trauma remains one of the clinical areas with the most significant unmet needs worldwide. In the central nervous system, acute trauma has two stages: the primary injury and the secondary injury. The former is irreversible, and is a direct consequence of the impact. In the aftermath of the injury, a complex series of processes exacerbate the injury and amplify tissue damage. Some of these processes are local, others involve a systemic response. It is these processes which ultimately determine the clinical outcome. The aim of the treatments is a) to confer neuroprotection and b) to promote neuroregeneration. The results reported so far with omega-3 fatty acids in animal models of neurotrauma suggest that these compounds have the potential to offer a novel therapeutic approach and target both protection and regeneration. They lead to increased neuronal and glial survival, they can limit the damaging neuroinflammation and they can also protect neurites. Long chain omega-3 fatty acids such as eicosapentaenoic acid and docosahexaenoic acid have a complex pharmacodynamics, which leads potentially to the activation of a multitude of targets, including voltage and ligand-gated ion channels, transcription factors and G-protein coupled receptors. They can produce tissue-specific metabolites which have intrinsic activity, either on the same or on different cellular targets. The apparent large therapeutic window of omega-3 fatty acids is an advantage in the context of trauma, with patients in an unstable state, with multiple injuries. The specific use of omega-3 fatty acids in spinal cord injury and peripheral nerve injury will be discussed, focusing on issues which need to be addressed in order to translate successfully to the clinic the efficacy reported in the initial proof of concept animal studies.","omega3"
"2",0,"Zhuo-Hao Liu, Yin-Cheng Huang, Chang-Yi Kuo, Chao-Ying Kuo, Chieh-Yu Chin, Ping K. Yip, Jyh-Ping Chen","Docosahexaenoic Acid-Loaded Polylactic Acid Core-Shell Nanofiber Membranes for Regenerative Medicine after Spinal Cord Injury: In Vitro and In Vivo Study",2020,"International Journal Of Molecular Sciences","Mdpi",NA,NA,37,"2021-01-18 10:51:39","Article","10.3390/ijms21197031","",NA,21,19,NA,NA,0,0,0,7,1,"Spinal cord injury (SCI) is associated with disability and a drastic decrease in quality of life for affected individuals. Previous studies support the idea that docosahexaenoic acid (DHA)-based pharmacological approach is a promising therapeutic strategy for the management of acute SCI. We postulated that a nanostructured material for controlled delivery of DHA at the lesion site may be well suited for this purpose. Toward this end, we prepare drug-loaded fibrous mats made of core-shell nanofibers by electrospinning, which contained a polylactic acid (PLA) shell for encapsulation of DHA within the core, for delivery of DHA in situ. In vitro study confirmed sustained DHA release from PLA/DHA core-shell nanofiber membrane (CSNM) for up to 36 days, which could significantly increase neurite outgrowth from primary cortical neurons in 3 days. This is supported by the upregulation of brain-derived neurotropic factor (BDNF) and neurotrophin-3 (NT-3) neural marker genes from qRT-PCR analysis. Most importantly, the sustained release of DHA could significantly increase the neurite outgrowth length from cortical neuron cells in 7 days when co-cultured with PLA/DHA CSNM, compared with cells cultured with 3 mu M DHA. From in vivo study with a SCI model created in rats, implantation of PLA/DHA CSNM could significantly improve neurological functions revealed by behavior assessment in comparison with the control (no treatment) and the PLA CSNM groups. According to histological analysis, PLA/DHA CSNM also effectively reduced neuron loss and increased serotonergic nerve sprouting. Taken together, the PLA/DHA CSNM may provide a nanostructured drug delivery system for DHA and contribute to neuroprotection and promoting neuroplasticity change following SCI.","omega3"
"3",1,"Zi-Rui Tian, Min Yao, Long-Yun Zhou, Yong-Jia Song, Jie Ye, Yong-Jun Wang, Xue-Jun Cui","Effect of docosahexaenoic acid on the recovery of motor function in rats with spinal cord injury: a meta-analysis",2020,"Neural Regeneration Research","Wolters Kluwer Medknow Publications",NA,NA,34,"2021-01-18 10:51:39","Article","10.4103/1673-5374.266065","1673-5374",NA,15,3,537,547,1,1,0,7,1,"Objective: Studies have shown that docosahexaenoic acid (DHA) has a beneficial effect in the treatment of spinal cord injury. A meta-analysis was used to study the effect of DHA on the neurological recovery in the rat spinal cord injury model, and the relationship between the recovery of motor function after spinal cord injury and the time and method of administration and the dose of DHA.Data source: Published studies on the effect of DHA on spinal cord injury animal models from seven databases were searched from their inception to January 2019, including PubMed, MEDLINE, EMBASE, the China National Knowledge Infrastructure, Wanfang, VIP, and SinoMed databases. The search terms included ""spinal cord injury"" ""docosahexaenoic acid"", and ""rats"".Data selection: Studies that evaluated the influence of DHA in rat models of spinal cord injury for locomotor functional recovery were included. The intervention group included any form of DHA treatment and the control group included treatment with normal saline, vehicle solution or no treatment. The Systematic Review Centre for Laboratory animal Experimentation's risk of bias assessment tool was used for the quality assessment of the included studies. Literature inclusion, quality evaluation and data extraction were performed by two researchers. Meta-analysis was then conducted on all studies that met the inclusion criteria. Statistical analysis was performed on the data using RevMan 5.1.2. software.Outcome measures: The primary outcome measure was the score on the Basso, Beattie, and Bresnahan scale. Secondary outcome measures were the sloping plate test, balance beam test, stair test and grid exploration test.Results: A total of 12 related studies were included, 3 of which were of higher quality and the remaining 9 were of lower quality. The highest mean Basso, Beattie, and Bresnahan scale score occurred at 42 days after DHA treatment in spinal cord injury rats. At 21 days after treatment, the mean difference in Basso, Beattie, Bresnahan scores between the DHA group and the control group was the most significant (pooled MD = 4.14; 95% CI = 3.58-4.70; P < 0.00001). In the subgroup analysis, improvement in the Basso, Beattie, and Bresnahan scale score was more significant in rats administered DHA intravenously (pooled MD = 2.74; 95% CI = 1.41-4.07; P < 0.0001) and subcutaneously (pooled MD = 2.99; 95% CI = 2.29-3.69; P < 0.00001) than in the groups administered DHA orally (pooled MD = 3.04; 95% CI = -1.01 to 7.09; P = 0.14). Intravenous injection of DHA at 250 nmol/kg (pooled MD = 2.94; 95% CI = 2.47-3.41; P < 0.00001] and 1000 nmol/kg [pooled MD = 3.60; 95% CI = 2.66-4.54; P < 0.00001) significantly improved the Basso, Beattie, and Bresnahan scale score in rats and promoted the recovery of motor function. Conclusion: DHA can promote motor functional recovery after spinal cord injury in rats. The administration of DHA by intravenous or subcutaneous injection is more effective than oral administration of DHA. Intravenous injection of DHA at doses of 250 nmol/kg or 1000 nmol/kg is beneficial. Because of the small number and the low quality of the included studies, more high-quality research is needed in future to substantiate the results.","omega3"
"4",1,"Piotr Wojdasiewicz, Lukasz A. Poniatowski, Pawel Turczyn, Justyna Frasunska, Agnieszka Paradowska-Gorycka, Beata Tarnacka","Significance of Omega-3 Fatty Acids in the Prophylaxis and Treatment after Spinal Cord Injury in Rodent Models",2020,"Mediators Of Inflammation","Hindawi Ltd",NA,NA,35,"2021-01-18 10:51:39","Review","10.1155/2020/3164260","0962-9351",NA,2020,NA,NA,NA,1,1,0,6,1,"Polyunsaturated fatty acids (omega-3 acids, PUFAs) are essential components of cell membranes in all mammals. A multifactorial beneficial influence of omega-3 fatty acids on the health of humans and other mammals has been observed for many years. Therefore,omega-3 fatty acids and their function in the prophylaxis and treatment of various pathologies have been subjected to numerous studies. Regarding the documented therapeutic influence of omega-3 fatty acids on the nervous and immune systems, the aim of this paper is to present the current state of knowledge and the critical assessment of the role of omega-3 fatty acids in the prophylaxis and treatment of spinal cord injury (SCI) in rodent models. The prophylactic properties (pre-SCI) include the stabilization of neuron cell membranes, the reduction of the expression of inflammatory cytokines (IL-1 beta, TNF-alpha, IL-6, and KC/GRO/CINC), the improvement of local blood flow, reduced eicosanoid production, activation of protective intracellular transcription pathways (dependent on RXR, PPAR-alpha, Akt, and CREB), and increased concentration of lipids, glycogen, and oligosaccharides by neurons. On the other hand, the therapeutic properties (post-SCI) include the increased production of endogenous antioxidants such as carnosine and homocarnosine, the maintenance of elevated GSH concentrations at the site of injury, reduced concentrations of oxidative stress marker (MDA), autophagy improvement (via increasing the expression of LC3-II), and p38 MAPK expression reduction in the superficial dorsal horns (limiting the sensation of neuropathic pain). Paradoxically, despite the well-documented protective activity of omega-3 acids in rodents with SCI, the research does not offer an answer to the principal question of the optimal dose and treatment duration. Therefore, it is worth emphasizing the role of multicenter rodent studies with the implementation of standards which initially may even be based on arbitrary criteria. Additionally, basing on available research data, the authors of this paper make a careful attempt at referring some of the conclusions to the human population.","omega3"
"5",2,"Angela Navarrete-Opazo, Pilar Cuitina, Ines Salas","Effectiveness of dietary supplements in spinal cord injury subjects",2017,"Disability And Health Journal","Elsevier Science Inc",NA,NA,33,"2021-01-18 10:51:39","Review","10.1016/j.dhjo.2016.12.002","1936-6574",NA,10,2,183,197,2,0.5,1,3,4,"Background: Individuals with spinal cord injury (SCI) consume more dietary supplements than the general population. However, there is limited information regarding the clinical effectiveness of dietary supplements in SCI population.","omega3"
"6",3,"Jiaqi Bi, Chong Chen, Peiyu Sun, Haining Tan, Fan Feng, Jianxiong Shen","Neuroprotective effect of omega-3 fatty acids on spinal cord injury induced rats",2019,"Brain And Behavior","Wiley",NA,NA,31,"2021-01-18 10:51:39","Article","10.1002/brb3.1339","2162-3279",NA,9,8,NA,NA,3,1.5,1,6,2,"Introduction In this study, the effects of omega-3 fatty acids were examined in a rat model of spinal cord injury. Methods The rats were classified into sham, control, spinal cord injury plus 50 mg/kg Omega-3 fatty acids and spinal cord injury plus 100 mg/kg Omega-3 fatty acids. The levels of oxidative, apoptotic, and inflammatory markers were examined in each of these groups. Results Altered lipid peroxidation, reduced glutathione (GSH), superoxide dismutase (SOD), glutathione peroxidase (Gpx), and catalase were normalized. Omega-3 fatty acid supplementation decreased tumor necrosis factor-alpha (TNF-alpha) and interleukin-6 (IL-6) levels by >50%. TNF-alpha and IL-6 mRNA expression were reduced. Caspase-3, p53, bax, and pro-NGF mRNA expression levels were increased by 1.3-, 1.4-, 1.2-, and 0.9-fold, respectively, whereas bcl-2 mRNA expression was decreased by 0.77-fold in control rats. Omega-3 fatty acid supplementation decreased p53, caspase-3, bax, and pro-NGF mRNA expression by >40%, while the level of bcl-2 mRNA expression was increased by 286.9%. Omega-3 fatty acid supplementation decreased caspase-3 and p53 protein expression by >30%. Conclusion Taken together, our results suggested that omega-3 fatty acid supplementation reduced oxidative stress, apoptosis, and the levels of inflammatory markers in ischemia-reperfusion-induced rats.","omega3"
"7",3,"Sara Marinelli, Valentina Vacca, Federica De Angelis, Luisa Pieroni, Tiziana Orsini, Chiara Parisi, Marzia Soligo, Virginia Protto, Luigi Manni, Roberto Guerrieri, Flaminia Pavone","Innovative mouse model mimicking human-like features of spinal cord injury: efficacy of Docosahexaenoic acid on acute and chronic phases",2019,"Scientific Reports","Nature Publishing Group",NA,NA,32,"2021-01-18 10:51:39","Article","10.1038/s41598-019-45037-x","2045-2322",NA,9,NA,NA,NA,3,1.5,0,11,2,"Traumatic spinal cord injury has dramatic consequences and a huge social impact. We propose a new mouse model of spinal trauma that induces a complete paralysis of hindlimbs, still observable 30 days after injury. The contusion, performed without laminectomy and deriving from the pressure exerted directly on the bone, mimics more closely many features of spinal injury in humans. Spinal cord was injured at thoracic level 10 (T10) in adult anesthetized female CD1 mice, mounted on stereotaxic apparatus and connected to a precision impactor device. Following severe injury, we evaluated motor and sensory functions, and histological/morphological features of spinal tissue at different time points. Moreover, we studied the effects of early and subchronic administration of Docosahexaenoic acid, investigating functional responses, structural changes proximal and distal to the lesion in primary and secondary injury phases, proteome modulation in injured spinal cord. Docosahexaenoic acid was able i) to restore behavioural responses and ii) to induce pro-regenerative effects and neuroprotective action against demyelination, apoptosis and neuroinflammation. Considering the urgent health challenge represented by spinal injury, this new and reliable mouse model together with the positive effects of docosahexaenoic acid provide important translational implications for promising therapeutic approaches for spinal cord injuries.","omega3"
"8",4,"Sreyashi Samaddar","Effect of Docosahexaenoic Acid (DHA) on Spinal Cord Injury",2016,"Benefits Of Natural Products For Neurodegenerative Diseases","Springer Int Publishing Ag",NA,NA,30,"2021-01-18 10:51:39","Article","10.1007/978-3-319-28383-8_2","2190-5215",NA,12,NA,27,39,4,0.8,4,1,5,"Spinal cord injury (SCI) has become one of the most leading concerns in the past decade. Preclinical and research studies are now ongoing trying to understand the molecular mechanisms and develop treatment strategies for this neurodegenerative condition. In the last decade, researchers have deciphered few of the leading players that play a major role in worsening the condition. But till date none of these have been applied to the clinical treatment of patients with SCI. Here in this chapter I discuss about one of the dietary requirements that could ameliorate the condition of these patients.","omega3"
"9",5,"Ping K. Yip, Amy L. Bowes, Jodie C. E. Hall, Miguel A. Burguillos, T. H. Richard Ip, Tracey Baskerville, Zhuo-Hao Liu, Moumin A. E. K. Mohamed, Fanuelle Getachew, Anna D. Lindsay, Saif-Ur-Rehman Najeeb, Phillip G. Popovich, V Priestley, John, Adina T. Michael-Titus","Docosahexaenoic acid reduces microglia phagocytic activity via miR-124 and induces neuroprotection in rodent models of spinal cord contusion injury",2019,"Human Molecular Genetics","Oxford Univ Press",NA,NA,28,"2021-01-18 10:51:39","Article","10.1093/hmg/ddz073","0964-6906",NA,28,14,2427,2448,5,2.5,1,14,2,"Microglia are activated after spinal cord injury (SCI), but their phagocytic mechanisms and link to neuroprotection remain incompletely characterized. Docosahexaenoic acid (DHA) has been shown to have significant neuroprotective effects after hemisection and compression SCI and can directly affect microglia in these injury models. In rodent contusion SCI, we demonstrate that DHA (500 nmol/kg) administered acutely post-injury confers neuroprotection and enhances locomotor recovery, and also exerts a complex modulation of the microglial response to injury. In rodents, at 7 days after SCI, the level of phagocytosed myelin within Iba1-positive or P2Y12-positive cells was significantly lower after DHA treatment, and this occurred in parallel with an increase in intracellular miR-124 expression. Furthermore, intraspinal administration of a miR-124 inhibitor significantly reduced the DHA-induced decrease in myelin phagocytosis in mice at 7 days post-SCI. In rat spinal primary microglia cultures, DHA reduced the phagocytic response to myelin, which was associated with an increase in miR-124, but not miR-155. A similar response was observed in a microglia cell line (BV2) treated with DHA, and the effect was blocked by a miR-124 inhibitor. Furthermore, the phagocytic response of BV2 cells to stressed neurones was also reduced in the presence of DHA. In peripheral monocyte-derived macrophages, the expression of the M1, but not the M0 or M2 phenotype, was reduced by DHA, but the phagocytic activation was not altered. These findings show that DHA induces neuroprotection in contusion injury. Furthermore, the improved outcome is via a miR-124-dependent reduction in the phagocytic response of microglia.","omega3"
"10",5,"Jiping Nie, Jian Chen, Jianguo Yang, Qinqin Pei, Jing Li, Jia Liu, Lixin Xu, Nan Li, Youhao Chen, Xiaohua Chen, Hao Luo, Tiansheng Sun","Inhibition of mammalian target of rapamycin complex 1 signaling by n-3 polyunsaturated fatty acids promotes locomotor recovery after spinal cord injury",2018,"Molecular Medicine Reports","Spandidos Publ Ltd",NA,NA,29,"2021-01-18 10:51:39","Article","10.3892/mmr.2018.8583","1791-2997",NA,17,4,5894,5902,5,1.67,1,12,3,"The present study aimed to explore the effects of n-3 polyunsaturated fatty acids (PUFAs) on autophagy and their potential for promoting locomotor recovery after spinal cord injury (SCI). Primary neurons were isolated and cultured. Sprague-Dawley rats were randomly divided into three groups and fed diets with different amounts of n-3 PUFAs. A model of spinal cord contusion was created at the T10 spinal segment and the composition of PUFAs was analyzed using gas chromatography. Spinal repair and motor function were evaluated postoperatively. Assessment of the effects of n-3 PUFAs on autophagy and mammalian target of rapamycin complex 1 (mTORC1) was performed using immunofluorescence staining and western blotting. In vitro, n-3 PUFAs inhibited mTORC1 and enhanced autophagy. The n-3 PUFA levels and the ratio of n-3 PUFA to n-6 PUFA in the spinal cord and serum of rats fed a high-n-3 PUFA diet were higher before and after operation (P<0.05). Additionally, rats in the high-n-3 PUFA group showed improved motor function recovery, spinal cord repair-related protein expression level (MBP, Galc and GFAP). Expression levels if these protiens in the high-n-3 PUFA diet group expressed the highest levels, followed by the low-n-3 PUFA diet group and finally the control group (P<0.05). high-n-3 PUFA diet promoted autophagy ability and inhibited activity of the mTORC1 signaling pathway compared with the low-n-3 PUFA diet group or the control group (P<0.05). These results suggest that exogenous dietary n-3 PUFAs can inhibit mTORC1 signaling and enhance autophagy, promoting functional recovery of rats with SCI.","omega3"
