"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",5,"John C. Gensel, Renee R. Donahue, William M. Bailey, Bradley K. Taylor","Sexual Dimorphism of Pain Control: Analgesic Effects of Pioglitazone and Azithromycin in Chronic Spinal Cord Injury",2019,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,15,"2021-01-18 11:27:40","Article","10.1089/neu.2018.6207","0897-7151",NA,36,15,2372,2376,5,2.5,1,4,2,"Central neuropathic pain develops in greater than 75% of individuals suffering a spinal cord injury (SCI). Increasingly, sex is recognized as an important biological variable in the development and treatment of peripheral neuropathic pain, but much less is known about the role of sex in central neuropathic pain and its pharmacological inhibition. To test the hypothesis that efficacy of analgesic therapies differs between males and females in SCI, we used a mouse model of SCI pain to determine the analgesic efficacy of pioglitazone (PIO), U.S. Food and Drug Administration-approved drug for the treatment of diabetes, and azithromycin (AZM), a commonly prescribed macrolide antibiotic with immunomodulatory properties. Male and female mice received moderate-severe T9 contusion SCI (75-kdyn). A robust heat hyperalgesia developed similarly between male and female mice by 4 weeks post-injury and lasted throughout the duration of the study (14 weeks). Three months after SCI, mice were treated with PIO (10 mg/kg, intraperitoneal) or AZM (160 mg/kg, oral). We observed a sex-specific effect of PIO with significant antihyperalgesic effects in females, but not males. In contrast, AZM was effective in both sexes. Our data support the use of PIO and AZM as novel therapies for SCI pain and highlight the importance of considering sex as a biological variable in clinical and experimental SCI pain research.","pioglitazone"
"2",5,"Matthew A. J. Chedrawe, Scott P. Holman, Anna-Claire Lamport, Turgay Akay, George S. Robertson","Pioglitazone is superior to quetiapine, clozapine and tamoxifen at alleviating experimental autoimmune encephalomyelitis in mice",2018,"Journal Of Neuroimmunology","Elsevier Science Bv",NA,NA,16,"2021-01-18 11:27:40","Article","10.1016/j.jneuroim.2018.06.001","0165-5728",NA,321,NA,72,82,5,1.67,1,5,3,"Recent evidence suggests that clozapine and quetiapine (atypical antipsychotics), tamoxifen (selective-estrogen receptor modulator) and pioglitazone (PPARy agonist) may improve functional recovery in multiple sclerosis (MS). We have compared the effectiveness of oral administration of these drugs, beginning at peak disease, at reducing ascending paralysis, motor deficits and demyelination in mice subjected to experimental autoimmune encephalomyelitis (EAE). Mice were immunized with an immunogenic peptide corresponding to amino acids 35-55 of the myelin oligodendrocyte glycoprotein (MOG(35-55)) in complete Freund's adjuvant and injected with pertussis toxin to induce EAE. Unlike clozapine, quetiapine and tamoxifen, administration of pioglitazone beginning at peak disease decreased both clinical scores and lumbar white matter loss in EAE mice. Using kinematic gait analysis, we found that pioglitazone also maintained normal movement of the hip, knee and ankle joints for at least 44 days after MOG(35)(-)(55) immunization. This long-lasting preservation of hindleg joint movements was accompanied by reduced white matter loss, microglial and macrophage activation and the expression of pro-inflammatory genes in the lumbar spinal cords of EAE mice. These results support clinical findings that suggest pioglitazone may reduce the progressive loss of motor function in MS by decreasing inflammation and myelin damage.","pioglitazone"
"3",8,"Alexander G. Rabchevsky, Samir P. Patel, Patrick G. Sullivan","Targeting mitoNEET with pioglitazone for therapeutic neuroprotection after spinal cord injury",2017,"Neural Regeneration Research","Medknow Publications & Media Pvt Ltd",NA,NA,14,"2021-01-18 11:27:40","Editorial Material","10.4103/1673-5374.219040","1673-5374",NA,12,11,1807,1808,8,2,3,3,4,"","pioglitazone"
"4",11,"Xigong Li, Junhua Du, Sanzhong Xu, Xiangjin Lin, Zhiheng Ling","Peroxisome proliferator-activated receptor-gamma agonist rosiglitazone reduces secondary damage in experimental spinal cord injury",2013,"Journal Of International Medical Research","Sage Publications Ltd",NA,NA,13,"2021-01-18 11:27:40","Article","10.1177/0300060513476601","0300-0605",NA,41,1,153,161,11,1.38,2,5,8,"Objective: To investigate the neuroprotective effects of rosiglitazone in a rat traumatic spinal cord injury (SCI) model.","pioglitazone"
"5",13,"Elvira Akhmetzyanova, Konstantin Kletenkov, Yana Mukhamedshina, Albert Rizvanov","Different Approaches to Modulation of Microglia Phenotypes After Spinal Cord Injury",2019,"Frontiers In Systems Neuroscience","Frontiers Media Sa",NA,NA,12,"2021-01-18 11:27:40","Review","10.3389/fnsys.2019.00037","",NA,13,NA,NA,NA,13,6.5,3,4,2,"Microglial cells, which are highly plastic, immediately respond to any change in the microenvironment by becoming activated and shifting the phenotype toward neurotoxicity or neuroprotection. The polarization of microglia/macrophages after spinal cord injury (SCI) seems to be a dynamic process and can change depending on the microenvironment, stage, course, and severity of the posttraumatic process. Effective methods to modulate microglia toward a neuroprotective phenotype in order to stimulate neuroregeneration are actively sought for. In this context, available approaches that can selectively impact the polarization of microglia/macrophages regulate synthesis of trophic factors and cytokines/chemokines in them, and their phagocytic function and effects on the course and outcome of SCI are discussed in this review.","pioglitazone"
"6",15,"B. Meng, Q. Zhang, C. Huang, H. T. Zhang, T. Tang, H. L. Yang","Effects of a Single Dose of Methylprednisolone versus Three Doses of Rosiglitazone on Nerve Growth Factor Levels after Spinal Cord Injury",2011,"Journal Of International Medical Research","Sage Publications Ltd",NA,NA,11,"2021-01-18 11:27:40","Article","10.1177/147323001103900313","0300-0605",NA,39,3,805,814,15,1.5,3,6,10,"Acute spinal cord lesions result in dramatic changes in neuronal function. Studies have shown that the peroxisome proliferator-activated receptor-gamma agonist, rosiglitazone, has neuroprotective properties. The effect of rosiglitazone after acute spinal cord injury was examined in the present study. Rats were subjected to laminectomy only; laminectomy with spinal cord contusion injury; laminectomy with contusion injury plus 30 mg/kg body weight methylprednisolone administered 5 min after surgery; or laminectomy with contusion injury plus 2 mg/kg body weight rosiglitazone administered intraperitoneally 5 min, 6 h and 24 h after surgery. Both drugs increased neurotrophin gene and protein expression 24 h after injury compared with injured rats without drug treatment. Rosiglitazone increased neurotrophin expression at 7 days to a greater extent than methylprednisolone. Early functional recovery was observed in rats treated with rosiglitazone. The greater increase in rosiglitazone-induced nerve growth factor expression soon after injury could explain, at least in part, the improved recovery of motor function compared with methylprednisolone or saline.","pioglitazone"
"7",22,"Samir P. Patel, David H. Cox, Jenna L. Gollihue, William M. Bailey, Werner J. Geldenhuys, John C. Gensel, Patrick G. Sullivan, Alexander G. Rabchevsky","Pioglitazone treatment following spinal cord injury maintains acute mitochondrial integrity and increases chronic tissue sparing and functional recovery",2017,"Experimental Neurology","Academic Press Inc Elsevier Science",NA,NA,10,"2021-01-18 11:27:40","Article","10.1016/j.expneurol.2017.03.021","0014-4886",NA,293,NA,74,82,22,5.5,3,8,4,"Pioglitazone is an FDA-approved PPAR-gamma agonist drug used to treat diabetes, and it has demonstrated neuroprotective effects in multiple models of central nervous system (CNS) injury. Acute treatment after spinal cord injury (SCI) in rats is reported to suppress neuroinflammation, rescue injured tissues, and improve locomotor recovery. In the current study, we additionally assessed the protective efficacy of pioglitazone treatment on acute mitochondrial respiration, as well as functional and anatomical recovery after contusion SCI in adult male C57BL/6 mice. Mice received either vehicle or pioglitazone (10 mg/kg) at either 15 min or 3 h after injury (75 kdyn at T9) followed by a booster at 24 h post-injury. At 25 h, mitochondria were isolated from spinal cord segments centered on the injury epicenters and assessed for their respiratory capacity. Results showed significantly compromised mitochondrial respiration 25 h following SCI, but pioglitazone treatment that was initiated either at 15 min or 3 h post-injury significantly maintained mitochondrial respiration rates near sham levels. A second cohort of injured mice received pioglitazone at 15 min post injury, then once a day for 5 days post-injury to assess locomotor recovery and tissue sparing over 4 weeks. Compared to vehicle, pioglitazone treatment resulted in significantly greater recovery of hind-limb function over time, as determined by serial locomotor BMS assessments and both terminal BMS subscores and gridwalk performance. Such improvements correlated with significantly increased grey and white matter tissue sparing, although pioglitazone treatment did not abrogate long-term injury-induced inflammatory microglia/macrophage responses. In sum, pioglitazone significantly increased functional neuroprotection that was associated with remarkable maintenance of acute mitochondria! bioenergetics after traumatic SCI. This sets the stage for dose-response and delayed administration studies to maximize pioglitazone's efficacy for SCI while elucidating the precise role that mitochondria play in governing its neuroprotection; the ultimate goal to develop novel therapeutics that specifically target mitochondrial dysfunction. (C) 2017 Elsevier Inc. All rights reserved.","pioglitazone"
"8",25,"Heather M. Yonutas, Patrick G. Sullivan","Targeting PPAR Isoforms Following CNS Injury",2013,"Current Drug Targets","Bentham Science Publ Ltd",NA,NA,9,"2021-01-18 11:27:40","Article","10.2174/1389450111314070003","1389-4501",NA,14,7,733,742,25,3.13,13,2,8,"A major focus has developed for the discovery of proregenerative and neuroprotective therapeutic agents to help the millions of Americans who receive a CNS injury annually. Tribulations have been encountered along the way due to the complicated set of pathways that are initiated post-injury. To target this complicated multifaceted signaling cascade, the most promising therapeutics target multiple pathways involved in the secondary injury cascade, such as neuroinflammation, the generation of ROS and mitochondrial dysfunction. Compelling experimental data demonstrates that mitochondrial dysfunction is a pivotal link in the neuropathological sequelae of brain injury. A group of PPAR agonists, specifically rosiglitazone and pioglitazone, have shown an extreme amount of promise in the realm of drug discovery for CNS injury due to their ability to increase functional recovery and decrease lesion volumes following injury. The therapeutic effects of these PPAR agonists are thought to be a direct result of PPAR activity however new data is arising that shows some of the effects may be independent of PPAR activity, targeting a novel mitochondrial protein called mitoNEET. In this review, a thorough evaluation of the role of PPAR and mitoNEET in rosiglitazone and pioglitazone mediated neuroprotection will be completed in order to shed light on the mechanism of a new possible therapeutic intervention for CNS injury.","pioglitazone"
"9",30,"Dana M. McTigue","Potential Therapeutic Targets for PPAR gamma after Spinal Cord Injury",2008,"Ppar Research","Hindawi Ltd",NA,NA,8,"2021-01-18 11:27:40","Review","10.1155/2008/517162","1687-4757",NA,2008,NA,NA,NA,30,2.31,30,1,13,"Traumatic injury to the spinal cord results in multiple anatomical, physiological, and functional deficits as a result of local neuronal and glial cell death as well as loss of descending and ascending axons traversing the injury site. The many different mechanisms thought to contribute to protracted secondary cell death and dysfunction after spinal cord injury (SCI) are potential therapeutic targets. Agents that bind and activate the transcription factor peroxisome proliferator-activated receptor-gamma (PPAR-gamma) show great promise for minimizing or preventing these deleterious cascades in other models of CNS disorders. This review will summarize the major secondary injury cascades occurring after SCI and discuss data from experimental CNS injury and disease models showing the exciting potential for PPAR gamma therapies after SCI. Copyright (C) 2008 Dana M. McTigue.","pioglitazone"
"10",48,"Wei Cai, Tuo Yang, Huan Liu, Lijuan Han, Kai Zhang, Xiaoming Hu, Xuejing Zhang, Ke-Jie Yin, Yanqin Gao, Michael V. L. Bennett, Rehana K. Leak, Jun Chen","Peroxisome proliferator-activated receptor gamma (PPAR gamma): A master gatekeeper in CNS injury and repair",2018,"Progress In Neurobiology","Pergamon-Elsevier Science Ltd",NA,NA,7,"2021-01-18 11:27:40","Article","10.1016/j.pneurobio.2017.10.002","0301-0082",NA,163,NA,27,58,48,16,5,12,3,"Peroxisome proliferator-activated receptor gamma (PPAR gamma) is a widely expressed ligand-modulated transcription factor that governs the expression of genes involved in inflammation, redox equilibrium, trophic factor production, insulin sensitivity, and the metabolism of lipids and glucose. Synthetic PPAR gamma agonists (e.g. thiazolidinediones) are used to treat Type II diabetes and have the potential to limit the risk of developing brain injuries such as stroke by mitigating the influence of comorbidities. If brain injury develops, PPAR gamma serves as a master gatekeeper of cytoprotective stress responses, improving the chances of cellular survival and recovery of homeostatic equilibrium. In the acute injury phase, PPAR gamma directly restricts tissue damage by inhibiting the NFKI3 pathway to mitigate inflammation and stimulating the Nrf2/ARE axis to neutralize oxidative stress. During the chronic phase of acute brain injuries, PPAR gamma activation in injured cells culminates in the repair of gray and white matter, preservation of the blood brain barrier, reconstruction of the neurovascular unit, resolution of inflammation, and long-term functional recovery. Thus, PPAR gamma lies at the apex of cell fate decisions and exerts profound effects on the chronic progression of acute injury conditions. Here, we review the therapeutic potential of PPAR gamma in stroke and brain trauma and highlight the novel role of PPAR gamma in long-term tissue repair. We describe its structure and function and identify the genes that it targets. PPAR gamma regulation of inflammation, metabolism, cell fate (proliferation/differentiation/maturation/survival), and many other processes also has relevance to other neurological diseases. Therefore, PPAR gamma is an attractive target for therapies against a number of progressive neurological disorders. (C) 2018 Elsevier Ltd. All rights reserved.","pioglitazone"
