"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Serap Erel, Beril Gok, Kemal Kismet, Husamettin Erdamar, Mustafa Sargon, Mehmet Ali Akkus","Ultrastructural Changes in the Liver after Experimental Spinal Cord Injury in Rats: Effects of Methylprednisolone, Immunoglobulin G and Albumin",2010,"Turkish Neurosurgery","Turkish Neurosurgical Soc",NA,NA,10,"2021-01-15 16:56:20","Article","","1019-5149",NA,20,2,173,179,0,0,0,6,11,"AIM: Spinal Cord Injury (SCI) is routinely treated with standardized methyl prednisolone sodium succinate (MPSS) dose, so it is reassuring to find its effects on liver. We also evaluated the effects of albumin and immunoglobulin G (Ig G) therapies on liver if they are used in case of experimental SCI.","prednisolone"
"2",0,"A. Gopinathan, A. M. Pawde, K. Singh, H. P. Aithal, P. Kinjavdekar, A. K. Sharma","Effect of nitric oxide synthase inhibitor and electro-acupuncture in experimentally induced acute spinal cord injury in rabbits",2008,"Indian Journal Of Animal Sciences","Indian Counc Agricultural Res",NA,NA,12,"2021-01-15 16:56:20","Article","","0367-8318",NA,78,11,1202,1206,0,0,0,6,13,"A model of acute spinal cord trauma was Created by inflicting injury at the level of L-1-L-2 inter-vertebral space in 24 New Zealand White rabbits of either sex: steroid methyl prednisolone sodium Succinate, nitric oxide synthase inhibitor L-NAME, electroacupuncture and a combination of I.-NAME and electro-acupuncture were administered after injury and were evaluated for changes in clinical and hematological parameters along with changes in plasma triglycerides. insulin, glucose, cortisol, blood electrolytes, motor recovery, and histopathology of spinal cord. L-NAME alone or when combined with electro-acupuncture was better to block pathological changes in spinal cord compared to other groups, whereas, motor recovery was highest in electro-acupuncture treated rabbits. There were no significant changes in the mediators of stress or blood electrolytes.","prednisolone"
"3",0,"Alan B. Ashare, Alvin W. Lyckman","Acute Care in Cervical Spinal Cord Trauma with Long-Term Benefit: A Review",2009,"Safety In Ice Hockey: 5th Volume","Amer Society Testing And Materials",NA,NA,13,"2021-01-15 16:56:20","Proceedings Paper","10.1520/JAI102018","0066-0558",NA,1516,NA,84,NA,0,0,0,2,12,"Spinal cord injury involves three phases. In the first, trauma events deliver direct pressure to the cervical spine, which may compress, dislocate, or fracture the spine, and in turn compress, crush, or transect the spinal cord. In the process, local neurons are destroyed and sensory and motor pathways can be severed. In the second phase, acute tissue responses, bleeding, and inflammation rapidly and radically change the physical and chemical conditions at the wound site. Finally, days, weeks, and months after the initial trauma, chronic post-injury processes reform the wound site into a lasting scar that impedes regeneration of spinal cord pathways. A major goal of current spinal cord injury research should be rapid and lasting inhibition of acute and chronic tissue reactions in the spinal cord wound that lead to a growth-inhibiting environment and diverting these reactions toward conditions that favor regeneration of severed spinal pathways. Here, we consider experimental strategies that could form the basis for treatments that can be rapidly administered after trauma and provides lasting benefit to spinal cord regeneration and rehabilitation.","prednisolone"
"4",1,"Maria Teresa Moreno-Flores, Jesus Avila","The Quest to Repair the Damaged Spinal Cord",2010,"Frontiers In Cns Drug Discovery, Vol 1","Bentham Science Publ",NA,NA,11,"2021-01-15 16:56:20","Article","10.2174/978160805159511001010497","1879-6613",NA,1,NA,497,518,1,0.09,1,2,11,"Spinal cord injuries devastate the lives of those affected. Normally, acute injury leads to chronic injury in the spinal cord, although this has a variable impact on normal sensory and motor functions. Currently the only drug used to treat acute spinal cord injury is methyl-prednisolone, administered in order to prevent secondary inflammatory neural damage. Thus, it is time that alternative and complementary pharmacological, cell and gene therapies be developed. In order to achieve this, several approaches to stimulate spinal cord repair must be considered. Indeed, the main lines of research that have been established in different animal models of spinal cord regeneration are now beginning to produce encouraging results. Several patents have been derived from these studies and hopefully, they will lead to the development of new treatments for human spinal cord injuries. Here is presented a review of the main patents that have been generated by this research, and that can be classified as:","prednisolone"
"5",3,"NE NAFTCHI","TREATMENT OF MAMMALIAN SPINAL-CORD INJURY WITH ANTIOXIDANTS",1991,"International Journal Of Developmental Neuroscience","Wiley",NA,NA,9,"2021-01-15 16:56:20","Article","10.1016/0736-5748(91)90002-4","0736-5748",NA,9,2,113,126,3,0.1,3,1,30,"After spinal cord injury, two groups of cats were treated with a combination of methyl-prednisolone sodium succinate (MP, 35 mg/kg) and epsilon-aminocaproic acid (EACA, 350 mg/kg), and guanabenz acetate (0.65 mg/kg). Guanabenz acetate was administered twice daily for 8 weeks. In the first group, the treatment significantly increased blood flow in the abdominal aorta. All cats treated with guanabenz acetate 3 hr after spinal cord contusion had return of micturition and none suffered complete paraplegia. Four animals had partial and the other four had complete motor recovery. A superoxide (O2-.) generating system, horseradish peroxidase, decreased [C-14]gamma amino butyric acid uptake by mouse cortical slices by 33% but when superoxide dismutase was added to the medium, the uptake was reduced by only 9%. The nerve endings were also protected by superoxide dismutase from morphologic damage by O2-. as observed by electron microscopy. The agents used in these studies produce their ameliorating effects by virtue of their anti-inflammatory, antioxidant, and membrane stabilizing properties, and enhancing the regional microcirculation. In addition to having these properties, guanabenz acetate is also an alpha2 adrenoceptor agonist.","prednisolone"
"6",4,"Ziya Asan","Spinal Cord Injury without Radiological Abnormality in Adults: Clinical and Radiological Discordance",2018,"World Neurosurgery","Elsevier Science Inc",NA,NA,8,"2021-01-15 16:56:20","Article","10.1016/j.wneu.2018.03.162","1878-8750",NA,114,NA,NA,NA,4,1.33,4,1,3,"BACKGROUND: Patients with spinal cord injury without radiological abnormality (SCIWORA) show varying clinical prognostic courses independent of radiological findings. The fact that patients cannot be evaluated using a specific terminologic standard has led to the emergence of the real SCIWORA definition. In this study, clinical progressions of 11 patients diagnosed with SCIWORA were analyzed, and terminologic differences were discussed.","prednisolone"
"7",8,"Yang Guo, Yong Ma, Ya-lan Pan, Su-yang Zheng, Jian-wei Wang, Gui-cheng Huang","Jisuikang, a Chinese herbal formula, increases neurotrophic factor expression and promotes the recovery of neurological function after spinal cord injury",2017,"Neural Regeneration Research","Medknow Publications & Media Pvt Ltd",NA,NA,7,"2021-01-15 16:56:20","Article","10.4103/1673-5374.215264","1673-5374",NA,12,9,1519,1528,8,2,1,6,4,"The Chinese medicine compound, Jisuikang, can promote recovery of neurological function by inhibiting lipid peroxidation, scavenging oxygen free radicals, and effectively improving the local microenvironment after spinal cord injury. However, the mechanism remains unclear. Thus, we established a rat model of acute spinal cord injury using a modified version of Allen's method. Jisuikang (50, 25, and 12.5 g/kg/d) and prednisolone were administered 30 minutes after anesthesia. Basso, Beattie, and Bresnahan locomotor scale scores and the oblique board test showed improved motor function recovery in the prednisone group and moderate-dose Jisuikang group compared with the other groups at 3-7 days post-injury. The rats in the moderate-dose Jisuikang group recovered best at 14 days post-injury. Hematoxylin-eosin staining and transmission electron microscopy showed that the survival rate of neurons in treatment groups increased after 3-7 days of administration. Further, the structure of neurons and glial cells was more distinct, especially in prednisolone and moderate-dose Jisuikang groups. Western blot assay and immunohistochemistry showed that expression of brain-derived neurotrophic factor (BDNF) in injured segments was maintained at a high level after 7-14 days of treatment. In contrast, expression of nerve growth factor (NGF) was down-regulated at 7 days after spinal cord injury. Real-time fluorescence quantitative polymerase chain reaction showed that expression of BDNF and NGF mRNA was induced in injured segments by prednisolone and Jisuikang. At 3-7 days after injury, the effect of prednisolone was greater, while 14 days after injury, the effect of moderate-dose Jisuikang was greater. These results confirm that Jisuikang can upregulate BDNF and NGF expression for a prolonged period after spinal cord injury and promote repair of acute spinal cord injury, with its effect being similar to prednisolone.","prednisolone"
"8",9,"A Mallei, SA Aden, A Bachis, C Brandoli, E Ongini, I Mocchetti","The nitrosteroid NCX 1015, a prednisolone derivative, improves recovery of function in rats after spinal cord injury",2005,"Brain Research","Elsevier Science Bv",NA,NA,6,"2021-01-15 16:56:20","Article","10.1016/j.brainres.2005.08.057","0006-8993",NA,1062,1,16,25,9,0.56,2,6,16,"Glucocorticoids, given at high-doses, improve recovery of function after spinal cord injury (SCI) in animals. However, side effects combined with a limited efficacy in clinical trials have restricted their usefulness for treatment of SCI patients. Recent studies have shown that incorporation of the nitric oxide releasing moiety into the glucocorticoid structure enhances anti-inflammatory properties and reduces side effects. One compound, a derivative of prednisolone (PRE), (NCX 1015, prednisolone 21 [(4'nitrooxymethyl)benzoate]), has interesting pharmacological properties. Therefore, we investigated its effects on apoptosis and recovery of function in rats after SCI. Rats received subcutaneously vehicle, NCX 1015 or PRE (37 mu mol/kg, each) 3.5 h after a standardized thoracic lesion. The treatment was continued once a day for 3 days and the effect of both steroids on apoptosis was examined by immunohistochemistry 24 h after the last injection. NCX 1015 but not PRE reduced TUNEL and activated caspase 3 in both white and ventral gray matter as well as tumor necrosis factor immunoreactivity in ventral horn motorneurons, suggesting that NCX 1015 reduces SCI-induced apoptosis. The effect of NCX 1015 on motor function was then examined by a standard locomotion rating scale (BBB) starting at 1 day after injury and continuing up to 14 days. NCX 1015 improved significantly locomotor activity by 4 days after injury, whereas PRE had an effect equivalent to that of vehicle, thus providing a correlation between the antiapoptotic effect of NCX1015 and its ability to improve recovery of function. The data suggest that NCX 1015 might be a novel experimental therapeutic compound for recovery of function in SCI patients. (c) 2005 Elsevier B.V. All rights reserved.","prednisolone"
"9",15,"BH Lee, KH Lee, DH Yoon, UJ Kim, YS Hwang, SK Park, JU Choi, YG Park","Effects of methyl prednisolone on the neural conduction of the motor evoked ootentials in spinal cord injured rats",2005,"Journal Of Korean Medical Science","Korean Acad Medical Sciences",NA,NA,5,"2021-01-15 16:56:20","Article","10.3346/jkms.2005.20.1.132","1011-8934",NA,20,1,132,138,15,0.94,2,8,16,"Methylprednisolone (MP), a glucocorticoid steroid, has an anti-inflammatory action and seems to inhibit the formation of oxygen free radicals produced during lipid peroxidation in a spinal cord injury (SCI). However, the effects of MP on the functional recovery after a SCI is controversial. The present study was conducted to determine the effects of MP on the recovery of neural conduction following a SCI. A SCI was produced using the NYU spinal cord impactor. A behavioral test was conducted to measure neurological disorders, and motor evoked potentials (MEPs) were recorded. According to the behavioral test, using BBB locomotor scaling, MP-treated animals showed improved functional recoveries when compared to saline-treated animals. MEP latencies in the MP-treated group were shortened when compared to those in the control group. Peak amplitudes of MEPs were larger in the MP-treated group than those in the control group. The thresholds of MEPs tended to be lower in the MP-treated group than those in the control group. These results suggest that MP may improve functional recovery after a SCI.","prednisolone"
"10",21,"LIC Loncan, DF Sempere, JE Ajuria","Brown-Sequard syndrome caused by a Kirschner wire as a complication of clavicular osteosynthesis",1998,"Spinal Cord","Stockton Press",NA,NA,4,"2021-01-15 16:56:20","Article","10.1038/sj.sc.3100683","1362-4393",NA,36,11,797,799,21,0.91,7,3,23,"A case of spinal cord injury caused by delayed migration of a Kirschner wire is reported. Some cases of distant injuries caused by bone wires, and acupuncture needles have been published, but this is the first reported case of delayed thoracic spinal cord damage caused by the migration of a clavicular wire. A 22-year-old male patient was admitted with a clinical picture of spinal shock after performing physiotherapeutic exercises. Two months prior to this. the patient had undergone surgical treatment for a clavicular fracture in a different clinical center. Imaging showed a clavicular wire had migrated into the spinal canal. An early prescription of a spinal cord methyl-prednisolone protective treatment (NASCIS II), the surgical extraction of the foreign body and the rehabilitation exercises were the keys to a quick recovery.","prednisolone"
