"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Da-Nian Ma, Xia-Qi Zhang, Jie Ying, Zhong-Jun Chen, Li-Xin Li","Efficacy and safety of 9 nonoperative regimens for the treatment of spinal cord injury A network meta-analysis",2017,"Medicine","Lippincott Williams & Wilkins",NA,NA,10,"2021-01-15 16:55:09","Article","10.1097/MD.0000000000008679","0025-7974",NA,96,47,NA,NA,0,0,0,5,4,"Objective: This network meta-analysis aims to compare the efficacy and safety of 9 nonoperative regimens (placebo, pregabalin, GM-1 ganglioside, venlafaxine extended-release [venlafaxine XR], fampridine, conventional over-ground training [OT], body-weight-supported treadmill training [BWSTT], robotic-assisted gait training [RAGT]+OT and body-weight-supported over-ground training [BWSOT]) in treating spinal cord injury (SCI).","pregabalin"
"2",0,"Jacquelyn J. Cragg, Catherine R. Jutzeler, Lukas Grassner, Matt Ramer, Frank Bradke, John L. K. Kramer","Beneficial ""Pharmaceutical Pleiotropy"" of Gabapentinoids in Spinal Cord Injury: A Case for Refining Standard-of-Care",2020,"Neurorehabilitation And Neural Repair","Sage Publications Inc",NA,NA,11,"2021-01-15 16:55:09","Article","10.1177/1545968320931516","1545-9683",NA,34,8,686,689,0,0,0,6,1,"Spinal cord injury results in devastating neurological deficits accompanied by lifelong disability and significant economic burden. While the development of novel compounds or cell-based interventions for spinal cord injury is unquestionably worthwhile, a complementary approach examines current standards of care and the degree to which these can be optimized to benefit long-term neurological function. Numerous classes of drugs, already in use in the acute phase of spinal cord injury, are intriguing because they (1) readily cross the blood-spinal cord barrier to modulate activity in the central nervous system and (2) are administered during a window of time in which neuroprotection, and even some repair, are feasible. Here, we review a rare case of convergent lines of evidence from both preclinical and human studies to support the early administration of a class of drug (ie, gabapentinoids) to both foster motor recovery and reduce the severity of neuropathic pain.","pregabalin"
"3",0,"Shigeta Moriya, Mitsuhiro Hasegawa, Joji Inamasu, Hirotaka Kogame, Yuichi Hirose, Ryo Higashi, Makoto Ito, Fumihiro Imai","Neuroprotective effects of pregabalin in a rat model of intracisternal facial nerve avulsion",2017,"Journal Of Neurosurgical Sciences","Edizioni Minerva Medica",NA,NA,12,"2021-01-15 16:55:09","Article","10.23736/S0390-5616.16.03263-X","0390-5616",NA,61,5,495,503,0,0,0,8,4,"BACKGROUND: Pregabalin (PGB), a drug used for treating neuropathic pain, has immune-modulating property that may have therapeutic implications. Suppression of microglial activation and improvement in functional recovery was observed in experimental spinal cord injury after PGB administration. An experimental study was conducted to evaluate whether PGB could afford neuroprotection in a rat model of intracisternal facial nerve avulsion.","pregabalin"
"4",5,"Burak Kazanci, Selcuk Ozdogan, Ramazan Kahveci, Emre Cemal Gokce, Kazim Yigitkanli, Aysun Gokce, Bulent Erdogan","Neuroprotective Effects of Pregabalin Against Spinal Cord Ischemia-Reperfusion Injury in Rats",2017,"Turkish Neurosurgery","Turkish Neurosurgical Soc",NA,NA,8,"2021-01-15 16:55:09","Article","10.5137/1019-5149.JTN.17959-16.1","1019-5149",NA,27,6,952,961,5,1.25,1,7,4,"AIM: To evaluate the effect of pregabalin pre-treatment on spinal cord ischemia-reperfusion (I/R) injury and compare with methylprednisolone (MP).","pregabalin"
"5",5,"John C. Gensel, Renee R. Donahue, William M. Bailey, Bradley K. Taylor","Sexual Dimorphism of Pain Control: Analgesic Effects of Pioglitazone and Azithromycin in Chronic Spinal Cord Injury",2019,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,9,"2021-01-15 16:55:09","Article","10.1089/neu.2018.6207","0897-7151",NA,36,15,2372,2376,5,2.5,1,4,2,"Central neuropathic pain develops in greater than 75% of individuals suffering a spinal cord injury (SCI). Increasingly, sex is recognized as an important biological variable in the development and treatment of peripheral neuropathic pain, but much less is known about the role of sex in central neuropathic pain and its pharmacological inhibition. To test the hypothesis that efficacy of analgesic therapies differs between males and females in SCI, we used a mouse model of SCI pain to determine the analgesic efficacy of pioglitazone (PIO), U.S. Food and Drug Administration-approved drug for the treatment of diabetes, and azithromycin (AZM), a commonly prescribed macrolide antibiotic with immunomodulatory properties. Male and female mice received moderate-severe T9 contusion SCI (75-kdyn). A robust heat hyperalgesia developed similarly between male and female mice by 4 weeks post-injury and lasted throughout the duration of the study (14 weeks). Three months after SCI, mice were treated with PIO (10 mg/kg, intraperitoneal) or AZM (160 mg/kg, oral). We observed a sex-specific effect of PIO with significant antihyperalgesic effects in females, but not males. In contrast, AZM was effective in both sexes. Our data support the use of PIO and AZM as novel therapies for SCI pain and highlight the importance of considering sex as a biological variable in clinical and experimental SCI pain research.","pregabalin"
"6",8,"Wenjing Sun, Molly J. E. Larson, Conrad M. Kiyoshi, Alexander J. Annett, William A. Stalker, Juan Peng, Andrea Tedeschi","Gabapentinoid treatment promotes corticospinal plasticity and regeneration following murine spinal cord injury",2020,"Journal Of Clinical Investigation","Amer Soc Clinical Investigation Inc",NA,NA,7,"2021-01-15 16:55:09","Article","10.1172/JCI130391","0021-9738",NA,130,1,345,358,8,8,1,7,1,"Axon regeneration failure causes neurological deficits and long-term disability after spinal cord injury (SCI). Here, we found that the alpha 2 delta 2 subunit of voltage-gated calcium channels negatively regulates axon growth and regeneration of corticospinal neurons, the cells that originate the corticospinal tract. Increased alpha 2 delta 2 expression in corticospinal neurons contributed to loss of corticospinal regrowth ability during postnatal development and after SCI. In contrast, alpha 2 delta 2 pharmacological blockade through gabapentin administration promoted corticospinal structural plasticity and regeneration in adulthood. Using an optogenetic strategy combined with in vivo electrophysiological recording, we demonstrated that regenerating corticospinal axons functionally integrate into spinal circuits. Mice administered gabapentin recovered upper extremity function after cervical SCI. Importantly, such recovery relies on reorganization of the corticospinal pathway, as chemogenetic silencing of injured corticospinal neurons transiently abrogated recovery. Thus, targeting alpha 2 delta 2 with a clinically relevant treatment strategy aids repair of motor circuits after SCI.","pregabalin"
"7",16,"Jacquelyn J. Cragg, Jenny Haefeli, Catherine R. Jutzeler, Frank Roehrich, Norbert Weidner, Marion Saur, Doris D. Maier, Yorck B. Kalke, Christian Schuld, Armin Curt, John K. Kramer","Effects of Pain and Pain Management on Motor Recovery of Spinal Cord-Injured Patients: A Longitudinal Study",2016,"Neurorehabilitation And Neural Repair","Sage Publications Inc",NA,NA,6,"2021-01-15 16:55:09","Article","10.1177/1545968315624777","1545-9683",NA,30,8,753,761,16,3.2,2,11,5,"Background. Approximately 60% of patients suffering from acute spinal cord injury (SCI) develop pain within days to weeks after injury, which ultimately persists into chronic stages. To date, the consequences of pain after SCI have been largely examined in terms of interfering with quality of life. Objective. The objective of this study was to examine the effects of pain and pain management on neurological recovery after SCI. Methods. We analyzed clinical data in a prospective multicenter observational cohort study in patients with SCI. Using mixed effects regression techniques, total motor and sensory scores were modelled at 1, 3, 6, and 12 months postinjury. Results. A total of 225 individuals were included in the study (mean age: 45.8 +/- 18 years, 80% male). At 1 month postinjury, 28% of individuals with SCI reported at- or below-level neuropathic pain. While pain classification showed no effect on neurological outcomes, individuals administered anticonvulsant medications at 1 month postinjury showed significant reductions in pain intensity (2 points over 1 year; P < .05) and greater recovery in total motor scores (7.3 points over 1 year; P < .05). This drug effect on motor recovery remained significant after adjustment for injury level and injury severity, pain classification, and pain intensity. Conclusion. While initial pain classification and intensity did not reveal an effect on motor recovery following acute SCI, anticonvulsants conferred a significant beneficial effect on motor outcomes. Early intervention with anticonvulsants may have effects beyond pain management and warrant further studies to evaluate the therapeutic effectiveness in human SCI.","pregabalin"
"8",19,"Mitsuo Tanabe, Koto Ono, Motoko Honda, Hideki Ono","Gabapentin and pregabalin ameliorate mechanical hypersensitivity after spinal cord injury in mice",2009,"European Journal Of Pharmacology","Elsevier Science Bv",NA,NA,5,"2021-01-15 16:55:09","Article","10.1016/j.ejphar.2009.03.020","0014-2999",NA,609,1,65,68,19,1.58,5,4,12,"The antiepileptic drugs gabapentin and pregabalin exhibit well-established analgesic effects in patients with several neuropathic conditions. In the present study, we examined their effects on mechanical hypersensitivity in mice subjected to weight-drop spinal cord injury. Hindlimb motor function and mechanical hypersensitivity were evaluated using the Basso-Beattie-Bresnahan (BBB) locomotor rating scale and the von Frey test, respectively, for 4 weeks after spinal cord injury. Despite gradual recovery of hindlimb motor function after spinal cord injury, mice exhibited continuous development of mechanical hypersensitivity. Gabapentin (30 and 100 mg/kg) and pregabalin (10 and 30 mg/kg), administered intraperitoneally on the 28th day after spinal cord injury, reduced mechanical hypersensitivity in a dose-dependent manner. These results suggest that gabapentin and pregabalin could be useful therapeutic tools for patients with neuropathic pain after spinal cord injury. (C) 2009 Elsevier B.V. All rights reserved.","pregabalin"
"9",22,"Freda M. Warner, Jacquelyn J. Cragg, Catherine R. Jutzeler, Frank Roehrich, Norbert Weidner, Marion Saur, Doris D. Maier, Christian Schuld, Armin Curt, John K. Kramer","Early Administration of Gabapentinoids Improves Motor Recovery after Human Spinal Cord Injury",2017,"Cell Reports","Cell Press",NA,NA,4,"2021-01-15 16:55:09","Article","10.1016/j.celrep.2017.01.048","2211-1247",NA,18,7,1614,1618,22,5.5,2,10,4,"The anticonvulsant pregabalin promotes neural regeneration in a mouse model of spinal cord injury (SCI). We have also previously observed that anti-convulsants improve motor outcomes following human SCI. The present study examined the optimal timing and type of anticonvulsants administered in a large, prospective, multi-center, cohort study in acute SCI. Mixed-effects regression techniques were used to model total motor scores at 1, 3, 6, and 12 months post injury. We found that early (not late) administration of anticonvulsants significantly improved motor recovery (6.25 points over 1 year). The beneficial effect of anticonvulsants remained significant after adjustment for differences in 1-month motor scores and injury characteristics. A review of a subset of patients revealed that gabapentinoids were the most frequently administrated anticonvulsant. Together with preclinical findings, intervention with anticonvulsants represents a potential pharmacological strategy to improve motor function after SCI.","pregabalin"
"10",36,"Eun-Sun Kang, Kee-Yong Ha, Young-Hoon Kim","Fate of Transplanted Bone Marrow Derived Mesenchymal Stem Cells Following Spinal Cord Injury in Rats by Transplantation Routes",2012,"Journal Of Korean Medical Science","Korean Acad Medical Sciences",NA,NA,3,"2021-01-15 16:55:09","Article","10.3346/jkms.2012.27.6.586","1011-8934",NA,27,6,586,593,36,4,12,3,9,"This research was performed to investigate the differences of the transplanted cells' survival and differentiation, and its efficacy according to the delivery routes following spinal cord injury. Allogenic mesenchymal stem cells (MSCs) were transplanted intravenously (IV group) or intralesionally (IL group) at post-injury 1 day in rats. Behavioral improvement, engraftment and differentiation of the transplanted cells and the expression of neurotrophic factors of the transplanted groups were analyzed and compared with those of the control group. At 6 weeks post-injury, the mean BBB motor scales in the control, IV and IL groups were 6.5 +/- 1.8, 11.1 +/- 2.1, and 8.5 +/- 2.8, respectively. Regardless of the delivery route, the MSCs transplantation following spinal cord injuries presented better behavioral improvement. The differentiations of the engrafted cells were different according to the delivery routes. The engrafted cells predominantly differentiated into astrocytes in the IV group and on the other hand, engrafted cells of the IL group demonstrated relatively even neural and glial differentiation. The expressions of neuronal growth factor were significantly higher in the IL group (mean relative optical density, 2.4 +/- 0.15) than those in the control (2.16 +/- 0.04) or IV group (1.7 +/- 0.23). Transplantation of MSCs in the early stage of spinal cord injury gives a significant clinical improvement. However, the fate of the transplanted MSCs and expression of neuronal growth factors are different along the transplantation route.","pregabalin"
