"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Xianpei Wu, Jingmin Zhao","Pitavastatin inhibits proinflammatory cytokines and provides improvement in terms of its motor function in secondary injuries of the spinal cord mouse models",2017,"Biomedical Research-India","Allied Acad",NA,NA,16,"2021-01-15 13:40:16","Article","","0970-938X",NA,28,14,6260,6265,0,0,0,2,4,"Background: Statins are hydroxymethylglutaryl coenzyme A reductase inhibitors that reduce intracellular cholesterol synthesis by competitively inhibiting endogenous cholesterol synthesis rate limiting enzymes. Currently they are most used in the prevention of coronary heart disease. Aside on their cholesterol-lowering effect, statins are also anti-inflammatory in terms of their effects. Recent studies have shown that statins can produce anti-inflammatory effects in acute models of injuries in the spinal cord.","simvastatin"
"2",2,"Hamid Namazi, Mohammad Jafar Emami, Fatemeh Dehghani Nazhvani, Ali Dehghani Nazhvani","Simvastatin vs. L-Carnitine: An Experimental Study on Optimizing Nerve Repair",2019,"Turkish Neurosurgery","Turkish Neurosurgical Soc",NA,NA,15,"2021-01-15 13:40:16","Article","10.5137/1019-5149.JTN.25821-19.2","1019-5149",NA,29,5,710,717,2,1,1,4,2,"AIM: To assay the effects of simvastatin and L-carnitine on peripheral nerve repair.","simvastatin"
"3",3,"Cheng-Loong Liang, Han-Jung Chen, Po-Chou Liliang, Hao-Kuang Wang, Yu-Duan Tsai, Chung-Lung Cho, Kang Lu, Kuo-Wei Wang","Simvastatin and Simvastatin-Ezetimibe Improve the Neurological Function and Attenuate the Endothelial Inflammatory Response after Spinal Cord Injury in Rat",2019,"Annals Of Clinical And Laboratory Science","Assoc Clinical Scientists",NA,NA,14,"2021-01-15 13:40:16","Article","","0091-7370",NA,49,1,105,111,3,1.5,0,8,2,"During a spinal cord injury (SCI), mechanical trauma rapidly leads to a blood-spinal cord barrier (BSB) disruption, neural cell damage, axonal damage, and demyelination, followed by a cascade of secondary inflammatory reactions. These inflammatory responses spread the damage to the neural cells and impair the recovery of neurological functions. In the present study, we evaluated the efficacy of simvastatin and a simvastatin-ezetimibe combination therapy in managing the endothelial inflammatory response in an SCI rat model. Adult male Sprague-Dawley rats were group-housed and SCI was induced by using the modified weight-drop method. The animals were divided into 4 groups: (1) sham group, laminectomy only (n=6); (2) no-treatment group, SCI without therapy (n=8); (3) simvastatin group (n=8), and (4) ezetimibe and simvastatin combination therapy group (n=8). A high dose (15 mg/kg) of simvastatin was given to the simvastatin group, and 10 mg/kg simvastatin and 10 mg/kg ezetimibe were given to the combination group. Neurological function was assessed using the Basso, Beattie, and Bresnahan locomotor scale score. Intercellular adhesion molecule-1 (ICAM-1) level was used as an SCI biomarker. ICAM-1 level was the highest at 72 hours after SCI in the no-treament group. The treatment groups showed significant reduction in ICAM-1 levels at 72 hours. The treatment groups, especially the combination treatment group, showed better neurological function scores. Simvastatin and simvastatin- ezetimibe all could improve the neurological function and attenuate the endothelial inflammatory response after spinal cord injury in rat.","simvastatin"
"4",5,"Frederic-Charles Cloutier, Dominique M. Rouleau, Jonah Hebert-Davies, Pierre H. Beaumont, Eric Beaumont","Atorvastatin is beneficial for muscle reinnervation after complete sciatic nerve section in rats",2013,"Journal Of Plastic Surgery And Hand Surgery","Taylor & Francis Ltd",NA,NA,13,"2021-01-15 13:40:16","Article","10.3109/2000656X.2013.778205","2000-656X",NA,47,6,446,450,5,0.63,1,5,8,"Nerve regeneration and functional recovery are often incomplete after peripheral neurotmetic lesion. Atorvastatin has been shown to be neuroprotective after transient ischaemia or traumatic injury. The aim of this study was to establish if systemic administration of Atorvastatin could improve functional muscle reinnervation after complete sciatic nerve section. Sixteen female Sprague-Dawley rats were used in this study. After a complete right sciatic nerve section, end-to-end microsuture repair was performed and fibrin glue was added. Three groups were studied: (1) sutures (S) + fibrin glue (F) only + saline administration for 14 days; (2) S+F+Atorvastatin administration for 14 days; and (3) uninjured nerve. Five months later, the sciatic nerve and the gastrocnemius muscle were isolated to perform in vivo electrophysiological measurements. Better kinematics was observed in atorvastatin-treated rats 5 months after its administration. Indeed, a larger excursion of the hip-ankle-toe angle during walking was observed. This effect was associated with the preservation of electromyographic activity (2.91 mV vs 0.77 mV) and maximal muscle force (85.1 g vs 28.6 g) on stimulation of the proximal nerve section. Five months after a neurotmetic lesion, the recovery is incomplete when using suture and fibrin glue only. Furthermore, the systemic administration of Atorvastatin for 14 days after lesion was beneficial in improving locomotion capability associated with the re-establishment of muscle strength and EMG activity.","simvastatin"
"5",7,"Fang Li, Dan Fei, Libo Sun, Sixun Zhang, Yue Yuan, Li Zhang, Kuiming Zhao, Rui Li, Yanbing Yu","Neuroprotective effect of bone marrow stromal cell combination with atorvastatin in rat model of spinal cord injury",2014,"International Journal Of Clinical And Experimental Medicine","E-Century Publishing Corp",NA,NA,12,"2021-01-15 13:40:16","Article","","1940-5901",NA,7,12,4967,4974,7,1,1,9,7,"The aims of this study was to assessed the ability of a combination treatment of bone marrow stromal cell (BMSC) and atorvastatin in a rat model of spinal cord injury (SCI) as an appropriate substitute for current SCI treatments. In the present study, the female Wistar rats were divided into five groups (n = 20) after SCI by New York University Device: SCI, sham, atorvastatin, graft BMSC and graft BMSC plus atorvastatin. Locomotion was assessed using Basso, Beattie and Bresnahan (BBB) test and walking test after SCI. In addition, microvessel density (MVD) was calculated by immunohistochemistry after SCI. We also investigate the vascular endothelial growth factor (VEGF) and brain-derived neurotrophic factor (BDNF) expression level by western blot after drug treatment. The results showed that BBB scores and walking test were increased in atorvastatin plus BMSC group compared to single atorvastatin and BMSC groups (P < 0.05). In addition, MVD also significantly increased in combination group compared to single treatment group. Compared to sole drug, VEGF and BDNF expression were significantly up-regulated in atorvastatin combination with BMSC group (P < 0.05). These results imply that the combined use of atorvastatin and BMSC treatment may represent a promising strategy for clinically applicable pharmacological therapy for initiation of neuroprotection after SCI.","simvastatin"
"6",9,"Mohammad B. Ghayour, Arash Abdolmaleki, Morteza B. Rassouli","Neuroprotective effect of Lovastatin on motor deficit induced by sciatic nerve crush in the rat",2017,"European Journal Of Pharmacology","Elsevier Science Bv",NA,NA,11,"2021-01-15 13:40:16","Article","10.1016/j.ejphar.2017.07.018","0014-2999",NA,812,NA,121,127,9,2.25,3,3,4,"Following severe peripheral nerve injury (PNI), regeneration is often insufficient and functional recovery is incomplete. Any agents that limit the spread of neural tissue damage may enhance the nerve regeneration. In this regard, statins have been shown to have neuroprotective properties. We investigated the effects of Lovastatin against sciatic nerve crush injury in male Wistar Rats. Lovastatin or vehicle was given parenteraly to rats for 7 days postoperative. In Lovastatin treatment groups, a single dose of agent (2 and 5 mg/kg) was administered daily. The control group was given vehicle in the same manner. The rats were subjected to crush injury in the left sciatic nerve with non-serrated clamp for 30 s. Behavioral, electrophysiological and morphological alterations were evaluated during the experimental period. Results showed that Lovastatin in a dose of 5 mg/kg could significantly (P < 0.05) accelerate regeneration process and functional recovery. Also results demonstrated that morphometric parameters such as mean axonal number and myelin thickness were significantly higher in Lovastatin (5 mg/kg) treatment groups compared to controls (P < 0.05). These findings suggest that a short-term course treatment with Lovastatin can protect against sciatic nerve injury. Findings indicate that postoperative administration of Lovastatin led to accelerate regeneration process and motor function recovery in nerve crush model in rats. This effect might be due to the anti-inflammatory, immunomodulatory or anti-oxidative properties of Lovastatin. It is clear that more research is needed to confirm these findings.","simvastatin"
"7",10,"Yan Feng, Yaru Ju, Jianzhong Cui, Liqun Wang","Bone marrow stromal cells promote neuromotor functional recovery, via upregulation of neurotrophic factors and synapse proteins following traumatic brain injury in rats",2017,"Molecular Medicine Reports","Spandidos Publ Ltd",NA,NA,10,"2021-01-15 13:40:16","Article","10.3892/mmr.2017.6619","1791-2997",NA,16,1,654,660,10,2.5,3,4,4,"It has previously been demonstrated that bone marrow stromal cells (BMSCs) exhibit great therapeutic potential in neuronal injuries; however, there is limited understanding of the precise underlying mechanisms that contribute to functional improvement following brain injury. The aim of the present study was to assess the effect of BMSC treatment on traumatic brain injury (TBI) in rats, and investigate if they migrate to injured areas and promote neuromotor functional recovery via upregulation of neurotrophic factors and synaptic proteins. BMSCs were cultured in vitro from female Sprague Dawley (SD) rat bone marrow and were subsequently infused into male adult SD rats via the tail vein, following induction of TBI. The results demonstrated that treatment with BMSCs significantly reduced TBI-induced neuromotor impairment and neuronal loss, as assessed by rota rod testing, western blot analysis, modified neurological severity score and immunohistochemistry. The distribution of transplanted BMSCs was tracked by monitoring the expression of sex determining region Y (SRY) in rats. The number of cells double-positive for SRY/neuronal nuclear antigen or SRY/glial fibrillary acidic protein was increased in the BMSC group, which demonstrated that BMSCs migrated to injured areas and differentiated into neurons and astrocytes, following TBI. Furthermore, administration of BMSCs increased expression of vascular endothelial growth factor and brain derived neurotrophic factor. Protein expression levels of synaptophysin were downregulated following TBI and this was reversed in part by treatment with BMSCs. These findings uncovered some underlying mechanisms of action of BMSCs, and may lead to their potential use as a future effective therapeutic agent for the treatment of TBI.","simvastatin"
"8",12,"Shuang Gao, Zhong-ming Zhang, Zhao-liang Shen, Kai Gao, Liang Chang, Yue Guo, Zhuo Li, Wei Wang, Ai-mei Wang","Atorvastatin activates autophagy and promotes neurological function recovery after spinal cord injury",2016,"Neural Regeneration Research","Medknow Publications & Media Pvt Ltd",NA,NA,9,"2021-01-15 13:40:16","Article","10.4103/1673-5374.184498","1673-5374",NA,11,6,977,982,12,2.4,1,9,5,"Atorvastatin, a lipid-lowering medication, provides neuroprotective effects, although the precise mechanisms of action remain unclear. Our previous studies confirmed activated autophagy following spinal cord injury, which was conducive to recovery of neurological functions. We hypothesized that atorvastatin could also activate autophagy after spinal cord injury, and subsequently improve recovery of neurological functions. A rat model of spinal cord injury was established based on the Allen method. Atorvastatin (5 mg/kg) was intraperitoneally injected at 1 and 2 days after spinal cord injury. At 7 days post-injury, western blot assay, reverse transcription-polymerase chain reaction, and terminal deoxynucleotidyl transferase-mediated dUTP nick-end labeling (TUNEL) staining results showed increased Beclin-1 and light chain 3B gene and protein expressions in the spinal cord injury atorvastatin group. Additionally, caspase-9 and caspase-3 expression was decreased, and the number of TUNEL-positive cells was reduced. Compared with the spinal cord injury saline group, Basso, Beattie, and Bresnahan locomotor rating scale scores significantly increased in the spinal cord injury atorvastatin group at 14-42 days post-injury. These findings suggest that atorvastatin activated autophagy after spinal cord injury, inhibited apoptosis, and promoted recovery of neurological function.","simvastatin"
"9",19,"Anandakumar Shunmugavel, Mushfiquddin Khan, Peter C. te Chou, Ramanpreet K. Dhindsa, Marcus M. Martin, Anne G. Copay, Brian R. Subach, Thomas C. Schuler, Mehmet Bilgen, John K. Orak, Inderjit Singh","Simvastatin protects bladder and renal functions following spinal cord injury in rats",2010,"Journal Of Inflammation-London","Biomed Central Ltd",NA,NA,8,"2021-01-15 13:40:16","Article","10.1186/1476-9255-7-17","1476-9255",NA,7,NA,NA,NA,19,1.73,2,11,11,"Background: Urinary bladder and renal dysfunction are secondary events associated with spinal cord injury (SCI) in humans. These secondary events not only compromise quality of life but also delay overall recovery from SCI pathophysiology. Furthermore, in experimental models the effects of SCI therapy on bladder and renal functions are generally not evaluated. In this study, we tested whether simvastatin improves bladder and renal functions in a rat model of experimental SCI.","simvastatin"
"10",21,"Cody M. Mann, Jae H. T. Lee, Jessica Hillyer, Anthea M. T. Stammers, Wolfram Tetzlaff, Brian K. Kwon","Lack of robust neurologic benefits with simvastatin or atorvastatin treatment after acute thoracic spinal cord contusion injury",2010,"Experimental Neurology","Academic Press Inc Elsevier Science",NA,NA,7,"2021-01-15 13:40:16","Article","10.1016/j.expneurol.2009.11.006","0014-4886",NA,221,2,285,295,21,1.91,4,6,11,"Although much progress has been made in the clinical care of patients with acute spinal cord injuries, there are no reliably effective treatments, which minimize secondary damage and improve neurologic Outcome. The time and expense needed to establish de novo pharmacologic or biologic therapies for acute SCI has encouraged the development of neuroprotective treatments based oil drugs that are already in clinical use and, therefore, have the advantage of a well-characterized safety and pharmacokinetic profile in humans. Statins are the most commonly prescribed class of lipid-lowering drugs, and recently, it has been recognized that statins also have powerful immunomodulatory and anti-inflammatory effects.","simvastatin"
"11",26,"Qi Guo, Can Liu, Bao Hai, Teng Ma, Wen Zhang, Jie Tan, Xin Fu, Hong Wang, Yingsheng Xu, Chunli Song","Chitosan conduits filled with simvastatin/Pluronic F-127 hydrogel promote peripheral nerve regeneration in rats",2018,"Journal Of Biomedical Materials Research Part B-Applied Biomaterials","Wiley",NA,NA,6,"2021-01-15 13:40:16","Article","10.1002/jbm.b.33890","1552-4973",NA,106,2,787,799,26,8.67,3,10,3,"Treating peripheral nerve defects represents a clinical challenge, and nerve conduits lacking an internal scaffold lead to limited large nerve gap regeneration. Here, we bridged 10-mm sciatic nerve defects in rats with a chitosan conduit filled with 0, 0.5, or 1.0 mg of simvastatin in Pluronic F-127 hydrogel. We assessed subsequent nerve regeneration using the sciatic functional index (SFI), electrophysiological assessments, Fluoro-Gold (FG) retrograde tracing, gastrocnemius muscle mass measurements, and histological and immunohistochemical assessments of nerve regeneration. Ten weeks after implantation, the chitosan conduit filled with simvastatin/Pluronic F-127 hydrogel promoted nerve regeneration; there were significant increases in the SFI, compound muscle action potential peak amplitude, motor nerve conduction velocity, FG-labeled neuron number in the dorsal root ganglia, myelin sheath thickness, axon diameter, gastrocnemius wet weight, and muscle fiber area percentage in the gastrocnemius muscle (all p<0.05). The expression levels of neurotrophic factors, such as pleiotrophin, hepatocyte growth factor, vascular endothelial growth factor, and glial cell line-derived neurotrophic factor, were also found to be increased. The results suggest that chitosan conduits filled with simvastatin/Pluronic F-127 hydrogel improved peripheral nerve regeneration and functional recovery in rats, which may have been related to the increased expression of several endogenous neurotrophic factors. (c) 2017 Wiley Periodicals, Inc. J Biomed Mater Res Part B: Appl Biomater, 106B: 787-799, 2018.","simvastatin"
"12",34,"Xiaoguang Han, Ning Yang, Yueyi Cui, Yingsheng Xu, Gengting Dang, Chunli Song","Simvastatin mobilizes bone marrow stromal cells migrating to injured areas and promotes functional recovery after spinal cord injury in the rat",2012,"Neuroscience Letters","Elsevier Ireland Ltd",NA,NA,3,"2021-01-15 13:40:16","Article","10.1016/j.neulet.2012.05.071","0304-3940",NA,521,2,136,141,34,3.78,6,6,9,"This study investigated the therapeutic effects of simvastatin administered by subarachnoid injection after spinal cord injury (SCI) in rats; explored the underlying mechanism from the perspective of mobilization, migration and homing of bone marrow stromal cells (BMSCs) to the injured area induced by simvastatin. Green fluorescence protein labeled-bone marrow stromal cells (GFP-BMSCs) were transplanted into rats through the tail vein for stem cell tracing. Twenty-four hours after transplantation, spinal cord injury (SCI) was produced using weight-drop method (10 g 4 cm) at the 110 level. Simvastatin (5 mg/kg) or vehicle was administered by subarachnoid injection at lumbar level 4 after SCI. Locomotor functional recovery was assessed in the 4 weeks following surgery using the open-field test and inclined-plane test. At the end of the study, MRI was used to evaluate the reparation of the injured spinal cord. Animals were then euthanized, histological evaluation was used to measure lesion cavity volumes. Immunofluorescence for GFP and cell lineage markers (NeuN and GFAP) was used to evaluate simvastatin-mediated mobilization and differentiation of transplanted BMSCs. Western blot and immunohistochemistry were used to assess the expression of vascular endothelial growth factor (VEGF) and brain-derived neurotrophic factor (BDNF). Simvastatin-treated animals showed significantly better locomotor recovery, less signal abnormality in MRI and a smaller cavity volume compared to the control group. Immunofluorescence revealed that simvastatin increased the number of GFP-positive cells in the injured spinal cord, and the number of cells double positive for GFP/NeuN or GFP/GFAP was larger in the simvastatin treated group than the control group. Western blot and immunohistochemistry showed higher expression of BDNF and VEGF in the simvastatin treated group than the control group. In conclusion, simvastatin can help to repair spinal cord injury in rat, where the underlying mechanism appears to involve the mobilization of bone marrow stromal cells to the injured area and higher expression of BNDF and VEGF. (C) 2012 Elsevier Ireland Ltd. All rights reserved.","simvastatin"
"13",34,"Jae H. T. Lee, Seth Tigchelaar, Jie Liu, Anthea M. T. Stammers, Femke Streijger, Wolfram Tetzlaff, Brian K. Kwon","Lack of neuroprotective effects of simvastatin and minocycline in a model of cervical spinal cord injury",2010,"Experimental Neurology","Academic Press Inc Elsevier Science",NA,NA,5,"2021-01-15 13:40:16","Article","10.1016/j.expneurol.2010.06.018","0014-4886",NA,225,1,219,230,34,3.09,5,7,11,"Minocycline, a commonly prescribed tetracycline antibiotic, has shown promise as a potential therapeutic agent in animal models of numerous neurologic disorders such as amyotrophic lateral sclerosis, multiple sclerosis, Parkinson's disease, Huntington's disease, stroke, and spinal cord injury (SCI). Simvastatin is one of many hydroxymethylglutaryl-coenzyme-A reductase inhibitors prescribed to lower cholesterol. These drugs are also known to reduce inflammation and oxidative stress, improve endothelial function, and modulate the immune system in stroke, traumatic brain injury, and SCI. As both drugs have translational potential, we evaluated their neuroprotective properties here in a clinically relevant model of contusive cervical spinal cord injury.","simvastatin"
"14",35,"Kai Gao, Guannan Wang, Yansong Wang, Donghe Han, Jing Bi, Yajiang Yuan, Tianchen Yao, Zhanghui Wan, Haihong Li, Xifan Mei","Neuroprotective Effect of Simvastatin via Inducing the Autophagy on Spinal Cord Injury in the Rat Model",2015,"Biomed Research International","Hindawi Ltd",NA,NA,4,"2021-01-15 13:40:16","Article","10.1155/2015/260161","2314-6133",NA,2015,NA,NA,NA,35,5.83,4,10,6,"Simvastatin, an inhibitor of 3-hydroxy-3-methylglutaryl-coenzyme A reductase, is invariably used to treat cardiovascular diseases. Simvastatin has been recently demonstrated to have a neuroprotective effect in nervous system diseases. The present study aimed to further verify the neuroprotection and molecular mechanism of simvastatin on rats after spinal cord injury (SCI). The expression of Beclin-1 and LC3-B was evidently enhanced at postoperation days 3 and 5, respectively. However, the reduction of them TOR protein and ribosomal protein S6 kinase p70 subtype (p70S6K) phosphorylation level occurred at the same time after SCI. Simvastatin significantly increased the expression of brain-derived neurotrophic factor (BDNF) and glial cell line-derived neurotrophic factor (GDNF). Meanwhile, immunofluorescence results indicated that the expression of chondroitin sulfate proteoglycan (CSPG) and caspase-3 protein was obviously reduced by simvastatin. Furthermore, Nissl staining and Basso, Beattie, and Bresnahan (BBB) scores showed that the quantity and function of motor neurons were visibly preserved by simvastatin after SCI. The findings of this study showed that simvastatin induced autophagy by inhibiting the mTOR signaling pathway and contributed to neuroprotection after SCI.","simvastatin"
