"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Caleb Smith, Jutatip Guptarak, Russell Lolley, Peter Fitzgibbons, Alexander Mackay, Stephen Mulkey, Harriet Barratt, Tabibian Borna, Hailey Budnick, Ricardo Parra, Olivera Nesic-Taylor","THERAPEUTIC EFFECTS OF TAMOXIFEN IN SPINAL CORD INJURY",2015,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,17,"2021-01-15 10:34:36","Meeting Abstract","","0897-7151",NA,32,12,NA,NA,0,0,0,11,6,"","tamoxifen"
"2",0,"Nicole Pukos, Dana M. McTigue","Delayed short-term tamoxifen treatment does not promote remyelination or neuron sparing after spinal cord injury",2020,"Plos One","Public Library Science",NA,NA,18,"2021-01-15 10:34:36","Article","10.1371/journal.pone.0235232","1932-6203",NA,15,7,NA,NA,0,0,0,2,1,"The tamoxifen-dependent Cre/lox system in transgenic mice has become an important research tool across all scientific disciplines for manipulating gene expression in specific cell types. In these mouse models, Cre-recombination is not induced until tamoxifen is administered, which allows researchers to have temporal control of genetic modifications. Interestingly, tamoxifen has been identified as a potential therapy for spinal cord injury (SCI) and traumatic brain injury patients due to its neuroprotective properties. It is also reparative in that it stimulates oligodendrocyte differentiation and remyelination after toxin-induced demyelination. However, it is unknown whether tamoxifen is neuroprotective and neuroreparative when administration is delayed after SCI. To properly interpret data from transgenic mice in which tamoxifen treatment is delayed after SCI, it is necessary to identify the effects of tamoxifen alone on anatomical and functional recovery. In this study, female and male mice received a moderate mid-thoracic spinal cord contusion. Mice were then gavaged with corn oil or a high dose of tamoxifen from 19-22 days post-injury, and sacrificed 42 days post-injury. All mice underwent behavioral testing for the duration of the study, which revealed that tamoxifen treatment did not impact hindlimb motor recovery. Similarly, histological analyses revealed that tamoxifen had no effect on white matter sparing, total axon number, axon sprouting, glial reactivity, cell proliferation, oligodendrocyte number, or myelination, but tamoxifen did decrease the number of neurons in the dorsal and ventral horn. Semi-thin sections confirmed that axon demyelination and remyelination were unaffected by tamoxifen. Sex-specific responses to tamoxifen were also assessed, and there were no significant differences between female and male mice. These data suggest that delayed tamoxifen administration after SCI does not change functional recovery or improve tissue sparing in female or male mice.","tamoxifen"
"3",0,"Xiaohui Xia, Changlong Zhou, Xiaochuan Sun, Xuenong He, Chang Liu, Guanyu Wang","Estrogen improved the regeneration of axons after subcortical axon injury via regulation of PI3K/Akt/CDK5/Tau pathway",2020,"Brain And Behavior","Wiley",NA,NA,19,"2021-01-15 10:34:36","Article","10.1002/brb3.1777","2162-3279",NA,10,9,NA,NA,0,0,0,6,1,"Aim To investigate the effect of estrogen on axon regeneration and neurological recovery after subcortical axon injury, and further explore its underlying molecular mechanisms. Method Subcortical axonal fiber injury model was used in this study. Morris water maze was conducted to detect the learning and memory ability of the rats; modified neurological severity score (mNSS) and beam walking test were performed to evaluate the behavioral; and diffusion tensor imaging (DTI) was used for the determination of recovery after subcortical axonal injury, while Western blotting was performed to detect the expression of p-Akt, CDK5, p-Ser262, p-Ser404, and p-Thr205. Results Compared with the Sham group, the injury of subcortical axonal fiber resulted in higher mNSS, higher beam walking scores, longer time of escape latency, less number, time and shorter distance of crossing the quadrant, and less FA values. After ovariectomy, the mNSS, beam walking scores, and escape latency reached the peak; inversely, the others reached a minimum. High estrogen treatment reduced the mNSS, beam walking score, and escape latency; improved the number, time, and distance of crossing the quadrant; and increased the FA value. Western blotting results showed that estrogen increased the expression of p-Akt and decreased the expression of CDK5, p-Ser262, p-Ser404, and p-Thr205. All the changes were counteracted to some extent by Akt inhibitor LY294002. Conclusion After subcortical axonal injury, estrogen could improve the regeneration of axons and improve their functions via regulating the PI3K/Akt/CDK5/Tau pathway.","tamoxifen"
"4",1,"Xian-Sheng Yang, Xue-Ling Me, Ming-Chao Li, Jian Wu, Jia-Ping Li, Yu-Duan Liu, Fu-Chun Li","Tamoxifen Inhibits Inflammatory Pathways and Improves Locomotor Function in Traumatic Spinal Cord Injury in Rats",2016,"Journal Of Biomaterials And Tissue Engineering","Amer Scientific Publishers",NA,NA,16,"2021-01-15 10:34:36","Article","10.1166/jbt.2016.1409","2157-9083",NA,6,1,67,73,1,0.2,0,7,5,"In this study the potential therapeutic effect of tamoxifen was explored on traumatic SCI in rats. Here SCI was induced in rats using weight drop method after which two main groups, SCl/DMSO and SCl/Tamoxifen were used (n = 20 each). Here each major group was divided in four sub groups (n = 5) each. Tamoxifen was administered intraperitoneally as 5 mg/kg/day from day 0 post injury to 28 days where each subgroup was divided one group each week. Locomotor function recovery recorded using BBB score showed recovery in tamoxifen treated group where most significant improvement was observed after 28 days of treatment compared to control. IKK/NF-kB pathway inhibition was observed after determining the level of 1-kB alpha and NF-kB p65 where decrease in levels of these factors was observed in treated groups. Antiapoptotic effect of tamoxifen was determined by evaluating MPO activity, level of activated caspase-3, level of proapoptotic Bax and antiapoptotic Bcl-2 where elevated levels of MPO activity, Bax and activated caspase-3 were found in control DMSO group and decreased level of Bcl-2 in DMSO group while results were vice versa in rats treated with tamoxifen. Statistical analysis was performed using one way ANOVA followed by Bonferroni post hoc analysis used for multiple comparisons and P value less than 0.05 was considered significant.","tamoxifen"
"5",2,"Yuxue Chen, Yeye Tian, Hao Tian, Qibo Huang, Yongkang Fang, Wei Wang, Yue Wan, Dengji Pan, Minjie Xie","Tamoxifen promotes white matter recovery and cognitive functions in male mice after chronic hypoperfusion",2019,"Neurochemistry International","Pergamon-Elsevier Science Ltd",NA,NA,15,"2021-01-15 10:34:36","Article","10.1016/j.neuint.2019.104566","0197-0186",NA,131,NA,NA,NA,2,1,0,9,2,"Cerebral white matter lesions (WMLs) induced by chronic cerebral hypoperfusion are one of the major components of stroke pathology and closely associated with cognitive impairment. However, the repair and related pathophysiology of white matter after brain injury remains relatively elusive and underexplored. Successful neuroregeneration is a method for the potential treatment of central nervous system (CNS) disorders. A nonsteroidal estrogen receptor modulator, Tamoxifen, is an effective inhibitor of cell-swelling-activated anion channels and can mimic neuroprotective effects of estrogen in experimental ischemic stroke. However, its remains unclear whether Tamoxifen has beneficial effects in the pathological process after WMLs. In the present study, we investigated the efficacy of Tamoxifen on multiple elements of oligovascular niche of the male C57BL/6 mice brain after bilateral carotid artery stenosis (BCAS) - induced WMLs. Tamoxifen was injected intraperitoneally once daily from 1 day after BCAS until 1 day before sacrificed. Following chronic hypoperfusion, BCAS mice presented white matter demyelination, loss of axon-glia integrity, activated inflammatory response, and cognitive impairments. Tamoxifen treatment significantly facilitated functional restoration of working memory impairment in mice after white matter injury, thus indicating a translational potential for this estrogen receptor modulator given its clinical safety and applicability for WMLs, which lack of currently available treatments. Furthermore, Tamoxifen treatment reduced microglia activation and inflammatory response, favored microglial polarization toward to the M2 phenotype, enhanced oligodendrocyte precursor cells proliferation and differentiation, and promoted remyelination after chronic hypoperfusion. Together, our data indicate that Tamoxifen could alleviate white matter injury and play multiple targets protective effects following chronic hypoperfusion, which is a promising candidate for the therapeutic target for ischemic WMIs and other demyelination diseases associated cognitive impairment.","tamoxifen"
"6",4,"Seth D. Holland, Leanne M. Ramer, Stephen B. McMahon, Franziska Denk, Matt S. Ramer","An ATF3-CreERT2 Knock-In Mouse for Axotomy-Induced Genetic Editing: Proof of Principle",2019,"Eneuro","Soc Neuroscience",NA,NA,14,"2021-01-15 10:34:36","Article","10.1523/ENEURO.0025-19.2019","",NA,6,2,NA,NA,4,2,1,5,2,"Genome editing techniques have facilitated significant advances in our understanding of fundamental biological processes, and the Cre-Lox system has been instrumental in these achievements. Driving Cre expression specifically in injured neurons has not been previously possible: we sought to address this limitation in mice using a Cre-ERT2 construct driven by a reliable indicator of axotomy, activating transcription factor 3 (ATF3). When crossed with reporter mice, a significant amount of recombination was achieved (without tamoxifen treatment) in peripherally-projecting sensory, sympathetic, and motoneurons after peripheral nerve crush in hemizygotes (65-80% by 16 d) and was absent in uninjured neurons. Importantly, injury-induced recombination did not occur in Schwann cells distal to the injury, and with a knock-out-validated antibody we verified an absence of ATF3 expression. Functional recovery following sciatic nerve crush in ATF3-deficient mice (both hemizygotes and homozygotes) was delayed, indicating previously unreported haploinsufficiency. In a proof-of-principle experiment, we crossed the ATF3-CreERT2 line with a floxed phosphatase and tensin homolog (PTEN) line and show significantly improved axonal regeneration, as well as more complete recovery of neuromuscular function. We also demonstrate the utility of the ATF3-CreERT2 hemizygous line by characterizing recombination after lateral spinal hemisection (C8/T1), which identified specific populations of ascending spinal cord neurons (including putative spinothalamic and spinocerebellar) and descending supraspinal neurons (rubrospinal, vestibulospinal, reticulospinal and hypothalamic). We anticipate these mice will be valuable in distinguishing axotomized from uninjured neurons of several different classes (e.g., via reporter expression), and in probing the function of any number of genes as they relate to neuronal injury and regeneration.","tamoxifen"
"7",5,"Jennifer M. Colon, Pablo A. Gonzalez, Ambar Cajigas, Wanda I. Maldonado, Aranza I. Torrado, Jose M. Sandago, Iris K. Salgado, Jorge D. Miranda","Continuous tamoxifen delivery improves locomotor recovery 6 h after spinal cord injury by neuronal and glial mechanisms in male rats",2018,"Experimental Neurology","Academic Press Inc Elsevier Science",NA,NA,12,"2021-01-15 10:34:36","Article","10.1016/j.expneurol.2017.10.006","0014-4886",NA,299,NA,109,121,5,1.67,1,8,3,"No treatment is available for patients with spinal cord injury (SCI). Patients often arrive to the hospital hours after SCI suggesting the need of a therapy that can be used on a clinically relevant window. Previous studies showed that Tamoxifen (TAM) treatment 24 h after SCI benefits locomotor recovery in female rats. Tamoxifen exerts beneficial effects in male and female rodents but a gap of knowledge exists on: the therapeutic window of TAM, the spatio-temporal mechanisms activated and if this response is sexually dimorphic. We hypothesized that TAM will favor locomotor recovery when administered up-to 24 h after SCI in male Sprague-Dawley rats. Rats received a thoracic (T10) contusion using the MACSIS impactor followed by placebo or TAM (15 mg/21 days) pellets in a therapeutic window of 0, 6, 12, or 24 h. Animals were sacrificed at 2, 7, 14, 28 or 35 days post injury (DPI) to study the molecular and cellular changes in the acute and chronic stages. Immediate or delayed therapy (t = 6 h) improved locomotor function, increased white matter spared tissue, and neuronal survival. TAM reduced reactive gliosis during chronic stages and increased the expression of Olig-2. A significant difference was observed in estrogen receptor alpha between male and female rodents from 2 to 28 DPI suggesting a sexually dimorphic characteristic that could be related to the behavioral differences observed in the therapeutic window of TAM. This study supports the use of TAM in the SCI setting due to its neuroprotective effects but with a significant sexually dimorphic therapeutic window.","tamoxifen"
"8",5,"Matthew A. J. Chedrawe, Scott P. Holman, Anna-Claire Lamport, Turgay Akay, George S. Robertson","Pioglitazone is superior to quetiapine, clozapine and tamoxifen at alleviating experimental autoimmune encephalomyelitis in mice",2018,"Journal Of Neuroimmunology","Elsevier Science Bv",NA,NA,13,"2021-01-15 10:34:36","Article","10.1016/j.jneuroim.2018.06.001","0165-5728",NA,321,NA,72,82,5,1.67,1,5,3,"Recent evidence suggests that clozapine and quetiapine (atypical antipsychotics), tamoxifen (selective-estrogen receptor modulator) and pioglitazone (PPARy agonist) may improve functional recovery in multiple sclerosis (MS). We have compared the effectiveness of oral administration of these drugs, beginning at peak disease, at reducing ascending paralysis, motor deficits and demyelination in mice subjected to experimental autoimmune encephalomyelitis (EAE). Mice were immunized with an immunogenic peptide corresponding to amino acids 35-55 of the myelin oligodendrocyte glycoprotein (MOG(35-55)) in complete Freund's adjuvant and injected with pertussis toxin to induce EAE. Unlike clozapine, quetiapine and tamoxifen, administration of pioglitazone beginning at peak disease decreased both clinical scores and lumbar white matter loss in EAE mice. Using kinematic gait analysis, we found that pioglitazone also maintained normal movement of the hip, knee and ankle joints for at least 44 days after MOG(35)(-)(55) immunization. This long-lasting preservation of hindleg joint movements was accompanied by reduced white matter loss, microglial and macrophage activation and the expression of pro-inflammatory genes in the lumbar spinal cords of EAE mice. These results support clinical findings that suggest pioglitazone may reduce the progressive loss of motor function in MS by decreasing inflammation and myelin damage.","tamoxifen"
"9",7,"L. P. Osuna-Carrasco, J. R. Lopez-Ruiz, E. G. Mendizabal-Ruiz, B. De la Torre-Valdovinos, J. Banuelos-Pineda, I. Jimenez-Estrada, S. H. Duenas-Jimenez","QUANTITATIVE ANALYSIS OF HINDLIMBS LOCOMOTION KINEMATICS IN SPINALIZED RATS TREATED WITH TAMOXIFEN PLUS TREADMILL EXERCISE",2016,"Neuroscience","Pergamon-Elsevier Science Ltd",NA,NA,11,"2021-01-15 10:34:36","Article","10.1016/j.neuroscience.2016.07.023","0306-4522",NA,333,NA,151,161,7,1.4,1,7,5,"Locomotion recovery after a spinal cord injury (SCI) includes axon regeneration, myelin preservation and increased plasticity in propriospinal and descending spinal circuitries. The combined effects of tamoxifen and exercise after a SCI were analyzed in this study to determine whether the combination of both treatments induces the best outcome in locomotion recovery. In this study, the penetrating injury was provoked by a sharp projectile that penetrates through right dorsal and ventral portions of the T13-L1 spinal segments, affecting propriospinal and descending/ascending tracts. Intraperitoneal application of Tamoxifen and a treadmill exercise protocol, as rehabilitation therapies, separately or combined, were used. To evaluate the functional recovery, angular patterns of the hip, knee and ankle joints as well as the leg pendulum-like movement (PLM) were measured during the unrestricted gait of treated and untreated (UT) animals, previously and after the traumatic injury (15 and 30 days post-injury (dpi)). A pattern (curve) comparison analysis was made by using a locally designed Matlab script that determines the Frechet dissimilarity. The SCI magnitude was assessed by qualitative and quantitative histological analysis of the injury site 30 days after SCI. Our results showed that all treated groups had an improvement in hindlimbs kinematics compared to the UT group, which showed a poor gait locomotion recovery throughout the rehabilitation period. The group with the combined treatment (tamoxifen+exercise (TE)) presented the best outcome. In conclusion, tamoxifen and treadmill exercise treatments are complementary therapies for the functional recovery of gait locomotion in hemi-spinalized rats. (C) 2016 IBRO. Published by Elsevier Ltd. All rights reserved.","tamoxifen"
"10",8,"Iris K. Salgado, Aranza I. Torrado, Jose M. Santiago, Jorge D. Miranda","Tamoxifen and Src kinase inhibitors as neuroprotective/neuroregenerative drugs after spinal cord injury",2015,"Neural Regeneration Research","Wolters Kluwer Medknow Publications",NA,NA,10,"2021-01-15 10:34:36","Review","10.4103/1673-5374.153685","1673-5374",NA,10,3,385,390,8,1.33,2,4,6,"Spinal cord injury (SCI) is a devastating condition that produces significant changes in the lifestyle of patients. Many molecular and cellular events are triggered after the initial physical impact to the cord. Two major phases have been described in the field of SCI: an acute phase and late phase. Most of the therapeutic strategies are focused on the late phase because this provides an opportunity to target cellular events like apoptosis, demyelination, scar formation and axonal outgrowth. In this mini-review, we will focus on two agents (tamoxifen and a Src kinase family inhibitor known as PP2) that have been shown in our laboratory to produce neuroprotective (increase cell survival) and/or regenerative (axonal outgrowth) actions. The animal model used in our laboratory is adult female rat (similar to 250 g) with a moderate contusion (12.5 mm) to the spinal cord at the Tic, level, using the MASCIS impactor device. Tamoxifen or PP2 was administered by implantation of a 15 mg pellet (Innovative Research of America, Sarasota, FL, USA) or by intraperitoneal injections (1.5 mg/kg, every 3 days), respectively, to produce a long-term effect (28 days). Tamoxifen and the Src kinase inhibitor, PP2, are drugs that in rats with a moderate spinal cord injury promote functional locomotor recovery, increase spared white matter tissue, and stimulate axonal outgrowth. Moreover, tamoxifen reduces the formation of reactive oxygen species. Therefore, these drugs are possible therapeutic agents that have a neuroprotective/regenerative activity in vertebrates with SCI.","tamoxifen"
