"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Hui Wang, Wen-xian Zhou, Jin-feng Huang, Xuan-qi Zheng, Hai-jun Tian, Bin Wang, Wei-li Fu, Ai-min Wu","Endocrine Therapy for the Functional Recovery of Spinal Cord Injury",2020,"Frontiers In Neuroscience","Frontiers Media Sa",NA,NA,37,"2021-01-14 20:10:50","Review","10.3389/fnins.2020.590570","",NA,14,NA,NA,NA,0,0,0,8,1,"Spinal cord injury (SCI) is a major cause of physical disability and leads to patient dissatisfaction with their quality of life. Patients with SCI usually exhibit severe clinical symptoms, including sensory and motor dysfunction below the injured levels, paraplegia, quadriplegia and urinary retention, which can exacerbate the substantial medical and social burdens. The major pathological change observed in SCI is inflammatory reaction, which induces demyelination, axonal degeneration, and the apoptosis and necrosis of neurons. Traditional medical treatments are mainly focused on the recovery of motor function and prevention of complications. To date, numerous studies have been conducted to explore the cellular and molecular mechanism of SCI and have proposed lots of effective treatments, but the clinical applications are still limited due to the complex pathogenesis and poor prognosis after SCI. Endocrine hormones are kinds of molecules that are synthesized by specialized endocrine organs and can participate in the regulation of multiple physiological activities, and their protective effects on several disorders have been widely discussed. In addition, many studies have identified that endocrine hormones can promote nerve regeneration and functional recovery in individuals with central nervous system diseases. Therefore, studies investigating the clinical applications of endocrine hormones as treatments for SCI are necessary. In this review, we described the neuroprotective roles of several endocrine hormones in SCI; endocrine hormone administration reduces cell death and promotes functional repair after SCI. We also proposed novel therapies for SCI.","testosterone"
"2",1,"Bruna Barboza Seron, Emanuel Messias Oliveira de Carvalho, Everaldo Lambert Modesto, Eloise Werle de Almeida, Solange Marta Franzoi de Moraes, Marcia Greguol","Does the type of disability influence salivary cortisol concentrations of athletes in official wheelchair basketball games?",2019,"International Journal Of Sports Science & Coaching","Sage Publications Ltd",NA,NA,35,"2021-01-14 20:10:50","Article","10.1177/1747954119850301","1747-9541",NA,14,4,507,513,1,0.5,0,6,2,"The objective of this work is to describe and compare the behavior of cortisol in official wheelchair basketball matches according to the type of disability. This is a cross-sectional study in which 34 elite wheelchair basketball athletes were divided into three groups, based on disability (spinal cord injury, poliomyelitis, and amputation). Cortisol concentration (baseline, pre-, and post-game) and heart rate were analyzed in five official games. Heart rate data were stratified according to the Edwards method. Significant differences were observed in pre- and post-cortisol concentrations only for the amputated group. No significant correlations were found between cortisol variation and intensity ranges. Athletes with neurological damage were not responsive to wheelchair basketball in relation to salivary cortisol concentrations. The game intensity cannot be verified by the biomarker cortisol for all types of disabilities. It is necessary to pay attention to the energy availability for athletes with neurological injuries during the game and post-game recovery.","testosterone"
"3",1,"Joshua F. Yarrow, Hui Jean Kok, Ean G. Phillips, Christine F. Conover, Jimmy Lee, Taylor E. Bassett, Kinley H. Buckley, Michael C. Reynolds, Russell D. Wnek, Dana M. Otzel, Cong Chen, Jessica M. Jiron, Zachary A. Graham, Christopher Cardozo, Krista Vandenborne, Prodip K. Bose, Jose Ignacio Aguirre, Stephen E. Borst, Fan Ye","Locomotor training with adjuvant testosterone preserves cancellous bone and promotes muscle plasticity in male rats after severe spinal cord injury",2020,"Journal Of Neuroscience Research","Wiley",NA,NA,36,"2021-01-14 20:10:50","Article","10.1002/jnr.24564","0360-4012",NA,98,5,843,868,1,1,0,19,1,"Loading and testosterone may influence musculoskeletal recovery after spinal cord injury (SCI). Our objectives were to determine (a) the acute effects of bodyweight-supported treadmill training (TM) on hindlimb cancellous bone microstructure and muscle mass in adult rats after severe contusion SCI and (b) whether longer-term TM with adjuvant testosterone enanthate (TE) delivers musculoskeletal benefit. In Study 1, TM (40 min/day, 5 days/week, beginning 1 week postsurgery) did not prevent SCI-induced hindlimb cancellous bone loss after 3 weeks. In Study 2, TM did not attenuate SCI-induced plantar flexor muscles atrophy nor improve locomotor recovery after 4 weeks. In our main study, SCI produced extensive distal femur and proximal tibia cancellous bone deficits, a deleterious slow-to-fast fiber-type transition in soleus, lower muscle fiber cross-sectional area (fCSA), impaired muscle force production, and levator ani/bulbocavernosus (LABC) muscle atrophy after 8 weeks. TE alone (7.0 mg/week) suppressed bone resorption, attenuated cancellous bone loss, constrained the soleus fiber-type transition, and prevented LABC atrophy. In comparison, TE+TM concomitantly suppressed bone resorption and stimulated bone formation after SCI, produced near-complete cancellous bone preservation, prevented the soleus fiber-type transition, attenuated soleus fCSA atrophy, maintained soleus force production, and increased LABC mass. 75% of SCI+TE+TM animals recovered voluntary over-ground hindlimb stepping, while no SCI and only 20% of SCI+TE animals regained stepping ability. Positive associations between testosterone and locomotor function suggest that TE influenced locomotor recovery. In conclusion, short-term TM alone did not improve bone, muscle, or locomotor recovery in adult rats after severe SCI, while longer-term TE+TM provided more comprehensive musculoskeletal benefit than TE alone.","testosterone"
"4",2,"Molly Williams, Inger Rosner, Yongmei Chen, Jennifer Cullen, James Jezior, Robert Dean","Testosterone Recovery after Polytrauma and Scrotal Injury in Patients from Operation Enduring Freedom and Operation Iraqi Freedom",2015,"Journal Of Urology","Elsevier Science Inc",NA,NA,33,"2021-01-14 20:10:50","Article","10.1016/j.juro.2014.08.105","0022-5347",NA,193,2,618,622,2,0.33,0,6,6,"Purpose: We examined the long-term natural history of testosterone recovery in patients with complex battle injuries.","testosterone"
"5",2,"Andrew N. Stewart, Steven M. MacLean, Arnold J. Stromberg, Jessica P. Whelan, William M. Bailey, John C. Gensel, Melinda E. Wilson","Considerations for Studying Sex as a Biological Variable in Spinal Cord Injury",2020,"Frontiers In Neurology","Frontiers Media Sa",NA,NA,34,"2021-01-14 20:10:50","Article","10.3389/fneur.2020.00802","1664-2295",NA,11,NA,NA,NA,2,2,0,7,1,"In response to NIH initiatives to investigate sex as a biological variable in preclinical animal studies, researchers have increased their focus on male and female differences in neurotrauma. Inclusion of both sexes when modeling neurotrauma is leading to the identification of novel areas for therapeutic and scientific exploitation. Here, we review the organizational and activational effects of sex hormones on recovery from injury and how these changes impact the long-term health of spinal cord injury (SCI) patients. When determining how sex affects SCI it remains imperative to expand outcomes beyond locomotor recovery and consider other complications plaguing the quality of life of patients with SCI. Interestingly, the SCI field predominately utilizes female rodents for basic science research which contrasts most other male-biased research fields. We discuss the unique caveats this creates to the translatability of preclinical research in the SCI field. We also review current clinical and preclinical data examining sex as biological variable in SCI. Further, we report how technical considerations such as housing, size, care management, and age, confound the interpretation of sex-specific effects in animal studies of SCI. We have uncovered novel findings regarding how age differentially affects mortality and injury-induced anemia in males and females after SCI, and further identified estrus cycle dysfunction in mice after injury. Emerging concepts underlying sexually dimorphic responses to therapy are also discussed. Through a combination of literature review and primary research observations we present a practical guide for considering and incorporating sex as biological variable in preclinical neurotrauma studies.","testosterone"
"6",3,"Razieh Samandari, Majid Hassanpour-Ezatti, Sajad Fakhri, Fatemeh Abbaszadeh, Masoumeh Jorjani","Sex Differences and Role of Gonadal Hormones on Glutamate Level After Spinal Cord Injury in Rats: A Microdialysis Study",2019,"Basic And Clinical Neuroscience","Iran Univ Medical Sciences",NA,NA,31,"2021-01-14 20:10:50","Article","10.32598/bcn.9.10.260","2008-126X",NA,10,3,225,234,3,1.5,1,5,2,"Introduction: Sex differences in outcomes of Spinal Cord Injury (SCI) suggest a sex-hormone-mediated effect on post-SCI pathological events, including glutamate excitotoxicity. This study aimed to investigate the importance of gonadal hormones on glutamate release subsequent to SCI in rats.","testosterone"
"7",3,"A. Sanchez-Ramos, E. Vargas-Baquero, F. J. Martin-de Francisco, J. A. Godino-Duran, I. Rodriguez-Carrion, M. Ortega-Ortega, L. Mordillo-Mateos, F. Coperchini, M. Rotondi, A. Oliviero, M. Mas","Early spermatogenesis changes in traumatic complete spinal cord-injured adult patients",2017,"Spinal Cord","Nature Publishing Group",NA,NA,32,"2021-01-14 20:10:50","Article","10.1038/sc.2016.184","1362-4393",NA,55,6,570,574,3,0.75,0,11,4,"Study design: Prospective longitudinal study.","testosterone"
"8",4,"Chandler L. Walker, Colin M. E. Fry, Junmei Wang, Xiaolong Du, Kirstin Zuzzio, Nai-Kui Liu, Melissa J. Walker, Xiao-Ming Xu","Functional and Histological Gender Comparison of Age-Matched Rats after Moderate Thoracic Contusive Spinal Cord Injury",2019,"Journal Of Neurotrauma","Mary Ann Liebert, Inc",NA,NA,26,"2021-01-14 20:10:50","Article","10.1089/neu.2018.6233","0897-7151",NA,36,12,1974,1984,4,2,1,8,2,"Spinal cord injury (SCI) afflicts hundreds of thousands of Americans, and most SCI (similar to 80%) occurs in males. In experimental animal models, however, many studies used females. Funding agencies like the National Institutes of Health recommend that new proposed studies should include both genders due to variations in gender response to injuries, diseases, and treatments. However, cost and considerations for some animal models, such as SCI, affect investigators in adapting to this recommendation. Research has increased comparing gender effects in various disease and injury models, including SCI. However, most studies use weight-matched animals, which poses issues in comparing results and outcomes. The present study compared histologic and functional outcomes between age-matched male and female Sprague-Dawley rats in a moderate thoracic contusion SCI model. Cresyl violet and eosin staining showed no significant differences in lesion volume between genders after 9 weeks post-SCI (p > 0.05). Luxol fast blue-stained spared myelin was similar between genders, although slightly greater (similar to 6%) in spared myelin, compared with cord volume (p = 0.044). Glial reactivity and macrophage labeling in the lesion area was comparable between genders, as well. Basso, Beattie, Bresnahan (BBB) functional scores were not significantly different between genders, and Hargreaves thermal hyperalgesia and Gridwalk sensorimotor analyses also were similar between genders, compared with uninjured gender controls. Analysis of covariance showed weight did not influence functional recovery as assessed through BBB (p = 0.65) or Gridwalk assessment (p = 0.63) in this study. In conclusion, our findings suggest age-matched male and female rats recover similarly in a common clinically relevant SCI model.","testosterone"
"9",4,"Mahboubeh Mousavi, Azim Hedayatpour, Keywan Mortezaee, Yousef Mohamadi, Farid Abolhassani, Gholamreza Hassanzadeh","Schwann cell transplantation exerts neuroprotective roles in rat model of spinal cord injury by combating inflammasome activation and improving motor recovery and remyelination",2019,"Metabolic Brain Disease","Springer/Plenum Publishers",NA,NA,27,"2021-01-14 20:10:50","Article","10.1007/s11011-019-00433-0","0885-7490",NA,34,4,1117,1130,4,2,1,6,2,"Inflammasome activation in the traumatic central nervous system (CNS) injuries is responsible for propagation of an inflammatory circuit and neuronal cell death resulting in sensory/motor deficiencies. NLRP1 and NLRP3 are known as activators of inflammasome complex in the spinal cord injury (SCI). In this study, cell therapy using Schwann cells (SCs) was applied for targeting NLRP inflammasome complexes outcomes in the motor recovery. These cells were chosen due to their regenerative roles for CNS injuries. SCs were isolated from sciatic nerves and transplanted to the contusive SCI-induced Wistar rats. NLRP1 and NLRP3 inflammasome complexes and their related pro-inflammatory cytokines were assayed in both mRNA and protein levels. Neuronal cell survival (Nissl staining), motor recovery and myelination (Luxol fast blue/LFB) were also evaluated. The groups were laminectomy, SCI, vehicle and treatment. The treatment group received Schwann cells, and the vehicle group received solvent for the cells. SCI caused increased expressions for both NLRP1 and NLRP3 inflammasome complexes along with their related pro-inflammatory cytokines, all of which were abrogated after administration of SCs (except for IL-18 protein showing no change to the cell therapy). Motor deficits in the hind limb, neuronal cell death and demyelination were also found in the SCI group, which were counteracted in the treatment group. From our findings we conclude promising role for cell therapy with SCs for targeting axonal demyelination and degeneration possibly through attenuation of the activity for inflammasome complexes and related inflammatory circuit.","testosterone"
"10",4,"Jiayu Xiao, Jiqiang Zhang, Yangang Zhao, Wenjie Huang, Zhikai Guo, Bingyin Su, Qiang Guo","Sex differences of steroid receptor coactivator-1 expression after spinal cord injury in mice",2017,"Neurological Research","Taylor & Francis Ltd",NA,NA,28,"2021-01-14 20:10:50","Article","10.1080/01616412.2017.1367077","0161-6412",NA,39,11,1022,1027,4,1,1,7,4,"Objective: The neural functional recovery of female is often better than that of male after spinal cord injury (SCI). Evidences show that estrogen can attenuate inflammation and promote the neural survival and regeneration after SCI. SRC-1 is an essential initiation factor for the estrogen-regulated target gene transcription and plays a key role in regulating estrogen activity. However, it is not known whether and how SRC-1 mediates the neural regeneration promoted by estrogen after SCI. Study of the sex differences and changes of SRC-1 expression after SCI will be helpful to understand the above questions.","testosterone"
