"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Leman Sencar, Dervis Mansuri Yilmaz, Abdullah Tuli, Sait Polat","Effects of combined treatment of minocycline and methylprednisolone on the expression of tumor necrosis factor alpha and interleukine-6 in experimental spinal cord injury: a light and electron microscopic study",2020,"Ultrastructural Pathology","Taylor & Francis Inc",NA,NA,22,"2021-01-14 20:02:37","Article","10.1080/01913123.2020.1771493","0191-3123",NA,44,3,283,299,0,0,0,4,1,"Spinal cord injury (SCI) is an important health problem, and there is no universal treatment protocol for it today. Following SCI pro-inflammatory mediators such as tumor necrosis factor- alpha (TNF-alpha) and interleukin-6 (IL-6) increase at the lesion site and play important roles in secondary tissue damage. Methylprednisolone (MP) is a glucocorticoid, and minocycline is a tetracycline-derived antibiotic both with neuroprotective effects on central nervous system trauma. However, there are limited studies on their effects on SCI. In this study, we aimed to evaluate effects of MP+minocycline combined treatment on cellular distribution and localization of TNF-alpha And IL-6 after SCI. Eighty Wistar rats were divided into three main groups as the intact control group, sham operation group, and experimental control group that received spinal cord compression injury. Following the injury, the experimental control group was subdivided into four groups as control, methylprednisolone treatment, minocycline treatment and, MP+minocycline combined treatment groups. Tissue samples were obtained from all groups at 24 hours and 72 hours after the injury. We found a significant decrease in TNF-alpha And IL-6 expressions in combined treatment group at 24 hours after injury. Also, there was a significant decrease in MDA and increase in SOD levels in this group. Furthermore, decreased lipid peroxidation and neuronal and glial cell death were also observed in combined treatment group. These results suggest that MP+minocycline combined treatment promotes functional recovery and, it should be considered as an effective treatment protocol following SCI.","tetracycline"
"2",4,"Liangliang Huang, Bing Xia, Xiaowei Shi, Jianbo Gao, Yujie Yang, Feng Xu, Fengyu Qi, Chao Liang, Jinghui Huang, Zhuojing Luo","Time-restricted release of multiple neurotrophic factors promotes axonal regeneration and functional recovery after peripheral nerve injury",2019,"Faseb Journal","Wiley",NA,NA,21,"2021-01-14 20:02:37","Article","10.1096/fj.201802065RR","0892-6638",NA,33,7,8600,8613,4,2,0,10,2,"Delivery of multiple neurotrophic factors (NTFs), especially with time-restricted release kinetics, holds great potential for nerve repair. In this study, we utilized the tetracycline-regulatable Tet-On 3G system to control the expression of c-Jun, which is a common regulator of multiple NTFs in Schwann cells (SCs). In vitro, Tet-On/c-Jun-modified SCs showed a tightly controllable secretion of multiple NTFs, including glial cell line-derived NTF, nerve growth factor, brain-derived NTF, and artemin, by the addition or removal of doxycycline (Dox). When Tet-On/c-Jun-transduced SCs were grafted in vivo, the expression of NTFs could also be regulated by oral administration or removal of Dox. Fluoro-Gold retrograde tracing results indicated that a biphasic NTF expression scheme (Dox+3/-9, NTFs were up-regulated for 3 wk and declined to physiologic levels for another 9 wk) achieved more axonal regeneration than continuous up-regulation of NTFs (Dox+12) or no NTF induction (Dox-12). More importantly, the Dox+3/-9-group animals showed much better functional recovery than the animals in the Dox+12 and Dox-12 groups. Our findings, for the first time, demonstrated drug-controllable expression of multiple NTFs in nerve repair cells both in vitro and in vivo. These findings provide new hope for developing an optimal therapeutic alternative for nerve repair through the time-restricted release of multiple NTFs using Tet-On/c-Jun-modified SCs.-Huang, L., Xia, B., Shi, X., Gao, J., Yang, Y., Xu, F., Qi, F., Liang, C., Huang, J., Luo, Z. Time-restricted release of multiple neurotrophic factors promotes axonal regeneration and functional recovery after peripheral nerve injury.","tetracycline"
"3",7,"Mohamad Samir Samour, Saad Saulat Nagi, Peter John Shortland, David Anthony Mahns","Minocycline Prevents Muscular Pain Hypersensitivity and Cutaneous Allodynia Produced by Repeated Intramuscular Injections of Hypertonic Saline in Healthy Human Participants",2017,"Journal Of Pain","Churchill Livingstone",NA,NA,20,"2021-01-14 20:02:37","Article","10.1016/j.jpain.2017.03.009","1526-5900",NA,18,8,994,1005,7,1.75,2,4,4,"Minocycline, a glial suppressor, prevents behavioral hypersensitivities in animal models of peripheral nerve injury. However, clinical trials of minocycline in human studies have produced mixed results. This study addressed 2 questions: can repeated injections of hypertonic saline (HS) in humans induce persistent hypersensitivity? Can pretreatment with minocycline, a tetracycline antibiotic with microglial inhibitory effects, prevent the onset of hypersensitivity? Twenty-seven healthy participants took part in this double-blind, placebo-controlled study, consisting of 6 test sessions across 2 weeks. At the beginning of every session, pressure-pain thresholds of the anterior muscle compartment of both legs were measured to determine the region distribution and intensity of muscle soreness. To measure changes in thermal sensitivity in the skin overlying the anterior muscle compartment of both legs, quantitative sensory testing was used to measure the cutaneous thermal thresholds (cold sensation, cold pain, warm sensation, and heat pain) and a mild cooling stimulus was applied to assess the presence of cold allodynia. To induce ongoing hypersensitivity, repeated injections of HS were administered into the right tibialis anterior muscle at 48-hour intervals. In the final 2 sessions (days 9 and 14), only sensory assessments were done to plot the recovery after cessation of HS administrations and drug washout. By day 9, nontreated participants experienced a significant bilateral increase in muscle soreness (P < .0001), accompanied by the emergence of bilateral cold allodynia in 44% of participants, thus confirming the effectiveness of the model. Placebo-treated participants experienced a bilateral 35% alleviation in muscle soreness (P < .0001), with no changes to the prevalence of cold allodynia. In contrast, minocycline-treated participants experienced a bilateral 70% alleviation in muscle soreness (P < .0001), additionally, only 10% of minocycline-treated participants showed cold allodynia. This study showed that repeated injections of HS can induce a hypersensitivity that outlasts the acute response, and the development of this hypersensitivity can be reliably attenuated with minocycline pretreatment. Perspective: Four repeated Injections of HS at 48-hour intervals induce a state of persistent hypersensitivity in healthy human participants. This hypersensitivity was characterized by bilateral muscular hyperalgesia and cutaneous cold allodynia, symptoms commonly reported in many chronic pain conditions. Minocycline pretreatment abolished the development of this state. Crown Copyright (C) 2017 Published by Elsevier Inc. on behalf of the American Pain Society","tetracycline"
"4",12,"N. Askari, M. M. Yaghoobi, M. Shamsara, S. Esmaeili-Mahani","TETRACYCLINE-REGULATED EXPRESSION OF OLIG2 GENE IN HUMAN DENTAL PULP STEM CELLS LEAD TO MOUSE SCIATIC NERVE REGENERATION UPON TRANSPLANTATION",2015,"Neuroscience","Pergamon-Elsevier Science Ltd",NA,NA,19,"2021-01-14 20:02:37","Article","10.1016/j.neuroscience.2015.07.088","0306-4522",NA,305,NA,197,208,12,2,3,4,6,"Numerous studies have indicated dental pulp stem cells (DPSCs) potency to differentiate into several types of cell lineages. Oligodendrocyte lineage transcription factor 2 (OLIG2) plays an important role in the oligodendrogenic pathway. In this study, a tetracycline (Tet)-inducible system expressing OLIG2 gene was transfected into human DPSCs to direct their differentiation toward oligodendrocyte progenitor cells (OPCs). Following induction, the expression of stage-specific markers was studied by Reverse Transcription quantitative Polymerase Chain Reaction (RT-qPCR), immunocytochemistry and western blotting. In the following, the cells were transplanted into the mouse model of local sciatic demyelination damage by lysolecithin. Recovery of lysolecithin-induced lesions in sciatic nerve was studied by treadmill exercise, von Frey filament test and hind paw withdrawal in response to a thermal stimulus. Improvement of behavioral symptoms was efficiently observed from the second week to the sixth week post-transplantation. Our findings showed that exogenous expression of the OLIG2 gene by a Tet-regulated system could be used as an efficient way to induce the differentiation of DPSCs into functional oligodendrocytes. Meanwhile, the DPSC-derived OPCs have relevant therapeutic potential in the animal model of sciatic nerve injury and therefore might represent a valuable tool for stem cell-based therapy in inflammatory and degenerative diseases of the peripheral and central nervous systems (CNSs). (C) 2015 IBRO. Published by Elsevier Ltd. All rights reserved.","tetracycline"
"5",25,"Josephine Pinkernelle, Hisham Fansa, Uwe Ebmeyer, Gerburg Keilhoff","Prolonged Minocycline Treatment Impairs Motor Neuronal Survival and Glial Function in Organotypic Rat Spinal Cord Cultures",2013,"Plos One","Public Library Science",NA,NA,17,"2021-01-14 20:02:37","Article","10.1371/journal.pone.0073422","1932-6203",NA,8,8,NA,NA,25,3.13,6,4,8,"Background: Minocycline, a second-generation tetracycline antibiotic, exhibits anti-inflammatory and neuroprotective effects in various experimental models of neurological diseases, such as stroke, Alzheimer's disease, amyotrophic lateral sclerosis and spinal cord injury. However, conflicting results have prompted a debate regarding the beneficial effects of minocycline.","tetracycline"
"6",26,"Kamila Saganova, Judita Orendacova, Dasa Cizkova, Ivo Vanicky","Limited minocycline neuroprotection after balloon-compression spinal cord injury in the rat",2008,"Neuroscience Letters","Elsevier Ireland Ltd",NA,NA,18,"2021-01-14 20:02:37","Article","10.1016/j.neulet.2008.01.041","0304-3940",NA,433,3,246,249,26,2,7,4,13,"Minocycline (MC), a second-generation tetracycline and anti- inflammatory agent reportedly provides neuroprotection following CNS injury. The objective of this study was to examine the neuroprotective effects of short and long-term MC treatment using balloon -compres si on spinal cord injury (SCI) in the rat. Rats subjected to SCI were treated with MC for 1 day (IDMC group; total dose 180 mg/kg) or 5 days (5DMC group; total dose 450 mg/kg) or placebo. The effects of MC treatment on locomotor recovery (BBB scale) and spinal cord white and gray matter sparing were evaluated for up to 28 days. Morphometric analysis showed that while MC treatment spared spinal cord white and gray matter rostral to the lesion epicenter in both, 1DMC and 5DMC groups, sparing of white and gray matter areas was not observed caudal to the traumatic lesion. In addition, MC treatment had no effect on final locomotor recovery. Limited improvement of spinal cord post-compression consequences raises questions about the neuroprotection efficiency of MC treatment following compression SO in the rat. (C) 2008 Elsevier Ireland Ltd. All rights reserved.","tetracycline"
"7",34,"Dong Charn Cho, Jin Hwan Cheong, Moon Sul Yang, Se Jin Hwang, Jae Min Kim, Choong Hyun Kim","The Effect of Minocycline on Motor Neuron Recovery and Neuropathic Pain in a Rat Model of Spinal Cord Injury",2011,"Journal Of Korean Neurosurgical Society","Korean Neurosurgical Soc",NA,NA,14,"2021-01-14 20:02:37","Article","10.3340/jkns.2011.49.2.83","2005-3711",NA,49,2,83,91,34,3.4,6,6,10,"Objective : Minocycline, a second-generation tetracycline-class antibiotic, has been well established to exert a neuroprotective effect in animal models and neurodegenerative disease through the inhibition of microglia. Here, we investigated the effects of minocycline on motor recovery and neuropathic pain in a rat model of spinal cord injury.","tetracycline"
"8",34,"Jae H. T. Lee, Seth Tigchelaar, Jie Liu, Anthea M. T. Stammers, Femke Streijger, Wolfram Tetzlaff, Brian K. Kwon","Lack of neuroprotective effects of simvastatin and minocycline in a model of cervical spinal cord injury",2010,"Experimental Neurology","Academic Press Inc Elsevier Science",NA,NA,16,"2021-01-14 20:02:37","Article","10.1016/j.expneurol.2010.06.018","0014-4886",NA,225,1,219,230,34,3.09,5,7,11,"Minocycline, a commonly prescribed tetracycline antibiotic, has shown promise as a potential therapeutic agent in animal models of numerous neurologic disorders such as amyotrophic lateral sclerosis, multiple sclerosis, Parkinson's disease, Huntington's disease, stroke, and spinal cord injury (SCI). Simvastatin is one of many hydroxymethylglutaryl-coenzyme-A reductase inhibitors prescribed to lower cholesterol. These drugs are also known to reduce inflammation and oxidative stress, improve endothelial function, and modulate the immune system in stroke, traumatic brain injury, and SCI. As both drugs have translational potential, we evaluated their neuroprotective properties here in a clinically relevant model of contusive cervical spinal cord injury.","tetracycline"
"9",35,"A Lakatos, RJM Franklin","Transplant mediated repair of the central nervous system: an imminent solution?",2002,"Current Opinion In Neurology","Lippincott Williams & Wilkins",NA,NA,15,"2021-01-14 20:02:37","Article","10.1097/00019052-200212000-00007","1350-7540",NA,15,6,701,705,35,1.84,18,2,19,"Purpose of review","tetracycline"
"10",38,"Robert B. Shultz, Yinghui Zhong","Minocycline targets multiple secondary injury mechanisms in traumatic spinal cord injury",2017,"Neural Regeneration Research","Wolters Kluwer Medknow Publications",NA,NA,12,"2021-01-14 20:02:37","Review","10.4103/1673-5374.206633","1673-5374",NA,12,5,702,NA,38,9.5,19,2,4,"Minocycline hydrochloride (MH), a semi-synthetic tetracycline derivative, is a clinically available antibiotic and anti-inflammatory drug that also exhibits potent neuroprotective activities. It has been shown to target multiple secondary injury mechanisms in spinal cord injury, via its anti-inflammatory, anti-oxidant, and anti-apoptotic properties. The secondary injury mechanisms that MH can potentially target include inflammation, free radicals and oxidative stress, glutamate excitotoxicity, calcium influx, mitochondrial dysfunction, ischemia, hemorrhage, and edema. This review discusses the potential mechanisms of the multifaceted actions of MH. Its anti-inflammatory and neuroprotective effects are partially achieved through conserved mechanisms such as modulation of p38 mitogen-activated protein kinase (MAPK) and phosphoinositide 3-kinase (PI3K)/Akt signaling pathways as well as inhibition of matrix metalloproteinases (MMPs). Additionally, MH can directly inhibit calcium influx through the N-methyl-D-aspartate (NMDA) receptors, mitochondrial calcium uptake, poly(ADP-ribose) polymerase-1 (PARP-1) enzymatic activity, and iron toxicity. It can also directly scavenge free radicals. Because it can target many secondary injury mechanisms, MH treatment holds great promise for reducing tissue damage and promoting functional recovery following spinal cord injury.","tetracycline"
