"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Fangchao Liu, Yanhua Zhang, Janelle Schafer, Guangzhao Mao, Harry G. Goshgarian","Diaphragmatic recovery in rats with cervical spinal cord injury induced by a theophylline nanoconjugate: Challenges for clinical use",2019,"Journal Of Spinal Cord Medicine","Taylor & Francis Ltd",NA,NA,38,"2021-01-14 20:02:03","Article","10.1080/10790268.2019.1577058","1079-0268",NA,42,6,725,734,0,0,0,5,2,"Context: Following a spinal cord hemisection at the second cervical segment the ipsilateral hemidiaphragm is paralyzed due to the disruption of the rostral ventral respiratory group (rVRG) axons descending to the ipsilateral phrenic motoneurons (PN). Systemically administered theophylline activates a functionally latent crossed phrenic pathway (CPP) which decussates caudal to the hemisection and activates phrenic motoneurons ipsilateral to the hemisection. The result is return of function to the paralyzed hemidiaphragm. Unfortunately, in humans, systemically administered theophylline at a therapeutic dose produces many unwanted side effects.","theophylline"
"2",1,"MS Kelley","The Spinal Cord Research Foundation: Two decades of progress",2001,"Neuroscientist","Sage Publications Inc",NA,NA,36,"2021-01-14 20:02:03","Article","10.1177/107385840100700205","1073-8584",NA,7,2,104,112,1,0.05,1,1,20,"Over the course of the past 24 years, the Paralyzed Veterans of America's Spinal Cord Research Foundation (SCRF) has provided support for more than 400 research grants in a wide range of areas, from improved wheelchair design to axon pathfinding in Drosophila. The Founders of SCRF, as well as its current trustees, believe that it is imperative to target a broad range of research areas to maximize the quality of life for people, both veterans and nonveterans, with paralysis. This approach has involved the support of basic science and clinical research directed towards repair of the spinal cord, as well as research into improved treatments for complications of spinal cord dysfunction and other projects, including engineering grants and conferences, that may enhance the quality of life for people with paralysis within the immediate future.","theophylline"
"3",1,"Abdulghani Sankari, Zeljka Minic, Pershang Farshi, Medea Shanidze, Wafaa Mansour, Fangchao Liu, Guangzhao Mao, Harry G. Goshgarian","Sleep disordered breathing induced by cervical spinal cord injury and effect of adenosine A1 receptors modulation in rats",2019,"Journal Of Applied Physiology","Amer Physiological Soc",NA,NA,37,"2021-01-14 20:02:03","Article","10.1152/japplphysiol.00563.2019","8750-7587",NA,127,6,1668,1676,1,0.5,0,8,2,"Sleep-disordered breathing (SDB) is very common after spinal cord injury (SCI). The present study was designed to evaluate the therapeutic efficacy of adenosine A1 receptor blockade (8-cyclopentyl-1,3-dipropylxanthine, DPCPX) on SDB in a rodent model of SCI. We hypothesized that SCI induced via left hemisection of the second cervical segment (C2Hx) results in SDB. We further hypothesized that blockade of adenosine A1 receptors following C2Hx would reduce the severity of SDB. In the first experiment, adult male rats underwent left C2Hx or sham (laminectomy) surgery. Unrestrained whole body plethysmography (WBP) and implanted wireless electroencephalogram (EEG) were used for assessment of breathing during spontaneous sleep and for the scoring of respiratory events at the acute (similar to 1 wk), and chronic (similar to 6 wk) time points following C2Hx. During the second experiment, the effect of oral administration of adenosine A1 receptor antagonist (DPCPX, 3 times a day for 4 days) on SCI induced SDB was assessed. C2Hx animals exhibited a higher apnea-hypopnea index (AHI) compared with the sham group, respectively (35.5 +/- 12.6 vs. 19.1 +/- 2.1 events/h, P < 0.001). AHI was elevated 6 wk following C2Hx (week 6, 32.0 +/- 5.0 vs. week 1, 42.6 +/- 11.8 events/h, respectively, P = 0.12). In contrast to placebo, oral administration of DPCPX significantly decreased AHI 4 days after the treatment (159.8 +/- 26.7 vs. 69.5 +/- 8.9%, P < 0.05). Cervical SCI is associated with the development of SDB in spontaneously breathing rats. Adenosine A1 blockade can serve as a therapeutic target for SDB induced by SCI.","theophylline"
"4",2,"F. J. Golder","Spinal NMDA receptor activation is necessary for de novo, but not the maintenance of, A2a receptor-mediated phrenic motor facilitation",2009,"Journal Of Applied Physiology","Amer Physiological Soc",NA,NA,35,"2021-01-14 20:02:03","Article","10.1152/japplphysiol.00183.2009","8750-7587",NA,107,1,217,223,2,0.17,2,1,12,"Golder FJ. Spinal NMDA receptor activation is necessary for de novo, but not the maintenance of, A2a receptor-mediated phrenic motor facilitation. J Appl Physiol 107: 217-223, 2009. First published April 30, 2009; doi:10.1152/japplphysiol.00183.2009.-Adenosine 2a (A2a) receptor agonists elicit persistent increases in phrenic nerve activity by transactivating the neurotrophin receptor, TrkB, near phrenic motoneurons. Our working model proposes that A2a receptor-mediated TrkB receptor activation strengthens glutamatergic synapses onto phrenic motoneurons. Activation of glutamate N-methyl D-aspartate (NMDA) receptors has been implicated in other models of phrenic motor plasticity. Thus we hypothesized that NMDA receptor activation also would contribute to A2a receptor-mediated phrenic motor facilitation. Adult male Sprague-Dawley rats were anesthetized with urethane, mechanically ventilated, neuromuscularly paralyzed, and bilaterally vagotomized. The A2a receptor agonist CGS-21680 and the NMDA receptor-channel blocker MK-801 were administered intrathecally over the C4 spinal segment. Phrenic nerve activity was recorded before, during, and after drug administration. MK-801 (concentration range 0.1, 1.0, 10.0, and 100 mu M) was administered 30 min before CGS-21680 (50 mu M). MK-801 dose-dependently blocked A2a receptor-mediated phrenic motor facilitation. When administered at 60 min post-CGS-21680, MK-801 prevented further increases in phrenic nerve activity compared with the CGS-21680 alone (CGS-21680 alone at 120 min: 114 +/- 19%; CGS-21680 and MK-801 at 60 min post-CGS-21680: 61 +/- 11%, above baseline, P < 0.05) but did not return phrenic motor output to baseline values. Our data suggest that NMDA receptor activation is necessary for de novo A2a receptor-mediated phrenic motor facilitation and that the maintenance of preexisting phrenic motor facilitation does not involve NMDA receptor-dependent mechanisms.","theophylline"
"5",4,"Jr. Hoy, Kevin C., Warren J. Alilain","Acute theophylline exposure modulates breathing activity through a cervical contusion",2015,"Experimental Neurology","Academic Press Inc Elsevier Science",NA,NA,32,"2021-01-14 20:02:03","Article","10.1016/j.expneurol.2015.04.024","0014-4886",NA,271,NA,72,76,4,0.67,2,2,6,"Cervical spinal contusion injuries are the most common form of spinal cord injury (>50%) observed in humans. These injuries can result in the impaired ability to breathe. In this study we examine the role of theophylline in the rescue of breathing behavior after a cervical spinal contusion. Previous research in the C2 hemisection model has shown that acute administration of theophylline can rescue phrenic nerve activity and diaphragmatic EMG on the side ipsilateral to injury. However, this effect is dependent on intact and uninjured pathways. In this study we utilized a cervical contusion injury model that more closely mimics the human condition. This injury model can determine the effectiveness of therapeutic interventions, in this case theophylline, on the isolated contused pathways of the spinal cord. Three weeks after a 150 kD C3/4 unilateral contusion subjects received a 15 mg/kg dose of theophylline prior to a contralateral C2 hemisection. Subjects that received theophylline were able to effectively utilize damaged pathways to breathe for up to 2 min, while subjects treated with saline were unable to support ventilation. Through these experiments, we demonstrate that theophylline can make injured pathways that mediate breathing more effective and therefore, suggest a potential therapeutic role in the critical time points immediately after injury. (C) 2015 Elsevier Inc. All rights reserved.","theophylline"
"6",4,"M. Beth Zimmer, Joshua S. Grant, Angelo E. Ayar, Harry G. Goshgarian","Ipsilateral inspiratory intercostal muscle activity after C2 spinal cord hemisection in rats",2015,"Journal Of Spinal Cord Medicine","Taylor & Francis Ltd",NA,NA,33,"2021-01-14 20:02:03","Article","10.1179/2045772314Y.0000000220","1079-0268",NA,38,2,224,230,4,0.67,1,4,6,"Background: Upper cervical spinal cord hemisection causes paralysis of the ipsilateral hemidiaphragm; however, the effect of C2 hemisection on the function of the intercostal muscles is not clear. We hypothesized that C2 hemisection would eliminate inspiratory intercostal activity ipsilateral to the injury and that some activity would return in a time-dependent manner.","theophylline"
"7",4,"Theodor Petrov, Christian Kreipke, Warren Alilain, Kwaku D. Nantwi","Differential expression of adenosine A(1) and A(2A) receptors after upper cervical (C2) spinal cord hemisection in adult rats",2007,"Journal Of Spinal Cord Medicine","Taylor & Francis Ltd",NA,NA,34,"2021-01-14 20:02:03","Article","10.1080/10790268.2007.11753948","1079-0268",NA,30,4,331,337,4,0.29,1,4,14,"Background: In an animal model of spinal cord injury, a latent respiratory motor pathway can be pharmacologically activated via adenosine receptors to restore respiratory function after cervical (C2) spinal cord hemisection that paralyzes the hemidiaphragm ipsilateral to injury. Although spinal phrenic motoneurons immunopositive for adenosine receptors have been demonstrated (C3-C5), it is unclear if adenosine receptor protein levels are altered after C2 hemisection and theophylline administration.","theophylline"
"8",6,"SY Zhou, F Castro-Moure, HG Goshgarian","Activation of a latent respiratory motor pathway by stimulation of neurons in the medullary chemoreceptor area of the rat",2001,"Experimental Neurology","Academic Press Inc",NA,NA,30,"2021-01-14 20:02:03","Article","10.1006/exnr.2001.7740","0014-4886",NA,171,1,176,184,6,0.3,2,3,20,"Previous studies have demonstrated that during respiratory stress (hypercapnia and hypoxia), a latent crossed respiratory, pathway can be activated to produce hemidiaphragm recovery following an ipsilateral C2 spinal cord hemisection. The present study investigates the effects of ventral medullary chemoreceptor area stimulation by microinjection of (1S,3R)-aminocyclopentanedicarboxylic acid (ACPD), a glutamate metabotropic receptor agonist, on activating the latent pathway following left C2 spinal cord hemisection in rats in which end-tidal CO2 was maintained at a constant level. Experiments were conducted on anesthetized, vagotomized, paralyzed, and artificially ventilated rats in which phrenic nerve activity was recorded bilaterally. Before drug injection, the phrenic nerve contralateral to hemisection showed vigorous respiratory-related activity, but the phrenic nerve ipsilateral to hemisection showed no discernible respiratory-related activity. ACPD (1-100 nl, I mM) was injected directly into the region of the retrotrapezoid nucleus (RTN), a known medullary chemoreceptor area. Microinjection of ACPD into the right RTN increased respiratory-related activity in the right phrenic nerve (contralateral to hemisection). ACPD (>5 nl, I mM) microinjection also significantly induced respiratory recovery in the phrenic nerve ipsilateral to hemisection in a dose-dependent manner. The present study indicates that respiratory recovery can be achieved by stimulation of respiratory circuitry without increasing CO2 levels. (C) 2001 Academic Press.","theophylline"
"9",6,"Zeljka Minic, Yanhua Zhang, Guangzhao Mao, Harry G. Goshgarian","Transporter Protein-Coupled DPCPX Nanoconjugates Induce Diaphragmatic Recovery after SCI by Blocking Adenosine A1 Receptors",2016,"Journal Of Neuroscience","Soc Neuroscience",NA,NA,31,"2021-01-14 20:02:03","Article","10.1523/JNEUROSCI.2577-15.2016","0270-6474",NA,36,12,3441,3452,6,1.2,2,4,5,"Respiratory complications in patients with spinal cord injury (SCI) are common and have a negative impact on the quality of patients' lives. Systemic administration of drugs that improve respiratory function often cause deleterious side effects. The present study examines the applicability of a novel nanotechnology-based drug delivery system, which induces recovery of diaphragm function after SCI in the adult rat model. We developed a protein-coupled nanoconjugate to selectively deliver by transsynaptic transport small therapeutic amounts of an A1 adenosine receptor antagonist to the respiratory centers. A single administration of the nanoconjugate restored 75% of the respiratory drive at 0.1% of the systemic therapeutic drug dose. The reduction of the systemic dose may obviate the side effects. The recovery lasted for 4 weeks (the longest period studied). These findings have translational implications for patients with respiratory dysfunction after SCI.","theophylline"
"10",7,"Kwaku D. Nantwi","Recovery of respiratory activity after C2 hemisection (C2HS): Involvement of adenosinergic mechanisms",2009,"Respiratory Physiology & Neurobiology","Elsevier",NA,NA,29,"2021-01-14 20:02:03","Review","10.1016/j.resp.2009.07.014","1569-9048",NA,169,2,102,114,7,0.58,7,1,12,"Consequences of spinal cord injury (SCI) depend on the level and extent of injury. Cervical SCI often results in a compromised respiratory system. Primary treatment of SCI patients with respiratory insufficiency continues to be with mechanical ventilatory support. In an animal model of SCI, an upper cervical spinal cord hemisection paralyzes the hemidiaphragm ipsilateral to the side of injury. However, a latent respiratory motor pathway can be activated to restore respiratory function after injury. In this review, restoration of respiratory activity following systemic administration of theophylline, a respiratory stimulant will be discussed. Pharmacologically, theophylline is a non-specific adenosine receptor antagonist, a phosphodiesterase inhibitor and a bronchodilator. It has been used in the treatment of asthma and other respiratory-related diseases such as chronic obstructive pulmonary disease (COPD) and in treatment of apnea in premature infants.","theophylline"
