"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","generic_drug_name"
"1",0,"Sen Lin, He Tian, Jiaquan Lin, Chang Xu, Yajiang Yuan, Shuang Gao, Changwei Song, Pengfei Lv, Xifan Mei","Zinc promotes autophagy and inhibits apoptosis through AMPK/mTOR signaling pathway after spinal cord injury",2020,"Neuroscience Letters","Elsevier Ireland Ltd",NA,NA,25,"2021-01-12 11:39:15","Article","10.1016/j.neulet.2020.135263","0304-3940",NA,736,NA,NA,NA,0,0,0,9,1,"Autophagy is a intracellular biological process that controls the homeostasis of nutrition deprivation and starvation and has been associated with the development of traumatic diseases. Zinc, an important chemical element involved in life activities, has improved nerve recovery effects through intraperitoneal injection. The purpose of this study was to probe the possible modulation of autophagy and apoptosis from the injured spinal cord and neurons by zinc administration. It was shown that zinc significantly induced the level of Beclinl and LC3B by activating adenosine 5'-monophosphate (AMP)-activated protein kinase (AMPK) signaling pathway. In addition, zinc suppressed apoptosis in the injured spinal cord. Taken together, these findings suggested that zinc through promoting neurons autophagy and inhibiting apoptosis.","zinc"
"2",0,"Jia-quan Lin, He Tian, Xiao-guang Zhao, Sen Lin, Dao-yong Li, Yuan-ye Liu, Chang Xu, Xi-fan Mei","Zinc provides neuroprotection by regulating NLRP3 inflammasome through autophagy and ubiquitination in a spinal contusion injury model",2020,"Cns Neuroscience & Therapeutics","Wiley",NA,NA,26,"2021-01-12 11:39:15","Article","10.1111/cns.13460","1755-5930",NA,NA,NA,NA,NA,0,0,0,8,1,"Aim Spinal cord injury (SCI) is a serious disabling injury worldwide, and the excessive inflammatory response it causes plays an important role in secondary injury. Regulating the inflammatory response can be a potential therapeutic strategy for improving the prognosis of SCI. Zinc has been demonstrated to have a neuroprotective effect in experimental spinal cord injury models. In this study, we aimed to explore the neuroprotective effect of zinc through the suppression of the NLRP3 inflammasome. Method Allen's method was used to establish an SCI model in C57BL/6J mice. The Basso Mouse Scale (BMS), Nissl staining were employed to confirm the protective effect of zinc on neuronal survival and functional recovery in vivo. Western blotting (WB), immunofluorescence (IF), and enzyme-linked immunosorbent assay (ELISA) were used to detect the expression levels of NLRP3 inflammasome and autophagy-related proteins. Transmission electron microscopy (TEM) was used to confirm the occurrence of zinc-induced autophagy. In vitro, lipopolysaccharide (LPS) and ATP polarized BV2 cells to a proinflammatory phenotype. 3-Methyladenine (3-MA) and bafilomycin A1 (BafA1) were chosen to explore the relationship between the NLRP3 inflammasome and autophagy. A coimmunoprecipitation assay was used to detect the ubiquitination of the NLRP3 protein. Results Our data showed that zinc significantly promoted motor function recovery after SCI. In vivo, zinc treatment inhibited the protein expression level of NLRP3 while increasing the level of autophagy. These effects were fully validated by the polarization of BV2 cells to a proinflammatory phenotype. The results showed that when 3-MA and BafA1 were applied, the promotion of autophagy by zinc was blocked and that the inhibitory effect of zinc on NLRP3 was reversed. Furthermore, co-IP confirmed that the promotion of autophagy by zinc also activated the protein expression of ubiquitin and suppressed high levels of NLRP3. Conclusion Zinc provides neuroprotection by regulating NLRP3 inflammasome through autophagy and ubiquitination after SCI.","zinc"
"3",0,"Jingchao Wang, Meiyan Zhang, Yue Guo, Hai Hu, Kinon Chen","Quantification of surviving neurons after contusion, dislocation, and distraction spinal cord injuries using automated methods",2019,"Journal Of Experimental Neuroscience","Sage Publications Ltd",NA,NA,27,"2021-01-12 11:39:15","Article","10.1177/1179069519869617","1179-0695",NA,13,NA,NA,NA,0,0,0,5,2,"This study proposes and validates an automated method for counting neurons in spinal cord injury (SCI) and then uses it to examine and compare the surviving cells in common types of SCI mechanisms. Moderate contusion, dislocation, and distraction SCIs were surgically induced in Sprague Dawley male rats (n = 6 for each type of injury). Their spinal cords were harvested 8 weeks post injury with 5 normal weight-matched rats. The spinal cords were cut, stained with anti-NeuN antibody and fluorescent Nissl, and imaged in the dorsal and ventral horns at various distances to the epicenter. Neurons in the images were automatically counted using an algorithm that was designed to filter non-soma-like objects based on morphological characteristics (size, solidity, circular pattern) and check the remaining objects for the double-stained nucleus/ cell body features (brightness variation, brightness distribution, color). To validate the automated method, some of the images were randomly selected for manual counting. The number of surviving cells that were automatically measured by the algorithm was found to be correlated with the values that were manually measured by 2 observers (P <.001) with similar differences (P >.05). Neurons in the dorsal and ventral horns were reduced after the SCIs (P <.05). Dislocation and distraction, respectively, caused the most severe damage to the ventral horn neurons especially near the epicenter and the most extensive and uniform damage to the dorsal horn neurons (P <.05). Our method was proved to be reliable, which is suitable for studying different types of SCI.","zinc"
"4",0,"C. Moses, I Hodgetts, S., F. Nugent, G. Ben-Ary, K. K. Park, P. Blancafort, A. R. Harvey","Transcriptional repression of PTEN in neural cells using CRISPR/dCas9 epigenetic editing",2020,"Scientific Reports","Nature Publishing Group",NA,NA,28,"2021-01-12 11:39:15","Article","10.1038/s41598-020-68257-y","2045-2322",NA,10,1,NA,NA,0,0,0,7,1,"After damage to the adult mammalian central nervous system (CNS), surviving neurons have limited capacity to regenerate and restore functional connectivity. Conditional genetic deletion of PTEN results in robust CNS axon regrowth, while PTEN repression with short hairpin RNA (shRNA) improves regeneration but to a lesser extent, likely due to suboptimal PTEN mRNA knockdown using this approach. Here we employed the CRISPR/dCas9 system to repress PTEN transcription in neural cells. We targeted the PTEN proximal promoter and 5 ' untranslated region with dCas9 fused to the repressor protein Kruppel-associated box (KRAB). dCas9-KRAB delivered in a lentiviral vector with one CRISPR guide RNA (gRNA) achieved potent and specific PTEN repression in human cell line models and neural cells derived from human iPSCs, and induced histone (H)3 methylation and deacetylation at the PTEN promoter. The dCas9-KRAB system outperformed a combination of four shRNAs targeting the PTEN transcript, a construct previously used in CNS injury models. The CRISPR system also worked more effectively than shRNAs for Pten repression in rat neural crest-derived PC-12 cells, and enhanced neurite outgrowth after nerve growth factor stimulation. PTEN silencing with CRISPR/dCas9 epigenetic editing may provide a new option for promoting axon regeneration and functional recovery after CNS trauma.","zinc"
"5",3,"Masoumeh Zarei-Kheirabadi, Mahdi Hesaraki, Sahar Kiani, Hossein Baharvand","In vivo conversion of rat astrocytes into neuronal cells through neural stem cells in injured spinal cord with a single zinc-finger transcription factor",2019,"Stem Cell Research & Therapy","Bmc",NA,NA,21,"2021-01-12 11:39:15","Article","10.1186/s13287-019-1448-x","",NA,10,1,NA,NA,3,1.5,1,4,2,"Background: Spinal cord injury (SCI) results in glial scar formation and irreversible neuronal loss, which finally leads to functional impairments and long-term disability. Our previous studies have demonstrated that the ectopic expression of Zfp521 reprograms fibroblasts and astrocytes into induced neural stem cells (iNSCs). However, it remains unclear whether treatment with Zfp521 also affects endogenous astrocytes, thus promoting further functional recovery following SCI.","zinc"
"6",3,"Daoyong Li, He Tian, Xian Li, Liang Mao, Xiaoguang Zhao, Jiaquan Lin, Sen Lin, Chang Xu, Yuanye Liu, Yue Guo, Xifan Mei","Zinc promotes functional recovery after spinal cord injury by activating Nrf2/HO-1 defense pathway and inhibiting inflammation of NLRP3 in nerve cells",2020,"Life Sciences","Pergamon-Elsevier Science Ltd",NA,NA,24,"2021-01-12 11:39:15","Article","10.1016/j.lfs.2020.117351","0024-3205",NA,245,NA,NA,NA,3,3,0,11,1,"Aims: To study the specific therapeutic effect of zinc on spinal cord injury (SCI) and its specific protective mechanism.","zinc"
"7",4,"Sen-Wei Tsai, Hsiao-Ling Chen, Yi-Chun Chang, Chuan-Mu Chen","Molecular Mechanisms of Treadmill Therapy on Neuromuscular Atrophy Induced via Botulinum Toxin A",2013,"Neural Plasticity","Hindawi Ltd",NA,NA,22,"2021-01-12 11:39:15","Review","10.1155/2013/593271","2090-5904",NA,2013,NA,NA,NA,4,0.5,1,4,8,"Botulinum toxin A(BoNT-A) is a bacterial zinc-dependent endopeptidase that acts specifically on neuromuscular junctions. BoNT-A blocks the release of acetylcholine, thereby decreasing the ability of a spastic muscle to generate forceful contraction, which results in a temporal local weakness and the atrophy of targeted muscles. BoNT-A-induced temporal muscle weakness has been used to manage skeletal muscle spasticity, such as poststroke spasticity, cerebral palsy, and cervical dystonia. However, the combined effect of treadmill exercise and BoNT-A treatment is not well understood. We previously demonstrated that for rats, following BoNT-A injection in the gastrocnemius muscle, treadmill running improved the recovery of the sciatic functional index (SFI), muscle contraction strength, and compound muscle action potential (CMAP) amplitude and area. Treadmill training had no influence on gastrocnemius mass that received BoNT-A injection, but it improved the maximal contraction force of the gastrocnemius, and upregulation of GAP-43, IGF-1, Myo-D, Myf-5, myogenin, and acetylcholine receptor (AChR) subunits alpha and beta was found following treadmill training. Taken together, these results suggest that the upregulation of genes associated with neurite and AChR regeneration following treadmill training may contribute to enhanced gastrocnemius strength recovery following BoNT-A injection.","zinc"
"8",4,"Katarzyna Kotulska, Magdalena Larysz-Brysz, Marie LePecheur, Wieslaw Marcol, Edyta Olakowska, Joanna Lewin-Kowalik, Jacqueline London","APP/SOD1 overexpressing mice present reduced neuropathic pain sensitivity",2011,"Brain Research Bulletin","Pergamon-Elsevier Science Ltd",NA,NA,23,"2021-01-12 11:39:15","Article","10.1016/j.brainresbull.2011.05.006","0361-9230",NA,85,6,321,328,4,0.4,1,7,10,"There are controversies regarding pain expression in mentally disabled people, including Down syndrome patients. The aim of this study was to examine neuropathic pain-related behavior and peripheral nerve regeneration in mouse model of Down syndrome. Sciatic nerves of double transgenic mice, overexpressing both amyloid precursor protein (APP) and Cu/Zn superoxide dismutase (SOD1) genes, and FVB/N wild type mice were transected and immediately resutured. Evaluation of autotomy and functional recovery was carried out during 4-week follow-up. We found markedly less severe autotomy in transgenic animals, although the onset of autotomy was significantly delayed in control mice. Interestingly, neuroma formation at the injury site was significantly more prominent in transgenic animals. Sciatic function index outcome was better in transgenic mice than in wild-type group. Histological evaluation revealed no statistically significant differences in the number of GAP-43-positive growth cones and macrophages in the distal stump of the transected nerve between groups. However, in transgenic animals, the regenerating axons were arranged more chaotically. The number of Schwann cells in the distal stump of the transected nerves was significantly lower in transgenic mice. The number of surviving motoneurons was markedly decreased in transgenic group. We measured also the atrophy of denervated muscles and found it decreased in APP/SOD1 overexpressing mice. Taken together, in this model of Down syndrome, we observed increased neuroma formation and decreased autotomy after peripheral nerve injury. Our findings suggest that APP/SOD1 overexpressing mice are less sensitive for neuropathic pain associated with neuroma. (C) 2011 Elsevier Inc. All rights reserved.","zinc"
"9",6,"Raban Arved Heller, Julian Seelig, Tobias Boc, Patrick Haubruck, Paul Alfred Gruetzner, Lutz Schomburg, Arash Moghaddam, Bahram Biglari","Relation of selenium status to neuro-regeneration after traumatic spinal cord injury",2019,"Journal Of Trace Elements In Medicine And Biology","Elsevier Gmbh",NA,NA,20,"2021-01-12 11:39:15","Article","10.1016/j.jtemb.2018.10.006","0946-672X",NA,51,NA,141,149,6,3,1,8,2,"Introduction: The trace element selenium (Se) is crucial for the biosynthesis of selenoproteins. Both neurodevelopment and the survival of neurons that are subject to stress depend on a regular selenoprotein biosynthesis and sufficient Se supply by selenoprotein P (SELENOP).","zinc"
"10",7,"Xian Li, Shurui Chen, Liang Mao, Daoyong Li, Chang Xu, He Tian, Xifan Mei","Zinc Improves Functional Recovery by Regulating the Secretion of Granulocyte Colony Stimulating Factor From Microglia/Macrophages After Spinal Cord Injury",2019,"Frontiers In Molecular Neuroscience","Frontiers Media Sa",NA,NA,18,"2021-01-12 11:39:15","Article","10.3389/fnmol.2019.00018","1662-5099",NA,12,NA,NA,NA,7,3.5,1,7,2,"While zinc promotes motor function recovery after spinal cord injury (SCI), the precise mechanisms involved are not fully understood. The present study aimed to elucidate the effects of zinc and granulocyte colony stimulating factor (G-CSF) on neuronal recovery after SCI. The SCI model was established by Allen's method. Injured animals were given glucose and zinc gluconate (ZnG; 30 mg/kg) for the first time at 2 h after injury, the same dose was given for 3 days. A cytokine antibody array was used to screen changes in inflammation at the site of SCI lesion. Immunofluorescence was used to detect the distribution of cytokines. Magnetic beads were also used to isolate cells from the site of SCI lesion. We then investigated the effect of Zinc on apoptosis after SCI by Transferase UTP Nick End Labeling (TUNEL) staining and Western Blotting. Basso Mouse Scale (BMS) scores and immunofluorescence were employed to investigate neuronal apoptosis and functional recovery. We found that the administration of zinc significantly increased the expression of 19 cytokines in the SCI lesion. Of these, G-CSF was shown to be the most elevated cytokine and was secreted by microglia/macrophages (M/Ms) via the nuclear factor-kappa B (NF-kappa B) signaling pathway after SCI. Increased levels of G-CSF at the SCI lesion reduced the level of neuronal apoptosis after SCI, thus promoting functional recovery. Collectively, our results indicate that the administration of zinc increases the expression of G-CSF secreted by M/Ms, which then leads to reduced levels of neuronal apoptosis after SCI.","zinc"
