Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"F. Papastefanaki, I. Jakovcevski, N. Poulia, N. Djogo, F. Schulz, T. Martinovic, D. Ciric, G. Loers, T. Vossmeyer, H. Weller, M. Schachner, R. Matsas","Intraspinal delivery of polyethylene glycol coated gold nanoparticles promotes functional recovery after spinal cord injury",2015,"Glia","Wiley-Blackwell","","",86,"2021-01-18 11:30:06","Meeting Abstract","","0894-1491","",63,,,,0,0.00,0,12,6,""
0,"DS Ditor, SM John, J Cakirog, PJ Foster, J Roy, JC Marx, LC Weaver","The effects of polyethylene glycol (PEG) administration on the recovery of locomotion and autonomic function, and the prevention secondary tissue damage after clip-compression spinal cord injury in the rat",2005,"Journal Of Neurotrauma","Mary Ann Liebert Inc","","",87,"2021-01-18 11:30:06","Meeting Abstract","","0897-7151","",22,10,1242,1242,0,0.00,0,7,16,""
0,"Lucas P. Carlstrom","Molecular and Cellular Neuromodulation for Central Nervous System Injury and Regeneration",2017,"Deep Brain Stimulation: Indications And Applications","Pan Stanford Publishing Pte Ltd","","",88,"2021-01-18 11:30:06","Article","","","",,,415,454,0,0.00,0,1,4,""
0,"Aihua Wang, Guanghao Zhang, Xiaochen Wang, Cheng Zhang, Tao Song, Xiaolin Huo, Aihua Wang, Xiaochen Wang","Combination of Applied Electric Field and Polyethylene Glycol Effectively Enhance Functional Recovery in Acute Spinal Cord Injury of Rats",2016,"2016 Asia-Pacific International Symposium On Electromagnetic Compatibility (Apemc)","Ieee","","",89,"2021-01-18 11:30:06","Proceedings Paper","","2162-7673","",,,1075,1077,0,0.00,0,8,5,"Applied electric field stimulation (EFS) can reduce extracellular Ca2+ influx and consequently enhance functional recovery after spinal cord injury (SCI). However, the influx of Ca2+ continued through disrupted membranes when EFS completed. As polyethylene glycol (PEG) can reseal the damaged membranes, we proposed a hypothesis that combination therapy of EFS and PEG may effectively prevent Ca2+ influx and further promote functional recovery in rats subjected to SCI. Rats were randomly divided into three groups: saline group, treated with saline only; control group, treated with EFS and saline; and experimental group, treated with EFS and PEG. The effects of EFS combined with PEG were assessed by means of injury potential and Basso, Beattie, and Bresnahan (BBB) scores. Data showed that the injury potential at the moment of EFS termination in experimental group was significantly smaller compared with that in control group, but higher than that in saline group. Moreover, the BBB scores in experimental group were significantly higher than those in other groups. These findings suggest that combination therapy of EFS and PEG could further enhance functional recovery in acute SCI of rats."
0,"Alan B. Ashare, Alvin W. Lyckman","Acute Care in Cervical Spinal Cord Trauma with Long-Term Benefit: A Review",2009,"Safety In Ice Hockey: 5th Volume","Amer Society Testing And Materials","","",90,"2021-01-18 11:30:06","Proceedings Paper","10.1520/JAI102018","0066-0558","",1516,,84,,0,0.00,0,2,12,"Spinal cord injury involves three phases. In the first, trauma events deliver direct pressure to the cervical spine, which may compress, dislocate, or fracture the spine, and in turn compress, crush, or transect the spinal cord. In the process, local neurons are destroyed and sensory and motor pathways can be severed. In the second phase, acute tissue responses, bleeding, and inflammation rapidly and radically change the physical and chemical conditions at the wound site. Finally, days, weeks, and months after the initial trauma, chronic post-injury processes reform the wound site into a lasting scar that impedes regeneration of spinal cord pathways. A major goal of current spinal cord injury research should be rapid and lasting inhibition of acute and chronic tissue reactions in the spinal cord wound that lead to a growth-inhibiting environment and diverting these reactions toward conditions that favor regeneration of severed spinal pathways. Here, we consider experimental strategies that could form the basis for treatments that can be rapidly administered after trauma and provides lasting benefit to spinal cord regeneration and rehabilitation."
0,"S. M. Fearnside","Managing acute spinal cord injury - Examining the controversy",2006,"Australian Veterinary Practitioner","Australian Small Animal Veterinary Assoc","","",91,"2021-01-18 11:30:06","Review","","0310-138X","",36,4,148,,0,0.00,0,1,15,"The first decade of the 21(st) Century has been referred to as the ""Decade of the Spine"", to signify the importance of spinal cord injury (SCI) and other such spinal disorders. Given the devastating physical, emotional and economic impact of severe SCI, the quest for better management in the acute setting including pharmacological and surgical interventions has been unrelenting over the past several decades and remains a highly contentious area of human medicine. This has led to an enormous amount of experimental and to a lesser degree clinical research information being produced. Recent investigations have defined the significance of both the primary and secondary pathophysiological mechanisms in SCI. With this understanding, modem neuroscience techniques have made advances towards more effective treatment interventions with the real prospect of improving long term functional outcomes in both humans and animals. This review will discuss the pathophysiology and neuroprotective aspects of the initial medical management in patients with acute SCI, with a focus on clinically evaluated therapeutic interventions and the relevant controversies that surround the issue."
0,"Sarah A. Moore, Andrea Tipold, Natasha J. Olby, Veronica Stein, Nicolas Granger","Current Approaches to the Management of Acute Thoracolumbar Disc Extrusion in Dogs",2020,"Frontiers In Veterinary Science","Frontiers Media Sa","","",92,"2021-01-18 11:30:06","Review","10.3389/fvets.2020.00610","","",7,,,,0,0.00,0,5,1,"Intervertebral disc extrusion (IVDE) is one of the most common neurologic problems encountered in veterinary clinical practice. The purpose of this manuscript is to provide an overview of the literature related to treatment of acute canine thoracolumbar IVDE to help construct a framework for standard care of acute canine thoracolumbar IVDE where sufficient evidence exists and to highlight opportunities for future prospective veterinary clinical research useful to strengthen care recommendations in areas where evidence is low or non-existent. While there exist a number of gaps in the veterinary literature with respect to standards of care for dogs with acute thoracolumbar IVDE, recommendations for standard care can be made in some areas, particularly with respect to surgical decompression where the currently available evidence supports that surgery should be recommended for dogs with nonambulatory paraparesis or worse. While additional information is needed about the influence on timing of decompression on outcome in dogs that are deep pain negative for longer than 48 h duration, there is no evidence to support treatment of the 48 h time point as a cut off beyond which it becomes impossible for dogs to achieve locomotor recovery. Surgical decompression is best accomplished by either hemilaminectomy or mini-hemilaminectomy and fenestration of, at a minimum, the acutely ruptured disc. Adjacent discs easily accessed by way of the same approach should be considered for fenestration given the evidence that this substantially reduces future herniation at fenestrated sites. Currently available neuroprotective strategies such as high does MPSS and PEG are not recommended due to lack of demonstrated treatment effect in randomized controlled trials, although the role of anti-inflammatory steroids as a protective strategy against progressive myelomalacia and the question of whether anti-inflammatory steroids or NSAIDs provide superior medical therapy require further evaluation."
0,"Hui Ouyang, Beth Galle, Jianming Li, Eric Nauman, Riyi Shi","Critical roles of decompression in functional recovery of ex vivo spinal cord white matter Laboratory investigation",2009,"Journal Of Neurosurgery-Spine","Amer Assoc Neurological Surgeons","","",93,"2021-01-18 11:30:06","Article","10.3171/2008.10.SPI08495","1547-5654","",10,2,161,170,0,0.00,0,5,12,"Object. The correlations betweeen functional deficits, the magnitude of compression, and the role of sustained compression during traumatic spinal cord injury remain largely unknown. Thus, the functional outcome of this type of injury with or without surgical intervention is rather unpredictable. To elucidate how severity and duration of compression effect cord function, the authors have developed a method to study electrophysiological characteristics and axonal membrane damage in white matter from guinea pig spinal cord"
0,"Andrew J. Ciciriello, Dominique R. Smith, Mary K. Munsell, Sydney J. Boyd, Lonnie D. Shea, Courtney M. Dumont","Acute Implantation of Aligned Hydrogel Tubes Supports Delayed Spinal Progenitor Implantation",2020,"Acs Biomaterials Science & Engineering","Amer Chemical Soc","","",94,"2021-01-18 11:30:06","Article","10.1021/acsbiomaterials.0c00844","2373-9878","",6,10,5771,5784,0,0.00,0,6,1,"An important role of neural stem cell transplantation is repopulating neural and glial cells that actively promote repair following spinal cord injury (SCI). However, stem cell survival after transplantation is severely hampered by the inflammatory environment that arises after SCI. Biomaterials have a demonstrated history of managing post-SCI inflammation and can serve as a vehicle for stem cell delivery. In this study, we utilize macroporous polyethylene glycol (PEG) tubes, which were previously found to modulate the post-SCI microenvironment, to serve as a viable, soft substrate for injecting mouse embryonic day 14 (E14) spinal progenitors 2 weeks after tube implantation into a mouse SCI model. At 2 weeks after transplantation (4 weeks after injury), 4.3% of transplanted E14 spinal progenitors survived when transplanted directly into tubes compared to 0.7% when transplanted into the injury alone. Surviving E14 spinal progenitors exhibited a commitment to the neuronal lineage at 4 weeks post-injury, as assessed by both early and late phenotypic markers. Mice receiving tubes with E14 spinal progenitor transplantations had on average 21 +/- 4 axons/mm(2) regenerated compared to 8 +/- 1 axons/mm(2) for the injury only control, which corresponded with a significant increase in remyelination compared to the injury only control, while all conditions exhibited improved forelimb control 4 weeks after injury compared to the injury only. Collectively, we have demonstrated the feasibility of using PEG tubes to modify the implantation site and improve survival of transplanted E14 spinal progenitors."
0,"Nazanin Ghane, Mohammad-Hossein Beigi, Sheyda Labbaf, Mohammad-Hossein Nasr-Esfahani, Amirkianoosh Kiani","Design of hydrogel-based scaffolds for the treatment of spinal cord injuries",2020,"Journal Of Materials Chemistry B","Royal Soc Chemistry","","",95,"2021-01-18 11:30:06","Review","10.1039/d0tb01842b","2050-750X","",8,47,10712,10738,0,0.00,0,5,1,"Spinal cord injury (SCI) is a traumatic lesion that diminishes sensory and/or motor neuronal functionality, directly affecting the quality of the patient's life. Due to the central nervous system's (CNS) inhibitory microenvironment that presents challenges in neuron repair and regeneration, tissue engineering strategies have received significant attention to improve the quality of a patient's life. In this regard, hydrogels are attractive SC scaffolds as they can provide not only an adjustable physiologically native-like microenvironment but also an appropriate matrix for cell delivery, drug delivery, and other bioactive molecule delivery at the lesion site. This systematic review characterizes the widely used biomaterials including natural polymers; protein- and polysaccharide-based synthetic polymers; methacrylate- and polyethylene glycol-based, and self-assembling (SA) peptides. In addition, synthesis routes of hydrogels are investigated. This review is complemented by the discussion of the various techniques utilized for hydrogel scaffold designs with their in vitro and in vivo outcomes and clinical trials. The existing challenges and opportunities for SC hydrogel scaffolds are mentioned towards the end of this review."
